,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,2200.0,2265.0,2198.5,2258.5,930300,2258.5
1,2023-08-09,2207.0,2229.5,2200.5,2224.0,709200,2224.0
2,2023-08-08,2197.0,2219.5,2191.0,2213.0,766900,2213.0
3,2023-08-07,2155.0,2177.0,2148.0,2175.5,652900,2175.5
4,2023-08-04,2157.0,2158.5,2132.0,2138.5,843700,2138.5
5,2023-08-03,2170.0,2170.0,2132.5,2160.5,1050100,2160.5
6,2023-08-02,2175.0,2195.0,2166.5,2185.0,1122400,2185.0
7,2023-08-01,2168.0,2177.0,2146.5,2177.0,1069700,2177.0
8,2023-07-31,2088.0,2171.5,2086.0,2159.0,2271500,2159.0
9,2023-07-28,2029.0,2055.5,2011.0,2038.0,1317200,2038.0
10,2023-07-27,2067.0,2068.5,2053.5,2065.0,662900,2065.0
11,2023-07-26,2069.0,2075.5,2055.0,2070.5,622800,2070.5
12,2023-07-25,2050.0,2066.0,2047.0,2060.5,801900,2060.5
13,2023-07-24,2040.0,2054.0,2037.5,2042.5,628700,2042.5
14,2023-07-21,2018.5,2030.0,2008.5,2026.0,660900,2026.0
15,2023-07-20,2035.0,2051.0,2023.0,2027.0,600600,2027.0
16,2023-07-19,2036.0,2047.0,2021.0,2037.5,636600,2037.5
17,2023-07-18,2014.0,2022.0,2006.0,2019.0,578500,2019.0
18,2023-07-14,2000.0,2014.5,1993.5,2008.0,635800,2008.0
19,2023-07-13,2004.5,2012.0,1981.0,2000.0,621000,2000.0
20,2023-07-12,2013.0,2013.5,1986.0,1991.0,629200,1991.0
21,2023-07-11,2028.0,2034.0,2006.5,2011.5,707600,2011.5
22,2023-07-10,2018.0,2030.5,2003.0,2018.0,844800,2018.0
23,2023-07-07,2020.0,2039.5,2006.5,2020.5,876600,2020.5
24,2023-07-06,2055.5,2062.0,2031.0,2043.0,941500,2043.0
