,日付,日証金,逆日歩,日歩日数,貸株残,融資残
0,2023-08-09,日証金,0.0,1,18800,17200
1,2023-08-08,日証金,0.0,4,19000,16400
2,2023-08-07,日証金,0.0,1,18100,17900
3,2023-08-04,日証金,0.0,-,15000,15000
4,2023-08-03,日証金,0.0,1,14800,14200
5,2023-08-02,日証金,0.0,-,12300,12400
6,2023-08-01,日証金,0.0,1,15100,11900
7,2023-07-31,日証金,0.0,1,16500,12000
8,2023-07-28,日証金,0.0,-,10300,10400
9,2023-07-27,日証金,0.05,1,28000,22300
10,2023-07-26,日証金,0.15,3,25100,16300
11,2023-07-25,日証金,0.05,1,23300,15700
12,2023-07-24,日証金,0.05,1,19500,15300
13,2023-07-21,日証金,0.05,1,16600,10400
14,2023-07-20,日証金,0.05,1,16200,11400
15,2023-07-19,日証金,0.15,3,15400,8200
16,2023-07-18,日証金,0.05,1,14100,6600
17,2023-07-14,日証金,0.1,1,20300,3400
18,2023-07-13,日証金,0.05,1,16900,2600
19,2023-07-12,日証金,0.4,4,18100,3700
20,2023-07-11,日証金,0.05,1,30200,4500
