,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
167,2023-11-02,3,5256.0,5257.0,5156.0,5162.0,1476800.0,5162.0,0.0,0.0,0.0,0,0.0,0.0,0.0
168,2023-11-01,2,5188.0,5210.0,5161.0,5203.0,958300.0,5203.0,0.0,0.0,0.0,0.00,0.0,42600.0,37400.0
169,2023-10-31,1,5099.0,5117.0,5048.0,5111.0,846500.0,5111.0,0.0,0.0,0.0,0.00,0.0,27600.0,22400.0
170,2023-10-30,0,5063.0,5076.0,5023.0,5055.0,877800.0,5055.0,0.0,0.0,0.0,0,0.0,25600.0,21200.0
171,2023-10-27,4,5083.0,5137.0,5051.0,5125.0,867500.0,5125.0,89600.0,738700.0,8.24,0.00,0.0,33500.0,27800.0
172,2023-10-26,3,5051.0,5094.0,5011.0,5029.0,881500.0,5029.0,0.0,0.0,0.0,0.00,0.0,37200.0,30500.0
173,2023-10-25,2,5110.0,5150.0,5066.0,5074.0,1123700.0,5074.0,0.0,0.0,0.0,0.00,0.0,59500.0,52400.0
174,2023-10-24,1,5132.0,5144.0,5032.0,5126.0,739000.0,5126.0,0.0,0.0,0.0,0.00,0.0,66100.0,59000.0
175,2023-10-23,0,5169.0,5174.0,5109.0,5109.0,660100.0,5109.0,0.0,0.0,0.0,0.00,0.0,30800.0,24300.0
176,2023-10-20,4,5166.0,5193.0,5130.0,5169.0,645400.0,5169.0,80800.0,729700.0,9.03,0.00,0.0,35400.0,28900.0
177,2023-10-19,3,5150.0,5190.0,5137.0,5165.0,483600.0,5165.0,0.0,0.0,0.0,0.00,0.0,32700.0,25800.0
