,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-10-16,5140,5193,5128,5187,818500,5187.0
1,2023-10-13,5165,5186,5121,5140,844800,5140.0
2,2023-10-12,5134,5194,5125,5186,842400,5186.0
3,2023-10-11,5074,5114,5032,5079,1014700,5079.0
4,2023-10-10,5051,5098,5051,5086,1052800,5086.0
5,2023-10-06,5032,5044,5002,5011,998700,5011.0
6,2023-10-05,4996,5037,4951,5023,1211000,5023.0
7,2023-10-04,5052,5082,4965,4966,1578600,4966.0
8,2023-10-03,5239,5249,5132,5147,970100,5147.0
9,2023-10-02,5257,5342,5257,5260,803500,5260.0
10,2023-09-29,5270,5281,5230,5244,829000,5244.0
11,2023-09-28,5290,5327,5264,5286,859100,5286.0
12,2023-09-27,5332,5341,5268,5295,1059300,5295.0
13,2023-09-26,5393,5393,5340,5345,591500,5345.0
14,2023-09-25,5395,5400,5359,5373,647300,5373.0
15,2023-09-22,5335,5380,5315,5350,988400,5350.0
16,2023-09-21,5423,5484,5385,5394,1347700,5394.0
17,2023-09-20,5399,5429,5380,5409,1425300,5409.0
18,2023-09-19,5327,5398,5322,5380,1203800,5380.0
19,2023-09-15,5290,5345,5280,5316,1732400,5316.0
20,2023-09-14,5200,5279,5195,5269,1274200,5269.0
21,2023-09-13,5212,5229,5186,5206,728900,5206.0
22,2023-09-12,5170,5198,5152,5198,831400,5198.0
23,2023-09-11,5241,5241,5165,5177,876600,5177.0
24,2023-09-08,5288,5288,5202,5214,1150200,5214.0
