,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-18,2,41,5234.0,5257.0,5182.0,5189.0,660200.0,5189.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,2023-10-17,1,41,5229.0,5242.0,5174.0,5207.0,746900.0,5207.0,0.0,0.0,0.0,0.0,0.0,33200.0,24800.0
2,2023-10-16,0,41,5140.0,5193.0,5128.0,5187.0,818500.0,5187.0,0.0,0.0,0.0,0.0,0.0,32600.0,21500.0
3,2023-10-13,4,40,5165.0,5186.0,5121.0,5140.0,844800.0,5140.0,73200.0,727900.0,9.94,0.0,0.0,31100.0,27500.0
4,2023-10-12,3,40,5134.0,5194.0,5125.0,5186.0,842400.0,5186.0,0.0,0.0,0.0,0.0,0.0,43000.0,33100.0
5,2023-10-11,2,40,5074.0,5114.0,5032.0,5079.0,1014700.0,5079.0,0.0,0.0,0.0,0.0,0.0,29500.0,27400.0
6,2023-10-10,1,40,5051.0,5098.0,5051.0,5086.0,1052800.0,5086.0,0.0,0.0,0.0,0.0,0.0,34500.0,25100.0
7,2023-10-06,4,39,5032.0,5044.0,5002.0,5011.0,998700.0,5011.0,73200.0,672000.0,9.18,0.0,0.0,29900.0,22200.0
8,2023-10-05,3,39,4996.0,5037.0,4951.0,5023.0,1211000.0,5023.0,0.0,0.0,0.0,0.0,0.0,28500.0,21500.0
9,2023-10-04,2,39,5052.0,5082.0,4965.0,4966.0,1578600.0,4966.0,0.0,0.0,0.0,0.0,0.0,24100.0,28200.0
10,2023-10-03,1,39,5239.0,5249.0,5132.0,5147.0,970100.0,5147.0,0.0,0.0,0.0,0.0,0.0,31100.0,27200.0
11,2023-10-02,0,39,5257.0,5342.0,5257.0,5260.0,803500.0,5260.0,0.0,0.0,0.0,0.0,0.0,47700.0,45400.0
12,2023-09-29,4,38,5270.0,5281.0,5230.0,5244.0,829000.0,5244.0,102500.0,624300.0,6.09,0.0,0.0,35900.0,34500.0
13,2023-09-28,3,38,5290.0,5327.0,5264.0,5286.0,859100.0,5286.0,0.0,0.0,0.0,0.0,0.0,38000.0,37000.0
14,2023-09-27,2,38,5332.0,5341.0,5268.0,5295.0,1059300.0,5295.0,0.0,0.0,0.0,0.0,0.0,38000.0,38000.0
15,2023-09-26,1,38,5393.0,5393.0,5340.0,5345.0,591500.0,5345.0,0.0,0.0,0.0,0.0,0.0,40300.0,40300.0
16,2023-09-25,0,38,5395.0,5400.0,5359.0,5373.0,647300.0,5373.0,0.0,0.0,0.0,0.0,0.0,41300.0,40000.0
17,2023-09-22,4,37,5335.0,5380.0,5315.0,5350.0,988400.0,5350.0,138800.0,604400.0,4.35,0.0,0.0,50000.0,46700.0
18,2023-09-21,3,37,5423.0,5484.0,5385.0,5394.0,1347700.0,5394.0,0.0,0.0,0.0,0.0,0.0,41600.0,39900.0
19,2023-09-20,2,37,5399.0,5429.0,5380.0,5409.0,1425300.0,5409.0,0.0,0.0,0.0,0.0,0.0,47000.0,41900.0
20,2023-09-19,1,37,5327.0,5398.0,5322.0,5380.0,1203800.0,5380.0,0.0,0.0,0.0,0.0,0.0,47300.0,41100.0
21,2023-09-15,4,36,5290.0,5345.0,5280.0,5316.0,1732400.0,5316.0,138300.0,636700.0,4.6,0.0,0.0,39700.0,34800.0
22,2023-09-14,3,36,5200.0,5279.0,5195.0,5269.0,1274200.0,5269.0,0.0,0.0,0.0,0.0,0.0,40400.0,33700.0
23,2023-09-13,2,36,5212.0,5229.0,5186.0,5206.0,728900.0,5206.0,0.0,0.0,0.0,0.0,0.0,36900.0,31100.0
24,2023-09-12,1,36,5170.0,5198.0,5152.0,5198.0,831400.0,5198.0,0.0,0.0,0.0,0.0,0.0,33700.0,30700.0
25,2023-09-11,0,36,5241.0,5241.0,5165.0,5177.0,876600.0,5177.0,0.0,0.0,0.0,0.0,0.0,32100.0,29600.0
26,2023-09-08,4,35,5288.0,5288.0,5202.0,5214.0,1150200.0,5214.0,116500.0,707900.0,6.08,0.0,0.0,31900.0,29400.0
27,2023-09-07,3,35,5250.0,5289.0,5236.0,5265.0,1161200.0,5265.0,0.0,0.0,0.0,0.0,0.0,33600.0,25800.0
28,2023-09-06,2,35,5172.0,5279.0,5172.0,5235.0,1186700.0,5235.0,0.0,0.0,0.0,0.0,0.0,32800.0,25600.0
29,2023-09-05,1,35,5194.0,5206.0,5168.0,5198.0,791700.0,5198.0,0.0,0.0,0.0,0.0,0.0,28000.0,33700.0
30,2023-09-04,0,35,5175.0,5178.0,5147.0,5178.0,1048200.0,5178.0,0.0,0.0,0.0,0.0,0.0,45000.0,37000.0
31,2023-09-01,4,34,5124.0,5164.0,5104.0,5153.0,1120500.0,5153.0,107100.0,787400.0,7.35,0.0,0.0,29900.0,22100.0
32,2023-08-31,3,34,5065.0,5113.0,5054.0,5113.0,2156900.0,5113.0,0.0,0.0,0.0,0.0,0.0,22700.0,17400.0
33,2023-08-30,2,34,5039.0,5067.0,5034.0,5066.0,837300.0,5066.0,0.0,0.0,0.0,0.0,0.0,23400.0,17500.0
34,2023-08-29,1,34,5033.0,5069.0,5027.0,5061.0,821100.0,5061.0,0.0,0.0,0.0,0.0,0.0,22400.0,18800.0
35,2023-08-28,0,34,4981.0,5034.0,4980.0,5034.0,1224100.0,5034.0,0.0,0.0,0.0,0.0,0.0,24200.0,18500.0
36,2023-08-25,4,33,4950.0,4987.0,4942.0,4968.0,883800.0,4968.0,85800.0,914200.0,10.66,0.0,0.0,16200.0,22000.0
37,2023-08-24,3,33,4945.0,4968.0,4932.0,4964.0,903200.0,4964.0,0.0,0.0,0.0,0.0,0.0,16200.0,21200.0
38,2023-08-23,2,33,4896.0,4959.0,4883.0,4959.0,880800.0,4959.0,0.0,0.0,0.0,0.0,0.0,17200.0,21500.0
39,2023-08-22,1,33,4889.0,4902.0,4848.0,4902.0,1008900.0,4902.0,0.0,0.0,0.0,0.0,0.0,8700.0,23700.0
40,2023-08-21,0,33,4861.0,4916.0,4846.0,4876.0,1702800.0,4876.0,0.0,0.0,0.0,0.0,0.0,12800.0,39500.0
41,2023-08-18,4,32,4748.0,4781.0,4736.0,4773.0,884600.0,4773.0,66800.0,1005700.0,15.06,0.0,0.0,200.0,36300.0
42,2023-08-17,3,32,4826.0,4831.0,4721.0,4778.0,1423200.0,4778.0,0.0,0.0,0.0,0.0,0.0,200.0,36300.0
43,2023-08-16,2,32,4862.0,4862.0,4819.0,4827.0,890100.0,4827.0,0.0,0.0,0.0,0.0,0.0,2900.0,36000.0
44,2023-08-15,1,32,4949.0,4954.0,4879.0,4888.0,1054400.0,4888.0,0.0,0.0,0.0,0.0,0.0,7800.0,46700.0
45,2023-08-14,0,32,4845.0,4927.0,4800.0,4926.0,2176300.0,4926.0,0.0,0.0,0.0,0.0,0.0,11800.0,46500.0
46,2023-08-10,3,31,4836.0,4844.0,4816.0,4836.0,2078300.0,4836.0,65400.0,1122400.0,17.16,0.0,0.0,3600.0,69700.0
47,2023-08-09,2,31,4844.0,4861.0,4814.0,4831.0,1523800.0,4831.0,0.0,0.0,0.0,0.0,0.0,4200.0,69200.0
48,2023-08-08,1,31,4882.0,4888.0,4845.0,4854.0,1403900.0,4854.0,0.0,0.0,0.0,0.0,0.0,5000.0,65400.0
49,2023-08-07,0,31,4847.0,4862.0,4824.0,4845.0,1433000.0,4845.0,0.0,0.0,0.0,0.0,0.0,5200.0,64800.0
50,2023-08-04,4,30,4895.0,4900.0,4843.0,4859.0,2719600.0,4859.0,77400.0,1099400.0,14.2,0.0,0.0,7400.0,60400.0
51,2023-08-03,3,30,4910.0,5004.0,4888.0,4965.0,3058300.0,4965.0,0.0,0.0,0.0,0.0,0.0,13200.0,53000.0
52,2023-08-02,2,30,5134.0,5182.0,5113.0,5162.0,1421300.0,5162.0,0.0,0.0,0.0,0.0,0.0,29900.0,49000.0
53,2023-08-01,1,30,5110.0,5152.0,5101.0,5140.0,1118900.0,5140.0,0.0,0.0,0.0,0.0,0.0,23700.0,53700.0
54,2023-07-31,0,30,5100.0,5145.0,5089.0,5136.0,1281800.0,5136.0,0.0,0.0,0.0,0.0,0.0,55400.0,56000.0
55,2023-07-28,4,29,5052.0,5077.0,5011.0,5077.0,2632900.0,5077.0,126300.0,1091200.0,8.64,0.0,0.0,46100.0,61600.0
56,2023-07-27,3,29,5071.0,5094.0,5046.0,5088.0,748900.0,5088.0,0.0,0.0,0.0,0.0,0.0,22800.0,62400.0
57,2023-07-26,2,29,5100.0,5114.0,5070.0,5098.0,842500.0,5098.0,0.0,0.0,0.0,0.0,0.0,19600.0,62800.0
58,2023-07-25,1,29,5054.0,5080.0,5044.0,5080.0,727800.0,5080.0,0.0,0.0,0.0,0.0,0.0,16600.0,65800.0
59,2023-07-24,0,29,5079.0,5084.0,5049.0,5060.0,899700.0,5060.0,0.0,0.0,0.0,0.0,0.0,16900.0,65500.0
60,2023-07-21,4,28,5031.0,5064.0,5007.0,5064.0,1166900.0,5064.0,105200.0,1165200.0,11.08,0.0,0.0,18100.0,69400.0
61,2023-07-20,3,28,5022.0,5031.0,4990.0,4997.0,883900.0,4997.0,0.0,0.0,0.0,0.0,0.0,11600.0,72300.0
62,2023-07-19,2,28,4985.0,5002.0,4963.0,5002.0,932800.0,5002.0,0.0,0.0,0.0,0.0,0.0,11800.0,73000.0
63,2023-07-18,1,28,4921.0,4959.0,4918.0,4959.0,824000.0,4959.0,0.0,0.0,0.0,0.0,0.0,12400.0,75600.0
64,2023-07-14,4,27,4893.0,4929.0,4880.0,4921.0,913200.0,4921.0,94300.0,1237400.0,13.12,0.0,0.0,8600.0,75500.0
65,2023-07-13,3,27,4898.0,4904.0,4865.0,4893.0,1305100.0,4893.0,0.0,0.0,0.0,0.0,0.0,7500.0,70500.0
