,Unnamed: 0,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,0,2023-11-02,3,43,5256.0,5257.0,5156.0,5162.0,1476800.0,5162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1,0.007880069190851432,94.0,4
1,1,2023-11-01,2,43,5188.0,5210.0,5161.0,5203.0,958300.0,5203.0,0.0,0.0,0.0,0.0,0.0,42600.0,37400.0,-92.0,0,-0.01800039131285463,-15.0,4
2,2,2023-10-31,1,43,5099.0,5117.0,5048.0,5111.0,846500.0,5111.0,0.0,0.0,0.0,0.0,0.0,27600.0,22400.0,-56.0,0,-0.011078140454995054,-12.0,4
3,3,2023-10-30,0,43,5063.0,5076.0,5023.0,5055.0,877800.0,5055.0,0.0,0.0,0.0,0.0,0.0,25600.0,21200.0,70.0,1,0.013658536585365854,8.0,4
5,5,2023-10-26,3,42,5051.0,5094.0,5011.0,5029.0,881500.0,5029.0,0.0,0.0,0.0,0.0,0.0,37200.0,30500.0,45.0,1,0.008868742609381159,22.0,5
6,6,2023-10-25,2,42,5110.0,5150.0,5066.0,5074.0,1123700.0,5074.0,0.0,0.0,0.0,0.0,0.0,59500.0,52400.0,52.0,1,0.010144362075692548,36.0,5
7,7,2023-10-24,1,42,5132.0,5144.0,5032.0,5126.0,739000.0,5126.0,0.0,0.0,0.0,0.0,0.0,66100.0,59000.0,-17.0,0,-0.003327461342728518,6.0,5
8,8,2023-10-23,0,42,5169.0,5174.0,5109.0,5109.0,660100.0,5109.0,0.0,0.0,0.0,0.0,0.0,30800.0,24300.0,60.0,1,0.011607661056297156,60.0,5
10,10,2023-10-19,3,41,5150.0,5190.0,5137.0,5165.0,483600.0,5165.0,0.0,0.0,0.0,0.0,0.0,32700.0,25800.0,24.0,1,0.0046251686259394876,-15.0,5
11,11,2023-10-18,2,41,5234.0,5257.0,5182.0,5189.0,660200.0,5189.0,0.0,0.0,0.0,0.0,0.0,33300.0,25100.0,18.0,1,0.003456884962550413,45.0,5
12,12,2023-10-17,1,41,5229.0,5242.0,5174.0,5207.0,746900.0,5207.0,0.0,0.0,0.0,0.0,0.0,33200.0,24800.0,-20.0,0,-0.00385579332947754,22.0,5
13,13,2023-10-16,0,41,5140.0,5193.0,5128.0,5187.0,818500.0,5187.0,0.0,0.0,0.0,0.0,0.0,32600.0,21500.0,-47.0,0,-0.009143968871595331,-47.0,5
15,15,2023-10-12,3,40,5134.0,5194.0,5125.0,5186.0,842400.0,5186.0,0.0,0.0,0.0,0.0,0.0,43000.0,33100.0,-107.0,0,-0.021067139200630046,-52.0,4
16,16,2023-10-11,2,40,5074.0,5114.0,5032.0,5079.0,1014700.0,5079.0,0.0,0.0,0.0,0.0,0.0,29500.0,27400.0,7.0,1,0.0013763271726307512,-5.0,4
17,17,2023-10-10,1,40,5051.0,5098.0,5051.0,5086.0,1052800.0,5086.0,0.0,0.0,0.0,0.0,0.0,34500.0,25100.0,-75.0,0,-0.014967072440630613,-35.0,4
19,19,2023-10-05,3,39,4996.0,5037.0,4951.0,5023.0,1211000.0,5023.0,0.0,0.0,0.0,0.0,0.0,28500.0,21500.0,-57.0,0,-0.011478050745066451,-27.0,5
20,20,2023-10-04,2,39,5052.0,5082.0,4965.0,4966.0,1578600.0,4966.0,0.0,0.0,0.0,0.0,0.0,24100.0,28200.0,181.0,1,0.03516611618418496,86.0,5
21,21,2023-10-03,1,39,5239.0,5249.0,5132.0,5147.0,970100.0,5147.0,0.0,0.0,0.0,0.0,0.0,31100.0,27200.0,113.0,1,0.021482889733840303,92.0,5
22,22,2023-10-02,0,39,5257.0,5342.0,5257.0,5260.0,803500.0,5260.0,0.0,0.0,0.0,0.0,0.0,47700.0,45400.0,-16.0,0,-0.0030511060259344014,-3.0,5
24,24,2023-09-28,3,38,5290.0,5327.0,5264.0,5286.0,859100.0,5286.0,0.0,0.0,0.0,0.0,0.0,38000.0,37000.0,9.0,1,0.0016997167138810198,4.0,5
25,25,2023-09-27,2,38,5332.0,5341.0,5268.0,5295.0,1059300.0,5295.0,0.0,0.0,0.0,0.0,0.0,38000.0,38000.0,50.0,1,0.009354536950420954,37.0,5
26,26,2023-09-26,1,38,5393.0,5393.0,5340.0,5345.0,591500.0,5345.0,0.0,0.0,0.0,0.0,0.0,40300.0,40300.0,28.0,1,0.005211241392145915,48.0,5
27,27,2023-09-25,0,38,5395.0,5400.0,5359.0,5373.0,647300.0,5373.0,0.0,0.0,0.0,0.0,0.0,41300.0,40000.0,-23.0,0,-0.004299065420560748,22.0,5
29,29,2023-09-21,3,37,5423.0,5484.0,5385.0,5394.0,1347700.0,5394.0,0.0,0.0,0.0,0.0,0.0,41600.0,39900.0,15.0,1,0.0027731558513588465,29.0,4
30,30,2023-09-20,2,37,5399.0,5429.0,5380.0,5409.0,1425300.0,5409.0,0.0,0.0,0.0,0.0,0.0,47000.0,41900.0,-29.0,0,-0.005390334572490706,-10.0,4
31,31,2023-09-19,1,37,5327.0,5398.0,5322.0,5380.0,1203800.0,5380.0,0.0,0.0,0.0,0.0,0.0,47300.0,41100.0,-64.0,0,-0.012039127163280662,-53.0,4
33,33,2023-09-14,3,36,5200.0,5279.0,5195.0,5269.0,1274200.0,5269.0,0.0,0.0,0.0,0.0,0.0,40400.0,33700.0,-63.0,0,-0.012101421436803688,-69.0,5
34,34,2023-09-13,2,36,5212.0,5229.0,5186.0,5206.0,728900.0,5206.0,0.0,0.0,0.0,0.0,0.0,36900.0,31100.0,-8.0,0,-0.0015390534821085034,6.0,5
35,35,2023-09-12,1,36,5170.0,5198.0,5152.0,5198.0,831400.0,5198.0,0.0,0.0,0.0,0.0,0.0,33700.0,30700.0,-21.0,0,-0.004056403322387483,-28.0,5
36,36,2023-09-11,0,36,5241.0,5241.0,5165.0,5177.0,876600.0,5177.0,0.0,0.0,0.0,0.0,0.0,32100.0,29600.0,37.0,1,0.007096279248177982,64.0,5
38,38,2023-09-07,3,35,5250.0,5289.0,5236.0,5265.0,1161200.0,5265.0,0.0,0.0,0.0,0.0,0.0,33600.0,25800.0,-30.0,0,-0.0057306590257879654,-15.0,5
39,39,2023-09-06,2,35,5172.0,5279.0,5172.0,5235.0,1186700.0,5235.0,0.0,0.0,0.0,0.0,0.0,32800.0,25600.0,-37.0,0,-0.007118122354751828,-63.0,5
40,40,2023-09-05,1,35,5194.0,5206.0,5168.0,5198.0,791700.0,5198.0,0.0,0.0,0.0,0.0,0.0,28000.0,33700.0,-20.0,0,-0.003862495171881035,-4.0,5
41,41,2023-09-04,0,35,5175.0,5178.0,5147.0,5178.0,1048200.0,5178.0,0.0,0.0,0.0,0.0,0.0,45000.0,37000.0,-25.0,0,-0.004851542790607413,-3.0,5
43,43,2023-08-31,3,34,5065.0,5113.0,5054.0,5113.0,2156900.0,5113.0,0.0,0.0,0.0,0.0,0.0,22700.0,17400.0,-47.0,0,-0.009277536517962889,-48.0,5
44,44,2023-08-30,2,34,5039.0,5067.0,5034.0,5066.0,837300.0,5066.0,0.0,0.0,0.0,0.0,0.0,23400.0,17500.0,-5.0,0,-0.0009879470460383323,-27.0,5
45,45,2023-08-29,1,34,5033.0,5069.0,5027.0,5061.0,821100.0,5061.0,0.0,0.0,0.0,0.0,0.0,22400.0,18800.0,-27.0,0,-0.005363528009535161,-28.0,5
46,46,2023-08-28,0,34,4981.0,5034.0,4980.0,5034.0,1224100.0,5034.0,0.0,0.0,0.0,0.0,0.0,24200.0,18500.0,-66.0,0,-0.013285024154589372,-53.0,5
48,48,2023-08-24,3,33,4945.0,4968.0,4932.0,4964.0,903200.0,4964.0,0.0,0.0,0.0,0.0,0.0,16200.0,21200.0,-5.0,0,-0.001008267795926598,-19.0,5
49,49,2023-08-23,2,33,4896.0,4959.0,4883.0,4959.0,880800.0,4959.0,0.0,0.0,0.0,0.0,0.0,17200.0,21500.0,-57.0,0,-0.011627906976744186,-63.0,5
50,50,2023-08-22,1,33,4889.0,4902.0,4848.0,4902.0,1008900.0,4902.0,0.0,0.0,0.0,0.0,0.0,8700.0,23700.0,-26.0,0,-0.005332239540607055,-13.0,5
51,51,2023-08-21,0,33,4861.0,4916.0,4846.0,4876.0,1702800.0,4876.0,0.0,0.0,0.0,0.0,0.0,12800.0,39500.0,-103.0,0,-0.021579719254137857,-15.0,5
53,53,2023-08-17,3,32,4826.0,4831.0,4721.0,4778.0,1423200.0,4778.0,0.0,0.0,0.0,0.0,0.0,200.0,36300.0,49.0,1,0.01015123264967889,48.0,5
54,54,2023-08-16,2,32,4862.0,4862.0,4819.0,4827.0,890100.0,4827.0,0.0,0.0,0.0,0.0,0.0,2900.0,36000.0,61.0,1,0.012479541734860884,35.0,5
55,55,2023-08-15,1,32,4949.0,4954.0,4879.0,4888.0,1054400.0,4888.0,0.0,0.0,0.0,0.0,0.0,7800.0,46700.0,38.0,1,0.007714169711733658,61.0,5
56,56,2023-08-14,0,32,4845.0,4927.0,4800.0,4926.0,2176300.0,4926.0,0.0,0.0,0.0,0.0,0.0,11800.0,46500.0,-90.0,0,-0.018610421836228287,-81.0,5
57,57,2023-08-10,3,31,4836.0,4844.0,4816.0,4836.0,2078300.0,4836.0,65400.0,1122400.0,17.16,0.0,0.0,3600.0,69700.0,-5.0,0,-0.0010349824052991099,0.0,4
58,58,2023-08-09,2,31,4844.0,4861.0,4814.0,4831.0,1523800.0,4831.0,0.0,0.0,0.0,0.0,0.0,4200.0,69200.0,23.0,1,0.004738360115368768,13.0,4
59,59,2023-08-08,1,31,4882.0,4888.0,4845.0,4854.0,1403900.0,4854.0,0.0,0.0,0.0,0.0,0.0,5000.0,65400.0,-9.0,0,-0.0018575851393188853,28.0,4
60,60,2023-08-07,0,31,4847.0,4862.0,4824.0,4845.0,1433000.0,4845.0,0.0,0.0,0.0,0.0,0.0,5200.0,64800.0,14.0,1,0.0028812512862728956,2.0,4
62,62,2023-08-03,3,30,4910.0,5004.0,4888.0,4965.0,3058300.0,4965.0,0.0,0.0,0.0,0.0,0.0,13200.0,53000.0,197.0,1,0.03816350251840372,-55.0,5
63,63,2023-08-02,2,30,5134.0,5182.0,5113.0,5162.0,1421300.0,5162.0,0.0,0.0,0.0,0.0,0.0,29900.0,49000.0,-22.0,0,-0.004280155642023347,-28.0,5
64,64,2023-08-01,1,30,5110.0,5152.0,5101.0,5140.0,1118900.0,5140.0,0.0,0.0,0.0,0.0,0.0,23700.0,53700.0,-4.0,0,-0.000778816199376947,-30.0,5
65,65,2023-07-31,0,30,5100.0,5145.0,5089.0,5136.0,1281800.0,5136.0,0.0,0.0,0.0,0.0,0.0,55400.0,56000.0,-59.0,0,-0.01162103604490841,-36.0,5
67,67,2023-07-27,3,29,5071.0,5094.0,5046.0,5088.0,748900.0,5088.0,0.0,0.0,0.0,0.0,0.0,22800.0,62400.0,10.0,1,0.001961553550411926,-17.0,5
68,68,2023-07-26,2,29,5100.0,5114.0,5070.0,5098.0,842500.0,5098.0,0.0,0.0,0.0,0.0,0.0,19600.0,62800.0,-18.0,0,-0.003543307086614173,2.0,5
69,69,2023-07-25,1,29,5054.0,5080.0,5044.0,5080.0,727800.0,5080.0,0.0,0.0,0.0,0.0,0.0,16600.0,65800.0,-20.0,0,-0.003952569169960474,-26.0,5
70,70,2023-07-24,0,29,5079.0,5084.0,5049.0,5060.0,899700.0,5060.0,0.0,0.0,0.0,0.0,0.0,16900.0,65500.0,4.0,1,0.0007898894154818325,19.0,5
