,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-16,0.00,0,32600,21500
1,2023-10-13,0,0,31100,27500
2,2023-10-12,0.00,0,43000,33100
3,2023-10-11,0,0,29500,27400
4,2023-10-10,0.00,0,34500,25100
5,2023-10-06,0.00,0,29900,22200
6,2023-10-05,0.00,0,28500,21500
7,2023-10-04,0,0,24100,28200
8,2023-10-03,0.00,0,31100,27200
9,2023-10-02,0.00,0,47700,45400
10,2023-09-29,0.00,0,35900,34500
11,2023-09-28,0.00,0,38000,37000
12,2023-09-27,0.00,0,38000,38000
13,2023-09-26,0.00,0,40300,40300
14,2023-09-25,0.00,0,41300,40000
15,2023-09-22,0.00,0,50000,46700
16,2023-09-21,0.00,0,41600,39900
17,2023-09-20,0.00,0,47000,41900
18,2023-09-19,0.00,0,47300,41100
19,2023-09-15,0.00,0,39700,34800
