,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,5229,5242,5174,5207,746900,5207,0,0,0,0,0,0,0
1,2023-10-16,0,5140,5193,5128,5187,818500,5187,0,0,0,0,0,32600,21500
2,2023-10-13,4,5165,5186,5121,5140,844800,5140,73200,727900,9.94,0,0,31100,27500
3,2023-10-12,3,5134,5194,5125,5186,842400,5186,0,0,0,0,0,43000,33100
4,2023-10-11,2,5074,5114,5032,5079,1014700,5079,0,0,0,0,0,29500,27400
5,2023-10-10,1,5051,5098,5051,5086,1052800,5086,0,0,0,0,0,34500,25100
6,2023-10-06,4,5032,5044,5002,5011,998700,5011,73200,672000,9.18,0,0,29900,22200
7,2023-10-05,3,4996,5037,4951,5023,1211000,5023,0,0,0,0,0,28500,21500
8,2023-10-04,2,5052,5082,4965,4966,1578600,4966,0,0,0,0,0,24100,28200
9,2023-10-03,1,5239,5249,5132,5147,970100,5147,0,0,0,0,0,31100,27200
10,2023-10-02,0,5257,5342,5257,5260,803500,5260,0,0,0,0,0,47700,45400
11,2023-09-29,4,5270,5281,5230,5244,829000,5244,102500,624300,6.09,0,0,35900,34500
12,2023-09-28,3,5290,5327,5264,5286,859100,5286,0,0,0,0,0,38000,37000
13,2023-09-27,2,5332,5341,5268,5295,1059300,5295,0,0,0,0,0,38000,38000
14,2023-09-26,1,5393,5393,5340,5345,591500,5345,0,0,0,0,0,40300,40300
15,2023-09-25,0,5395,5400,5359,5373,647300,5373,0,0,0,0,0,41300,40000
16,2023-09-22,4,5335,5380,5315,5350,988400,5350,138800,604400,4.35,0,0,50000,46700
17,2023-09-21,3,5423,5484,5385,5394,1347700,5394,0,0,0,0,0,41600,39900
18,2023-09-20,2,5399,5429,5380,5409,1425300,5409,0,0,0,0,0,47000,41900
19,2023-09-19,1,5327,5398,5322,5380,1203800,5380,0,0,0,0,0,47300,41100
20,2023-09-15,4,5290,5345,5280,5316,1732400,5316,138300,636700,4.6,0,0,39700,34800
21,2023-09-14,3,5200,5279,5195,5269,1274200,5269,0,0,0,0,0,40400,33700
22,2023-09-13,2,5212,5229,5186,5206,728900,5206,0,0,0,0,0,36900,31100
23,2023-09-12,1,5170,5198,5152,5198,831400,5198,0,0,0,0,0,33700,30700
24,2023-09-11,0,5241,5241,5165,5177,876600,5177,0,0,0,0,0,32100,29600
25,2023-09-08,4,5288,5288,5202,5214,1150200,5214,116500,707900,6.08,0,0,31900,29400
26,2023-09-07,3,5250,5289,5236,5265,1161200,5265,0,0,0,0,0,33600,25800
27,2023-09-06,2,5172,5279,5172,5235,1186700,5235,0,0,0,0,0,32800,25600
28,2023-09-05,1,5194,5206,5168,5198,791700,5198,0,0,0,0,0,28000,33700
29,2023-09-04,0,5175,5178,5147,5178,1048200,5178,0,0,0,0,0,45000,37000
30,2023-09-01,4,5124,5164,5104,5153,1120500,5153,107100,787400,7.35,0,0,29900,22100
31,2023-08-31,3,5065,5113,5054,5113,2156900,5113,0,0,0,0,0,22700,17400
32,2023-08-30,2,5039,5067,5034,5066,837300,5066,0,0,0,0,0,23400,17500
33,2023-08-29,1,5033,5069,5027,5061,821100,5061,0,0,0,0,0,22400,18800
34,2023-08-28,0,4981,5034,4980,5034,1224100,5034,0,0,0,0,0,24200,18500
35,2023-08-25,4,4950,4987,4942,4968,883800,4968,85800,914200,10.66,0,0,16200,22000
36,2023-08-24,3,4945,4968,4932,4964,903200,4964,0,0,0,0,0,16200,21200
37,2023-08-23,2,4896,4959,4883,4959,880800,4959,0,0,0,0,0,17200,21500
38,2023-08-22,1,4889,4902,4848,4902,1008900,4902,0,0,0,0,0,8700,23700
39,2023-08-21,0,4861,4916,4846,4876,1702800,4876,0,0,0,0,0,12800,39500
40,2023-08-18,4,4748,4781,4736,4773,884600,4773,66800,1005700,15.06,0,0,200,36300
41,2023-08-17,3,4826,4831,4721,4778,1423200,4778,0,0,0,0,0,200,36300
42,2023-08-16,2,4862,4862,4819,4827,890100,4827,0,0,0,0,0,2900,36000
43,2023-08-15,1,4949,4954,4879,4888,1054400,4888,0,0,0,0,0,7800,46700
44,2023-08-14,0,4845,4927,4800,4926,2176300,4926,0,0,0,0,0,11800,46500
45,2023-08-10,3,4836,4844,4816,4836,2078300,4836,65400,1122400,17.16,0,0,3600,69700
46,2023-08-09,2,4844,4861,4814,4831,1523800,4831,0,0,0,0,0,4200,69200
47,2023-08-08,1,4882,4888,4845,4854,1403900,4854,0,0,0,0,0,5000,65400
48,2023-08-07,0,4847,4862,4824,4845,1433000,4845,0,0,0,0,0,5200,64800
49,2023-08-04,4,4895,4900,4843,4859,2719600,4859,77400,1099400,14.2,0,0,7400,60400
50,2023-08-03,3,4910,5004,4888,4965,3058300,4965,0,0,0,0,0,13200,53000
51,2023-08-02,2,5134,5182,5113,5162,1421300,5162,0,0,0,0,0,29900,49000
52,2023-08-01,1,5110,5152,5101,5140,1118900,5140,0,0,0,0,0,23700,53700
53,2023-07-31,0,5100,5145,5089,5136,1281800,5136,0,0,0,0,0,55400,56000
54,2023-07-28,4,5052,5077,5011,5077,2632900,5077,126300,1091200,8.64,0,0,46100,61600
55,2023-07-27,3,5071,5094,5046,5088,748900,5088,0,0,0,0,0,22800,62400
56,2023-07-26,2,5100,5114,5070,5098,842500,5098,0,0,0,0,0,19600,62800
57,2023-07-25,1,5054,5080,5044,5080,727800,5080,0,0,0,0,0,16600,65800
58,2023-07-24,0,5079,5084,5049,5060,899700,5060,0,0,0,0,0,16900,65500
59,2023-07-21,4,5031,5064,5007,5064,1166900,5064,105200,1165200,11.08,0,0,18100,69400
60,2023-07-20,3,5022,5031,4990,4997,883900,4997,0,0,0,0,0,11600,72300
61,2023-07-19,2,4985,5002,4963,5002,932800,5002,0,0,0,0,0,11800,73000
62,2023-07-18,1,4921,4959,4918,4959,824000,4959,0,0,0,0,0,12400,75600
63,2023-07-14,4,4893,4929,4880,4921,913200,4921,94300,1237400,13.12,0,0,8600,75500
64,2023-07-13,3,4898,4904,4865,4893,1305100,4893,0,0,0,0,0,7500,70500
65,2023-07-12,2,4883,4898,4818,4880,1641700,4880,0,0,0,0,0,7000,70200
66,2023-07-11,1,4951,4955,4885,4897,1151100,4897,0,0,0,0,0,7000,66100
67,2023-07-10,0,4976,4980,4901,4918,1402900,4918,0,0,0,0,0,8500,58900
68,2023-07-07,4,4959,4987,4921,4959,1294900,4959,102000,1113600,10.92,0,0,11900,53200
69,2023-07-06,3,5050,5054,4986,5002,1371600,5002,0,0,0,0,0,15100,53400
70,2023-07-05,2,5079,5080,5034,5061,1610900,5061,0,0,0,0,0,17400,56800
71,2023-07-04,1,5184,5187,5131,5131,925500,5131,0,0,0,0,0,22700,55300
72,2023-07-03,0,5180,5199,5175,5176,904000,5176,0,0,0,0,0,30000,43200
73,2023-06-30,4,5170,5181,5131,5163,1440500,5163,143800,898400,6.25,0,0,27200,77500
74,2023-06-29,3,5250,5254,5140,5166,2155400,5166,0,0,0,0,1,268300,170200
75,2023-06-28,2,5249,5360,5244,5355,2488800,5355,0,0,0,14.1,3,563600,40100
76,2023-06-27,1,5255,5255,5191,5221,967200,5221,0,0,0,0.1,1,279400,96500
77,2023-06-26,0,5249,5266,5218,5234,1013500,5234,0,0,0,0.1,1,280300,99900
78,2023-06-23,4,5247,5274,5208,5222,1070400,5222,356100,731300,2.05,0.1,1,275000,111700
79,2023-06-22,3,5218,5260,5211,5254,1025800,5254,0,0,0,0.1,1,273300,86300
80,2023-06-21,2,5210,5224,5187,5209,1213300,5209,0,0,0,0.15,3,173600,77700
81,2023-06-20,1,5231,5240,5191,5224,1038400,5224,0,0,0,0,0,34800,50900
82,2023-06-19,0,5280,5288,5232,5250,903700,5250,0,0,0,0,0,40700,48000
83,2023-06-16,4,5279,5279,5241,5256,1486700,5256,122100,689200,5.64,0,0,34700,38000
84,2023-06-15,3,5250,5292,5210,5274,1294100,5274,0,0,0,0,0,37700,40500
85,2023-06-14,2,5271,5285,5225,5254,1306900,5254,0,0,0,0,0,36900,55400
86,2023-06-13,1,5271,5277,5239,5262,1526100,5262,0,0,0,0,0,43100,43100
87,2023-06-12,0,5234,5265,5215,5261,953800,5261,0,0,0,0,0,39200,39200
88,2023-06-09,4,5189,5212,5149,5212,1277900,5212,124800,623800,5,0,0,39400,39400
89,2023-06-08,3,5201,5204,5120,5143,1056600,5143,0,0,0,0,0,28900,33100
90,2023-06-07,2,5199,5217,5135,5167,1650800,5167,0,0,0,0,0,36400,36400
91,2023-06-06,1,5140,5156,5097,5155,1290100,5155,0,0,0,0,0,28200,35900
92,2023-06-05,0,5182,5199,5143,5165,1490900,5165,0,0,0,0,0,32700,32700
93,2023-06-02,4,5140,5150,5110,5150,1063600,5150,110400,556200,5.04,0,0,31700,31700
94,2023-06-01,3,5040,5110,5030,5100,1505300,5100,0,0,0,0,0,33700,38600
95,2023-05-31,2,5130,5140,5090,5090,2658600,5090,0,0,0,0,0,31800,33300
96,2023-05-30,1,5130,5150,5100,5140,926000,5140,0,0,0,0,0,20300,31000
97,2023-05-29,0,5110,5170,5110,5130,910700,5130,0,0,0,0,0,20000,31300
98,2023-05-26,4,5140,5150,5070,5070,832200,5070,96300,613100,6.37,0,0,13500,35200
99,2023-05-25,3,5050,5120,5040,5110,1052700,5110,0,0,0,0,0,29900,36300
100,2023-05-24,2,5000,5030,4980,5030,931100,5030,0,0,0,0,0,19400,34900
101,2023-05-23,1,5070,5100,4995,5020,1319600,5020,0,0,0,0,0,18200,52500
102,2023-05-22,0,5000,5050,4990,5040,857900,5040,0,0,0,0,0,44000,55200
103,2023-05-19,4,5020,5030,4990,5000,785200,5000,90900,619400,6.81,0,0,29000,45800
104,2023-05-18,3,4970,5010,4935,5010,1375200,5010,0,0,0,0,0,29000,43600
105,2023-05-17,2,4990,5020,4945,4950,1334800,4950,0,0,0,0,0,30600,51500
106,2023-05-16,1,5020,5050,4960,4990,1803000,4990,0,0,0,0,0,42200,48700
107,2023-05-15,0,5070,5100,4990,5010,2234800,5010,0,0,0,0,0,39600,58300
108,2023-05-12,4,5170,5180,5110,5110,1384200,5110,105000,515600,4.91,0,0,48000,48000
109,2023-05-11,3,5170,5190,5130,5140,1147700,5140,0,0,0,0,0,63300,63300
