,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-23,6081,6163,6070,6107,985800,6107,0,0,0,0,0,0,0
1,2023-08-22,6078,6098,6044,6066,566200,6066,0,0,0,-,-,100,47500
2,2023-08-21,6075,6116,6054,6089,662200,6089,0,0,0,-,-,100,47000
3,2023-08-18,6073,6093,6031,6050,797300,6050,79000,1763600,22.32,-,-,1100,47200
4,2023-08-17,6145,6174,6087,6122,947500,6122,0,0,0,-,-,1100,47000
5,2023-08-16,6112,6170,6085,6145,1106400,6145,0,0,0,-,-,4700,47300
6,2023-08-15,6100,6158,6057,6156,940900,6156,0,0,0,-,-,4700,47200
7,2023-08-14,6164,6200,6083,6091,1289400,6091,0,0,0,-,-,1100,47500
8,2023-08-10,6078,6165,6056,6164,1786000,6164,134400,1897400,14.12,-,-,7100,47300
9,2023-08-09,5977,6091,5945,6023,1528400,6023,0,0,0,-,-,600,49400
10,2023-08-08,5894,5980,5879,5975,1451900,5975,0,0,0,-,-,100,50600
11,2023-08-07,5835,5869,5792,5860,675000,5860,0,0,0,-,-,100,51200
12,2023-08-04,5800,5852,5791,5837,924600,5837,66700,2277400,34.14,-,-,11800,55300
13,2023-08-03,5875,5907,5830,5835,1389500,5835,0,0,0,-,-,100,55500
14,2023-08-02,5900,5997,5888,5924,2690100,5924,0,0,0,-,-,5000,52100
15,2023-08-01,5858,5899,5835,5899,1260500,5899,0,0,0,-,-,0,53200
16,2023-07-31,5845,5896,5814,5843,1336000,5843,0,0,0,-,-,0,54500
17,2023-07-28,5724,5799,5703,5781,1310000,5781,53000,2388100,45.06,-,-,100,55800
18,2023-07-27,5750,5769,5723,5767,993500,5767,0,0,0,-,-,0,50800
19,2023-07-26,5720,5733,5666,5728,1300200,5728,0,0,0,-,-,0,56000
20,2023-07-25,5740,5744,5714,5728,836900,5728,0,0,0,-,-,0,59600
21,2023-07-24,5725,5756,5712,5721,956300,5721,0,0,0,-,-,0,62400
22,2023-07-21,5753,5757,5703,5712,1450700,5712,64500,2378400,36.87,-,-,3600,62000
23,2023-07-20,5775,5800,5747,5775,1124100,5775,0,0,0,-,-,3900,48700
24,2023-07-19,5717,5747,5683,5746,1136400,5746,0,0,0,-,-,1000,55900
25,2023-07-18,5719,5743,5650,5657,1339300,5657,0,0,0,-,-,200,53700
26,2023-07-14,5827,5859,5739,5739,1299500,5739,67400,2307100,34.23,-,-,0,52000
27,2023-07-13,5840,5840,5781,5827,1095600,5827,0,0,0,-,-,0,40400
28,2023-07-12,5880,5889,5835,5849,765100,5849,0,0,0,-,-,2500,39400
29,2023-07-11,5850,5875,5817,5835,863800,5835,0,0,0,-,-,0,39100
30,2023-07-10,5861,5863,5811,5826,1053200,5826,0,0,0,-,-,3000,38100
31,2023-07-07,5850,5911,5811,5843,1080700,5843,77700,2114800,27.22,-,-,5700,44900
32,2023-07-06,5869,5895,5812,5843,1206600,5843,0,0,0,-,-,3900,48900
33,2023-07-05,5930,5937,5837,5840,1813900,5840,0,0,0,-,-,200,46400
34,2023-07-04,5995,6013,5944,5944,1015200,5944,0,0,0,-,-,2500,34600
35,2023-07-03,6010,6034,5993,6006,939300,6006,0,0,0,-,-,0,34900
36,2023-06-30,6024,6045,5957,5990,1351400,5990,68700,1895600,27.59,-,-,0,34400
37,2023-06-29,6078,6127,6030,6048,938400,6048,0,0,0,-,-,1700,32900
38,2023-06-28,6016,6070,6004,6070,1046900,6070,0,0,0,-,-,0,32300
39,2023-06-27,6029,6055,5992,6028,870700,6028,0,0,0,-,-,1700,32500
40,2023-06-26,6063,6070,5940,5989,1052600,5989,0,0,0,-,-,0,40200
41,2023-06-23,6052,6115,6023,6063,1151200,6063,82700,1840400,22.25,-,-,4600,38400
42,2023-06-22,6054,6121,6029,6051,1065500,6051,0,0,0,0,0,5500,36500
43,2023-06-21,5912,6045,5912,6042,1347500,6042,0,0,0,0,0,0,34800
44,2023-06-20,5920,5935,5882,5912,926400,5912,0,0,0,0,0,1700,36600
45,2023-06-19,5987,5987,5912,5948,837600,5948,0,0,0,0,0,2500,36400
46,2023-06-16,5949,5959,5904,5953,1570300,5953,68600,1957500,28.53,0,0,0,35500
47,2023-06-15,6006,6034,5972,5972,1061600,5972,0,0,0,0,0,400,36100
48,2023-06-14,5973,6032,5960,6018,980200,6018,0,0,0,0,0,100,34500
49,2023-06-13,5985,6034,5951,5964,1215800,5964,0,0,0,0,0,300,34700
50,2023-06-12,5964,5999,5929,5995,993900,5995,0,0,0,0,0,200,17800
51,2023-06-09,5968,5999,5936,5987,1265600,5987,77300,1892200,24.48,0,0,200,14900
52,2023-06-08,5961,6052,5954,5987,1275600,5987,0,0,0,0,0,0,13000
53,2023-06-07,5960,5999,5890,5927,1673000,5927,0,0,0,0,0,0,15700
54,2023-06-06,5899,5961,5860,5957,1065500,5957,0,0,0,0,0,0,13900
55,2023-06-05,5892,5899,5856,5899,996900,5899,0,0,0,0,0,0,17700
56,2023-06-02,5820,5850,5792,5848,946300,5848,72500,1979700,27.31,0,0,0,19300
57,2023-06-01,5841,5891,5802,5820,1064800,5820,0,0,0,0,0,0,18500
58,2023-05-31,5849,5871,5797,5841,2597000,5841,0,0,0,0,0,0,23300
59,2023-05-30,5947,5956,5838,5898,1090400,5898,0,0,0,0,0,0,14000
60,2023-05-29,5997,6006,5948,5960,844600,5960,0,0,0,0,0,0,19100
61,2023-05-26,5898,6009,5886,5983,1328500,5983,115800,1822100,15.73,0,0,0,20000
62,2023-05-25,5900,5958,5854,5856,1431200,5856,0,0,0,0,0,100,16700
63,2023-05-24,6098,6101,5935,5939,1907500,5939,0,0,0,0,0,100,16400
64,2023-05-23,6200,6207,6062,6101,1813200,6101,0,0,0,0,0,1500,30100
65,2023-05-22,6086,6227,6081,6222,1359500,6222,0,0,0,0,0,600,30500
66,2023-05-19,6191,6206,6057,6074,1910500,6074,128700,1789400,13.9,0,0,0,28000
67,2023-05-18,6341,6350,6203,6213,2287000,6213,0,0,0,0,0,2600,57300
68,2023-05-17,6190,6315,6180,6315,1659100,6315,0,0,0,0,0,11200,19700
69,2023-05-16,6144,6192,6115,6191,1486300,6191,0,0,0,0,0,4100,19400
