,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,5550,5566,5461,5471,1767100,5471,0,0,0,0,0,0,0
1,2023-10-16,0,5609,5609,5487,5506,2322600,5506,0,0,0,0,0,2100,72300
2,2023-10-13,4,5680,5686,5605,5632,1747500,5632,58200,2017000,34.66,0,0,4700,66700
3,2023-10-12,3,5750,5751,5659,5702,2098600,5702,0,0,0,0,0,200,73900
4,2023-10-11,2,5833,5839,5754,5755,1442600,5755,0,0,0,0,0,100,64100
5,2023-10-10,1,5846,5867,5806,5819,1171400,5819,0,0,0,0,0,200,62700
6,2023-10-06,4,5876,5886,5802,5807,1574500,5807,57600,1641300,28.49,0,0,2400,63300
7,2023-10-05,3,5844,5892,5793,5857,1262000,5857,0,0,0,0,0,200,61000
8,2023-10-04,2,5890,5928,5802,5802,1814500,5802,0,0,0,0,0,100,79800
9,2023-10-03,1,6091,6100,5924,5936,1604800,5936,0,0,0,0,0,100,72000
10,2023-10-02,0,6202,6248,6106,6114,1224300,6114,0,0,0,0,0,200,64100
11,2023-09-29,4,6282,6309,6137,6185,1892000,6185,80900,1382200,17.09,0,0,200,65500
12,2023-09-28,3,6440,6440,6284,6293,1739200,6293,0,0,0,0,0,400,61200
13,2023-09-27,2,6500,6531,6441,6522,1175000,6522,0,0,0,0,0,3300,51900
14,2023-09-26,1,6526,6568,6482,6529,684400,6529,0,0,0,0,0,10800,54900
15,2023-09-25,0,6501,6551,6501,6509,803000,6509,0,0,0,0,0,11400,56600
16,2023-09-22,4,6500,6536,6462,6497,638000,6497,148100,1211300,8.18,0,0,9200,75700
17,2023-09-21,3,6580,6585,6514,6518,839600,6518,0,0,0,0,0,13000,77800
18,2023-09-20,2,6580,6610,6536,6591,844700,6591,0,0,0,0,0,9200,76500
19,2023-09-19,1,6596,6600,6514,6570,1083100,6570,0,0,0,0,0,10400,74100
20,2023-09-15,4,6569,6630,6519,6605,1535600,6605,144500,1178400,8.16,0,0,9700,72100
21,2023-09-14,3,6539,6570,6493,6537,909200,6537,0,0,0,0,0,9700,74900
22,2023-09-13,2,6416,6512,6401,6501,984500,6501,0,0,0,0,0,18500,75000
23,2023-09-12,1,6375,6445,6357,6378,894200,6378,0,0,0,0,0,10300,75300
24,2023-09-11,0,6443,6461,6331,6344,1050400,6344,0,0,0,0,0,7600,75000
25,2023-09-08,4,6457,6485,6382,6390,1428600,6390,174500,1265100,7.25,0,0,15800,70800
26,2023-09-07,3,6450,6517,6433,6507,2133400,6507,0,0,0,0,0,50900,44100
27,2023-09-06,2,6449,6455,6382,6411,1144600,6411,0,0,0,0,0,17600,44200
28,2023-09-05,1,6390,6449,6374,6439,1180900,6439,0,0,0,0,0,35400,44300
29,2023-09-04,0,6403,6411,6356,6392,1217200,6392,0,0,0,0,0,17500,45600
30,2023-09-01,4,6242,6373,6240,6362,1493600,6362,263700,1397000,5.3,0,0,5400,44900
31,2023-08-31,3,6149,6318,6149,6304,2730100,6304,0,0,0,0,1,53.3,45.4
32,2023-08-30,2,6092,6158,6086,6140,1001400,6140,0,0,0,0,0,6400,44900
33,2023-08-29,1,6065,6128,6065,6121,1106000,6121,0,0,0,0,0,6400,44900
34,2023-08-28,0,6060,6073,5965,6022,1321900,6022,0,0,0,0,0,6400,52400
35,2023-08-25,4,6087,6105,6056,6071,704100,6071,88500,1727900,19.52,0,0,4100,48900
36,2023-08-24,3,6095,6134,6086,6101,689600,6101,0,0,0,0,0,2700,45400
37,2023-08-23,2,6081,6163,6070,6107,985800,6107,0,0,0,0,0,2700,47100
38,2023-08-22,1,6078,6098,6044,6066,566200,6066,0,0,0,0,0,100,47500
39,2023-08-21,0,6075,6116,6054,6089,662200,6089,0,0,0,0,0,100,47000
