,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,2775,2844,2640,2673,14632600,2673,0,0,0,0,0,0,0,52,1,0.0190825688073395,102
1,2023-11-01,2,43,2688,2733,2682.5,2725,4616700,2725,0,0,0,0,0,136700,111500,-165.5,0,-0.0646610666145732,-37
2,2023-10-31,1,43,2569.5,2576,2510,2559.5,2764500,2559.5,0,0,0,0,0,108600,81000,-7.5,0,-0.00293887147335423,10
3,2023-10-30,0,43,2597.5,2603.5,2539,2552,2841200,2552,0,0,0,0,0,110900,135400,93.5,1,0.0353430353430353,45.5
4,2023-10-27,4,42,2643.5,2656,2626.5,2645.5,2267000,2645.5,444300,3717300,8.37,0,0,144900,122700,-10,0,-0.0037943464238285,-2
5,2023-10-26,3,42,2670,2673.5,2622,2635.5,1973000,2635.5,0,0,0,0,0,163500,139700,32.5,1,0.0121814092953523,34.5
6,2023-10-25,2,42,2691.5,2715,2654.5,2668,2332800,2668,0,0,0,0,0,147400,128100,-10.5,0,-0.00395108184383819,23.5
7,2023-10-24,1,42,2673.5,2697.5,2612,2657.5,1706400,2657.5,0,0,0,0,0,146900,125500,10,1,0.00374882849109653,16
8,2023-10-23,0,42,2685,2691,2643,2667.5,1746400,2667.5,0,0,0,0,0,163200,142100,16,1,0.00596236258617477,17.5
9,2023-10-20,4,41,2690,2702.5,2650.5,2683.5,3238800,2683.5,453500,3635400,8.02,0,0,142800,122700,41,1,0.0150486327766563,6.5
10,2023-10-19,3,41,2749,2773.5,2718.5,2724.5,2460500,2724.5,0,0,0,0,0,132000,111900,82,1,0.0292178870479245,24.5
11,2023-10-18,2,41,2847.5,2850,2784,2806.5,1802100,2806.5,0,0,0,0,0,157200,137400,24.5,1,0.00865418580007065,41
12,2023-10-17,1,41,2854.5,2864,2805.5,2831,1892500,2831,0,0,0,0,0,155000,138300,-42.5,0,-0.0152411690873229,23.5
13,2023-10-16,0,41,2800,2811,2775.5,2788.5,1580700,2788.5,0,0,0,0,0,147000,130800,40,1,0.0141417712568499,11.5
14,2023-10-13,4,40,2846.5,2890.5,2815,2828.5,2855000,2828.5,483100,3436100,7.11,0,0,148500,131400,33.5,1,0.0117051013277428,18
15,2023-10-12,3,40,2870,2882,2851,2862,2264700,2862,0,0,0,0,0,165400,147400,-14,0,-0.00491573033707865,8
16,2023-10-11,2,40,2828,2862,2824.5,2848,2812700,2848,0,0,0,0,0,145200,125600,-45.5,0,-0.016235504014273,-20
17,2023-10-10,1,40,2751,2822,2751,2802.5,2925700,2802.5,0,0,0,0,0,155900,140200,-101.5,0,-0.0375786745649759,-51.5
18,2023-10-06,4,39,2681.5,2722,2662.5,2701,2418000,2701,441800,3405100,7.71,0,0,128200,111300,-5.5,0,-0.00204043776664812,-19.5
19,2023-10-05,3,39,2718.5,2732,2676,2695.5,3719400,2695.5,0,0,0,0,0,134500,118300,-58.5,0,-0.0221843003412969,23
20,2023-10-04,2,39,2702,2704.5,2633.5,2637,4803500,2637,0,0,0,0,0,127800,112500,159.5,1,0.0570355801895226,65
21,2023-10-03,1,39,2907,2911.5,2776,2796.5,3662100,2796.5,0,0,0,0,0,137800,124600,127,1,0.0434410808961861,110.5
22,2023-10-02,0,39,2955,2995,2923.5,2923.5,3936000,2923.5,0,0,0,0,0,173300,165200,-17.5,0,-0.00602202339986235,31.5
23,2023-09-29,4,38,2920,2925,2857,2906,5728500,2906,578300,2303300,3.98,0,0,194300,183800,19,1,0.0064957264957265,14
24,2023-09-28,3,38,2932,2955.5,2904.5,2925,2502000,2925,0,0,0,0,0,167800,156900,32,1,0.0108217788298952,7
25,2023-09-27,2,38,2934,2957,2881,2957,3477200,2957,0,0,0,0,0,184200,174900,11,1,0.00370619946091644,-23
26,2023-09-26,1,38,2968.5,2986,2937,2968,2911500,2968,0,0,0,0,0,202000,193900,-6,0,-0.00202565833896016,0.5
27,2023-09-25,0,38,2997,2999,2952.5,2962,1853300,2962,0,0,0,0,0,184400,175600,15,1,0.00503862949277796,35
28,2023-09-22,4,37,2969,2996.5,2934.5,2977,2898900,2977,591800,1153600,1.95,0,0,202000,194700,9,1,0.00301406563965171,-8
29,2023-09-21,3,37,3033,3058,2985.5,2986,3457100,2986,0,0,0,0,0,183800,177800,44,1,0.0145214521452145,47
30,2023-09-20,2,37,3105,3115,3030,3030,3054700,3030,0,0,0,0,0,215800,208700,64,1,0.0206851971557854,75
31,2023-09-19,1,37,3038,3100,3023,3094,3368200,3094,0,0,0,0,1,248400,223800,-50,0,-0.0164257555847569,-56
32,2023-09-15,4,36,3005,3073,3005,3044,3967100,3044,685800,1026900,1.5,0,1,243100,225000,-50.5,0,-0.0168698847502923,-39
33,2023-09-14,3,36,2954.5,2996,2950,2993.5,2758900,2993.5,0,0,0,0,1,277800,222900,-70.5,0,-0.0241190557646254,-39
34,2023-09-13,2,36,2930,2937.5,2908,2923,1967200,2923,0,0,0,0,0,185200,182200,11.5,1,0.00391889589367865,7
35,2023-09-12,1,36,2894.5,2949.5,2890.5,2934.5,2547400,2934.5,0,0,0,0,1,268700,195900,-73.5,0,-0.0256903180706047,-40
36,2023-09-11,0,36,2890.5,2905,2846,2861,2394100,2861,0,0,0,0,0,208000,206000,27.5,1,0.00952051237666609,29.5
37,2023-09-08,4,35,2922,2948,2887.5,2888.5,3193400,2888.5,624800,1215700,1.95,0,0,210800,207700,33.5,1,0.0114647501711157,33.5
38,2023-09-07,3,35,2940,2959.5,2905,2922,2583700,2922,0,0,0,0,1,219600,212700,20.5,1,0.00696686491079014,18
39,2023-09-06,2,35,2921.5,2963.5,2913.5,2942.5,2654500,2942.5,0,0,0,0,3,235900,216400,-49,0,-0.0169345083808536,-21
40,2023-09-05,1,35,2905,2908.5,2862.5,2893.5,2846600,2893.5,0,0,0,0,0,192900,188900,21,1,0.00720535254760679,11.5
41,2023-09-04,0,35,2823,2914.5,2818.5,2914.5,4026800,2914.5,0,0,0,0,0,202800,199300,-109,0,-0.0388522545000891,-91.5
42,2023-09-01,4,34,2794,2814,2790,2805.5,2788600,2805.5,626700,1354500,2.16,0,0,174400,167600,4,1,0.00142374087915999,-11.5
43,2023-08-31,3,34,2780,2817.5,2780,2809.5,4374300,2809.5,0,0,0,0,0,185000,178000,-56.5,0,-0.0205230657464584,-29.5
44,2023-08-30,2,34,2756,2773,2747,2753,2254800,2753,0,0,0,0,0,150800,140500,-10,0,-0.00364564345607,3
45,2023-08-29,1,34,2765,2772,2733,2743,2022800,2743,0,0,0,0,0,148300,137400,16.5,1,0.0059793440840732,22
46,2023-08-28,0,34,2730.5,2760,2718,2759.5,2931500,2759.5,0,0,0,0,0,167400,155000,-72,0,-0.0267906976744186,-29
47,2023-08-25,4,33,2653,2693,2652.5,2687.5,2083000,2687.5,543300,1602600,2.95,0,0,164000,150300,-8,0,-0.00298563164769547,-34.5
48,2023-08-24,3,33,2676,2686.5,2646,2679.5,2518300,2679.5,0,0,0,0,0,135500,119900,17.5,1,0.00648869113830182,-3.5
49,2023-08-23,2,33,2664.5,2700.5,2660.5,2697,2100200,2697,0,0,0,0,0,137500,122200,6.5,1,0.0024042907342334,-32.5
50,2023-08-22,1,33,2671.5,2706,2668.5,2703.5,2346200,2703.5,0,0,0,0,0,163100,149500,-69.5,0,-0.0263857251328778,-32
51,2023-08-21,0,33,2630,2662.5,2625,2634,1944200,2634,0,0,0,0,0,116500,98200,-6,0,-0.00228310502283105,-4
52,2023-08-18,4,32,2637.5,2656.5,2616.5,2628,2312900,2628,483500,1687000,3.49,0,0,118400,100200,29,1,0.0109145652992096,9.5
53,2023-08-17,3,32,2640,2680.5,2630.5,2657,3848400,2657,0,0,0,0,0,198600,180500,-57.5,0,-0.0221196383919985,-17
54,2023-08-16,2,32,2600,2619.5,2591,2599.5,1739800,2599.5,0,0,0,0,0,116400,94300,21,1,0.00801373783629079,0.5
55,2023-08-15,1,32,2627,2637,2615.5,2620.5,2014800,2620.5,0,0,0,0,0,122600,100300,-7.5,0,-0.00287026406429392,6.5
56,2023-08-14,0,32,2634,2660.5,2602.5,2613,1998200,2613,0,0,0,0,0,118800,95500,13,1,0.00495049504950495,21
57,2023-08-10,3,31,2568.5,2626,2568.5,2626,2406000,2626,520600,2212800,4.25,0,0,164800,139800,-58.5,0,-0.0227848101265823,-57.5
58,2023-08-09,2,31,2620,2621,2567.5,2567.5,2578800,2567.5,0,0,0,0,0,108900,83700,64,1,0.0243207296218887,52.5
59,2023-08-08,1,31,2633,2670,2627,2631.5,2327400,2631.5,0,0,0,0,0,129500,105300,-22,0,-0.00843073385706074,1.5
60,2023-08-07,0,31,2601.5,2623.5,2564,2609.5,3486100,2609.5,0,0,0,0,0,105300,78700,55,1,0.0206417714392944,-8
