,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,2536.0,2543.5,2501.5,2526.5,6735900.0,2526.5,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-10-16,2508.0,2517.0,2481.0,2514.0,7489900.0,2514.0,0.0,0.0,0.0,0.0,0,7900.0,201500.0
2,2023-10-13,2589.5,2597.0,2523.0,2526.5,9898400.0,2526.5,1080400.0,8471600.0,7.84,0.0,0,8000.0,205500.0
3,2023-10-12,2564.5,2591.0,2558.0,2582.0,10180700.0,2582.0,0.0,0.0,0.0,0.0,0,16900.0,202100.0
4,2023-10-11,2553.0,2560.5,2530.0,2545.5,7871800.0,2545.5,0.0,0.0,0.0,0.0,0,9000.0,206400.0
5,2023-10-10,2502.5,2554.5,2499.0,2552.0,11356600.0,2552.0,0.0,0.0,0.0,0.0,0,11500.0,229800.0
6,2023-10-06,2494.0,2509.5,2450.0,2490.5,8759100.0,2490.5,1073400.0,8509100.0,7.93,0.0,0,7600.0,240100.0
7,2023-10-05,2467.0,2503.0,2428.5,2503.0,13943500.0,2503.0,0.0,0.0,0.0,0.0,0,21800.0,255000.0
8,2023-10-04,2488.0,2504.0,2416.5,2423.5,17348600.0,2423.5,0.0,0.0,0.0,0.0,0,8600.0,262900.0
9,2023-10-03,2559.5,2566.0,2528.0,2536.5,9018100.0,2536.5,0.0,0.0,0.0,0.0,0,7100.0,253900.0
10,2023-10-02,2560.0,2608.5,2559.5,2567.0,11550100.0,2567.0,0.0,0.0,0.0,0.0,0,22300.0,294500.0
11,2023-09-29,2580.0,2583.0,2536.0,2541.0,14683000.0,2541.0,1172800.0,8610700.0,7.34,0.0,0,12100.0,423800.0
12,2023-09-28,2620.0,2644.0,2584.0,2598.5,13787000.0,2598.5,0.0,0.0,0.0,0.0,0,1012800.0,1477600.0
13,2023-09-27,2638.5,2653.0,2623.5,2653.0,12184800.0,2653.0,0.0,0.0,0.0,0.15,3,1684800.0,631100.0
14,2023-09-26,2654.5,2662.0,2614.0,2656.5,13529800.0,2656.5,0.0,0.0,0.0,0.0,0,1000200.0,899300.0
15,2023-09-25,2685.0,2685.5,2633.0,2636.5,14662200.0,2636.5,0.0,0.0,0.0,0.0,0,998500.0,896800.0
16,2023-09-22,2664.5,2724.5,2643.0,2710.5,17862400.0,2710.5,2391000.0,7177500.0,3.0,0.0,0,999600.0,918400.0
17,2023-09-21,2669.0,2719.0,2662.0,2674.5,18316500.0,2674.5,0.0,0.0,0.0,0.0,0,1053400.0,983600.0
18,2023-09-20,2690.0,2698.0,2637.5,2649.5,16368700.0,2649.5,0.0,0.0,0.0,0.0,0,999700.0,945700.0
19,2023-09-19,2636.5,2684.5,2635.0,2683.0,14556100.0,2683.0,0.0,0.0,0.0,0.0,1,1000100.0,852400.0
20,2023-09-15,2659.0,2711.0,2605.5,2640.0,27435600.0,2640.0,2547900.0,6613900.0,2.6,0.0,1,1006500.0,737700.0
21,2023-09-14,2648.5,2649.0,2626.0,2643.5,13180000.0,2643.5,0.0,0.0,0.0,0.0,1,998400.0,606500.0
22,2023-09-13,2600.5,2652.0,2599.5,2624.5,14810900.0,2624.5,0.0,0.0,0.0,0.0,0,10000.0,239200.0
23,2023-09-12,2590.0,2600.0,2557.5,2600.0,14155900.0,2600.0,0.0,0.0,0.0,0.0,0,11300.0,164100.0
