,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,1319,1325,1309.5,1319.5,5946700,1319.5,0,0,0,0,0,0,0
1,2023-10-16,0,1304.5,1316,1298.5,1311.5,6426800,1311.5,0,0,0,0,0,158500,158400
2,2023-10-13,4,1323,1331,1313.5,1314,10598200,1314,479500,2556000,5.33,0,0,160900,160800
3,2023-10-12,3,1325,1327.5,1313,1322,10178900,1322,0,0,0,0,0,157100,157000
4,2023-10-11,2,1346,1346,1326,1328,7873700,1328,0,0,0,0,0,156500,156400
5,2023-10-10,1,1333,1354.5,1325,1349,15241100,1349,0,0,0,0,0,201100,205800
6,2023-10-06,4,1325.5,1340.5,1309,1325,11997400,1325,579000,2380900,4.11,0,0,229000,228900
7,2023-10-05,3,1273,1317.5,1271,1315.5,11708400,1315.5,0,0,0,0,0,235800,235700
8,2023-10-04,2,1290,1301,1268.5,1269.5,13219700,1269.5,0,0,0,0,0,224200,224100
9,2023-10-03,1,1304.5,1311.5,1291.5,1294,8894000,1294,0,0,0,0,0,217000,216900
10,2023-10-02,0,1302,1330,1302,1311.5,9654900,1311.5,0,0,0,0,0,214400,214300
11,2023-09-29,4,1315,1319.5,1298,1301,9252800,1301,541100,2520300,4.66,0,0,213100,211100
12,2023-09-28,3,1324,1334.5,1318,1327.5,10010500,1327.5,0,0,0,0,0,232800,229800
13,2023-09-27,2,1323,1325.5,1308,1322.5,8343100,1322.5,0,0,0,0,0,291700,288200
14,2023-09-26,1,1320,1338,1319,1327,11036600,1327,0,0,0,0,0,215900,212500
15,2023-09-25,0,1323,1329.5,1312.5,1321,9011700,1321,0,0,0,0,0,279800,277000
16,2023-09-22,4,1316,1328.5,1303.5,1324.5,10485800,1324.5,597100,2797000,4.68,0,0,274200,274100
17,2023-09-21,3,1330.5,1352.5,1316,1321.5,13775300,1321.5,0,0,0,0,0,408900,408900
18,2023-09-20,2,1327.5,1341.5,1312,1319,15935000,1319,0,0,0,0,0,444600,444600
19,2023-09-19,1,1306,1327.5,1303.5,1321,12691000,1321,0,0,0,0,0,547600,547600
20,2023-09-15,4,1307.5,1337.5,1295,1308,27066200,1308,836900,2799900,3.35,0,0,542600,542600
21,2023-09-14,3,1291.5,1308,1288,1303,17692400,1303,0,0,0,0,0,510200,510200
22,2023-09-13,2,1263,1289,1258,1287.5,18981500,1287.5,0,0,0,0,0,633100,633100
23,2023-09-12,1,1250,1263.5,1243,1260.5,15749600,1260.5,0,0,0,0,1,565700,408300
24,2023-09-11,0,1216,1242,1210,1242,16772800,1242,0,0,0,0.05,1,750900,244300
25,2023-09-08,4,1200,1211.5,1192.5,1199.5,11167900,1199.5,1030800,1330400,1.29,0.05,1,806100,318900
26,2023-09-07,3,1202.5,1212.5,1200.5,1205,8435800,1205,0,0,0,0.05,1,945100,235300
27,2023-09-06,2,1184.5,1228,1184,1216.5,24239500,1216.5,0,0,0,0.15,3,818600,89800
28,2023-09-05,1,1183,1185,1172,1182.5,7451300,1182.5,0,0,0,0,1,431400,166100
29,2023-09-04,0,1180,1185,1177,1182,9584900,1182,0,0,0,0,1,440500,195200
30,2023-09-01,4,1170,1183,1169.5,1175.5,10626900,1175.5,733100,1289900,1.76,0,1,508500,160800
31,2023-08-31,3,1164,1172,1163,1168.5,9316500,1168.5,0,0,0,0,1,559800,217100
32,2023-08-30,2,1169.5,1171.5,1163.5,1167.5,6489800,1167.5,0,0,0,0,3,548000,227000
33,2023-08-29,1,1172.5,1176,1161.5,1165,6890200,1165,0,0,0,0,1,497800,232100
34,2023-08-28,0,1173.5,1175.5,1169,1170.5,4990900,1170.5,0,0,0,0,1,496100,198100
35,2023-08-25,4,1175.5,1179.5,1168.5,1171,5901400,1171,1014800,1518800,1.5,0,1,673300,317800
36,2023-08-24,3,1171,1178.5,1169,1175,7393400,1175,0,0,0,0.05,1,754800,305000
37,2023-08-23,2,1162.5,1170,1156,1170,6080700,1170,0,0,0,0.15,3,699400,297800
38,2023-08-22,1,1154,1172.5,1152.5,1172.5,11251800,1172.5,0,0,0,0.05,1,617700,180600
39,2023-08-21,0,1157,1157.5,1148,1153.5,6319200,1153.5,0,0,0,0,1,531300,330500
40,2023-08-18,4,1158.5,1164,1152,1161,10515400,1161,913700,1597200,1.75,0.05,1,484800,175200
41,2023-08-17,3,1135,1159,1132,1158,10387700,1158,0,0,0,0,1,333300,200400
42,2023-08-16,2,1141.5,1142.5,1128.5,1135,7923200,1135,0,0,0,0,3,431000,257100
43,2023-08-15,1,1137.5,1157,1136.5,1153.5,13224600,1153.5,0,0,0,0,1,467600,274400
44,2023-08-14,0,1151,1152,1123.5,1136,10572900,1136,0,0,0,0,1,302800,299400
45,2023-08-10,3,1138.5,1149.5,1132,1143.5,9015900,1143.5,707800,1850700,2.61,0,1,350200,300400
46,2023-08-09,2,1150,1150,1127.5,1132,8130700,1132,0,0,0,0,1,357100,314000
47,2023-08-08,1,1155,1158,1142.5,1143,8294500,1143,0,0,0,0,4,489000,306000
48,2023-08-07,0,1143,1155,1141.5,1147.5,6920400,1147.5,0,0,0,0,1,491500,337800
49,2023-08-04,4,1138,1149,1138,1144,6448000,1144,921100,1899200,2.06,0,1,515200,440500
50,2023-08-03,3,1144.5,1144.5,1137,1139.5,6728100,1139.5,0,0,0,0.05,1,713700,481600
51,2023-08-02,2,1151,1153,1135.5,1140,10568000,1140,0,0,0,0.15,3,892800,514600
