,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,1420,1427,1402.5,1415,11414600,1415,0,0,0,0,0,0,0,0,0,0,5
1,2023-11-01,2,43,1403,1415.5,1387,1415,17152100,1415,0,0,0,0,0,268100,249900,-15.5,0,-0.0110753840657378,-12
2,2023-10-31,1,43,1380,1426,1362,1399.5,38839400,1399.5,0,0,0,0,0,258500,236100,-49,0,-0.0362828582006664,-19.5
3,2023-10-30,0,43,1357,1392,1324,1350.5,170303900,1350.5,0,0,0,0,0,388000,383100,26,1,0.0188884852887759,6.5
4,2023-10-27,4,42,1337.5,1380,1335.5,1376.5,17980300,1376.5,409400,2599000,6.35,0,0,50000,67600,-39,0,-0.0291588785046729,-39
5,2023-10-26,3,42,1350,1352.5,1330,1337.5,10373500,1337.5,0,0,0,0,0,22600,65900,10,1,0.00742115027829314,12.5
6,2023-10-25,2,42,1331.5,1351.5,1328,1347.5,14072600,1347.5,0,0,0,0,0,53500,69100,-10.5,0,-0.00785340314136126,-16
7,2023-10-24,1,42,1342,1344.5,1322,1337,10345100,1337,0,0,0,0,0,71900,70200,6,1,0.00446760982874162,5
8,2023-10-23,0,42,1335,1355,1333.5,1343,10942900,1343,0,0,0,0,0,97800,94500,-9,0,-0.00674662668665667,-8
9,2023-10-20,4,41,1340,1351.5,1333,1334,10874100,1334,338700,2482000,7.33,0,0,42800,62300,1,1,0.000749063670411985,6
10,2023-10-19,3,41,1325.5,1336.5,1324.5,1335,5439000,1335,0,0,0,0,0,87600,78800,-3,0,-0.00225225225225225,-9.5
11,2023-10-18,2,41,1330,1339.5,1323,1332,6239300,1332,0,0,0,0,0,234200,226900,-12.5,0,-0.0094732853353543,-2
12,2023-10-17,1,41,1319,1325,1309.5,1319.5,5946700,1319.5,0,0,0,0,0,154900,154800,-8,0,-0.00609988562714449,-0.5
13,2023-10-16,0,41,1304.5,1316,1298.5,1311.5,6426800,1311.5,0,0,0,0,0,158500,158400,2.5,1,0.00190258751902588,-7
14,2023-10-13,4,40,1323,1331,1313.5,1314,10598200,1314,479500,2556000,5.33,0,0,160900,160800,8,1,0.00605143721633888,9
15,2023-10-12,3,40,1325,1327.5,1313,1322,10178900,1322,0,0,0,0,0,157100,157000,6,1,0.00451807228915663,3
16,2023-10-11,2,40,1346,1346,1326,1328,7873700,1328,0,0,0,0,0,156500,156400,21,1,0.0155670867309118,18
17,2023-10-10,1,40,1333,1354.5,1325,1349,15241100,1349,0,0,0,0,0,201100,205800,-24,0,-0.0181132075471698,-16
