,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,327000,334000,327000,332000,2472,332000,0,0,0,0,0,0,0
1,2023-10-16,0,334500,337000,327000,328000,4288,328000,0,0,0,5,1,450,160
2,2023-10-13,4,335000,338000,333500,334500,4653,334500,1025,456,0.44,10,1,672,68
3,2023-10-12,3,337500,337500,335000,335000,2880,335000,0,0,0,10,1,768,44
4,2023-10-11,2,335000,336500,333500,335000,3600,335000,0,0,0,30,3,639,43
5,2023-10-10,1,336000,336000,331000,334500,4962,334500,0,0,0,10,1,811,43
6,2023-10-06,4,339500,341500,334000,334500,4452,334500,1341,532,0.4,10,1,852,44
7,2023-10-05,3,336000,339500,335000,338500,4817,338500,0,0,0,10,1,862,44
8,2023-10-04,2,333000,336000,331500,334500,5751,334500,0,0,0,40,4,995,62
9,2023-10-03,1,335500,336000,331500,334000,3603,334000,0,0,0,10,1,1098,39
10,2023-10-02,0,337500,341500,332000,332000,4472,332000,0,0,0,10,1,1165,32
11,2023-09-29,4,333000,339500,332500,339000,4669,339000,2184,507,0.23,10,1,1329,37
12,2023-09-28,3,340000,340000,329500,329500,5742,329500,0,0,0,10,1,1191,39
13,2023-09-27,2,333500,340000,333500,339500,14538,339500,0,0,0,30,3,1816,39
14,2023-09-26,1,333500,336000,331000,333500,13410,333500,0,0,0,10,1,5841,23
15,2023-09-25,0,332000,334000,331000,331500,4243,331500,0,0,0,10,1,3856,105
16,2023-09-22,4,335000,335000,330500,331500,4891,331500,7530,1843,0.24,10,1,3624,142
17,2023-09-21,3,335000,337500,333500,336000,10367,336000,0,0,0,10,1,3766,106
18,2023-09-20,2,337000,339500,335500,336500,6916,336500,0,0,0,30,3,2843,116
19,2023-09-19,1,334000,339000,333500,339000,2700,339000,0,0,0,10,1,994,179
20,2023-09-15,4,332500,337000,331500,336000,4793,336000,1845,1145,0.62,5,1,552,177
21,2023-09-14,3,333000,336000,331500,333500,1988,333500,0,0,0,5,1,323,173
