,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,330000,333000,329000,333000,3575,333000,0,0,0,0,0,0,0,-6000,0,-0.018348623853211,-3000
1,2023-11-01,2,43,332000,334000,325000,327000,5478,327000,0,0,0,0,0,33,39,1500,1,0.0045662100456621,5000
2,2023-10-31,1,43,326000,331500,326000,328500,3543,328500,0,0,0,0,0,48,65,-1000,0,-0.00305343511450382,-2500
3,2023-10-30,0,43,329000,329500,325500,327500,2583,327500,0,0,0,0,0,67,60,4500,1,0.0135542168674699,1500
4,2023-10-27,4,42,329500,334000,327500,332000,5058,332000,206,503,2.44,0,0,125,149,-9000,0,-0.0278637770897833,-2500
5,2023-10-26,3,42,326500,329000,322000,323000,3784,323000,0,0,0,0,0,197,160,3500,1,0.0107197549770291,3500
6,2023-10-25,2,42,323500,327000,323000,326500,3391,326500,0,0,0,0,0,197,162,-3000,0,-0.00927357032457496,-3000
7,2023-10-24,1,42,325500,327500,323500,323500,4097,323500,0,0,0,0,0,208,173,1500,1,0.00461538461538462,2000
8,2023-10-23,0,42,331000,331500,324000,325000,2974,325000,0,0,0,0,0,216,179,6000,1,0.0181268882175227,6000
9,2023-10-20,4,41,333000,333000,330500,331000,2342,331000,383,520,1.36,0,1,271,180,3500,1,0.0104633781763827,2000
10,2023-10-19,3,41,335000,341000,333000,334500,4911,334500,0,0,0,0,1,248,175,-2500,0,-0.00753012048192771,500
11,2023-10-18,2,41,331000,334500,331000,332000,1694,332000,0,0,0,0,0,242,166,0,0,0,-1000
12,2023-10-17,1,41,327000,334000,327000,332000,2472,332000,0,0,0,5,1,448,155,-4000,0,-0.0121951219512195,-5000
13,2023-10-16,0,41,334500,337000,327000,328000,4288,328000,0,0,0,5,1,450,160,6500,1,0.0194319880418535,6500
14,2023-10-13,4,40,335000,338000,333500,334500,4653,334500,1025,456,0.44,10,1,672,68,500,1,0.00149253731343284,500
15,2023-10-12,3,40,337500,337500,335000,335000,2880,335000,0,0,0,10,1,768,44,0,0,0,2500
16,2023-10-11,2,40,335000,336500,333500,335000,3600,335000,0,0,0,30,3,639,43,-500,0,-0.00149476831091181,0
17,2023-10-10,1,40,336000,336000,331000,334500,4962,334500,0,0,0,10,1,811,43,0,0,0,1500
18,2023-10-06,4,39,339500,341500,334000,334500,4452,334500,1341,532,0.4,10,1,852,44,4000,1,0.0118168389955687,5000
19,2023-10-05,3,39,336000,339500,335000,338500,4817,338500,0,0,0,10,1,862,44,-4000,0,-0.0119581464872945,-2500
20,2023-10-04,2,39,333000,336000,331500,334500,5751,334500,0,0,0,40,4,995,62,-500,0,-0.00149700598802395,-1500
21,2023-10-03,1,39,335500,336000,331500,334000,3603,334000,0,0,0,10,1,1098,39,-2000,0,-0.00602409638554217,1500
22,2023-10-02,0,39,337500,341500,332000,332000,4472,332000,0,0,0,10,1,1165,32,7000,1,0.0206489675516224,5500
23,2023-09-29,4,38,333000,339500,332500,339000,4669,339000,2184,507,0.23,10,1,1329,37,-9500,0,-0.0288315629742033,-6000
24,2023-09-28,3,38,340000,340000,329500,329500,5742,329500,0,0,0,10,1,1191,39,10000,1,0.0294550810014728,10500
25,2023-09-27,2,38,333500,340000,333500,339500,14538,339500,0,0,0,30,3,1816,39,-6000,0,-0.0179910044977511,-6000
26,2023-09-26,1,38,333500,336000,331000,333500,13410,333500,0,0,0,10,1,5841,23,-2000,0,-0.00603318250377074,0
27,2023-09-25,0,38,332000,334000,331000,331500,4243,331500,0,0,0,10,1,3856,105,0,0,0,500
28,2023-09-22,4,37,335000,335000,330500,331500,4891,331500,7530,1843,0.24,10,1,3624,142,4500,1,0.0133928571428571,3500
29,2023-09-21,3,37,335000,337500,333500,336000,10367,336000,0,0,0,10,1,3766,106,500,1,0.00148588410104012,-1000
30,2023-09-20,2,37,337000,339500,335500,336500,6916,336500,0,0,0,30,3,2843,116,2500,1,0.00737463126843658,500
31,2023-09-19,1,37,334000,339000,333500,339000,2700,339000,0,0,0,10,1,994,179,-3000,0,-0.00892857142857143,-5000
32,2023-09-15,4,36,332500,337000,331500,336000,4793,336000,1845,1145,0.62,5,1,552,177,-2500,0,-0.00749625187406297,-3500
33,2023-09-14,3,36,333000,336000,331500,333500,1988,333500,0,0,0,5,1,323,173,-1000,0,-0.00300751879699248,-500
34,2023-09-13,2,36,332000,339500,331000,332500,3940,332500,0,0,0,20,4,241,67,7500,1,0.0220588235294118,-500
35,2023-09-12,1,36,341000,341500,338500,340000,1393,340000,0,0,0,0,0,11,39,2000,1,0.00584795321637427,1000
36,2023-09-11,0,36,343500,344500,338000,342000,2582,342000,0,0,0,0,0,10,39,1500,1,0.00436681222707424,1500
37,2023-09-08,4,35,343000,345000,340500,343500,4768,343500,60,400,6.67,0,0,10,46,1500,1,0.00434782608695652,-500
38,2023-09-07,3,35,345500,346500,342500,345000,3839,345000,0,0,0,0,0,8,46,500,1,0.00144717800289436,500
39,2023-09-06,2,35,349000,349000,343000,345500,3468,345500,0,0,0,0,0,9,46,4000,1,0.011444921316166,3500
40,2023-09-05,1,35,351500,351500,348500,349500,2814,349500,0,0,0,0,0,11,46,4000,1,0.0113154172560113,2000
41,2023-09-04,0,35,352000,353500,350500,353500,1709,353500,0,0,0,0,0,13,30,-2500,0,-0.00712250712250712,-1500
42,2023-09-01,4,34,349000,351000,346000,351000,2414,351000,100,359,3.59,0,0,14,46,-500,0,-0.0014265335235378,-2000
43,2023-08-31,3,34,360000,360000,349000,350500,3924,350500,0,0,0,0,0,9,87,9500,1,0.0263888888888889,9500
44,2023-08-30,2,34,361500,361500,357500,360000,2161,360000,0,0,0,30,3,57,39,1500,1,0.004149377593361,1500
45,2023-08-29,1,34,356500,361500,356500,361500,2847,361500,0,0,0,10,1,57,16,-6000,0,-0.0168776371308017,-5000
46,2023-08-28,0,34,355500,356500,354500,355500,1871,355500,0,0,0,10,1,50,26,0,0,0,0
47,2023-08-25,4,33,351000,355500,349000,355500,2026,355500,123,228,1.85,10,1,53,25,-5500,0,-0.0157142857142857,-4500
48,2023-08-24,3,33,351500,352000,348000,350000,1528,350000,0,0,0,0,0,27,27,0,0,0,1500
49,2023-08-23,2,33,345500,350000,344000,350000,2778,350000,0,0,0,15,3,33,26,-5000,0,-0.0144927536231884,-4500
50,2023-08-22,1,33,340500,345500,340000,345000,3093,345000,0,0,0,0,0,27,27,-6000,0,-0.0176991150442478,-4500
51,2023-08-21,0,33,336500,341500,336500,339000,3790,339000,0,0,0,0,0,4,26,-3000,0,-0.00892857142857143,-2500
