,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,1068,1094,1056,1069,363500,1069,0,0,0,0,0,0,0
1,2023-10-16,0,1127,1127,1026,1045,839300,1045,0,0,0,0.05,1,790100,113500
2,2023-10-13,4,1180,1183,1132,1141,360400,1141,1414000,843200,0.6,0.7,1,820600,98700
3,2023-10-12,3,1130,1193,1118,1183,486900,1183,0,0,0,0.05,1,850500,101700
4,2023-10-11,2,1116,1153,1115,1144,306300,1144,0,0,0,3,3,868500,105700
5,2023-10-10,1,1161,1168,1117,1121,431500,1121,0,0,0,0.05,1,839700,95400
6,2023-10-06,4,1179,1190,1137,1161,579400,1161,1434900,849900,0.59,0.05,1,834300,104800
7,2023-10-05,3,1100,1149,1075,1147,697900,1147,0,0,0,0.05,1,939700,100100
8,2023-10-04,2,1076,1119,1071,1087,672100,1087,0,0,0,0.2,4,951000,89900
9,2023-10-03,1,1120,1135,1089,1094,666800,1094,0,0,0,3.9,1,970800,111800
10,2023-10-02,0,1192,1197,1138,1139,772100,1139,0,0,0,0.5,1,956000,122200
11,2023-09-29,4,1211,1221,1182,1187,608900,1187,1553900,892000,0.57,0.05,1,932200,134600
12,2023-09-28,3,1237,1247,1202,1210,475900,1210,0,0,0,0.75,1,960900,130100
13,2023-09-27,2,1229,1260,1218,1259,547800,1259,0,0,0,1.8,3,1010100,137600
14,2023-09-26,1,1306,1318,1248,1248,455200,1248,0,0,0,0.05,1,942200,144200
15,2023-09-25,0,1295,1337,1292,1309,324300,1309,0,0,0,0.05,1,896400,133000
16,2023-09-22,4,1306,1325,1291,1301,485300,1301,1452600,840500,0.58,0.05,1,878300,134000
17,2023-09-21,3,1352,1372,1325,1335,317000,1335,0,0,0,0.05,1,886100,134800
18,2023-09-20,2,1379,1399,1354,1373,325300,1373,0,0,0,0.15,3,902600,114000
19,2023-09-19,1,1348,1382,1332,1380,377000,1380,0,0,0,0.05,1,914000,119000
20,2023-09-15,4,1385,1389,1354,1378,514100,1378,1452400,826900,0.57,0.05,1,891300,108100
21,2023-09-14,3,1461,1475,1395,1395,622100,1395,0,0,0,0.05,1,880500,122400
22,2023-09-13,2,1426,1467,1415,1457,408900,1457,0,0,0,0.2,4,896500,107900
23,2023-09-12,1,1393,1434,1376,1430,487000,1430,0,0,0,0.05,1,904200,116700
24,2023-09-11,0,1404,1414,1382,1400,520500,1400,0,0,0,0.05,1,949300,113300
25,2023-09-08,4,1436,1448,1409,1428,536100,1428,1490200,788000,0.53,0.05,1,945800,111800
26,2023-09-07,3,1476,1486,1442,1447,444200,1447,0,0,0,0.05,1,966800,106100
27,2023-09-06,2,1520,1529,1482,1485,557000,1485,0,0,0,0.15,3,979900,95900
28,2023-09-05,1,1533,1554,1525,1543,219500,1543,0,0,0,0.05,1,1034500,85600
29,2023-09-04,0,1562,1570,1531,1531,356700,1531,0,0,0,0.05,1,1037200,84900
30,2023-09-01,4,1550,1584,1541,1575,373500,1575,1549000,653800,0.42,0.05,1,1042700,85200
31,2023-08-31,3,1614,1624,1579,1579,540600,1579,0,0,0,0.05,1,1031600,82700
32,2023-08-30,2,1662,1672,1628,1630,290800,1630,0,0,0,0.3,3,1053500,84900
33,2023-08-29,1,1609,1664,1609,1634,382600,1634,0,0,0,0.05,1,1059800,84400
34,2023-08-28,0,1600,1630,1573,1618,433000,1618,0,0,0,0.05,1,1018800,87200
35,2023-08-25,4,1573,1631,1552,1622,571100,1622,1514200,641600,0.42,0.05,1,1009400,84800
36,2023-08-24,3,1594,1608,1541,1596,619600,1596,0,0,0,0.05,1,974400,92100
37,2023-08-23,2,1529,1605,1522,1594,721400,1594,0,0,0,0.3,3,964100,84900
38,2023-08-22,1,1480,1543,1479,1535,691000,1535,0,0,0,0.05,1,929800,98100
39,2023-08-21,0,1432,1546,1432,1476,907500,1476,0,0,0,0.05,1,830900,91100
40,2023-08-18,4,1456,1481,1426,1460,533500,1460,1371800,697900,0.51,0.05,1,857500,93700
41,2023-08-17,3,1510,1520,1456,1471,571200,1471,0,0,0,0.05,1,837600,105500
42,2023-08-16,2,1574,1578,1512,1532,575800,1532,0,0,0,0.15,3,814000,95300
43,2023-08-15,1,1605,1619,1578,1590,460200,1590,0,0,0,0.05,1,861800,89300
44,2023-08-14,0,1523,1615,1515,1605,1477500,1605,0,0,0,0.05,1,850800,91200
45,2023-08-10,3,1680,1718,1665,1692,556800,1692,1232100,738200,0.6,0.05,1,745300,149100
