,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,2065,2093,2041,2048,12400,2048,0,0,0,0,0,0,0
1,2023-10-16,0,2048,2064,2039,2061,15800,2061,0,0,0,0,0,0,5300
2,2023-10-13,4,2060,2078,2047,2059,14400,2059,3400,52900,15.56,0,0,500,3600
3,2023-10-12,3,2062,2075,2057,2074,8200,2074,0,0,0,0,0,0,3600
4,2023-10-11,2,2075,2078,2042,2052,18400,2052,0,0,0,0,0,0,3600
5,2023-10-10,1,2062,2085,2062,2075,15700,2075,0,0,0,0,0,500,3600
6,2023-10-06,4,2032,2061,2011,2051,16900,2051,2700,54100,20.04,0,0,500,3600
7,2023-10-05,3,1985,2021,1985,2016,15100,2016,0,0,0,0,0,500,3600
8,2023-10-04,2,1985,2005,1959,1959,31300,1959,0,0,0,0,0,500,3600
9,2023-10-03,1,2023,2046,2001,2001,24900,2001,0,0,0,0,0,0,5400
10,2023-10-02,0,2049,2086,2045,2047,34700,2047,0,0,0,0,0,0,2600
11,2023-09-29,4,2050,2061,2012,2021,12300,2021,1500,66600,44.4,0,0,0,2600
12,2023-09-28,3,2055,2062,2035,2046,21100,2046,0,0,0,0,0,0,2800
13,2023-09-27,2,2025,2058,2011,2055,23400,2055,0,0,0,0,0,0,3200
14,2023-09-26,1,2060,2062,2024,2024,17900,2024,0,0,0,0,0,0,3200
15,2023-09-25,0,2031,2071,2018,2060,11100,2060,0,0,0,0,0,0,3600
16,2023-09-22,4,2021,2047,2004,2029,24800,2029,2900,65200,22.48,0,0,0,3600
17,2023-09-21,3,2030,2043,2028,2032,14400,2032,0,0,0,0,0,0,3600
18,2023-09-20,2,2076,2080,2030,2030,24800,2030,0,0,0,0,0,0,3600
19,2023-09-19,1,2057,2077,2057,2076,19900,2076,0,0,0,0,0,0,3600
20,2023-09-15,4,2030,2066,2026,2057,24500,2057,2100,56300,26.81,0,0,0,3600
21,2023-09-14,3,2037,2040,2026,2031,17400,2031,0,0,0,0,0,0,3600
22,2023-09-13,2,2060,2060,2034,2036,16000,2036,0,0,0,0,0,0,3600
23,2023-09-12,1,2110,2110,2036,2060,30600,2060,0,0,0,0,0,0,3600
24,2023-09-11,0,2050,2050,2021,2040,28000,2040,0,0,0,0,0,0,3600
25,2023-09-08,4,2050,2058,2030,2039,27900,2039,2200,53400,24.27,0,0,0,3800
26,2023-09-07,3,2088,2105,2056,2061,18900,2061,0,0,0,0,0,0,3600
27,2023-09-06,2,2120,2120,2096,2099,15000,2099,0,0,0,0,0,0,3600
28,2023-09-05,1,2106,2110,2082,2110,25300,2110,0,0,0,0,0,0,3700
29,2023-09-04,0,2071,2093,2061,2089,16000,2089,0,0,0,0,0,200,3700
30,2023-09-01,4,2059,2062,2038,2055,17600,2055,3100,46300,14.94,0,0,600,3900
31,2023-08-31,3,2065,2075,2050,2059,15400,2059,0,0,0,0,0,600,3900
32,2023-08-30,2,2098,2099,2051,2062,27400,2062,0,0,0,0,0,600,3900
33,2023-08-29,1,2033,2078,2032,2064,29400,2064,0,0,0,0,0,1500,4000
34,2023-08-28,0,2008,2021,1993,2021,15400,2021,0,0,0,0,0,1500,4500
35,2023-08-25,4,2000,2000,1979,1982,21400,1982,4700,44900,9.55,0,0,1500,4500
36,2023-08-24,3,2004,2014,1977,1995,28100,1995,0,0,0,0,0,1700,4500
37,2023-08-23,2,1969,1993,1968,1983,39100,1983,0,0,0,0,0,1000,4700
38,2023-08-22,1,1982,1994,1947,1964,34400,1964,0,0,0,0,0,1000,4600
39,2023-08-21,0,1973,2006,1956,1979,23000,1979,0,0,0,0,0,1300,8200
40,2023-08-18,4,2010,2010,1959,1969,43800,1969,5400,42800,7.93,0,0,1100,8200
41,2023-08-17,3,2015,2016,1982,2010,40000,2010,0,0,0,0,0,900,8200
42,2023-08-16,2,2019,2061,2019,2029,9700,2029,0,0,0,0,0,2700,7200
43,2023-08-15,1,2025,2070,2025,2031,25500,2031,0,0,0,0,0,2600,7100
44,2023-08-14,0,2163,2163,2023,2024,64900,2024,0,0,0,0,0,2700,4900
45,2023-08-10,3,2208,2208,2105,2163,62300,2163,7700,36200,4.7,0,0,3300,4300
46,2023-08-09,2,2187,2236,2184,2221,19400,2221,0,0,0,0,0,3500,4300
47,2023-08-08,1,2190,2213,2177,2187,14800,2187,0,0,0,0,0,3300,4200
48,2023-08-07,0,2201,2205,2162,2199,24100,2199,0,0,0,0,0,3300,4200
49,2023-08-04,4,2246,2261,2202,2203,16800,2203,6200,34500,5.56,0,0,2600,4600
50,2023-08-03,3,2260,2270,2209,2234,31800,2234,0,0,0,0,0,2700,4600
51,2023-08-02,2,2307,2334,2284,2289,22500,2289,0,0,0,0,0,2800,4200
52,2023-08-01,1,2292,2322,2290,2322,17100,2322,0,0,0,0,0,2800,4200
53,2023-07-31,0,2258,2279,2238,2274,12500,2274,0,0,0,0,0,2800,4200
54,2023-07-28,4,2246,2246,2207,2222,29200,2222,6200,36900,5.95,0,0,2300,4200
55,2023-07-27,3,2261,2268,2251,2268,12700,2268,0,0,0,0,0,2300,4200
56,2023-07-26,2,2264,2287,2253,2281,6100,2281,0,0,0,0,0,2200,4200
57,2023-07-25,1,2270,2272,2242,2262,9600,2262,0,0,0,0,0,2200,4200
58,2023-07-24,0,2235,2281,2235,2263,15900,2263,0,0,0,0,0,2100,4200
59,2023-07-21,4,2254,2257,2225,2235,9800,2235,4400,37000,8.41,0,0,1200,4200
60,2023-07-20,3,2299,2299,2236,2252,23500,2252,0,0,0,0,0,500,4200
61,2023-07-19,2,2299,2309,2273,2309,17900,2309,0,0,0,0,0,0,4200
62,2023-07-18,1,2255,2288,2252,2260,14400,2260,0,0,0,0,0,100,4200
63,2023-07-14,4,2326,2326,2204,2228,26800,2228,3200,34700,10.84,0,0,400,4200
64,2023-07-13,3,2245,2300,2214,2276,17700,2276,0,0,0,0,0,600,4200
65,2023-07-12,2,2321,2334,2243,2243,29900,2243,0,0,0,0,0,600,5000
66,2023-07-11,1,2406,2406,2314,2317,31200,2317,0,0,0,0,0,1300,5000
67,2023-07-10,0,2400,2431,2394,2406,22100,2406,0,0,0,0,0,2100,6900
68,2023-07-07,4,2444,2444,2388,2388,39800,2388,4800,34900,7.27,0,0,1800,5300
69,2023-07-06,3,2531,2531,2423,2459,26400,2459,0,0,0,0,0,1900,4500
70,2023-07-05,2,2560,2584,2543,2547,37900,2547,0,0,0,0,0,1600,5200
71,2023-07-04,1,2502,2582,2500,2576,53000,2576,0,0,0,0,0,1600,4600
72,2023-07-03,0,2484,2534,2481,2502,29100,2502,0,0,0,0,0,1100,4600
73,2023-06-30,4,2456,2489,2453,2467,25300,2467,5700,28100,4.93,0,0,2100,4600
74,2023-06-29,3,2444,2458,2400,2450,33300,2450,0,0,0,0,0,2100,4600
75,2023-06-28,2,2349,2407,2335,2407,18200,2407,0,0,0,0,0,1900,4300
76,2023-06-27,1,2352,2352,2304,2316,10600,2316,0,0,0,0,0,1500,4300
77,2023-06-26,0,2326,2359,2285,2341,14400,2341,0,0,0,0,0,1500,4300
78,2023-06-23,4,2345,2350,2314,2331,14000,2331,4700,23100,4.91,0,0,1500,4300
79,2023-06-22,3,2379,2379,2307,2329,18500,2329,0,0,0,0,0,1300,4300
80,2023-06-21,2,2354,2405,2351,2360,16300,2360,0,0,0,0,0,1500,4300
81,2023-06-20,1,2390,2390,2310,2354,18700,2354,0,0,0,0,0,1600,4300
82,2023-06-19,0,2382,2418,2362,2418,16900,2418,0,0,0,0,0,1300,4300
83,2023-06-16,4,2310,2368,2292,2357,26500,2357,4400,22500,5.11,0,0,900,4300
84,2023-06-15,3,2260,2308,2245,2299,18700,2299,0,0,0,0,0,800,4300
85,2023-06-14,2,2273,2274,2232,2242,19300,2242,0,0,0,0,0,900,3900
86,2023-06-13,1,2314,2314,2238,2250,33700,2250,0,0,0,0,0,700,3900
87,2023-06-12,0,2351,2385,2273,2279,38500,2279,0,0,0,0,0,1300,3600
88,2023-06-09,4,2315,2376,2315,2363,31400,2363,5700,24100,4.23,0,0,600,3900
89,2023-06-08,3,2385,2415,2297,2315,30500,2315,0,0,0,0,0,700,3500
90,2023-06-07,2,2328,2408,2303,2382,36800,2382,0,0,0,0,0,600,1900
91,2023-06-06,1,2301,2347,2295,2306,19200,2306,0,0,0,0,0,600,400
92,2023-06-05,0,2333,2347,2301,2324,27300,2324,0,0,0,0,0,600,600
93,2023-06-02,4,2290,2332,2287,2306,27200,2306,5700,25100,4.4,0,0,1000,1000
94,2023-06-01,3,2207,2281,2197,2281,34000,2281,0,0,0,0,0,500,9200
95,2023-05-31,2,2197,2210,2169,2191,22800,2191,0,0,0,0,0,700,9200
96,2023-05-30,1,2199,2208,2168,2197,19700,2197,0,0,0,0,0,1900,9200
97,2023-05-29,0,2196,2225,2178,2187,27900,2187,0,0,0,0,0,3100,9200
98,2023-05-26,4,2193,2215,2181,2196,20200,2196,7100,19900,2.8,0,0,3900,9200
99,2023-05-25,3,2171,2219,2162,2194,19800,2194,0,0,0,0,0,700,9200
100,2023-05-24,2,2132,2192,2132,2190,13400,2190,0,0,0,0,0,600,9200
101,2023-05-23,1,2210,2220,2139,2160,22400,2160,0,0,0,0,0,400,9200
102,2023-05-22,0,2159,2200,2159,2189,13600,2189,0,0,0,0,0,600,9200
103,2023-05-19,4,2215,2215,2175,2175,13100,2175,3600,20000,5.56,0,0,700,9200
104,2023-05-18,3,2150,2201,2150,2201,16100,2201,0,0,0,0,0,700,9200
105,2023-05-17,2,2200,2214,2141,2151,25700,2151,0,0,0,0,0,800,9200
106,2023-05-16,1,2164,2219,2151,2186,32300,2186,0,0,0,0,0,700,9200
107,2023-05-15,0,2119,2200,2119,2136,29500,2136,0,0,0,0,0,800,9200
108,2023-05-12,4,2150,2150,2070,2119,20600,2119,3900,23400,6,0,0,800,8800
109,2023-05-11,3,2145,2159,2111,2114,11900,2114,0,0,0,0,0,1000,8800
110,2023-05-10,2,2130,2159,2130,2145,16800,2145,0,0,0,0,0,700,9000
111,2023-05-09,1,2082,2150,2081,2141,17400,2141,0,0,0,0,0,800,8900
112,2023-05-08,0,2070,2101,2063,2082,19200,2082,0,0,0,0,0,700,8900
113,2023-05-02,1,2110,2110,2071,2085,17600,2085,0,0,0,0,0,800,8900
114,2023-05-01,0,2135,2144,2105,2110,15900,2110,0,0,0,0,0,1300,8900
115,2023-04-28,4,2115,2117,2089,2117,10500,2117,5700,21600,3.79,0,0,1400,8900
116,2023-04-27,3,2073,2097,2070,2094,17500,2094,0,0,0,0,0,1600,8900
117,2023-04-26,2,2098,2098,2072,2078,8400,2078,0,0,0,0,0,1800,8900
118,2023-04-25,1,2091,2127,2091,2106,11200,2106,0,0,0,0,0,1500,8900
