,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,2080,2080,2054,2055,8200,2055,0,0,0,0,0,0,0,25,1,0.0120192307692308,25
1,2023-11-01,2,43,2067,2086,2066,2080,15200,2080,0,0,0,0,0,300,3600,-47,0,-0.0231185440236104,-13
2,2023-10-31,1,43,2017,2033,1992,2033,13100,2033,0,0,0,0,0,500,3600,-17,0,-0.00843253968253968,-16
3,2023-10-30,0,43,2039,2042,2014,2016,11300,2016,0,0,0,0,0,600,3700,30,1,0.0146627565982405,23
4,2023-10-27,4,42,2053,2059,2024,2046,13000,2046,4000,46100,11.53,0,0,600,3600,-9,0,-0.00441826215022091,7
5,2023-10-26,3,42,2035,2056,2022,2037,15700,2037,0,0,0,0,0,600,3800,-1,0,-0.000491159135559921,-2
6,2023-10-25,2,42,2043,2060,2034,2036,10800,2036,0,0,0,0,0,600,3600,-23,0,-0.0114257327372081,7
7,2023-10-24,1,42,2018,2030,1965,2013,27400,2013,0,0,0,0,0,500,3600,5,1,0.00247770069375619,5
8,2023-10-23,0,42,2025,2044,2018,2018,16300,2018,0,0,0,0,0,200,3800,28,1,0.0136852394916911,7
9,2023-10-20,4,41,2049,2053,2019,2046,11900,2046,3400,51100,15.03,0,0,200,3600,-1,0,-0.000488997555012225,3
10,2023-10-19,3,41,2050,2066,2044,2045,12100,2045,0,0,0,0,0,200,3600,22,1,0.0106434446057088,5
11,2023-10-18,2,41,2069,2070,2046,2067,10700,2067,0,0,0,0,0,0,3600,-19,0,-0.00927734375,2
12,2023-10-17,1,41,2065,2093,2041,2048,12400,2048,0,0,0,0,0,0,3600,13,1,0.00630761766132945,17
13,2023-10-16,0,41,2048,2064,2039,2061,15800,2061,0,0,0,0,0,0,5300,-2,0,-0.000971345313258864,-13
14,2023-10-13,4,40,2060,2078,2047,2059,14400,2059,3400,52900,15.56,0,0,500,3600,15,1,0.00723240115718419,1
15,2023-10-12,3,40,2062,2075,2057,2074,8200,2074,0,0,0,0,0,0,3600,-22,0,-0.0107212475633528,-12
16,2023-10-11,2,40,2075,2078,2042,2052,18400,2052,0,0,0,0,0,0,3600,23,1,0.0110843373493976,23
17,2023-10-10,1,40,2062,2085,2062,2075,15700,2075,0,0,0,0,0,500,3600,-24,0,-0.0117016089712335,-13
18,2023-10-06,4,39,2032,2061,2011,2051,16900,2051,2700,54100,20.04,0,0,500,3600,-35,0,-0.0173611111111111,-19
19,2023-10-05,3,39,1985,2021,1985,2016,15100,2016,0,0,0,0,0,500,3600,-57,0,-0.0290964777947933,-31
20,2023-10-04,2,39,1985,2005,1959,1959,31300,1959,0,0,0,0,0,500,3600,42,1,0.0209895052473763,26
21,2023-10-03,1,39,2023,2046,2001,2001,24900,2001,0,0,0,0,0,0,5400,46,1,0.0224719101123596,22
22,2023-10-02,0,39,2049,2086,2045,2047,34700,2047,0,0,0,0,0,0,2600,-26,0,-0.0128649183572489,2
23,2023-09-29,4,38,2050,2061,2012,2021,12300,2021,1500,66600,44.4,0,0,0,2600,25,1,0.0122189638318671,29
24,2023-09-28,3,38,2055,2062,2035,2046,21100,2046,0,0,0,0,0,0,2800,9,1,0.00437956204379562,9
25,2023-09-27,2,38,2025,2058,2011,2055,23400,2055,0,0,0,0,0,0,3200,-31,0,-0.0153162055335968,-30
26,2023-09-26,1,38,2060,2062,2024,2024,17900,2024,0,0,0,0,0,0,3200,36,1,0.0174757281553398,36
27,2023-09-25,0,38,2031,2071,2018,2060,11100,2060,0,0,0,0,0,0,3600,-31,0,-0.0152784622966979,-29
28,2023-09-22,4,37,2021,2047,2004,2029,24800,2029,2900,65200,22.48,0,0,0,3600,3,1,0.00147637795275591,-8
29,2023-09-21,3,37,2030,2043,2028,2032,14400,2032,0,0,0,0,0,0,3600,-2,0,-0.000985221674876847,-2
30,2023-09-20,2,37,2076,2080,2030,2030,24800,2030,0,0,0,0,0,0,3600,46,1,0.0221579961464355,46
31,2023-09-19,1,37,2057,2077,2057,2076,19900,2076,0,0,0,0,0,0,3600,-19,0,-0.00923675255226057,-19
32,2023-09-15,4,36,2030,2066,2026,2057,24500,2057,2100,56300,26.81,0,0,0,3600,-26,0,-0.0128015755785327,-27
33,2023-09-14,3,36,2037,2040,2026,2031,17400,2031,0,0,0,0,0,0,3600,5,1,0.00245579567779961,6
34,2023-09-13,2,36,2060,2060,2034,2036,16000,2036,0,0,0,0,0,0,3600,24,1,0.0116504854368932,24
35,2023-09-12,1,36,2110,2110,2036,2060,30600,2060,0,0,0,0,0,0,3600,-20,0,-0.00980392156862745,50
36,2023-09-11,0,36,2050,2050,2021,2040,28000,2040,0,0,0,0,0,0,3600,-1,0,-0.000490436488474743,10
37,2023-09-08,4,35,2050,2058,2030,2039,27900,2039,2200,53400,24.27,0,0,0,3800,22,1,0.0106744298884037,11
38,2023-09-07,3,35,2088,2105,2056,2061,18900,2061,0,0,0,0,0,0,3600,38,1,0.0181038589804669,27
39,2023-09-06,2,35,2120,2120,2096,2099,15000,2099,0,0,0,0,0,0,3600,11,1,0.0052132701421801,21
40,2023-09-05,1,35,2106,2110,2082,2110,25300,2110,0,0,0,0,0,0,3700,-21,0,-0.0100526567735759,-4
41,2023-09-04,0,35,2071,2093,2061,2089,16000,2089,0,0,0,0,0,200,3700,-34,0,-0.0165450121654501,-18
42,2023-09-01,4,34,2059,2062,2038,2055,17600,2055,3100,46300,14.94,0,0,600,3900,4,1,0.00194269062651773,4
43,2023-08-31,3,34,2065,2075,2050,2059,15400,2059,0,0,0,0,0,600,3900,3,1,0.001454898157129,6
44,2023-08-30,2,34,2098,2099,2051,2062,27400,2062,0,0,0,0,0,600,3900,2,1,0.000968992248062016,36
45,2023-08-29,1,34,2033,2078,2032,2064,29400,2064,0,0,0,0,0,1500,4000,-43,0,-0.0212765957446809,-31
46,2023-08-28,0,34,2008,2021,1993,2021,15400,2021,0,0,0,0,0,1500,4500,-39,0,-0.0196770938446014,-13
47,2023-08-25,4,33,2000,2000,1979,1982,21400,1982,4700,44900,9.55,0,0,1500,4500,13,1,0.00651629072681704,18
48,2023-08-24,3,33,2004,2014,1977,1995,28100,1995,0,0,0,0,0,1700,4500,-12,0,-0.00605143721633888,9
49,2023-08-23,2,33,1969,1993,1968,1983,39100,1983,0,0,0,0,0,1000,4700,-19,0,-0.00967413441955193,-14
50,2023-08-22,1,33,1982,1994,1947,1964,34400,1964,0,0,0,0,0,1000,4600,15,1,0.00757958564931784,18
51,2023-08-21,0,33,1973,2006,1956,1979,23000,1979,0,0,0,0,0,1300,8200,-10,0,-0.00507872016251905,-6
52,2023-08-18,4,32,2010,2010,1959,1969,43800,1969,5400,42800,7.93,0,0,1100,8200,41,1,0.0203980099502488,41
53,2023-08-17,3,32,2015,2016,1982,2010,40000,2010,0,0,0,0,0,900,8200,19,1,0.00936421882700838,5
54,2023-08-16,2,32,2019,2061,2019,2029,9700,2029,0,0,0,0,0,2700,7200,2,1,0.000984736582964057,-10
55,2023-08-15,1,32,2025,2070,2025,2031,25500,2031,0,0,0,0,0,2600,7100,-7,0,-0.00345849802371542,-6
56,2023-08-14,0,32,2163,2163,2023,2024,64900,2024,0,0,0,0,0,2700,4900,139,1,0.0642625982431808,139
57,2023-08-10,3,31,2208,2208,2105,2163,62300,2163,7700,36200,4.7,0,0,3300,4300,58,1,0.0261143628995948,45
58,2023-08-09,2,31,2187,2236,2184,2221,19400,2221,0,0,0,0,0,3500,4300,-34,0,-0.015546410608139,-34
59,2023-08-08,1,31,2190,2213,2177,2187,14800,2187,0,0,0,0,0,3300,4200,12,1,0.00545702592087312,3
60,2023-08-07,0,31,2201,2205,2162,2199,24100,2199,0,0,0,0,0,3300,4200,4,1,0.00181570585565138,2
61,2023-08-04,4,30,2246,2261,2202,2203,16800,2203,6200,34500,5.56,0,0,2600,4600,31,1,0.013876454789615,43
62,2023-08-03,3,30,2260,2270,2209,2234,31800,2234,0,0,0,0,0,2700,4600,55,1,0.0240279598077763,26
63,2023-08-02,2,30,2307,2334,2284,2289,22500,2289,0,0,0,0,0,2800,4200,33,1,0.0142118863049096,18
64,2023-08-01,1,30,2292,2322,2290,2322,17100,2322,0,0,0,0,0,2800,4200,-48,0,-0.0211081794195251,-30
65,2023-07-31,0,30,2258,2279,2238,2274,12500,2274,0,0,0,0,0,2800,4200,-52,0,-0.0234023402340234,-16
66,2023-07-28,4,29,2246,2246,2207,2222,29200,2222,6200,36900,5.95,0,0,2300,4200,46,1,0.0202821869488536,24
67,2023-07-27,3,29,2261,2268,2251,2268,12700,2268,0,0,0,0,0,2300,4200,13,1,0.00569925471284524,-7
68,2023-07-26,2,29,2264,2287,2253,2281,6100,2281,0,0,0,0,0,2200,4200,-19,0,-0.00839964633068081,-17
69,2023-07-25,1,29,2270,2272,2242,2262,9600,2262,0,0,0,0,0,2200,4200,1,1,0.000441891294741494,8
70,2023-07-24,0,29,2235,2281,2235,2263,15900,2263,0,0,0,0,0,2100,4200,-28,0,-0.0125279642058166,-28
71,2023-07-21,4,28,2254,2257,2225,2235,9800,2235,4400,37000,8.41,0,0,1200,4200,17,1,0.00754884547069272,19
72,2023-07-20,3,28,2299,2299,2236,2252,23500,2252,0,0,0,0,0,500,4200,57,1,0.0246860112602858,47
73,2023-07-19,2,28,2299,2309,2273,2309,17900,2309,0,0,0,0,0,0,4200,-49,0,-0.0216814159292035,-10
74,2023-07-18,1,28,2255,2288,2252,2260,14400,2260,0,0,0,0,0,100,4200,-32,0,-0.0143626570915619,-5
75,2023-07-14,4,27,2326,2326,2204,2228,26800,2228,3200,34700,10.84,0,0,400,4200,48,1,0.0210896309314587,98
76,2023-07-13,3,27,2245,2300,2214,2276,17700,2276,0,0,0,0,0,600,4200,-33,0,-0.0147124386981721,-31
77,2023-07-12,2,27,2321,2334,2243,2243,29900,2243,0,0,0,0,0,600,5000,74,1,0.0319378506689685,78
78,2023-07-11,1,27,2406,2406,2314,2317,31200,2317,0,0,0,0,0,1300,5000,89,1,0.0369908561928512,89
79,2023-07-10,0,27,2400,2431,2394,2406,22100,2406,0,0,0,0,0,2100,6900,-18,0,-0.00753768844221106,-6
80,2023-07-07,4,26,2444,2444,2388,2388,39800,2388,4800,34900,7.27,0,0,1800,5300,71,1,0.0288735258235055,56
81,2023-07-06,3,26,2531,2531,2423,2459,26400,2459,0,0,0,0,0,1900,4500,88,1,0.0345504515115823,72
82,2023-07-05,2,26,2560,2584,2543,2547,37900,2547,0,0,0,0,0,1600,5200,29,1,0.0112577639751553,13
83,2023-07-04,1,26,2502,2582,2500,2576,53000,2576,0,0,0,0,0,1600,4600,-74,0,-0.0295763389288569,-74
84,2023-07-03,0,26,2484,2534,2481,2502,29100,2502,0,0,0,0,0,1100,4600,-35,0,-0.0141872719902716,-18
85,2023-06-30,4,25,2456,2489,2453,2467,25300,2467,5700,28100,4.93,0,0,2100,4600,-17,0,-0.00693877551020408,-11
86,2023-06-29,3,25,2444,2458,2400,2450,33300,2450,0,0,0,0,0,2100,4600,-43,0,-0.0178645616950561,-6
87,2023-06-28,2,25,2349,2407,2335,2407,18200,2407,0,0,0,0,0,1900,4300,-91,0,-0.0392918825561313,-58
88,2023-06-27,1,25,2352,2352,2304,2316,10600,2316,0,0,0,0,0,1500,4300,25,1,0.0106791969243913,36
89,2023-06-26,0,25,2326,2359,2285,2341,14400,2341,0,0,0,0,0,1500,4300,-10,0,-0.00429000429000429,-15
90,2023-06-23,4,24,2345,2350,2314,2331,14000,2331,4700,23100,4.91,0,0,1500,4300,-2,0,-0.0008587376556462,14
91,2023-06-22,3,24,2379,2379,2307,2329,18500,2329,0,0,0,0,0,1300,4300,31,1,0.013135593220339,50
92,2023-06-21,2,24,2354,2405,2351,2360,16300,2360,0,0,0,0,0,1500,4300,-6,0,-0.00254885301614274,-6
93,2023-06-20,1,24,2390,2390,2310,2354,18700,2354,0,0,0,0,0,1600,4300,64,1,0.0264681555004136,36
94,2023-06-19,0,24,2382,2418,2362,2418,16900,2418,0,0,0,0,0,1300,4300,-61,0,-0.0258803563852355,-36
95,2023-06-16,4,23,2310,2368,2292,2357,26500,2357,4400,22500,5.11,0,0,900,4300,-58,0,-0.0252283601565898,-47
96,2023-06-15,3,23,2260,2308,2245,2299,18700,2299,0,0,0,0,0,800,4300,-57,0,-0.0254237288135593,-39
97,2023-06-14,2,23,2273,2274,2232,2242,19300,2242,0,0,0,0,0,900,3900,8,1,0.00355555555555556,31
98,2023-06-13,1,23,2314,2314,2238,2250,33700,2250,0,0,0,0,0,700,3900,29,1,0.0127248793330408,64
99,2023-06-12,0,23,2351,2385,2273,2279,38500,2279,0,0,0,0,0,1300,3600,84,1,0.0355480321625053,72
100,2023-06-09,4,22,2315,2376,2315,2363,31400,2363,5700,24100,4.23,0,0,600,3900,-48,0,-0.0207343412526998,-48
101,2023-06-08,3,22,2385,2415,2297,2315,30500,2315,0,0,0,0,0,700,3500,67,1,0.028127623845508,70
102,2023-06-07,2,22,2328,2408,2303,2382,36800,2382,0,0,0,0,0,600,1900,-76,0,-0.0329575021682567,-54
103,2023-06-06,1,22,2301,2347,2295,2306,19200,2306,0,0,0,0,0,600,400,18,1,0.00774526678141136,-5
104,2023-06-05,0,22,2333,2347,2301,2324,27300,2324,0,0,0,0,0,600,600,-18,0,-0.00780572419774501,9
105,2023-06-02,4,21,2290,2332,2287,2306,27200,2306,5700,25100,4.4,0,0,1000,1000,-25,0,-0.0109601052170101,-16
106,2023-06-01,3,21,2207,2281,2197,2281,34000,2281,0,0,0,0,0,500,9200,-90,0,-0.0410771337288909,-74
107,2023-05-31,2,21,2197,2210,2169,2191,22800,2191,0,0,0,0,0,700,9200,6,1,0.00273099681383705,6
108,2023-05-30,1,21,2199,2208,2168,2197,19700,2197,0,0,0,0,0,1900,9200,-10,0,-0.00457247370827618,2
109,2023-05-29,0,21,2196,2225,2178,2187,27900,2187,0,0,0,0,0,3100,9200,9,1,0.00409836065573771,9
110,2023-05-26,4,20,2193,2215,2181,2196,20200,2196,7100,19900,2.8,0,0,3900,9200,-2,0,-0.000911577028258888,-3
111,2023-05-25,3,20,2171,2219,2162,2194,19800,2194,0,0,0,0,0,700,9200,-4,0,-0.00182648401826484,-23
112,2023-05-24,2,20,2132,2192,2132,2190,13400,2190,0,0,0,0,0,600,9200,-30,0,-0.0138888888888889,-58
113,2023-05-23,1,20,2210,2220,2139,2160,22400,2160,0,0,0,0,0,400,9200,29,1,0.0132480584741891,50
114,2023-05-22,0,20,2159,2200,2159,2189,13600,2189,0,0,0,0,0,600,9200,-14,0,-0.0064367816091954,-30
115,2023-05-19,4,19,2215,2215,2175,2175,13100,2175,3600,20000,5.56,0,0,700,9200,26,1,0.0118128123580191,40
116,2023-05-18,3,19,2150,2201,2150,2201,16100,2201,0,0,0,0,0,700,9200,-50,0,-0.0232450023245002,-51
117,2023-05-17,2,19,2200,2214,2141,2151,25700,2151,0,0,0,0,0,800,9200,35,1,0.0160109789569991,49
118,2023-05-16,1,19,2164,2219,2151,2186,32300,2186,0,0,0,0,0,700,9200,-50,0,-0.0234082397003745,-22
119,2023-05-15,0,19,2119,2200,2119,2136,29500,2136,0,0,0,0,0,800,9200,-17,0,-0.00802265219443134,-17
120,2023-05-12,4,18,2150,2150,2070,2119,20600,2119,3900,23400,6,0,0,800,8800,-5,0,-0.00236518448438978,31
121,2023-05-11,3,18,2145,2159,2111,2114,11900,2114,0,0,0,0,0,1000,8800,31,1,0.0144522144522145,31
122,2023-05-10,2,18,2130,2159,2130,2145,16800,2145,0,0,0,0,0,700,9000,-4,0,-0.0018682858477347,-15
123,2023-05-09,1,18,2082,2150,2081,2141,17400,2141,0,0,0,0,0,800,8900,-59,0,-0.0283381364073007,-59
124,2023-05-08,0,18,2070,2101,2063,2082,19200,2082,0,0,0,0,0,700,8900,3,1,0.00143884892086331,-12
125,2023-05-02,1,17,2110,2110,2071,2085,17600,2085,0,0,0,0,0,800,8900,25,1,0.0118483412322275,25
126,2023-05-01,0,17,2135,2144,2105,2110,15900,2110,0,0,0,0,0,1300,8900,7,1,0.00330656589513462,25
127,2023-04-28,4,16,2115,2117,2089,2117,10500,2117,5700,21600,3.79,0,0,1400,8900,-23,0,-0.0109837631327603,-2
128,2023-04-27,3,16,2073,2097,2070,2094,17500,2094,0,0,0,0,0,1600,8900,-16,0,-0.00769971126082772,-21
129,2023-04-26,2,16,2098,2098,2072,2078,8400,2078,0,0,0,0,0,1800,8900,28,1,0.01329534662868,20
130,2023-04-25,1,16,2091,2127,2091,2106,11200,2106,0,0,0,0,0,1500,8900,-15,0,-0.00717360114777618,-15
131,2023-04-24,0,16,2088,2097,2073,2091,11100,2091,0,0,0,0,0,1200,10200,-7,0,-0.00335892514395393,-3
132,2023-04-21,4,15,2114,2114,2067,2084,20200,2084,4700,23900,5.09,0,0,1100,9700,32,1,0.0151228733459357,30
133,2023-04-20,3,15,2102,2139,2090,2116,19600,2116,0,0,0,0,0,1500,9000,-6,0,-0.0028436018957346,-14
134,2023-04-19,2,15,2116,2133,2108,2110,12100,2110,0,0,0,0,0,1300,9000,12,1,0.0056550424128181,6
135,2023-04-18,1,15,2102,2122,2078,2122,19300,2122,0,0,0,0,0,1200,9000,-37,0,-0.0177458033573141,-20
136,2023-04-17,0,15,2127,2137,2059,2085,26800,2085,0,0,0,0,0,1200,9000,50,1,0.0234192037470726,42
137,2023-04-14,4,14,2159,2173,2133,2135,18800,2135,6200,26100,4.21,0,0,1800,9000,34,1,0.0156754264638082,24
138,2023-04-13,3,14,2181,2194,2158,2169,11800,2169,0,0,0,0,0,1800,9100,30,1,0.0136425648021828,12
139,2023-04-12,2,14,2176,2206,2168,2199,17300,2199,0,0,0,0,0,1700,9100,-22,0,-0.0101056499770326,-23
140,2023-04-11,1,14,2203,2203,2174,2177,20700,2177,0,0,0,0,0,1400,9100,21,1,0.00955414012738854,26
141,2023-04-10,0,14,2203,2226,2180,2198,27900,2198,0,0,0,0,0,1100,9300,-18,0,-0.00825688073394496,5
142,2023-04-07,4,13,2145,2190,2141,2180,19600,2180,6200,28100,4.53,0,0,1100,10100,-38,0,-0.0177404295051354,-35
143,2023-04-06,3,13,2111,2142,2093,2142,23000,2142,0,0,0,0,0,700,7800,-7,0,-0.00327868852459016,-31
144,2023-04-05,2,13,2226,2226,2120,2135,30800,2135,0,0,0,0,0,700,7600,105,1,0.046875,91
145,2023-04-04,1,13,2202,2244,2180,2240,36900,2240,0,0,0,0,0,900,7300,-39,0,-0.0177192185370286,-38
146,2023-04-03,0,13,2190,2215,2140,2201,34700,2201,0,0,0,0,0,2400,3900,-49,0,-0.0227695167286245,-11
147,2023-03-31,4,12,2110,2158,2104,2152,34100,2152,10700,17500,1.64,0,0,5100,6100,-59,0,-0.0281892021022456,-42
148,2023-03-30,3,12,2042,2096,2042,2093,60200,2093,0,0,0,0,0,4300,6300,-4,0,-0.0019147917663954,-51
149,2023-03-29,2,12,2054,2100,2052,2089,83000,2089,0,0,0,7.5,3,67000,4300,-49,0,-0.0240196078431373,-35
150,2023-03-28,1,12,2169,2169,2039,2040,46700,2040,0,0,0,0.05,1,19000,4400,129,1,0.0594744121715076,129
151,2023-03-27,0,12,2117,2170,2104,2169,39600,2169,0,0,0,0.05,1,7000,6200,-65,0,-0.030893536121673,-52
152,2023-03-24,4,11,2111,2130,2098,2104,20000,2104,285200,21000,0.07,0,0,5100,5100,7,1,0.00331596399810516,7
153,2023-03-23,3,11,2064,2114,2064,2111,12300,2111,0,0,0,0,0,1200,2400,-14,0,-0.00667620410109681,-47
154,2023-03-22,2,11,2075,2097,2046,2097,15300,2097,0,0,0,0,0,1300,2900,-54,0,-0.026431718061674,-22
155,2023-03-20,0,11,2053,2073,2043,2043,19300,2043,0,0,0,0,0,0,0,12,1,0.00583941605839416,10
156,2023-03-17,4,10,2073,2108,2050,2055,25400,2055,278100,22600,0.08,0,0,0,0,-2055,0,-inf,18
157,2023-03-10,4,9,0,0,0,0,0,0,277800,23500,0.08,0,0,0,0,0,0,,0
158,2023-03-03,4,8,0,0,0,0,0,0,273400,26300,0.1,0,0,0,0,0,0,,0
159,2023-02-24,4,7,0,0,0,0,0,0,271100,52000,0.19,0,0,0,0,0,0,,0
160,2023-02-17,4,6,0,0,0,0,0,0,271100,28000,0.1,0,0,0,0,0,0,,0
161,2023-02-10,4,5,0,0,0,0,0,0,270600,25300,0.09,0,0,0,0,0,0,,0
162,2023-02-03,4,4,0,0,0,0,0,0,270900,24300,0.09,0,0,0,0,0,0,,0
163,2023-01-27,4,3,0,0,0,0,0,0,268600,27700,0.1,0,0,0,0,0,0,,0
164,2023-01-20,4,2,0,0,0,0,0,0,263000,26700,0.1,0,0,0,0,0,0,,0
165,2023-01-13,4,1,0,0,0,0,0,0,243600,31600,0.13,0,0,0,0,0,0,,0
166,2023-01-06,4,0,0,0,0,0,0,0,189500,25100,0.13,0,0,0,0,0,0,,0
167,2022-12-30,4,-1,0,0,0,0,0,0,178300,22800,0.13,0,0,0,0,0,0,,0
168,2022-12-23,4,-2,0,0,0,0,0,0,135000,51600,0.38,0,0,0,0,0,0,,0
169,2022-12-16,4,-3,0,0,0,0,0,0,62800,23500,0.37,0,0,0,0,0,0,,0
170,2022-12-09,4,-4,0,0,0,0,0,0,24700,17200,0.7,0,0,0,0,0,0,,0
171,2022-12-02,4,-5,0,0,0,0,0,0,16800,16200,0.96,0,0,0,0,0,0,,0
172,2022-11-25,4,-6,0,0,0,0,0,0,18700,14000,0.75,0,0,0,0,0,0,,0
173,2022-11-18,4,-7,0,0,0,0,0,0,19000,14300,0.75,0,0,0,0,0,0,,0
174,2022-11-11,4,-8,0,0,0,0,0,0,17500,10900,0.62,0,0,0,0,0,0,,0
175,2022-11-04,4,-9,0,0,0,0,0,0,10400,9300,0.89,0,0,0,0,0,0,,0
176,2022-10-28,4,-10,0,0,0,0,0,0,6400,11100,1.73,0,0,0,0,,0,,0
