,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,2306,2313,2244,2259,56400,2259,0,0,0,0,0,0,0
1,2023-10-16,0,2306,2330,2260,2272,86000,2272,0,0,0,0,0,4500,9800
2,2023-10-13,4,2384,2392,2330,2341,74500,2341,13900,142500,10.25,0,0,4900,8300
3,2023-10-12,3,2420,2422,2404,2412,51600,2412,0,0,0,0,0,5100,8100
4,2023-10-11,2,2406,2430,2385,2411,66300,2411,0,0,0,0,0,1100,9400
5,2023-10-10,1,2388,2410,2379,2402,77500,2402,0,0,0,0,0,1100,9500
6,2023-10-06,4,2365,2386,2351,2368,52900,2368,10000,137100,13.71,0,0,1100,9500
7,2023-10-05,3,2335,2386,2335,2350,77900,2350,0,0,0,0,0,1100,9500
8,2023-10-04,2,2324,2352,2284,2311,157700,2311,0,0,0,0,0,1000,10900
9,2023-10-03,1,2444,2444,2382,2384,43800,2384,0,0,0,0,0,3000,10700
10,2023-10-02,0,2479,2523,2445,2445,48300,2445,0,0,0,0,0,2900,9300
11,2023-09-29,4,2549,2583,2486,2500,61000,2500,23500,143600,6.11,0,0,8100,9200
12,2023-09-28,3,2556,2571,2511,2530,51100,2530,0,0,0,0,0,7600,8400
13,2023-09-27,2,2570,2594,2533,2583,87700,2583,0,0,0,0,0,7600,7100
14,2023-09-26,1,2619,2619,2567,2593,62800,2593,0,0,0,0,0,8100,8100
15,2023-09-25,0,2563,2635,2554,2620,61100,2620,0,0,0,0,0,8200,8100
16,2023-09-22,4,2534,2579,2515,2561,72200,2561,23200,127600,5.5,0,0,7500,8100
17,2023-09-21,3,2626,2626,2544,2551,80700,2551,0,0,0,0,0,8500,7600
18,2023-09-20,2,2600,2644,2587,2625,111700,2625,0,0,0,0,0,9700,7100
19,2023-09-19,1,2584,2596,2547,2596,51100,2596,0,0,0,0,0,9600,7100
20,2023-09-15,4,2610,2627,2569,2599,91200,2599,26200,131600,5.02,0,0,9800,7100
21,2023-09-14,3,2594,2614,2573,2609,52600,2609,0,0,0,0,0,9400,7100
22,2023-09-13,2,2630,2630,2550,2577,111300,2577,0,0,0,0,0,9800,7200
23,2023-09-12,1,2660,2671,2619,2639,54700,2639,0,0,0,0,0,12600,8300
24,2023-09-11,0,2645,2677,2626,2644,80900,2644,0,0,0,0,0,11500,7200
25,2023-09-08,4,2621,2670,2621,2640,63500,2640,33400,160200,4.8,0,0,13000,9300
26,2023-09-07,3,2604,2647,2598,2632,67900,2632,0,0,0,0,1,13300,5400
27,2023-09-06,2,2636,2660,2630,2635,56000,2635,0,0,0,0,3,12700,7700
28,2023-09-05,1,2670,2678,2630,2652,73800,2652,0,0,0,0,0,11800,7500
29,2023-09-04,0,2630,2677,2619,2673,77000,2673,0,0,0,0,0,11000,6900
30,2023-09-01,4,2610,2669,2610,2650,116900,2650,30200,163300,5.41,0,0,10400,6200
31,2023-08-31,3,2571,2613,2544,2610,88100,2610,0,0,0,0,0,5400,3000
32,2023-08-30,2,2583,2587,2568,2575,62700,2575,0,0,0,0,0,6200,3000
33,2023-08-29,1,2535,2570,2521,2561,82000,2561,0,0,0,0,0,5800,3000
34,2023-08-28,0,2458,2513,2450,2507,72700,2507,0,0,0,0,0,6000,3000
35,2023-08-25,4,2414,2452,2401,2446,39400,2446,21600,172100,7.97,0,0,3700,3000
36,2023-08-24,3,2470,2470,2430,2430,27400,2430,0,0,0,0,0,3400,3000
37,2023-08-23,2,2444,2483,2434,2469,33800,2469,0,0,0,0,0,4300,3000
38,2023-08-22,1,2410,2471,2395,2453,100000,2453,0,0,0,0,0,4600,3000
39,2023-08-21,0,2397,2418,2369,2408,72000,2408,0,0,0,0,0,3100,7500
40,2023-08-18,4,2349,2370,2337,2359,68900,2359,20400,171900,8.43,0,0,3200,7600
41,2023-08-17,3,2424,2430,2353,2387,119300,2387,0,0,0,0,0,3000,7600
42,2023-08-16,2,2367,2421,2367,2403,58000,2403,0,0,0,0,0,6100,7500
43,2023-08-15,1,2353,2408,2348,2403,70900,2403,0,0,0,0,0,4800,7300
44,2023-08-14,0,2408,2429,2329,2345,128100,2345,0,0,0,0,0,4000,7300
45,2023-08-10,3,2441,2495,2393,2408,214600,2408,27900,194900,6.99,0,0,3800,10400
46,2023-08-09,2,2418,2473,2369,2427,418400,2427,0,0,0,0,1,9300,8100
47,2023-08-08,1,2225,2248,2201,2219,63300,2219,0,0,0,0,4,8100,6800
48,2023-08-07,0,2184,2223,2173,2223,55300,2223,0,0,0,0,0,4700,5000
49,2023-08-04,4,2197,2232,2189,2206,60600,2206,15500,204500,13.19,0,0,5700,5700
50,2023-08-03,3,2250,2250,2204,2212,64200,2212,0,0,0,0,0,6200,6200
51,2023-08-02,2,2237,2273,2235,2269,66800,2269,0,0,0,0,0,3800,4300
52,2023-08-01,1,2240,2256,2222,2250,64100,2250,0,0,0,0,0,3200,4100
53,2023-07-31,0,2236,2252,2221,2237,72700,2237,0,0,0,0,0,2600,4200
54,2023-07-28,4,2189,2211,2181,2210,79800,2210,12200,203400,16.67,0,0,2400,3500
55,2023-07-27,3,2156,2193,2114,2189,66800,2189,0,0,0,0,0,2400,3400
56,2023-07-26,2,2170,2170,2121,2154,76300,2154,0,0,0,0,0,2400,3400
57,2023-07-25,1,2160,2182,2155,2172,52900,2172,0,0,0,0,0,2300,3400
58,2023-07-24,0,2134,2151,2125,2148,52600,2148,0,0,0,0,0,1600,2800
59,2023-07-21,4,2097,2115,2086,2114,54800,2114,10600,175300,16.54,0,0,2600,2600
60,2023-07-20,3,2125,2125,2095,2102,30800,2102,0,0,0,0,1,3400,2200
61,2023-07-19,2,2111,2129,2100,2114,40700,2114,0,0,0,0,3,3400,2200
62,2023-07-18,1,2090,2101,2082,2095,35900,2095,0,0,0,0,0,3800,5100
63,2023-07-14,4,2111,2125,2088,2090,43600,2090,13300,169000,12.71,0,0,4000,4000
64,2023-07-13,3,2126,2132,2114,2121,23100,2121,0,0,0,0,1,5200,4400
65,2023-07-12,2,2166,2177,2133,2133,25800,2133,0,0,0,0,4,5400,5100
66,2023-07-11,1,2155,2170,2137,2153,49700,2153,0,0,0,0.05,1,5700,5000
67,2023-07-10,0,2190,2190,2148,2155,66800,2155,0,0,0,0.05,1,6100,5100
68,2023-07-07,4,2164,2212,2160,2190,67900,2190,16500,164700,9.98,0.05,1,6700,5300
69,2023-07-06,3,2196,2199,2160,2164,71200,2164,0,0,0,0.05,1,6300,4600
70,2023-07-05,2,2199,2218,2198,2205,37000,2205,0,0,0,0,0,3500,3100
71,2023-07-04,1,2217,2217,2199,2211,54900,2211,0,0,0,0,0,3800,2800
72,2023-07-03,0,2219,2239,2218,2232,58300,2232,0,0,0,0,0,3400,3300
73,2023-06-30,4,2225,2232,2198,2217,83700,2217,18400,171200,9.3,0,0,3900,3200
74,2023-06-29,3,2194,2240,2192,2226,124800,2226,0,0,0,0,0,4200,3900
75,2023-06-28,2,2145,2183,2139,2183,61300,2183,0,0,0,0,0,5000,5000
76,2023-06-27,1,2176,2176,2112,2141,65600,2141,0,0,0,0,0,4900,4900
77,2023-06-26,0,2101,2120,2077,2109,29100,2109,0,0,0,0,1,7000,6400
78,2023-06-23,4,2130,2146,2096,2113,46600,2113,14300,168200,11.76,0,1,7100,6400
79,2023-06-22,3,2141,2153,2120,2125,61700,2125,0,0,0,0,1,6700,6300
80,2023-06-21,2,2168,2170,2127,2128,70900,2128,0,0,0,0,3,8400,6400
81,2023-06-20,1,2167,2179,2143,2169,86600,2169,0,0,0,0,1,8800,7400
82,2023-06-19,0,2133,2170,2128,2167,91400,2167,0,0,0,0.05,1,8300,3100
83,2023-06-16,4,2101,2120,2058,2112,120500,2112,24800,163900,6.61,0.05,1,7500,3400
84,2023-06-15,3,2076,2114,2070,2101,100500,2101,0,0,0,0.05,1,8200,4100
85,2023-06-14,2,2077,2080,2060,2065,49200,2065,0,0,0,0.15,3,7600,2100
86,2023-06-13,1,2076,2095,2070,2077,76600,2077,0,0,0,0.05,1,8200,2000
87,2023-06-12,0,2049,2073,2047,2070,48000,2070,0,0,0,0.05,1,7900,2300
88,2023-06-09,4,2027,2054,2026,2039,72300,2039,23300,176100,7.56,0,1,4900,1900
89,2023-06-08,3,2031,2045,2015,2023,78000,2023,0,0,0,0,1,4700,2000
90,2023-06-07,2,2017,2041,2016,2023,84300,2023,0,0,0,0,3,5000,2300
91,2023-06-06,1,1989,2010,1979,2004,64200,2004,0,0,0,0,1,3500,2500
92,2023-06-05,0,1996,2007,1983,2007,127600,2007,0,0,0,0,1,3400,2100
93,2023-06-02,4,1952,1972,1947,1968,64200,1968,22100,180500,8.17,0,0,1400,1900
94,2023-06-01,3,1960,1977,1957,1957,42700,1957,0,0,0,0,0,2200,2200
95,2023-05-31,2,1979,1988,1967,1969,72500,1969,0,0,0,0,0,1500,1500
96,2023-05-30,1,1996,2013,1981,1998,57600,1998,0,0,0,0,0,1600,1100
97,2023-05-29,0,2025,2027,1994,1996,49000,1996,0,0,0,0,1,1800,1700
98,2023-05-26,4,2026,2035,2014,2014,52100,2014,23400,178200,7.62,0,1,3400,1600
99,2023-05-25,3,2019,2048,2012,2026,69500,2026,0,0,0,0,1,3600,1500
100,2023-05-24,2,2025,2038,2006,2029,76400,2029,0,0,0,0,0,2900,2900
