,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-09-08,754,759,744,746,343100,746,0,0,0,0,0,0,0
1,2023-09-07,743,757,742,754,331000,754,0,0,0,0,0,700,11300
2,2023-09-06,746,747,741,744,175500,744,0,0,0,0,0,0,12400
3,2023-09-05,747,747,741,746,259000,746,0,0,0,0,0,500,12700
4,2023-09-04,734,746,733,746,280100,746,0,0,0,0,0,500,7600
5,2023-09-01,727,730,725,730,214600,730,199800,982600,4.92,0,0,400,7800
6,2023-08-31,724,730,722,727,171500,727,0,0,0,0,0,400,7700
7,2023-08-30,720,724,719,721,200100,721,0,0,0,0,0,400,7700
8,2023-08-29,720,722,718,722,200500,722,0,0,0,0,0,400,8500
9,2023-08-28,725,728,717,720,260200,720,0,0,0,0,0,400,8400
10,2023-08-25,715,723,713,720,262700,720,109200,978000,8.96,0,0,100,9600
11,2023-08-24,703,719,700,718,300100,718,0,0,0,0,0,0,9600
12,2023-08-23,692,703,691,702,296400,702,0,0,0,0,0,0,9600
13,2023-08-22,682,689,682,689,167500,689,0,0,0,0,0,0,9500
14,2023-08-21,675,684,674,681,171900,681,0,0,0,0,0,0,9800
15,2023-08-18,673,674,668,671,265900,671,83500,1003100,12.01,0,0,0,10100
16,2023-08-17,679,681,672,676,224800,676,0,0,0,0,0,0,9200
17,2023-08-16,673,675,670,674,157400,674,0,0,0,0,0,0,5900
18,2023-08-15,676,678,672,675,196400,675,0,0,0,0,0,0,22300
19,2023-08-14,682,683,673,675,351300,675,0,0,0,0,0,0,22600
20,2023-08-10,680,682,677,682,132900,682,80300,1052500,13.11,0,0,0,15300
21,2023-08-09,682,682,677,679,108500,679,0,0,0,0,0,0,15600
22,2023-08-08,679,682,677,680,149700,680,0,0,0,0,0,0,15600
23,2023-08-07,669,678,668,678,271400,678,0,0,0,0,0,0,17000
24,2023-08-04,666,669,663,669,185700,669,73300,1155100,15.76,0,0,0,14100
25,2023-08-03,674,674,665,665,456500,665,0,0,0,0,0,0,18100
26,2023-08-02,682,683,673,676,422800,676,0,0,0,0,0,0,10200
27,2023-08-01,691,691,677,677,977500,677,0,0,0,0,0,0,9600
28,2023-07-31,710,715,706,714,336200,714,0,0,0,0,0,0,14700
29,2023-07-28,698,705,697,705,217900,705,58600,949600,16.2,0,0,0,15800
30,2023-07-27,700,703,698,702,116900,702,0,0,0,0,0,6800,15000
31,2023-07-26,703,703,699,701,186400,701,0,0,0,0,0,7000,14800
32,2023-07-25,704,706,702,705,94200,705,0,0,0,0,0,7000,14200
33,2023-07-24,705,706,702,703,55000,703,0,0,0,0,0,7000,30100
34,2023-07-21,703,703,697,700,146500,700,72200,1000600,13.86,0,0,7000,30200
35,2023-07-20,700,704,699,700,139200,700,0,0,0,0,0,7000,30200
36,2023-07-19,694,698,693,698,175900,698,0,0,0,0,0,7000,15900
37,2023-07-18,695,696,690,692,167400,692,0,0,0,0,0,7000,16300
38,2023-07-14,699,701,691,694,124900,694,66700,923500,13.85,0,0,7000,14400
39,2023-07-13,700,701,694,698,86500,698,0,0,0,0,0,8500,13900
40,2023-07-12,702,702,697,699,122000,699,0,0,0,0,0,8500,13500
41,2023-07-11,700,704,698,699,131200,699,0,0,0,0,0,8400,13200
42,2023-07-10,698,701,695,697,192900,697,0,0,0,0,0,8000,14000
43,2023-07-07,698,698,691,696,174100,696,66300,901600,13.6,0,0,8000,13400
44,2023-07-06,705,705,700,700,98300,700,0,0,0,0,0,7200,12100
45,2023-07-05,707,710,702,707,127200,707,0,0,0,0,0,7200,10600
46,2023-07-04,706,713,705,709,137900,709,0,0,0,0,0,7000,8600
47,2023-07-03,711,715,710,712,93100,712,0,0,0,0,0,7000,7300
48,2023-06-30,712,715,705,711,143500,711,54500,889000,16.31,0,0,7000,7300
49,2023-06-29,720,723,711,712,70200,712,0,0,0,0,0,7000,7400
50,2023-06-28,713,720,713,720,98100,720,0,0,0,0,0,7000,9900
51,2023-06-27,716,716,708,711,94700,711,0,0,0,0,0,7000,7400
52,2023-06-26,713,716,707,716,87300,716,0,0,0,0,0,7000,5600
53,2023-06-23,720,724,710,711,150100,711,50000,882800,17.66,0,0,7000,5700
54,2023-06-22,709,719,709,719,189800,719,0,0,0,0,0,7000,9300
55,2023-06-21,703,713,703,706,102300,706,0,0,0,0,0,7000,8300
56,2023-06-20,702,704,698,704,108100,704,0,0,0,0,0,7100,7600
57,2023-06-19,706,707,701,705,78300,705,0,0,0,0,0,7000,7000
58,2023-06-16,706,707,699,700,389200,700,56800,879400,15.48,0,0,7000,8700
59,2023-06-15,706,715,704,708,198200,708,0,0,0,0,0,7000,7600
60,2023-06-14,705,708,700,703,139000,703,0,0,0,0,0,7000,6800
61,2023-06-13,696,704,696,700,104800,700,0,0,0,0,0,7000,6800
62,2023-06-12,699,703,695,696,87200,696,0,0,0,0,0,7000,6100
63,2023-06-09,687,698,687,696,162300,696,57100,872800,15.29,0,0,7000,6500
64,2023-06-08,693,695,685,690,127000,690,0,0,0,0,0,7000,7600
65,2023-06-07,697,700,689,690,168500,690,0,0,0,0,0,7200,7000
66,2023-06-06,689,697,687,694,143500,694,0,0,0,0,0,7000,6400
67,2023-06-05,697,697,686,689,149800,689,0,0,0,0,0,7000,6900
68,2023-06-02,677,689,675,687,130000,687,38700,866000,22.38,0,0,7000,6500
69,2023-06-01,682,684,677,677,180300,677,0,0,0,0,0,7000,6700
70,2023-05-31,692,694,683,683,293900,683,0,0,0,0,0,7000,14400
71,2023-05-30,699,701,695,699,101900,699,0,0,0,0,0,7000,10600
72,2023-05-29,704,704,700,701,79000,701,0,0,0,0,0,7000,6300
73,2023-05-26,703,706,696,696,151500,696,40600,835600,20.58,0,0,7000,6100
74,2023-05-25,705,707,702,706,91900,706,0,0,0,0,0,7000,10400
75,2023-05-24,714,718,708,708,125400,708,0,0,0,0,0,7000,12400
76,2023-05-23,732,732,717,717,167600,717,0,0,0,0,0,7000,16300
77,2023-05-22,727,732,721,732,80100,732,0,0,0,0,0,7000,5800
78,2023-05-19,737,737,724,727,166700,727,43600,808000,18.53,0,0,7000,5900
79,2023-05-18,735,736,725,733,145100,733,0,0,0,0,0,7000,6100
80,2023-05-17,737,738,725,737,151900,737,0,0,0,0,0,7000,7000
81,2023-05-16,763,764,738,740,263100,740,0,0,0,0,0,7000,6700
82,2023-05-15,766,769,761,766,205500,766,0,0,0,0,0,7000,5800
83,2023-05-12,754,757,750,756,110000,756,31600,880000,27.85,0,0,8000,6900
84,2023-05-11,748,755,746,755,59300,755,0,0,0,0,0,8800,7500
85,2023-05-10,761,761,748,751,146300,751,0,0,0,0,0,8600,8200
86,2023-05-09,759,762,755,761,126100,761,0,0,0,0,0,8800,6900
87,2023-05-08,745,756,744,755,134800,755,0,0,0,0,0,8600,5400
88,2023-05-02,749,749,738,743,70800,743,0,0,0,0,0,8600,5300
89,2023-05-01,749,753,741,746,131200,746,0,0,0,0,0,8600,4900
90,2023-04-28,738,745,738,745,127000,745,46400,874600,18.85,0,0,9000,4300
91,2023-04-27,733,733,727,732,73800,732,0,0,0,0,0,9000,6400
92,2023-04-26,728,738,726,734,150100,734,0,0,0,0,0,9100,5800
93,2023-04-25,727,734,724,727,125600,727,0,0,0,0,0,9100,5700
94,2023-04-24,722,728,721,724,73800,724,0,0,0,0,0,9100,5500
95,2023-04-21,710,724,710,721,163500,721,41900,899400,21.47,0,0,9000,4800
96,2023-04-20,706,712,705,712,70400,712,0,0,0,0,0,8500,5200
97,2023-04-19,710,710,704,709,94200,709,0,0,0,0,0,8500,5400
98,2023-04-18,712,713,706,713,101900,713,0,0,0,0,0,8500,5900
99,2023-04-17,712,712,706,708,44400,708,0,0,0,0,0,8500,6300
100,2023-04-14,710,711,705,707,102400,707,40700,902400,22.17,0,0,8500,6300
101,2023-04-13,709,710,703,704,101000,704,0,0,0,0,0,8500,7100
102,2023-04-12,709,716,708,713,116200,713,0,0,0,0,0,8500,6400
103,2023-04-11,711,715,705,708,179400,708,0,0,0,0,0,8500,7100
104,2023-04-10,710,711,700,703,136900,703,0,0,0,0,0,8500,7500
105,2023-04-07,705,710,700,707,119500,707,31000,916600,29.57,0,0,8800,8600
106,2023-04-06,704,709,700,702,135500,702,0,0,0,0,0,8500,7200
107,2023-04-05,713,715,699,706,177800,706,0,0,0,0,0,8500,7200
108,2023-04-04,713,723,713,719,250100,719,0,0,0,0,0,8600,7400
109,2023-04-03,702,711,699,711,184400,711,0,0,0,0,0,8500,8600
110,2023-03-31,685,704,685,702,285600,702,37400,897900,24.01,0,0,8500,9900
111,2023-03-30,684,685,678,680,212300,680,0,0,0,0,0,8900,40800
112,2023-03-29,683,696,683,695,524900,695,0,0,0,0.15,3,73600,4900
113,2023-03-28,686,688,677,682,347500,682,0,0,0,0,0,10700,9800
114,2023-03-27,689,690,683,684,260000,684,0,0,0,0,0,9600,8700
115,2023-03-24,685,689,679,684,420700,684,751800,822900,1.09,0,0,9500,8900
116,2023-03-23,684,686,683,686,136400,686,0,0,0,0,0,9500,8800
117,2023-03-22,692,695,683,687,208200,687,0,0,0,0,0,8600,8600
118,2023-03-20,692,698,685,686,204000,686,0,0,0,0,0,0,0
119,2023-03-17,689,696,688,694,236700,694,411600,955300,2.32,0,0,0,0
120,2023-03-10,0,0,0,0,0,0,265000,955500,3.61,0,0,0,0
121,2023-03-03,0,0,0,0,0,0,123600,929600,7.52,0,0,0,0
122,2023-02-24,0,0,0,0,0,0,64700,897300,13.87,0,0,0,0
123,2023-02-17,0,0,0,0,0,0,53800,911000,16.93,0,0,0,0
124,2023-02-10,0,0,0,0,0,0,45500,899500,19.77,0,0,0,0
125,2023-02-03,0,0,0,0,0,0,41300,899300,21.77,0,0,0,0
126,2023-01-27,0,0,0,0,0,0,28200,921600,32.68,0,0,0,0
127,2023-01-20,0,0,0,0,0,0,29600,934600,31.57,0,0,0,0
128,2023-01-13,0,0,0,0,0,0,27200,961300,35.34,0,0,0,0
