,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,651,653,643,647,303000,647,0,0,0,0,0,0,0
1,2023-10-16,0,659,661,645,646,323300,646,0,0,0,0,0,0,17100
2,2023-10-13,4,663,664,653,655,266300,655,32200,1174700,36.48,0,0,0,15000
3,2023-10-12,3,673,673,664,665,245800,665,0,0,0,0,0,0,13100
4,2023-10-11,2,671,675,668,672,190700,672,0,0,0,0,0,0,11200
5,2023-10-10,1,666,675,666,675,237300,675,0,0,0,0,0,100,12100
6,2023-10-06,4,653,662,652,659,164900,659,36100,1173700,32.51,0,0,100,12100
7,2023-10-05,3,645,653,644,650,380100,650,0,0,0,0,0,100,12700
8,2023-10-04,2,659,659,641,644,727800,644,0,0,0,0,0,5200,11200
9,2023-10-03,1,671,671,663,663,492100,663,0,0,0,0,0,0,23000
10,2023-10-02,0,680,686,671,671,476800,671,0,0,0,0,0,0,17100
11,2023-09-29,4,684,684,671,672,592900,672,85300,1025800,12.03,0,0,1000,15400
12,2023-09-28,3,686,689,678,683,927700,683,0,0,0,0,0,1800,80300
13,2023-09-27,2,704,708,695,706,1209000,706,0,0,0,0.75,3,192100,3500
14,2023-09-26,1,723,723,712,712,600100,712,0,0,0,0,0,2200,4800
15,2023-09-25,0,719,727,719,726,590100,726,0,0,0,0,0,400,10500
16,2023-09-22,4,711,721,710,717,459000,717,1334800,971400,0.73,0,0,0,3500
17,2023-09-21,3,729,730,717,718,381900,718,0,0,0,0,0,300,4100
18,2023-09-20,2,749,750,730,730,409100,730,0,0,0,0,0,2200,4600
19,2023-09-19,1,757,757,743,750,379300,750,0,0,0,0,0,4000,4000
20,2023-09-15,4,759,759,753,753,214800,753,788500,961500,1.22,0,0,4800,11900
21,2023-09-14,3,755,757,753,753,273500,753,0,0,0,0,0,3000,11800
22,2023-09-13,2,756,756,751,755,201300,755,0,0,0,0,0,1900,11900
23,2023-09-12,1,750,756,750,755,258400,755,0,0,0,0,0,1900,11600
24,2023-09-11,0,755,764,751,755,295400,755,0,0,0,0,0,1000,11400
25,2023-09-08,4,754,759,744,746,343100,746,427100,961800,2.25,0,0,1000,11400
26,2023-09-07,3,743,757,742,754,331000,754,0,0,0,0,0,700,11300
27,2023-09-06,2,746,747,741,744,175500,744,0,0,0,0,0,0,12400
28,2023-09-05,1,747,747,741,746,259000,746,0,0,0,0,0,500,12700
29,2023-09-04,0,734,746,733,746,280100,746,0,0,0,0,0,500,7600
30,2023-09-01,4,727,730,725,730,214600,730,199800,982600,4.92,0,0,400,7800
31,2023-08-31,3,724,730,722,727,171500,727,0,0,0,0,0,400,7700
32,2023-08-30,2,720,724,719,721,200100,721,0,0,0,0,0,400,7700
33,2023-08-29,1,720,722,718,722,200500,722,0,0,0,0,0,400,8500
34,2023-08-28,0,725,728,717,720,260200,720,0,0,0,0,0,400,8400
35,2023-08-25,4,715,723,713,720,262700,720,109200,978000,8.96,0,0,100,9600
36,2023-08-24,3,703,719,700,718,300100,718,0,0,0,0,0,0,9600
37,2023-08-23,2,692,703,691,702,296400,702,0,0,0,0,0,0,9600
38,2023-08-22,1,682,689,682,689,167500,689,0,0,0,0,0,0,9500
39,2023-08-21,0,675,684,674,681,171900,681,0,0,0,0,0,0,9800
40,2023-08-18,4,673,674,668,671,265900,671,83500,1003100,12.01,0,0,0,10100
41,2023-08-17,3,679,681,672,676,224800,676,0,0,0,0,0,0,9200
42,2023-08-16,2,673,675,670,674,157400,674,0,0,0,0,0,0,5900
43,2023-08-15,1,676,678,672,675,196400,675,0,0,0,0,0,0,22300
44,2023-08-14,0,682,683,673,675,351300,675,0,0,0,0,0,0,22600
45,2023-08-10,3,680,682,677,682,132900,682,80300,1052500,13.11,0,0,0,15300
46,2023-08-09,2,682,682,677,679,108500,679,0,0,0,0,0,0,15600
47,2023-08-08,1,679,682,677,680,149700,680,0,0,0,0,0,0,15600
48,2023-08-07,0,669,678,668,678,271400,678,0,0,0,0,0,0,17000
