,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,209.0,211.0,207.0,208.0,39300.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2023-10-16,207.0,213.0,204.0,208.0,102700.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0
2,2023-10-13,214.0,216.0,209.0,212.0,131300.0,212.0,400.0,119200.0,298.0,0.0,0.0,0,0
3,2023-10-12,224.0,224.0,214.0,215.0,179700.0,215.0,0.0,0.0,0.0,0.0,0.0,0,0
4,2023-10-11,233.0,243.0,209.0,219.0,513300.0,219.0,0.0,0.0,0.0,0.0,0.0,0,0
5,2023-10-10,227.0,232.0,221.0,232.0,129800.0,232.0,0.0,0.0,0.0,0.0,0.0,0,0
6,2023-10-06,218.0,226.0,217.0,224.0,63200.0,224.0,400.0,68300.0,170.75,0.0,0.0,0,0
7,2023-10-05,217.0,218.0,213.0,217.0,37500.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0
8,2023-10-04,219.0,219.0,212.0,213.0,62600.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0
9,2023-10-03,224.0,234.0,220.0,224.0,142400.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0
10,2023-10-02,230.0,238.0,222.0,222.0,93900.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0
11,2023-09-29,238.0,241.0,228.0,228.0,111000.0,228.0,400.0,71900.0,179.75,0.0,0.0,0,0
12,2023-09-28,238.0,243.0,234.0,237.0,82600.0,237.0,0.0,0.0,0.0,0.0,0.0,0,0
13,2023-09-27,236.0,251.0,234.0,238.0,283300.0,238.0,0.0,0.0,0.0,0.0,0.0,0,0
14,2023-09-26,236.0,280.0,235.0,239.0,974200.0,239.0,0.0,0.0,0.0,0.0,0.0,0,0
15,2023-09-25,232.0,242.0,232.0,236.0,74700.0,236.0,0.0,0.0,0.0,0.0,0.0,0,0
16,2023-09-22,225.0,237.0,225.0,232.0,117500.0,232.0,400.0,56900.0,142.25,0.0,0.0,0,0
17,2023-09-21,222.0,231.0,219.0,228.0,295800.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0
18,2023-09-20,222.0,224.0,219.0,222.0,39200.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0
19,2023-09-19,228.0,229.0,222.0,224.0,65500.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0
20,2023-09-15,231.0,231.0,222.0,227.0,70400.0,227.0,400.0,71200.0,178.0,0.0,0.0,0,0
21,2023-09-14,224.0,229.0,224.0,229.0,34900.0,229.0,0.0,0.0,0.0,0.0,0.0,0,0
22,2023-09-13,232.0,232.0,222.0,222.0,58700.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0
23,2023-09-12,234.0,234.0,224.0,230.0,180500.0,230.0,0.0,0.0,0.0,0.0,0.0,0,0
24,2023-09-11,224.0,239.0,222.0,234.0,215800.0,234.0,0.0,0.0,0.0,0.0,0.0,0,0
25,2023-09-08,227.0,229.0,208.0,220.0,84100.0,220.0,400.0,113600.0,284.0,0.0,0.0,0,0
26,2023-09-07,221.0,233.0,221.0,228.0,127400.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0
27,2023-09-06,225.0,225.0,221.0,223.0,71300.0,223.0,0.0,0.0,0.0,0.0,0.0,0,0
28,2023-09-05,227.0,229.0,215.0,225.0,146000.0,225.0,0.0,0.0,0.0,0.0,0.0,0,0
29,2023-09-04,215.0,216.0,212.0,213.0,46200.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0
30,2023-09-01,213.0,215.0,211.0,213.0,45000.0,213.0,400.0,143400.0,358.5,0.0,0.0,0,0
31,2023-08-31,208.0,213.0,208.0,213.0,49700.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0
32,2023-08-30,211.0,212.0,209.0,209.0,31800.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0
33,2023-08-29,209.0,213.0,207.0,210.0,63800.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0
34,2023-08-28,204.0,208.0,204.0,205.0,18600.0,205.0,0.0,0.0,0.0,0.0,0.0,0,0
35,2023-08-25,206.0,211.0,203.0,204.0,92800.0,204.0,400.0,147400.0,368.5,0.0,0.0,0,0
36,2023-08-24,214.0,214.0,207.0,207.0,87700.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0
37,2023-08-23,214.0,215.0,210.0,211.0,34000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0
38,2023-08-22,211.0,214.0,209.0,211.0,16600.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0
39,2023-08-21,207.0,216.0,207.0,211.0,74000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0
40,2023-08-18,205.0,212.0,205.0,207.0,36600.0,207.0,400.0,150300.0,375.75,0.0,0.0,0,0
41,2023-08-17,207.0,212.0,205.0,209.0,47100.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0
42,2023-08-16,210.0,211.0,207.0,211.0,35900.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0
43,2023-08-15,213.0,213.0,207.0,212.0,55700.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0
44,2023-08-14,215.0,220.0,210.0,213.0,65400.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0
45,2023-08-10,208.0,214.0,205.0,212.0,60200.0,212.0,400.0,143800.0,359.5,0.0,0.0,0,0
46,2023-08-09,201.0,210.0,201.0,208.0,58400.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0
47,2023-08-08,204.0,205.0,201.0,201.0,39600.0,201.0,0.0,0.0,0.0,0.0,0.0,0,0
48,2023-08-07,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0.0,0.0,0,0
49,2023-08-04,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,137000.0,342.5,0.0,0.0,0,0
50,2023-08-03,211.0,211.0,206.0,207.0,85100.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0
51,2023-08-02,216.0,217.0,212.0,212.0,82600.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0
52,2023-08-01,217.0,221.0,214.0,218.0,66100.0,218.0,0.0,0.0,0.0,0.0,0.0,0,0
53,2023-07-31,222.0,230.0,215.0,216.0,190600.0,216.0,0.0,0.0,0.0,0.0,0.0,0,0
54,2023-07-28,224.0,225.0,214.0,215.0,150300.0,215.0,400.0,89700.0,224.25,0.0,0.0,0,0
55,2023-07-27,221.0,226.0,221.0,224.0,78100.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0
56,2023-07-26,233.0,234.0,222.0,222.0,129400.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0
57,2023-07-25,234.0,235.0,231.0,233.0,84700.0,233.0,0.0,0.0,0.0,0.0,0.0,0,0
58,2023-07-24,248.0,249.0,232.0,235.0,220600.0,235.0,0.0,0.0,0.0,0.0,0.0,0,0
59,2023-07-21,234.0,249.0,232.0,246.0,556300.0,246.0,400.0,75600.0,189.0,0.0,0.0,0,0
60,2023-07-20,239.0,240.0,230.0,230.0,151000.0,230.0,0.0,0.0,0.0,0.0,0.0,0,0
61,2023-07-19,237.0,241.0,231.0,238.0,210000.0,238.0,0.0,0.0,0.0,0.0,0.0,0,0
62,2023-07-18,227.0,239.0,220.0,231.0,234200.0,231.0,0.0,0.0,0.0,0.0,0.0,0,0
63,2023-07-14,219.0,230.0,219.0,224.0,222100.0,224.0,400.0,78900.0,197.25,0.0,0.0,0,0
64,2023-07-13,224.0,232.0,216.0,221.0,331900.0,221.0,0.0,0.0,0.0,0.0,0.0,0,0
65,2023-07-12,245.0,252.0,223.0,224.0,900900.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0
66,2023-07-11,249.0,298.0,235.0,253.0,2910900.0,253.0,0.0,0.0,0.0,0.0,0.0,0,0
67,2023-07-10,220.0,247.0,216.0,233.0,964000.0,233.0,0.0,0.0,0.0,0.0,0.0,0,0
68,2023-07-07,215.0,225.0,209.0,212.0,425900.0,212.0,2000.0,73100.0,36.55,0.0,0.0,0,0
69,2023-07-06,204.0,225.0,201.0,224.0,518200.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0
70,2023-07-05,206.0,206.0,199.0,202.0,129100.0,202.0,0.0,0.0,0.0,0.0,0.0,0,0
71,2023-07-04,193.0,205.0,193.0,204.0,171600.0,204.0,0.0,0.0,0.0,0.0,0.0,0,0
72,2023-07-03,190.0,197.0,190.0,195.0,65400.0,195.0,0.0,0.0,0.0,0.0,0.0,0,0
73,2023-06-30,189.0,190.0,186.0,190.0,58100.0,190.0,1000.0,122100.0,122.1,0.0,0.0,0,0
74,2023-06-29,192.0,192.0,189.0,190.0,36100.0,190.0,0.0,0.0,0.0,0.0,0.0,0,0
75,2023-06-28,187.0,192.0,187.0,191.0,51600.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0
76,2023-06-27,192.0,193.0,185.0,188.0,198700.0,188.0,0.0,0.0,0.0,0.0,0.0,0,0
77,2023-06-26,202.0,214.0,192.0,192.0,371800.0,192.0,0.0,0.0,0.0,0.0,0.0,0,0
78,2023-06-23,197.0,208.0,195.0,199.0,296300.0,199.0,1000.0,101200.0,101.2,0.0,0.0,0,0
