,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,188,189,183,185,64200,185,0,0,0,0,0,0,0,4,1,0.0211640211640212,3
1,2023-11-01,2,43,186,189,183,189,80500,189,0,0,0,0,0,0,0,-4,0,-0.0216216216216216,-3
2,2023-10-31,1,43,182,186,176,185,77200,185,0,0,0,0,0,0,0,-4,0,-0.0220994475138122,-3
3,2023-10-30,0,43,188,189,181,181,145100,181,0,0,0,0,0,0,0,8,1,0.0423280423280423,7
4,2023-10-27,4,42,187,192,186,189,73400,189,400,85200,213,0,0,0,0,-2,0,-0.0106951871657754,-2
5,2023-10-26,3,42,191,192,185,187,125500,187,0,0,0,0,0,0,0,4,1,0.0209424083769634,4
6,2023-10-25,2,42,197,197,190,191,111800,191,0,0,0,0,0,0,0,6,1,0.0304568527918782,6
7,2023-10-24,1,42,197,197,188,197,137700,197,0,0,0,0,0,0,0,-1,0,-0.00510204081632653,0
8,2023-10-23,0,42,203,203,195,196,118900,196,0,0,0,0,0,0,0,7,1,0.0344827586206897,7
9,2023-10-20,4,41,206,206,197,203,127000,203,400,78000,195,0,0,0,0,3,1,0.0145631067961165,3
10,2023-10-19,3,41,211,212,206,206,83600,206,0,0,0,0,0,0,0,4,1,0.0190476190476191,5
11,2023-10-18,2,41,208,212,204,210,103000,210,0,0,0,0,0,0,0,-2,0,-0.00961538461538462,-2
12,2023-10-17,1,41,209,211,207,208,39300,208,0,0,0,0,0,0,0,0,0,0,1
13,2023-10-16,0,41,207,213,204,208,102700,208,0,0,0,0,0,0,0,4,1,0.0188679245283019,-1
14,2023-10-13,4,40,214,216,209,212,131300,212,400,119200,298,0,0,0,0,3,1,0.013953488372093,2
15,2023-10-12,3,40,224,224,214,215,179700,215,0,0,0,0,0,0,0,4,1,0.0182648401826484,9
16,2023-10-11,2,40,233,243,209,219,513300,219,0,0,0,0,0,0,0,13,1,0.0560344827586207,14
17,2023-10-10,1,40,227,232,221,232,129800,232,0,0,0,0,0,0,0,-8,0,-0.0357142857142857,-5
18,2023-10-06,4,39,218,226,217,224,63200,224,400,68300,170.75,0,0,0,0,-7,0,-0.032258064516129,-6
19,2023-10-05,3,39,217,218,213,217,37500,217,0,0,0,0,0,0,0,-4,0,-0.0187793427230047,0
20,2023-10-04,2,39,219,219,212,213,62600,213,0,0,0,0,0,0,0,11,1,0.0491071428571429,6
21,2023-10-03,1,39,224,234,220,224,142400,224,0,0,0,0,0,0,0,-2,0,-0.00900900900900901,0
22,2023-10-02,0,39,230,238,222,222,93900,222,0,0,0,0,0,0,0,6,1,0.0263157894736842,8
23,2023-09-29,4,38,238,241,228,228,111000,228,400,71900,179.75,0,0,0,0,9,1,0.0379746835443038,10
24,2023-09-28,3,38,238,243,234,237,82600,237,0,0,0,0,0,0,0,1,1,0.00420168067226891,1
25,2023-09-27,2,38,236,251,234,238,283300,238,0,0,0,0,0,0,0,1,1,0.00418410041841004,-2
26,2023-09-26,1,38,236,280,235,239,974200,239,0,0,0,0,0,0,0,-3,0,-0.0127118644067797,-3
27,2023-09-25,0,38,232,242,232,236,74700,236,0,0,0,0,0,0,0,-4,0,-0.0172413793103448,-4
28,2023-09-22,4,37,225,237,225,232,117500,232,400,56900,142.25,0,0,0,0,-4,0,-0.0175438596491228,-7
29,2023-09-21,3,37,222,231,219,228,295800,228,0,0,0,0,0,0,0,-6,0,-0.027027027027027,-6
30,2023-09-20,2,37,222,224,219,222,39200,222,0,0,0,0,0,0,0,2,1,0.00892857142857143,0
31,2023-09-19,1,37,228,229,222,224,65500,224,0,0,0,0,0,0,0,3,1,0.013215859030837,4
32,2023-09-15,4,36,231,231,222,227,70400,227,400,71200,178,0,0,0,0,2,1,0.00873362445414847,4
33,2023-09-14,3,36,224,229,224,229,34900,229,0,0,0,0,0,0,0,-7,0,-0.0315315315315315,-5
34,2023-09-13,2,36,232,232,222,222,58700,222,0,0,0,0,0,0,0,8,1,0.0347826086956522,10
35,2023-09-12,1,36,234,234,224,230,180500,230,0,0,0,0,0,0,0,4,1,0.0170940170940171,4
36,2023-09-11,0,36,224,239,222,234,215800,234,0,0,0,0,0,0,0,-14,0,-0.0636363636363636,-10
37,2023-09-08,4,35,227,229,208,220,84100,220,400,113600,284,0,0,0,0,8,1,0.0350877192982456,7
38,2023-09-07,3,35,221,233,221,228,127400,228,0,0,0,0,0,0,0,-5,0,-0.0224215246636771,-7
39,2023-09-06,2,35,225,225,221,223,71300,223,0,0,0,0,0,0,0,2,1,0.00888888888888889,2
40,2023-09-05,1,35,227,229,215,225,146000,225,0,0,0,0,0,0,0,-12,0,-0.0563380281690141,2
41,2023-09-04,0,35,215,216,212,213,46200,213,0,0,0,0,0,0,0,0,0,0,2
42,2023-09-01,4,34,213,215,211,213,45000,213,400,143400,358.5,0,0,0,0,0,0,0,0
43,2023-08-31,3,34,208,213,208,213,49700,213,0,0,0,0,0,0,0,-4,0,-0.0191387559808612,-5
44,2023-08-30,2,34,211,212,209,209,31800,209,0,0,0,0,0,0,0,1,1,0.00476190476190476,2
45,2023-08-29,1,34,209,213,207,210,63800,210,0,0,0,0,0,0,0,-5,0,-0.024390243902439,-1
46,2023-08-28,0,34,204,208,204,205,18600,205,0,0,0,0,0,0,0,-1,0,-0.00490196078431373,-1
47,2023-08-25,4,33,206,211,203,204,92800,204,400,147400,368.5,0,0,0,0,3,1,0.0144927536231884,2
48,2023-08-24,3,33,214,214,207,207,87700,207,0,0,0,0,0,0,0,4,1,0.018957345971564,7
