,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,1528,1537,1476,1476,6259000,1476,0,0,0,0,0,0,0,22,1,0.0146862483311081,52
1,2023-11-01,2,43,1493,1503,1475,1498,5562900,1498,0,0,0,0,0,400,129300,-74,0,-0.0519662921348315,-5
2,2023-10-31,1,43,1453,1454,1401,1424,7625000,1424,0,0,0,0,0,11100,128400,15,1,0.0104239054899236,29
3,2023-10-30,0,43,1470,1472.5,1429,1439,5574200,1439,0,0,0,0,0,15000,141200,62,1,0.0413057961359094,31
4,2023-10-27,4,42,1502,1509.5,1493.5,1501,4498300,1501,624900,4355200,6.97,0,0,17000,124300,2.5,1,0.0016627868307283,1
5,2023-10-26,3,42,1515,1524.5,1492.5,1503.5,3716600,1503.5,0,0,0,0,0,37500,122900,19.5,1,0.0128036769533815,11.5
6,2023-10-25,2,42,1535.5,1550,1523,1523,3314500,1523,0,0,0,0,0,19500,123200,-12,0,-0.00794176042356056,12.5
7,2023-10-24,1,42,1508.5,1527.5,1472,1511,4635700,1511,0,0,0,0,0,20400,143000,-9.5,0,-0.00632700632700633,-2.5
8,2023-10-23,0,42,1511,1523,1482,1501.5,3536600,1501.5,0,0,0,0,0,46900,142700,12,1,0.00792864222001982,9.5
9,2023-10-20,4,41,1538.5,1540.5,1502,1513.5,4944000,1513.5,677000,4229000,6.25,0,0,28400,140400,41,1,0.026375040205854,25
10,2023-10-19,3,41,1572.5,1585,1552,1554.5,3606400,1554.5,0,0,0,0,0,34800,118100,57,1,0.0353707725721378,18
11,2023-10-18,2,41,1619.5,1641,1606,1611.5,3615700,1611.5,0,0,0,0,0,61200,108400,-17,0,-0.0106616494198808,8
12,2023-10-17,1,41,1620,1623,1577,1594.5,3970800,1594.5,0,0,0,0,0,28700,108100,-3.5,0,-0.00219987429289755,25.5
13,2023-10-16,0,41,1600,1605,1574.5,1591,3647800,1591,0,0,0,0,0,54500,106200,14,1,0.00872274143302181,9
14,2023-10-13,4,40,1612,1649.5,1597.5,1605,5258600,1605,775100,3933000,5.07,0,0,52600,107200,31.5,1,0.0192483959670028,7
15,2023-10-12,3,40,1617,1639,1612,1636.5,4512700,1636.5,0,0,0,0,0,74100,123300,-42.5,0,-0.0266624843161857,-19.5
16,2023-10-11,2,40,1571,1614,1568,1594,5661700,1594,0,0,0,0,0,46200,128600,-28.5,0,-0.0182050463110827,-23
17,2023-10-10,1,40,1538.5,1570,1528.5,1565.5,4468600,1565.5,0,0,0,0,0,68300,107600,-45,0,-0.0295955277869122,-27
18,2023-10-06,4,39,1510,1532.5,1493.5,1520.5,5336200,1520.5,740600,3636200,4.91,0,0,30900,107300,1.5,1,0.000985545335085414,-10.5
19,2023-10-05,3,39,1545,1548.5,1506.5,1522,6112200,1522,0,0,0,0,0,47200,95300,-28,0,-0.0187416331994645,23
20,2023-10-04,2,39,1565,1578.5,1490,1494,10283800,1494,0,0,0,0,0,37400,96400,111,1,0.0691588785046729,71
