,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,1393,1416,1383,1392,115300,1392,0,0,0,0,0,0,0
1,2023-10-16,0,1397,1413,1374,1385,174100,1385,0,0,0,0,0,8300,25000
2,2023-10-13,4,1444,1455,1397,1401,204100,1401,25900,226400,8.74,0,0,6200,25800
3,2023-10-12,3,1436,1458,1429,1456,134700,1456,0,0,0,0,0,4800,25800
4,2023-10-11,2,1475,1483,1438,1441,205900,1441,0,0,0,0,0,5800,25900
5,2023-10-10,1,1473,1484,1461,1475,164000,1475,0,0,0,0,0,6000,25800
6,2023-10-06,4,1447,1463,1428,1443,223900,1443,27500,218500,7.95,0,0,6100,25500
7,2023-10-05,3,1438,1460,1428,1460,158100,1460,0,0,0,0,0,6100,25000
8,2023-10-04,2,1472,1481,1437,1439,204000,1439,0,0,0,0,0,6700,24800
9,2023-10-03,1,1577,1577,1487,1493,241900,1493,0,0,0,0,0,5000,25500
10,2023-10-02,0,1576,1622,1576,1577,161700,1577,0,0,0,0,0,4900,25000
11,2023-09-29,4,1612,1629,1566,1574,191400,1574,26600,207000,7.78,0,0,6600,25000
12,2023-09-28,3,1621,1634,1601,1613,96700,1613,0,0,0,0,0,4900,25000
13,2023-09-27,2,1625,1650,1612,1644,103200,1644,0,0,0,0,0,4500,25000
14,2023-09-26,1,1637,1646,1622,1628,47500,1628,0,0,0,0,0,4400,24500
15,2023-09-25,0,1616,1642,1614,1637,53400,1637,0,0,0,0,0,4400,24500
16,2023-09-22,4,1608,1627,1598,1616,78400,1616,21200,200400,9.45,0,0,4800,24500
17,2023-09-21,3,1634,1650,1610,1620,114000,1620,0,0,0,0,0,5000,24500
18,2023-09-20,2,1648,1655,1631,1634,102500,1634,0,0,0,0,0,4200,24300
19,2023-09-19,1,1653,1658,1634,1656,100800,1656,0,0,0,0,0,4500,24400
20,2023-09-15,4,1677,1680,1654,1668,106000,1668,23200,188400,8.12,0,0,4600,24400
21,2023-09-14,3,1635,1667,1628,1653,79100,1653,0,0,0,0,0,4800,14500
22,2023-09-13,2,1638,1659,1634,1640,73400,1640,0,0,0,0,0,4400,14500
23,2023-09-12,1,1647,1666,1631,1649,76900,1649,0,0,0,0,0,4400,14200
24,2023-09-11,0,1671,1687,1644,1647,95500,1647,0,0,0,0,0,4700,14200
25,2023-09-08,4,1650,1677,1645,1671,120300,1671,23200,177200,7.64,0,0,4600,14200
26,2023-09-07,3,1720,1720,1671,1671,218500,1671,0,0,0,0,0,3900,14300
27,2023-09-06,2,1702,1747,1702,1729,132800,1729,0,0,0,0,0,4800,14200
28,2023-09-05,1,1685,1708,1672,1703,111600,1703,0,0,0,0,0,4500,14200
29,2023-09-04,0,1660,1688,1647,1686,94200,1686,0,0,0,0,0,4100,14200
30,2023-09-01,4,1673,1673,1656,1660,101300,1660,27000,103800,3.84,0,0,4200,14200
31,2023-08-31,3,1669,1692,1664,1686,127100,1686,0,0,0,0,0,4500,4500
32,2023-08-30,2,1662,1673,1657,1664,95800,1664,0,0,0,0,0,4000,4200
33,2023-08-29,1,1693,1694,1666,1671,59200,1671,0,0,0,0,0,4000,4200
34,2023-08-28,0,1655,1689,1655,1688,76700,1688,0,0,0,0,0,4300,4600
35,2023-08-25,4,1613,1652,1605,1637,93000,1637,25400,93800,3.69,0,0,3800,3800
36,2023-08-24,3,1621,1638,1613,1633,91700,1633,0,0,0,0,0,3600,4500
37,2023-08-23,2,1619,1622,1587,1622,141700,1622,0,0,0,0,0,3400,3500
38,2023-08-22,1,1621,1646,1615,1635,97900,1635,0,0,0,0,0,3400,5000
39,2023-08-21,0,1650,1650,1611,1617,126900,1617,0,0,0,0,1,3500,6300
40,2023-08-18,4,1678,1680,1642,1656,146100,1656,31100,82700,2.66,0,1,4600,3900
41,2023-08-17,3,1715,1716,1670,1684,152000,1684,0,0,0,0,1,4800,4500
42,2023-08-16,2,1805,1805,1720,1720,168300,1720,0,0,0,0,0,3000,9800
43,2023-08-15,1,1849,1849,1814,1817,114200,1817,0,0,0,0,1,3200,5100
44,2023-08-14,0,1836,1884,1831,1847,200600,1847,0,0,0,0,1,5400,4800
45,2023-08-10,3,1799,1799,1750,1796,123800,1796,25600,75000,2.93,0,0,3200,3500
46,2023-08-09,2,1806,1841,1775,1800,245000,1800,0,0,0,0,1,6000,4800
47,2023-08-08,1,1825,1866,1790,1818,153000,1818,0,0,0,0,0,2800,4600
48,2023-08-07,0,1800,1830,1708,1790,297000,1790,0,0,0,0,0,1800,2700
49,2023-08-04,4,1768,1787,1751,1769,61200,1769,16300,89900,5.52,0,0,1600,2700
50,2023-08-03,3,1799,1801,1762,1772,123200,1772,0,0,0,0,0,1700,2800
51,2023-08-02,2,1825,1842,1805,1811,64300,1811,0,0,0,0,0,1700,2800
52,2023-08-01,1,1833,1841,1828,1840,45400,1840,0,0,0,0,0,2000,3300
53,2023-07-31,0,1867,1869,1835,1835,57800,1835,0,0,0,0,0,5600,4900
54,2023-07-28,4,1815,1844,1804,1836,63200,1836,19400,80100,4.13,0,0,5700,5000
55,2023-07-27,3,1833,1856,1810,1832,42700,1832,0,0,0,0,0,1800,2800
56,2023-07-26,2,1859,1859,1833,1844,32000,1844,0,0,0,0,0,2200,2800
57,2023-07-25,1,1849,1860,1847,1859,36200,1859,0,0,0,0,0,2000,2800
58,2023-07-24,0,1836,1864,1836,1856,42000,1856,0,0,0,0,0,2300,2800
59,2023-07-21,4,1848,1852,1820,1836,55400,1836,19800,78500,3.96,0,0,2100,2800
60,2023-07-20,3,1864,1895,1850,1850,65700,1850,0,0,0,0,0,2100,2800
61,2023-07-19,2,1876,1881,1845,1852,80500,1852,0,0,0,0,0,1000,2800
62,2023-07-18,1,1859,1890,1858,1872,62100,1872,0,0,0,0,0,1700,2800
63,2023-07-14,4,1873,1875,1831,1846,38800,1846,18700,75800,4.05,0,0,1300,2800
64,2023-07-13,3,1880,1880,1845,1860,61900,1860,0,0,0,0,0,1000,2800
65,2023-07-12,2,1861,1889,1845,1873,104500,1873,0,0,0,0,0,1000,6700
66,2023-07-11,1,1866,1884,1840,1845,51700,1845,0,0,0,0,0,2400,2800
67,2023-07-10,0,1870,1878,1844,1847,42500,1847,0,0,0,0,0,1300,3200
68,2023-07-07,4,1855,1885,1850,1862,45700,1862,20300,78400,3.86,0,0,1300,3200
69,2023-07-06,3,1870,1878,1851,1855,39200,1855,0,0,0,0,0,1100,2800
70,2023-07-05,2,1864,1888,1860,1887,35800,1887,0,0,0,0,0,800,2800
71,2023-07-04,1,1881,1892,1865,1876,55900,1876,0,0,0,0,0,700,2800
72,2023-07-03,0,1877,1932,1877,1902,138400,1902,0,0,0,0,0,1400,2900
73,2023-06-30,4,1881,1881,1815,1850,116700,1850,16100,85800,5.33,0,0,100,2700
74,2023-06-29,3,1784,1862,1784,1849,196800,1849,0,0,0,0,0,200,3200
75,2023-06-28,2,1752,1789,1752,1773,75100,1773,0,0,0,0,0,0,7200
