,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-23,1215,1250,1212,1244,39400,1244,0,0,0,0,0,0,0
1,2023-08-22,1205,1214,1203,1211,41600,1211,0,0,0,-,-,1000,3100
2,2023-08-21,1207,1219,1204,1205,45700,1205,0,0,0,-,-,1200,3100
3,2023-08-18,1201,1214,1195,1209,40000,1209,1500,136900,91.27,-,-,0,2100
4,2023-08-17,1209,1210,1186,1210,52500,1210,0,0,0,-,-,1000,2100
5,2023-08-16,1235,1235,1212,1215,38300,1215,0,0,0,-,-,700,2100
6,2023-08-15,1235,1246,1232,1242,34700,1242,0,0,0,-,-,1300,2200
7,2023-08-14,1235,1253,1227,1235,39300,1235,0,0,0,-,-,1300,200
8,2023-08-10,1204,1235,1204,1233,33400,1233,5500,119800,21.78,-,-,1300,1500
9,2023-08-09,1239,1239,1213,1213,60000,1213,0,0,0,-,-,1300,400
10,2023-08-08,1266,1269,1233,1237,67400,1237,0,0,0,-,-,1300,4400
11,2023-08-07,1277,1331,1261,1269,155900,1269,0,0,0,-,-,4500,6800
12,2023-08-04,1338,1375,1208,1217,251600,1217,10500,111500,10.62,-,-,4300,5500
13,2023-08-03,1356,1356,1329,1338,49300,1338,0,0,0,-,-,4000,6800
14,2023-08-02,1380,1391,1366,1374,28200,1374,0,0,0,-,-,4600,5900
15,2023-08-01,1387,1405,1384,1388,34300,1388,0,0,0,-,-,4900,4600
16,2023-07-31,1378,1407,1366,1387,49500,1387,0,0,0,-,-,6900,4400
17,2023-07-28,1368,1371,1331,1354,162100,1354,11200,134500,12.01,-,-,6800,2400
18,2023-07-27,1396,1402,1374,1389,40500,1389,0,0,0,-,-,5700,2700
19,2023-07-26,1347,1405,1331,1398,64600,1398,0,0,0,-,-,5200,3400
20,2023-07-25,1333,1355,1329,1347,46300,1347,0,0,0,-,-,5100,1600
21,2023-07-24,1327,1340,1310,1337,24100,1337,0,0,0,-,-,4800,1500
22,2023-07-21,1335,1340,1323,1327,27900,1327,10700,123800,11.57,-,-,4000,1300
23,2023-07-20,1334,1346,1331,1335,34300,1335,0,0,0,-,-,6600,1300
24,2023-07-19,1319,1335,1307,1330,40300,1330,0,0,0,-,-,6300,1400
25,2023-07-18,1267,1309,1267,1296,27000,1296,0,0,0,-,-,2900,500
26,2023-07-14,1301,1304,1270,1270,32900,1270,10100,126300,12.5,-,-,2900,500
27,2023-07-13,1307,1307,1273,1301,32800,1301,0,0,0,-,-,3200,600
28,2023-07-12,1344,1344,1285,1290,90500,1290,0,0,0,-,-,3300,2800
29,2023-07-11,1390,1390,1343,1343,47800,1343,0,0,0,-,-,4500,500
30,2023-07-10,1355,1393,1352,1376,32300,1376,0,0,0,-,-,4600,600
31,2023-07-07,1346,1370,1326,1356,47100,1356,10100,138800,13.74,-,-,4200,400
32,2023-07-06,1392,1397,1363,1365,32100,1365,0,0,0,-,-,4500,400
33,2023-07-05,1377,1391,1372,1385,33100,1385,0,0,0,-,-,4800,800
34,2023-07-04,1404,1424,1396,1396,55400,1396,0,0,0,-,-,5300,800
35,2023-07-03,1354,1404,1354,1404,53500,1404,0,0,0,-,-,5800,2000
36,2023-06-30,1360,1372,1342,1351,28100,1351,11200,135600,12.11,-,-,4900,6000
37,2023-06-29,1385,1389,1359,1372,24100,1372,0,0,0,-,-,4900,6000
38,2023-06-28,1332,1387,1332,1384,29900,1384,0,0,0,-,-,4800,6000
39,2023-06-27,1315,1324,1308,1321,18600,1321,0,0,0,-,-,4400,6000
40,2023-06-26,1331,1342,1306,1324,21500,1324,0,0,0,-,-,4800,6000
41,2023-06-23,1349,1360,1314,1333,54800,1333,10500,121500,11.57,0,0,4600,6400
42,2023-06-22,1359,1372,1344,1349,38900,1349,0,0,0,0,0,4500,1100
43,2023-06-21,1334,1367,1329,1352,17900,1352,0,0,0,0,0,4400,400
44,2023-06-20,1369,1382,1340,1348,43600,1348,0,0,0,0,0,4200,400
45,2023-06-19,1356,1406,1350,1391,58000,1391,0,0,0,0,0,4300,1100
46,2023-06-16,1351,1363,1334,1356,60600,1356,10500,125200,11.92,0,0,4000,1000
47,2023-06-15,1343,1387,1335,1373,43800,1373,0,0,0,0,0,4500,2600
48,2023-06-14,1330,1373,1330,1351,42100,1351,0,0,0,0,0,4900,3900
49,2023-06-13,1375,1380,1323,1330,82400,1330,0,0,0,0,0,4900,3800
50,2023-06-12,1314,1369,1305,1366,80700,1366,0,0,0,0,0,5900,5500
51,2023-06-09,1286,1314,1272,1310,47800,1310,13900,130200,9.37,0,0,6000,6500
52,2023-06-08,1274,1296,1266,1272,39100,1272,0,0,0,0,0,6700,6600
53,2023-06-07,1307,1314,1275,1285,57000,1285,0,0,0,0,0,6600,6700
54,2023-06-06,1255,1308,1255,1301,85900,1301,0,0,0,0,0,6400,6400
55,2023-06-05,1230,1275,1223,1255,49200,1255,0,0,0,0,0,5700,5400
56,2023-06-02,1195,1230,1190,1212,51300,1212,14600,126200,8.64,0,0,4600,3300
57,2023-06-01,1195,1195,1171,1181,48300,1181,0,0,0,0,0,3800,1400
58,2023-05-31,1219,1219,1192,1193,54900,1193,0,0,0,0,0,4800,1300
59,2023-05-30,1238,1238,1212,1212,27900,1212,0,0,0,0,0,5300,1200
60,2023-05-29,1235,1242,1217,1238,54800,1238,0,0,0,0,0,5200,1200
61,2023-05-26,1264,1264,1209,1209,58500,1209,14900,126400,8.48,0,0,2000,1000
62,2023-05-25,1251,1270,1248,1268,26800,1268,0,0,0,0,0,5700,1900
