,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,5100,5185,5043,5185,1856500,5185,0,0,0,0,0,0,0,-187,0,-0.0374149659863946,-85
1,2023-11-01,2,43,4988,5048,4961,4998,1980400,4998,0,0,0,0,0,9700,18300,-121,0,-0.0248103342218577,-10
2,2023-10-31,1,43,4904,4923,4839,4877,1482700,4877,0,0,0,0,0,11000,19000,30,1,0.0061137151008763,27
3,2023-10-30,0,43,4930,4988,4880,4907,3939400,4907,0,0,0,0,0,10400,22400,129,1,0.0256155679110405,23
4,2023-10-27,4,42,5040,5072,4982,5036,1407700,5036,186000,762800,4.1,0,0,10400,21400,-85,0,-0.0171682488386185,4
5,2023-10-26,3,42,5096,5109,4927,4951,1994600,4951,0,0,0,0,0,11600,26000,213,1,0.0412470952749806,145
6,2023-10-25,2,42,5179,5220,5138,5164,1476700,5164,0,0,0,0,0,9100,18200,-82,0,-0.0161353797717434,15
7,2023-10-24,1,42,5065,5098,4914,5082,1715900,5082,0,0,0,0,0,8500,24500,-15,0,-0.0029603315571344,-17
8,2023-10-23,0,42,5112,5144,5067,5067,1131200,5067,0,0,0,0,0,8200,26300,88,1,0.0170708050436469,45
9,2023-10-20,4,41,5245,5257,5135,5155,1895300,5155,211600,772500,3.65,0,0,8700,25800,24,1,0.00463409924695887,90
10,2023-10-19,3,41,5300,5315,5174,5179,2284300,5179,0,0,0,0,0,10900,25600,273,1,0.0500733675715334,121
11,2023-10-18,2,41,5496,5510,5392,5452,1224800,5452,0,0,0,0,0,8000,18300,29,1,0.00529100529100529,44
12,2023-10-17,1,41,5500,5578,5428,5481,1174600,5481,0,0,0,0,0,8000,17800,-52,0,-0.00957819119543194,19
13,2023-10-16,0,41,5460,5480,5351,5429,1762400,5429,0,0,0,0,0,8100,18300,178,1,0.0317460317460317,31
14,2023-10-13,4,40,5592,5685,5525,5607,2283500,5607,272300,660300,2.42,0,0,6800,16100,35,1,0.00620347394540943,-15
15,2023-10-12,3,40,5357,5714,5341,5642,3622500,5642,0,0,0,0,0,13900,15900,-322,0,-0.0605263157894737,-285
16,2023-10-11,2,40,5290,5436,5154,5320,3539700,5320,0,0,0,0,0,12900,18600,-14,0,-0.00263852242744063,-30
17,2023-10-10,1,40,5568,5623,5240,5306,3120100,5306,0,0,0,0,0,20000,19100,47,1,0.0087801232953484,262
18,2023-10-06,4,39,5399,5404,5336,5353,1821500,5353,273500,740700,2.71,0,0,11200,16400,37,1,0.00686456400742115,46
19,2023-10-05,3,39,5312,5400,5254,5390,1561800,5390,0,0,0,0,0,9400,15400,-110,0,-0.0208333333333333,-78
20,2023-10-04,2,39,5236,5323,5223,5280,1737200,5280,0,0,0,0,0,9900,16100,64,1,0.0119760479041916,-44
21,2023-10-03,1,39,5475,5475,5285,5344,2141800,5344,0,0,0,0,0,8100,21800,136,1,0.0248175182481752,131
22,2023-10-02,0,39,5489,5663,5471,5480,2256700,5480,0,0,0,0,0,8300,20800,-85,0,-0.0157553290083411,9
23,2023-09-29,4,38,5437,5443,5366,5395,1806000,5395,245900,740700,3.01,0,0,9500,21400,-15,0,-0.00278810408921933,42
24,2023-09-28,3,38,5367,5410,5305,5380,1514700,5380,0,0,0,0,0,9400,21500,19,1,0.0035191702167068,-13
25,2023-09-27,2,38,5320,5406,5280,5399,1449100,5399,0,0,0,0,0,9100,21500,-24,0,-0.00446511627906977,-79
26,2023-09-26,1,38,5427,5459,5363,5375,1419800,5375,0,0,0,0,0,9400,21700,102,1,0.018623333941939,52
