,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,2625,2640,2596,2619.5,261500,2619.5,0,0,0,0,0,0,0
1,2023-10-16,0,2620,2622.5,2587,2596.5,458400,2596.5,0,0,0,0,0,3500,55500
2,2023-10-13,4,2696,2701.5,2647.5,2658.5,477200,2658.5,34300,564400,16.45,0,0,7200,49700
3,2023-10-12,3,2700,2746,2686.5,2746,437400,2746,0,0,0,0,0,3600,42500
4,2023-10-11,2,2678,2695,2664,2669,423400,2669,0,0,0,0,0,3500,50500
5,2023-10-10,1,2676.5,2706.5,2671.5,2678.5,473900,2678.5,0,0,0,0,0,3500,48500
6,2023-10-06,4,2648,2666,2599,2610,599900,2610,30900,566400,18.33,0,0,3500,48800
7,2023-10-05,3,2625,2646,2602,2641.5,512500,2641.5,0,0,0,0,0,3500,44900
8,2023-10-04,2,2636.5,2652,2586,2609.5,609600,2609.5,0,0,0,0,0,3500,43000
9,2023-10-03,1,2746,2751.5,2692,2705,321900,2705,0,0,0,0,0,6500,44300
10,2023-10-02,0,2787,2830.5,2763,2764,299800,2764,0,0,0,0,0,3500,44600
11,2023-09-29,4,2792,2799.5,2763,2777,409800,2777,38600,539600,13.98,0,0,3500,43700
12,2023-09-28,3,2815.5,2816.5,2757,2791,481000,2791,0,0,0,0,0,3500,42300
13,2023-09-27,2,2835,2868.5,2818.5,2858,314400,2858,0,0,0,0,0,3500,33400
14,2023-09-26,1,2881.5,2889.5,2845,2845,300400,2845,0,0,0,0,0,3500,39800
15,2023-09-25,0,2868.5,2887,2845.5,2878.5,233500,2878.5,0,0,0,0,0,3500,38400
16,2023-09-22,4,2813.5,2846.5,2790,2828.5,388000,2828.5,36000,494000,13.72,0,0,3500,38000
17,2023-09-21,3,2920,2934,2860,2863.5,397800,2863.5,0,0,0,0,0,3500,47500
18,2023-09-20,2,3027,3028,2923,2924,479800,2924,0,0,0,0,0,3500,39000
19,2023-09-19,1,2985,3032,2978.5,3031,377600,3031,0,0,0,0,0,3500,27900
20,2023-09-15,4,2965.5,3005,2948.5,2997.5,400300,2997.5,45500,397200,8.73,0,0,3500,33400
21,2023-09-14,3,2913.5,2937,2897,2934,305000,2934,0,0,0,0,0,3500,33500
22,2023-09-13,2,2949.5,2949.5,2901,2904,336500,2904,0,0,0,0,0,7500,42300
23,2023-09-12,1,2942.5,2942.5,2912,2939.5,313300,2939.5,0,0,0,0,0,7500,32700
24,2023-09-11,0,2955,2964,2911.5,2925.5,315800,2925.5,0,0,0,0,0,7500,64300
25,2023-09-08,4,2949.5,3000,2947,2961,419800,2961,60100,367500,6.11,0,0,7500,40200
26,2023-09-07,3,2990,3010,2973.5,2975,411600,2975,0,0,0,0,0,2100,30600
27,2023-09-06,2,3030,3040,2998,3012,283700,3012,0,0,0,0,0,600,11600
28,2023-09-05,1,3060,3069,3011,3036,345100,3036,0,0,0,0,0,600,12700
29,2023-09-04,0,3023,3055,2981,3054,390100,3054,0,0,0,0,0,600,12600
30,2023-09-01,4,2950.5,3014,2946.5,2993.5,292500,2993.5,56000,293100,5.23,0,0,200,12700
31,2023-08-31,3,2951.5,2964.5,2935.5,2950,288500,2950,0,0,0,0,0,600,14000
32,2023-08-30,2,2926,2967.5,2896.5,2942,462900,2942,0,0,0,0,0,600,18100
33,2023-08-29,1,2945,2946,2917,2917,231900,2917,0,0,0,0,0,600,18300
34,2023-08-28,0,2892.5,2924,2885.5,2924,240600,2924,0,0,0,0,0,600,17300
35,2023-08-25,4,2867.5,2891,2856,2880.5,236700,2880.5,34400,379600,11.03,0,0,600,28700
36,2023-08-24,3,2918.5,2918.5,2897,2906,197100,2906,0,0,0,0,0,200,13200
37,2023-08-23,2,2873.5,2923,2867.5,2923,290800,2923,0,0,0,0,0,200,12200
38,2023-08-22,1,2884,2893,2860.5,2880,218100,2880,0,0,0,0,0,0,0
39,2023-08-21,0,2888.5,2890.5,2845,2877.5,251500,2877.5,0,0,0,0,0,0,0
40,2023-08-18,4,2854.5,2895,2854.5,2868,281000,2868,33700,348600,10.34,0,0,0,0
41,2023-08-10,3,0,0,0,0,0,0,42300,306700,7.25,0,0,0,0
42,2023-08-04,4,0,0,0,0,0,0,38000,408100,10.74,0,0,0,0
43,2023-07-28,4,0,0,0,0,0,0,41900,398600,9.51,0,0,0,0
44,2023-07-21,4,0,0,0,0,0,0,56800,390800,6.88,0,0,0,0
45,2023-07-14,4,0,0,0,0,0,0,56800,383600,6.75,0,0,0,0
46,2023-07-07,4,0,0,0,0,0,0,59900,366000,6.11,0,0,0,0
47,2023-06-30,4,0,0,0,0,0,0,65600,306700,4.68,0,0,0,0
48,2023-06-23,4,0,0,0,0,0,0,79000,320300,4.05,0,0,0,0
49,2023-06-16,4,0,0,0,0,0,0,67300,303000,4.5,0,0,0,0
50,2023-06-09,4,0,0,0,0,0,0,99100,333600,3.37,0,0,0,0
51,2023-06-02,4,0,0,0,0,0,0,77300,316300,4.09,0,0,0,0
52,2023-05-26,4,0,0,0,0,0,0,60100,375700,6.25,0,0,0,0
53,2023-05-19,4,0,0,0,0,0,0,63500,481800,7.59,0,0,0,0
54,2023-05-12,4,0,0,0,0,0,0,55400,617200,11.14,0,0,0,0
55,2023-04-28,4,0,0,0,0,0,0,54900,647700,11.8,0,0,0,0
56,2023-04-21,4,0,0,0,0,0,0,57500,646900,11.25,0,0,0,0
57,2023-04-14,4,0,0,0,0,0,0,55500,671200,12.09,0,0,0,0
58,2023-04-07,4,0,0,0,0,0,0,61700,683600,11.08,0,0,0,0
59,2023-03-31,4,0,0,0,0,0,0,58000,666600,11.49,0,0,0,0
60,2022-10-28,4,0,0,0,0,0,0,130800,1020700,7.8,0,0,0,0
