,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,2483,2493.5,2454,2468.5,487200,2468.5,0,0,0,0,0,0,0,-12.5,0,-0.00508957654723127,14.5
1,2023-11-01,2,43,2450.5,2472,2439,2456,575200,2456,0,0,0,0,0,3700,34300,-33,0,-0.0136194799834915,-5.5
2,2023-10-31,1,43,2381,2423,2371.5,2423,1330000,2423,0,0,0,0,0,3900,33100,-14,0,-0.0058115400581154,-42
3,2023-10-30,0,43,2459,2459,2383.5,2409,1302700,2409,0,0,0,0,0,3900,43300,81,1,0.0325301204819277,50
4,2023-10-27,4,42,2483.5,2509.5,2467.5,2490,586500,2490,32000,604900,18.9,0,0,3900,32800,-32,0,-0.0130187144019528,-6.5
5,2023-10-26,3,42,2484,2489,2451.5,2458,558400,2458,0,0,0,0,0,3900,36900,31.5,1,0.0126531432014461,26
6,2023-10-25,2,42,2512,2525,2479,2489.5,675000,2489.5,0,0,0,0,0,7700,36800,20,1,0.00796971508268579,22.5
7,2023-10-24,1,42,2500,2517.5,2441,2509.5,482000,2509.5,0,0,0,0,0,3700,33000,2.5,1,0.000995222929936306,-9.5
8,2023-10-23,0,42,2512.5,2530,2494,2512,312200,2512,0,0,0,0,0,3700,33400,27.5,1,0.0108289033274267,0.5
9,2023-10-20,4,41,2517,2558,2506,2539.5,427900,2539.5,32200,599300,18.61,0,0,3700,33500,14.5,1,0.00567736883320282,-22.5
10,2023-10-19,3,41,2550,2568.5,2534,2554,336200,2554,0,0,0,0,0,4100,37100,52,1,0.0199539524174981,-4
11,2023-10-18,2,41,2630,2635,2581,2606,229500,2606,0,0,0,0,0,3500,50400,13.5,1,0.00515365527772476,24
12,2023-10-17,1,41,2625,2640,2596,2619.5,261500,2619.5,0,0,0,0,0,3500,49800,-23,0,-0.0088580781821683,5.5
13,2023-10-16,0,41,2620,2622.5,2587,2596.5,458400,2596.5,0,0,0,0,0,3500,55500,62,1,0.0233214218544292,23.5
14,2023-10-13,4,40,2696,2701.5,2647.5,2658.5,477200,2658.5,34300,564400,16.45,0,0,7200,49700,87.5,1,0.031864530225783,37.5
15,2023-10-12,3,40,2700,2746,2686.5,2746,437400,2746,0,0,0,0,0,3600,42500,-77,0,-0.0288497564630948,-46
16,2023-10-11,2,40,2678,2695,2664,2669,423400,2669,0,0,0,0,0,3500,50500,9.5,1,0.00354676124696659,9
17,2023-10-10,1,40,2676.5,2706.5,2671.5,2678.5,473900,2678.5,0,0,0,0,0,3500,48500,-68.5,0,-0.0262452107279694,-2
18,2023-10-06,4,39,2648,2666,2599,2610,599900,2610,30900,566400,18.33,0,0,3500,48800,31.5,1,0.0119250425894378,38
19,2023-10-05,3,39,2625,2646,2602,2641.5,512500,2641.5,0,0,0,0,0,3500,44900,-32,0,-0.0122628856102702,-16.5
