,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-09-15,2260,2286.5,2255,2275,1801200,2275,0,0,0,0,0,0,0
1,2023-09-14,2235,2254,2232,2249,933100,2249,0,0,0,0,1,31800,17300
2,2023-09-13,2236,2245,2227,2231.5,1078800,2231.5,0,0,0,0,0,28700,32900
3,2023-09-12,2231,2250,2230.5,2248,881500,2248,0,0,0,0,1,29800,15800
4,2023-09-11,2263,2266.5,2232.5,2241.5,1188600,2241.5,0,0,0,0,0,28800,35600
5,2023-09-08,2215.5,2238,2213,2218,1310400,2218,134500,175400,1.3,0,1,31700,25300
6,2023-09-07,2227,2250,2222.5,2236.5,1134100,2236.5,0,0,0,0,1,36100,13300
7,2023-09-06,2218.5,2229.5,2215,2227,1091700,2227,0,0,0,0,3,38800,14400
8,2023-09-05,2233.5,2241.5,2209.5,2224.5,1093100,2224.5,0,0,0,0,1,34200,15200
9,2023-09-04,2227,2249,2217,2242.5,1125000,2242.5,0,0,0,0,1,39000,27300
10,2023-09-01,2220,2252.5,2215.5,2242,1235900,2242,137500,159900,1.16,0.05,1,30200,14400
11,2023-08-31,2243.5,2272,2231,2236,3824500,2236,0,0,0,0,0,29600,25800
12,2023-08-30,2239,2252.5,2230.5,2243,833700,2243,0,0,0,0.15,3,46200,26800
13,2023-08-29,2241,2250,2231.5,2239.5,568900,2239.5,0,0,0,0.05,1,45800,24900
14,2023-08-28,2220,2241,2212,2240,563400,2240,0,0,0,0.05,1,45300,25800
15,2023-08-25,2195,2209.5,2190.5,2205,686900,2205,131000,147700,1.13,0.05,1,42900,14500
16,2023-08-24,2200,2221,2183.5,2211,621400,2211,0,0,0,0,1,37100,34900
17,2023-08-23,2180,2207,2177,2207,574800,2207,0,0,0,0.15,3,42000,27600
18,2023-08-22,2209,2219,2188.5,2209.5,1219800,2209.5,0,0,0,0.05,1,45300,29500
19,2023-08-21,2184,2210,2178.5,2187,771400,2187,0,0,0,0.05,1,40900,22500
20,2023-08-18,2229,2235,2171.5,2178,1431400,2178,134900,173400,1.29,0,0,31500,35000
21,2023-08-17,2185,2189.5,2154.5,2179,1074000,2179,0,0,0,0.05,1,44900,24600
22,2023-08-16,2229.5,2233.5,2210,2212,829600,2212,0,0,0,0.15,3,47000,16700
23,2023-08-15,2242.5,2244.5,2225.5,2235,479600,2235,0,0,0,0,1,46000,15800
24,2023-08-14,2264.5,2270,2224,2229.5,774000,2229.5,0,0,0,0,1,46600,17100
25,2023-08-10,2200,2265,2198.5,2258.5,930300,2258.5,156200,236400,1.51,0,1,60200,16800
26,2023-08-09,2207,2229.5,2200.5,2224,709200,2224,0,0,0,0,1,42700,22300
27,2023-08-08,2197,2219.5,2191,2213,766900,2213,0,0,0,0,4,65300,22700
28,2023-08-07,2155,2177,2148,2175.5,652900,2175.5,0,0,0,0,0,58800,29400
29,2023-08-04,2157,2158.5,2132,2138.5,843700,2138.5,130200,141700,1.09,0.05,1,42500,20000
30,2023-08-03,2170,2170,2132.5,2160.5,1050100,2160.5,0,0,0,0,1,37700,16900
31,2023-08-02,2175,2195,2166.5,2185,1122400,2185,0,0,0,0,0,47200,102000
32,2023-08-01,2168,2177,2146.5,2177,1069700,2177,0,0,0,0,1,92000,34700
33,2023-07-31,2088,2171.5,2086,2159,2271500,2159,0,0,0,0,1,90500,38300
34,2023-07-28,2029,2055.5,2011,2038,1317200,2038,100300,187000,1.86,0,0,21800,36500
35,2023-07-27,2067,2068.5,2053.5,2065,662900,2065,0,0,0,0,0,21400,31900
36,2023-07-26,2069,2075.5,2055,2070.5,622800,2070.5,0,0,0,0,0,21800,32200
37,2023-07-25,2050,2066,2047,2060.5,801900,2060.5,0,0,0,0,0,22300,30500
38,2023-07-24,2040,2054,2037.5,2042.5,628700,2042.5,0,0,0,0,0,13200,27900
39,2023-07-21,2018.5,2030,2008.5,2026,660900,2026,77000,184200,2.39,0,0,13200,24400
40,2023-07-20,2035,2051,2023,2027,600600,2027,0,0,0,0,1,25000,21100
41,2023-07-19,2036,2047,2021,2037.5,636600,2037.5,0,0,0,0,0,23600,23000
42,2023-07-18,2014,2022,2006,2019,578500,2019,0,0,0,0,0,22600,21800
43,2023-07-14,2000,2014.5,1993.5,2008,635800,2008,87300,190400,2.18,0,0,22700,21900
44,2023-07-13,2004.5,2012,1981,2000,621000,2000,0,0,0,0,1,30800,27300
45,2023-07-12,2013,2013.5,1986,1991,629200,1991,0,0,0,0,0,20500,25200
46,2023-07-11,2028,2034,2006.5,2011.5,707600,2011.5,0,0,0,0,0,21000,20300
47,2023-07-10,2018,2030.5,2003,2018,844800,2018,0,0,0,0,0,17900,15700
48,2023-07-07,2020,2039.5,2006.5,2020.5,876600,2020.5,85400,187800,2.2,0,0,16400,15500
49,2023-07-06,2055.5,2062,2031,2043,941500,2043,0,0,0,0,0,15800,14500
50,2023-07-05,2041,2064.5,2034,2062,835500,2062,0,0,0,0,0,21400,19500
51,2023-07-04,2081,2083.5,2058.5,2061,681800,2061,0,0,0,0,0,13900,16200
52,2023-07-03,2084,2100.5,2080.5,2090,566900,2090,0,0,0,0,1,20400,15600
53,2023-06-30,2089,2092,2057.5,2072,1308400,2072,88900,169000,1.9,0,0,19400,18400
54,2023-06-29,2090,2105.5,2086.5,2091,1352900,2091,0,0,0,0,1,27300,16600
55,2023-06-28,2063.5,2087.5,2059,2086,908000,2086,0,0,0,0,3,25500,16300
56,2023-06-27,2066,2074,2040,2051,918600,2051,0,0,0,0,1,30100,16600
57,2023-06-26,2054,2080,2043,2052.5,1088800,2052.5,0,0,0,0,1,24600,16200
58,2023-06-23,2072,2083.5,2038,2049,855800,2049,95700,202400,2.11,0,0,21500,32100
59,2023-06-22,2062.5,2083,2060,2068.5,855000,2068.5,0,0,0,0,0,23700,33200
60,2023-06-21,2027.5,2058.5,2027,2058,718500,2058,0,0,0,0,3,25000,18600
61,2023-06-20,2041,2043,2019.5,2033,617000,2033,0,0,0,0,0,16900,18200
62,2023-06-19,2065,2074,2036.5,2047.5,832700,2047.5,0,0,0,0,0,18700,20300
63,2023-06-16,2054,2056.5,2035,2052.5,1341000,2052.5,108900,187300,1.72,0,1,31500,25200
64,2023-06-15,2051,2069,2044.5,2058.5,737200,2058.5,0,0,0,0,1,28000,18900
65,2023-06-14,2059,2062,2047.5,2051.5,1071600,2051.5,0,0,0,0,0,9300,17900
66,2023-06-13,2022,2050,2021,2038.5,1042000,2038.5,0,0,0,0,0,8600,18900
67,2023-06-12,2035,2035,2018,2021,618800,2021,0,0,0,0,0,5900,17400
68,2023-06-09,1996,2010,1993.5,2006,1158700,2006,67200,186600,2.78,0,0,7100,17000
69,2023-06-08,2000,2009.5,1977.5,1989.5,990400,1989.5,0,0,0,0,0,4700,17400
70,2023-06-07,2050,2053.5,1995.5,1999,1424400,1999,0,0,0,0,0,4700,18500
71,2023-06-06,1971.5,2028.5,1970.5,2028.5,1000000,2028.5,0,0,0,0,0,5000,15200
72,2023-06-05,1997,2009.5,1986,2004,1126100,2004,0,0,0,0,0,1700,12700
73,2023-06-02,1945,1959,1939,1957,835700,1957,39200,189700,4.84,0,0,0,13000
74,2023-06-01,1917,1949,1913,1938,1015100,1938,0,0,0,0,0,1500,12700
75,2023-05-31,1931,1935,1909,1925,3940300,1925,0,0,0,0,0,0,17100
76,2023-05-30,1952,1966,1941,1958,685700,1958,0,0,0,0,0,14200,17000
77,2023-05-29,1970,1980,1963,1964,589300,1964,0,0,0,0,0,14700,16900
78,2023-05-26,1993,1995,1953,1953,1040100,1953,72800,182400,2.51,0,0,15700,24300
79,2023-05-25,1964,1988,1957,1973,1125700,1973,0,0,0,0,1,19700,16600
80,2023-05-24,1990,1996,1973,1973,1069500,1973,0,0,0,0,3,26100,21100
