,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分
0,2023-11-02,3,43,2102,2102,2033,2042.5,1417200,2042.5,0,0,0,0,0,0,0,46.5,1,0.0222594542843466,59.5
1,2023-11-01,2,43,2094,2107.5,2061.5,2089,1680600,2089,0,0,0,0,0,14300,14000,-35,0,-0.0170399221032132,5
2,2023-10-31,1,43,2002.5,2058.5,1984,2054,2434200,2054,0,0,0,0,0,7800,13900,-78,0,-0.0394736842105263,-51.5
3,2023-10-30,0,43,1999,2009,1959,1976,1746700,1976,0,0,0,0,0,4000,22300,39.5,1,0.0195981146117589,23
4,2023-10-27,4,42,2008,2015.5,1997.5,2015.5,1021200,2015.5,46600,358900,7.7,0,0,0,24400,-24.5,0,-0.0123053741838272,-7.5
5,2023-10-26,3,42,2008.5,2011,1976,1991,933000,1991,0,0,0,0,0,0,23700,23.5,1,0.0116654256639365,17.5
6,2023-10-25,2,42,2024,2036,2007,2014.5,922800,2014.5,0,0,0,0,0,0,17600,-2.5,0,-0.00124254473161034,9.5
7,2023-10-24,1,42,2020,2021,1972.5,2012,1051800,2012,0,0,0,0,0,0,20600,-1.5,0,-0.000746083063914449,8
8,2023-10-23,0,42,2007.5,2024.5,2004,2010.5,739000,2010.5,0,0,0,0,0,8100,18100,9,1,0.0044565486506561,-3
9,2023-10-20,4,41,2024,2027,2001.5,2019.5,898000,2019.5,53200,350500,6.59,0,0,0,17600,1.5,1,0.00074220682830282,4.5
10,2023-10-19,3,41,2019,2036,2010,2021,692700,2021,0,0,0,0,0,0,17600,22,1,0.0107684777288302,-2
11,2023-10-18,2,41,2052,2059.5,2028,2043,605300,2043,0,0,0,0,0,0,17700,3,1,0.00146627565982405,9
12,2023-10-17,1,41,2064.5,2074,2035.5,2046,685200,2046,0,0,0,0,0,0,18700,-0.5,0,-0.00024443901246639,18.5
13,2023-10-16,0,41,2073.5,2073.5,2038.5,2045.5,854300,2045.5,0,0,0,0,0,0,18800,41.5,1,0.0198850023957834,28
14,2023-10-13,4,40,2100.5,2116.5,2085.5,2087,717700,2087,54400,370800,6.82,0,0,0,22100,39,1,0.0183443085606773,13.5
15,2023-10-12,3,40,2111,2131,2108,2126,644000,2126,0,0,0,0,0,0,20700,-25.5,0,-0.0121399666746013,-15
16,2023-10-11,2,40,2119.5,2121,2100.5,2100.5,760900,2100.5,0,0,0,0,0,0,21400,3,1,0.00142619443784169,19
17,2023-10-10,1,40,2090.5,2110.5,2090.5,2103.5,1344500,2103.5,0,0,0,0,0,5100,22200,-20.5,0,-0.00984157465194431,-13
18,2023-10-06,4,39,2078,2109,2070,2083,927500,2083,55200,372800,6.75,0,0,0,22600,0,0,0,-5
19,2023-10-05,3,39,2050,2086,2040.5,2083,1024200,2083,0,0,0,0,0,0,22300,-45,0,-0.0220804710500491,-33
20,2023-10-04,2,39,2061.5,2069,2038,2038,1092500,2038,0,0,0,0,0,0,22700,53,1,0.0253467240554758,23.5
21,2023-10-03,1,39,2126,2131.5,2089,2091,1122200,2091,0,0,0,0,0,0,18400,57,1,0.026536312849162,35
22,2023-10-02,0,39,2164.5,2187.5,2144.5,2148,1000600,2148,0,0,0,0,0,13200,18200,5,1,0.002322340919647,16.5
23,2023-09-29,4,38,2168,2170.5,2145.5,2153,1064200,2153,75600,342900,4.54,0,0,13000,16000,22.5,1,0.0103424500114916,15
24,2023-09-28,3,38,2168,2184.5,2161.5,2175.5,1196200,2175.5,0,0,0,0,0,29500,31000,36.5,1,0.016500904159132,-7.5
25,2023-09-27,2,38,2200,2212,2177.5,2212,1473600,2212,0,0,0,0,0,28000,20900,5.5,1,0.00248027057497182,-12
26,2023-09-26,1,38,2221,2234.5,2211,2217.5,1229100,2217.5,0,0,0,0,0,28200,22600,11.5,1,0.00515926424405563,3.5
27,2023-09-25,0,38,2218,2238,2213.5,2229,1013600,2229,0,0,0,0,0,28900,23300,-22,0,-0.00996828273674671,-11
28,2023-09-22,4,37,2199,2217,2182.5,2207,799400,2207,106800,281300,2.63,0,0,28300,23500,5.5,1,0.00248587570621469,-8
29,2023-09-21,3,37,2227.5,2235,2206.5,2212.5,1133800,2212.5,0,0,0,0,0,28200,29000,31,1,0.0138176955649655,15
30,2023-09-20,2,37,2280,2285.5,2238.5,2243.5,1134400,2243.5,0,0,0,0,0,29500,25800,28,1,0.012326656394453,36.5
31,2023-09-19,1,37,2271,2279.5,2255,2271.5,1290900,2271.5,0,0,0,0,0,28200,24300,3.5,1,0.00153846153846154,-0.5
32,2023-09-15,4,36,2260,2286.5,2255,2275,1801200,2275,136700,270800,1.98,0,0,29300,32600,-26,0,-0.0115606936416185,-15
33,2023-09-14,3,36,2235,2254,2232,2249,933100,2249,0,0,0,0,1,31800,17300,-17.5,0,-0.0078422585704683,-14
34,2023-09-13,2,36,2236,2245,2227,2231.5,1078800,2231.5,0,0,0,0,0,28700,32900,16.5,1,0.00733985765124555,4.5
35,2023-09-12,1,36,2231,2250,2230.5,2248,881500,2248,0,0,0,0,1,29800,15800,-6.5,0,-0.00289984385456168,-17
36,2023-09-11,0,36,2263,2266.5,2232.5,2241.5,1188600,2241.5,0,0,0,0,0,28800,35600,-23.5,0,-0.010595130748422,21.5
37,2023-09-08,4,35,2215.5,2238,2213,2218,1310400,2218,134500,175400,1.3,0,1,31700,25300,18.5,1,0.00827185334227588,-2.5
38,2023-09-07,3,35,2227,2250,2222.5,2236.5,1134100,2236.5,0,0,0,0,1,36100,13300,-9.5,0,-0.0042658284687921,-9.5
39,2023-09-06,2,35,2218.5,2229.5,2215,2227,1091700,2227,0,0,0,0,3,38800,14400,-2.5,0,-0.00112384805574286,-8.5
40,2023-09-05,1,35,2233.5,2241.5,2209.5,2224.5,1093100,2224.5,0,0,0,0,1,34200,15200,18,1,0.00802675585284281,9
41,2023-09-04,0,35,2227,2249,2217,2242.5,1125000,2242.5,0,0,0,0,1,39000,27300,-0.5,0,-0.000223015165031222,-15.5
42,2023-09-01,4,34,2220,2252.5,2215.5,2242,1235900,2242,137500,159900,1.16,0.05,1,30200,14400,-6,0,-0.00268336314847943,-22
43,2023-08-31,3,34,2243.5,2272,2231,2236,3824500,2236,0,0,0,0,0,29600,25800,7,1,0.00312082032991529,7.5
44,2023-08-30,2,34,2239,2252.5,2230.5,2243,833700,2243,0,0,0,0.15,3,46200,26800,-3.5,0,-0.00156284885018977,-4
45,2023-08-29,1,34,2241,2250,2231.5,2239.5,568900,2239.5,0,0,0,0.05,1,45800,24900,0.5,1,0.000223214285714286,1.5
46,2023-08-28,0,34,2220,2241,2212,2240,563400,2240,0,0,0,0.05,1,45300,25800,-35,0,-0.0158730158730159,-20
47,2023-08-25,4,33,2195,2209.5,2190.5,2205,686900,2205,131000,147700,1.13,0.05,1,42900,14500,6,1,0.00271370420624152,-10
48,2023-08-24,3,33,2200,2221,2183.5,2211,621400,2211,0,0,0,0,1,37100,34900,-4,0,-0.00181241504304486,-11
49,2023-08-23,2,33,2180,2207,2177,2207,574800,2207,0,0,0,0.15,3,42000,27600,2.5,1,0.00113147770988912,-27
50,2023-08-22,1,33,2209,2219,2188.5,2209.5,1219800,2209.5,0,0,0,0.05,1,45300,29500,-22.5,0,-0.0102880658436214,-0.5
51,2023-08-21,0,33,2184,2210,2178.5,2187,771400,2187,0,0,0,0.05,1,40900,22500,-9,0,-0.00413223140495868,-3
52,2023-08-18,4,32,2229,2235,2171.5,2178,1431400,2178,134900,173400,1.29,0,0,31500,35000,1,1,0.000458926112895824,51
53,2023-08-17,3,32,2185,2189.5,2154.5,2179,1074000,2179,0,0,0,0.05,1,44900,24600,33,1,0.0149186256781193,6
54,2023-08-16,2,32,2229.5,2233.5,2210,2212,829600,2212,0,0,0,0.15,3,47000,16700,23,1,0.0102908277404922,17.5
55,2023-08-15,1,32,2242.5,2244.5,2225.5,2235,479600,2235,0,0,0,0,1,46000,15800,-5.5,0,-0.00246692083426777,7.5
56,2023-08-14,0,32,2264.5,2270,2224,2229.5,774000,2229.5,0,0,0,0,1,46600,17100,29,1,0.012840380783706,35
57,2023-08-10,3,31,2200,2265,2198.5,2258.5,930300,2258.5,156200,236400,1.51,0,1,60200,16800,-34.5,0,-0.0155125899280576,-58.5
58,2023-08-09,2,31,2207,2229.5,2200.5,2224,709200,2224,0,0,0,0,1,42700,22300,-11,0,-0.00497062810664257,-17
59,2023-08-08,1,31,2197,2219.5,2191,2213,766900,2213,0,0,0,0,4,65300,22700,-37.5,0,-0.0172374166858194,-16
60,2023-08-07,0,31,2155,2177,2148,2175.5,652900,2175.5,0,0,0,0,0,58800,29400,-37,0,-0.0173018470890811,-20.5
61,2023-08-04,4,30,2157,2158.5,2132,2138.5,843700,2138.5,130200,141700,1.09,0.05,1,42500,20000,22,1,0.0101828280490627,18.5
62,2023-08-03,3,30,2170,2170,2132.5,2160.5,1050100,2160.5,0,0,0,0,1,37700,16900,24.5,1,0.0112128146453089,9.5
63,2023-08-02,2,30,2175,2195,2166.5,2185,1122400,2185,0,0,0,0,0,47200,102000,-8,0,-0.00367478180983004,-10
64,2023-08-01,1,30,2168,2177,2146.5,2177,1069700,2177,0,0,0,0,1,92000,34700,-18,0,-0.00833719314497453,-9
65,2023-07-31,0,30,2088,2171.5,2086,2159,2271500,2159,0,0,0,0,1,90500,38300,-121,0,-0.0593719332679097,-71
66,2023-07-28,4,29,2029,2055.5,2011,2038,1317200,2038,100300,187000,1.86,0,0,21800,36500,27,1,0.0130750605326877,-9
67,2023-07-27,3,29,2067,2068.5,2053.5,2065,662900,2065,0,0,0,0,0,21400,31900,5.5,1,0.00265636319729534,2
68,2023-07-26,2,29,2069,2075.5,2055,2070.5,622800,2070.5,0,0,0,0,0,21800,32200,-10,0,-0.00485319097306479,-1.5
69,2023-07-25,1,29,2050,2066,2047,2060.5,801900,2060.5,0,0,0,0,0,22300,30500,-18,0,-0.00881272949816402,-10.5
70,2023-07-24,0,29,2040,2054,2037.5,2042.5,628700,2042.5,0,0,0,0,0,13200,27900,-16.5,0,-0.00814412635735439,-2.5
71,2023-07-21,4,28,2018.5,2030,2008.5,2026,660900,2026,77000,184200,2.39,0,0,13200,24400,1,1,0.000493339911198816,-7.5
72,2023-07-20,3,28,2035,2051,2023,2027,600600,2027,0,0,0,0,1,25000,21100,10.5,1,0.00515337423312883,8
73,2023-07-19,2,28,2036,2047,2021,2037.5,636600,2037.5,0,0,0,0,0,23600,23000,-18.5,0,-0.00916295195641407,-1.5
74,2023-07-18,1,28,2014,2022,2006,2019,578500,2019,0,0,0,0,0,22600,21800,-11,0,-0.00547808764940239,-5
75,2023-07-14,4,27,2000,2014.5,1993.5,2008,635800,2008,87300,190400,2.18,0,0,22700,21900,-8,0,-0.004,-8
