,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-17,1,3722,3757,3710,3728,456600,3728,0,0,0,0,0,0,0
1,2023-10-16,0,3774,3778,3685,3706,448400,3706,0,0,0,0,0,12600,10000
2,2023-10-13,4,3800,3842,3777,3803,537800,3803,78700,97800,1.24,0,0,18200,16500
3,2023-10-12,3,3870,3878,3835,3868,434000,3868,0,0,0,0,0,18800,17500
4,2023-10-11,2,3880,3890,3814,3826,542300,3826,0,0,0,0,0,13600,11700
5,2023-10-10,1,3813,3869,3797,3858,814600,3858,0,0,0,0,0,19700,17400
6,2023-10-06,4,3723,3812,3720,3781,540900,3781,82300,111600,1.36,0,1,23000,21200
7,2023-10-05,3,3604,3728,3589,3717,764700,3717,0,0,0,0,0,21600,20500
8,2023-10-04,2,3704,3717,3570,3575,835900,3575,0,0,0,0,0,9600,9000
9,2023-10-03,1,3793,3818,3733,3763,831700,3763,0,0,0,0,0,14100,13900
10,2023-10-02,0,3778,3830,3712,3722,520300,3722,0,0,0,0,0,12800,13100
11,2023-09-29,4,3762,3791,3749,3753,637500,3753,74500,116600,1.57,0,0,21900,25900
12,2023-09-28,3,3747,3804,3719,3776,689200,3776,0,0,0,0,0,21300,24500
13,2023-09-27,2,3768,3830,3743,3822,625400,3822,0,0,0,0,3,29700,25600
14,2023-09-26,1,3861,3870,3786,3787,699000,3787,0,0,0,0,0,22400,26300
15,2023-09-25,0,3869,3894,3855,3865,373200,3865,0,0,0,0,0,21900,26200
16,2023-09-22,4,3824,3905,3806,3860,536100,3860,80100,110200,1.38,0,0,23300,26200
17,2023-09-21,3,3898,3912,3855,3874,525200,3874,0,0,0,0,1,27200,23000
18,2023-09-20,2,3949,3967,3890,3909,830800,3909,0,0,0,0,0,28200,26000
19,2023-09-19,1,3899,3970,3854,3961,996600,3961,0,0,0,0,0,30300,28000
