,日付,信用売残,信用買残,信用倍率
0,2023-09-29,80900,1382200,17.09
1,2023-09-22,148100,1211300,8.18
2,2023-09-15,144500,1178400,8.16
3,2023-09-08,174500,1265100,7.25
4,2023-09-01,263700,1397000,5.3
5,2023-08-25,88500,1727900,19.52
6,2023-08-18,79000,1763600,22.32
7,2023-08-10,134400,1897400,14.12
8,2023-08-04,66700,2277400,34.14
9,2023-07-28,53000,2388100,45.06
10,2023-07-21,64500,2378400,36.87
11,2023-07-14,67400,2307100,34.23
12,2023-07-07,77700,2114800,27.22
13,2023-06-30,68700,1895600,27.59
14,2023-06-23,82700,1840400,22.25
15,2023-06-16,68600,1957500,28.53
16,2023-06-09,77300,1892200,24.48
17,2023-06-02,72500,1979700,27.31
18,2023-05-26,115800,1822100,15.73
19,2023-05-19,128700,1789400,13.9
20,2023-05-12,164500,1662500,10.11
21,2023-04-28,122700,1967700,16.04
22,2023-04-21,162300,1967400,12.12
23,2023-04-14,127400,2122600,16.66
24,2023-04-07,112400,2309900,20.55
