,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-10-18,2,41,5498.0,5636.0,5458.0,5631.0,1990700.0,5631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-10-17,1,41,5550.0,5566.0,5461.0,5471.0,1767100.0,5471.0,0.0,0.0,0.0,0.0,0.0,500.0,81600.0
2,2023-10-16,0,41,5609.0,5609.0,5487.0,5506.0,2322600.0,5506.0,0.0,0.0,0.0,0.0,0.0,2100.0,72300.0
3,2023-10-13,4,40,5680.0,5686.0,5605.0,5632.0,1747500.0,5632.0,58200.0,2017000.0,34.66,0.0,0.0,4700.0,66700.0
4,2023-10-12,3,40,5750.0,5751.0,5659.0,5702.0,2098600.0,5702.0,0.0,0.0,0.0,0.0,0.0,200.0,73900.0
5,2023-10-11,2,40,5833.0,5839.0,5754.0,5755.0,1442600.0,5755.0,0.0,0.0,0.0,0.0,0.0,100.0,64100.0
6,2023-10-10,1,40,5846.0,5867.0,5806.0,5819.0,1171400.0,5819.0,0.0,0.0,0.0,0.0,0.0,200.0,62700.0
7,2023-10-06,4,39,5876.0,5886.0,5802.0,5807.0,1574500.0,5807.0,57600.0,1641300.0,28.49,0.0,0.0,2400.0,63300.0
8,2023-10-05,3,39,5844.0,5892.0,5793.0,5857.0,1262000.0,5857.0,0.0,0.0,0.0,0.0,0.0,200.0,61000.0
9,2023-10-04,2,39,5890.0,5928.0,5802.0,5802.0,1814500.0,5802.0,0.0,0.0,0.0,0.0,0.0,100.0,79800.0
10,2023-10-03,1,39,6091.0,6100.0,5924.0,5936.0,1604800.0,5936.0,0.0,0.0,0.0,0.0,0.0,100.0,72000.0
11,2023-10-02,0,39,6202.0,6248.0,6106.0,6114.0,1224300.0,6114.0,0.0,0.0,0.0,0.0,0.0,200.0,64100.0
12,2023-09-29,4,38,6282.0,6309.0,6137.0,6185.0,1892000.0,6185.0,80900.0,1382200.0,17.09,0.0,0.0,200.0,65500.0
13,2023-09-28,3,38,6440.0,6440.0,6284.0,6293.0,1739200.0,6293.0,0.0,0.0,0.0,0.0,0.0,400.0,61200.0
14,2023-09-27,2,38,6500.0,6531.0,6441.0,6522.0,1175000.0,6522.0,0.0,0.0,0.0,0.0,0.0,3300.0,51900.0
15,2023-09-26,1,38,6526.0,6568.0,6482.0,6529.0,684400.0,6529.0,0.0,0.0,0.0,0.0,0.0,10800.0,54900.0
16,2023-09-25,0,38,6501.0,6551.0,6501.0,6509.0,803000.0,6509.0,0.0,0.0,0.0,0.0,0.0,11400.0,56600.0
17,2023-09-22,4,37,6500.0,6536.0,6462.0,6497.0,638000.0,6497.0,148100.0,1211300.0,8.18,0.0,0.0,9200.0,75700.0
18,2023-09-21,3,37,6580.0,6585.0,6514.0,6518.0,839600.0,6518.0,0.0,0.0,0.0,0.0,0.0,13000.0,77800.0
19,2023-09-20,2,37,6580.0,6610.0,6536.0,6591.0,844700.0,6591.0,0.0,0.0,0.0,0.0,0.0,9200.0,76500.0
20,2023-09-19,1,37,6596.0,6600.0,6514.0,6570.0,1083100.0,6570.0,0.0,0.0,0.0,0.0,0.0,10400.0,74100.0
21,2023-09-15,4,36,6569.0,6630.0,6519.0,6605.0,1535600.0,6605.0,144500.0,1178400.0,8.16,0.0,0.0,9700.0,72100.0
22,2023-09-14,3,36,6539.0,6570.0,6493.0,6537.0,909200.0,6537.0,0.0,0.0,0.0,0.0,0.0,9700.0,74900.0
23,2023-09-13,2,36,6416.0,6512.0,6401.0,6501.0,984500.0,6501.0,0.0,0.0,0.0,0.0,0.0,18500.0,75000.0
24,2023-09-12,1,36,6375.0,6445.0,6357.0,6378.0,894200.0,6378.0,0.0,0.0,0.0,0.0,0.0,10300.0,75300.0
25,2023-09-11,0,36,6443.0,6461.0,6331.0,6344.0,1050400.0,6344.0,0.0,0.0,0.0,0.0,0.0,7600.0,75000.0
26,2023-09-08,4,35,6457.0,6485.0,6382.0,6390.0,1428600.0,6390.0,174500.0,1265100.0,7.25,0.0,0.0,15800.0,70800.0
27,2023-09-07,3,35,6450.0,6517.0,6433.0,6507.0,2133400.0,6507.0,0.0,0.0,0.0,0.0,0.0,50900.0,44100.0
28,2023-09-06,2,35,6449.0,6455.0,6382.0,6411.0,1144600.0,6411.0,0.0,0.0,0.0,0.0,0.0,17600.0,44200.0
29,2023-09-05,1,35,6390.0,6449.0,6374.0,6439.0,1180900.0,6439.0,0.0,0.0,0.0,0.0,0.0,35400.0,44300.0
30,2023-09-04,0,35,6403.0,6411.0,6356.0,6392.0,1217200.0,6392.0,0.0,0.0,0.0,0.0,0.0,17500.0,45600.0
31,2023-09-01,4,34,6242.0,6373.0,6240.0,6362.0,1493600.0,6362.0,263700.0,1397000.0,5.3,0.0,0.0,5400.0,44900.0
32,2023-08-31,3,34,6149.0,6318.0,6149.0,6304.0,2730100.0,6304.0,0.0,0.0,0.0,0.0,1.0,53.3,45.4
33,2023-08-30,2,34,6092.0,6158.0,6086.0,6140.0,1001400.0,6140.0,0.0,0.0,0.0,0.0,0.0,6400.0,44900.0
34,2023-08-29,1,34,6065.0,6128.0,6065.0,6121.0,1106000.0,6121.0,0.0,0.0,0.0,0.0,0.0,6400.0,44900.0
35,2023-08-28,0,34,6060.0,6073.0,5965.0,6022.0,1321900.0,6022.0,0.0,0.0,0.0,0.0,0.0,6400.0,52400.0
36,2023-08-25,4,33,6087.0,6105.0,6056.0,6071.0,704100.0,6071.0,88500.0,1727900.0,19.52,0.0,0.0,4100.0,48900.0
37,2023-08-24,3,33,6095.0,6134.0,6086.0,6101.0,689600.0,6101.0,0.0,0.0,0.0,0.0,0.0,2700.0,45400.0
38,2023-08-23,2,33,6081.0,6163.0,6070.0,6107.0,985800.0,6107.0,0.0,0.0,0.0,0.0,0.0,2700.0,47100.0
39,2023-08-22,1,33,6078.0,6098.0,6044.0,6066.0,566200.0,6066.0,0.0,0.0,0.0,0.0,0.0,100.0,47500.0
40,2023-08-21,0,33,6075.0,6116.0,6054.0,6089.0,662200.0,6089.0,0.0,0.0,0.0,0.0,0.0,100.0,47000.0
41,2023-08-18,4,32,6073.0,6093.0,6031.0,6050.0,797300.0,6050.0,79000.0,1763600.0,22.32,0.0,0.0,1100.0,47200.0
42,2023-08-17,3,32,6145.0,6174.0,6087.0,6122.0,947500.0,6122.0,0.0,0.0,0.0,0.0,0.0,1100.0,47000.0
