,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-10-02,0,0,200,64100
1,2023-09-29,0,0,200,65500
2,2023-09-28,0,0,400,61200
3,2023-09-27,0,0,3300,51900
4,2023-09-26,0,0,10800,54900
5,2023-09-25,0,0,11400,56600
6,2023-09-22,0,0,9200,75700
7,2023-09-21,0,0,13000,77800
8,2023-09-20,0,0,9200,76500
9,2023-09-19,0,0,10400,74100
10,2023-09-15,0,0,9700,72100
11,2023-09-14,0,0,9700,74900
12,2023-09-13,0,0,18500,75000
13,2023-09-12,0,0,10300,75300
14,2023-09-11,0,0,7600,75000
15,2023-09-08,0,0,15800,70800
16,2023-09-07,0.00,0,50900,44100
17,2023-09-06,0,0,17600,44200
18,2023-09-05,0,0,35400,44300
19,2023-09-04,0,0,17500,45600
20,2023-09-01,0,0,5400,44900
