,日付,信用売残,信用買残,信用倍率
0,2023-11-10,420800,4998300,11.88
1,2023-11-02,402300,5135500,12.77
2,2023-10-27,444300,3717300,8.37
3,2023-10-20,453500,3635400,8.02
4,2023-10-13,483100,3436100,7.11
5,2023-10-06,441800,3405100,7.71
6,2023-09-29,578300,2303300,3.98
7,2023-09-22,591800,1153600,1.95
8,2023-09-15,685800,1026900,1.5
9,2023-09-08,624800,1215700,1.95
10,2023-09-01,626700,1354500,2.16
11,2023-08-25,543300,1602600,2.95
12,2023-08-18,483500,1687000,3.49
13,2023-08-10,520600,2212800,4.25
14,2023-08-04,459100,2379700,5.18
15,2023-07-28,462600,1348600,2.92
16,2023-07-21,524300,1265800,2.41
17,2023-07-14,469900,1366900,2.91
18,2023-07-07,545900,1559100,2.86
19,2023-06-30,586200,1294400,2.21
20,2023-06-23,594400,1345100,2.26
21,2023-06-16,584100,1256800,2.15
22,2023-06-09,568600,1078300,1.9
23,2023-06-02,467100,1235700,2.65
24,2023-05-26,425300,910600,2.14
25,2023-05-19,377400,1073500,2.84
