,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-02,2775.0,2844.0,2640.0,2673.0,14632600,2673.0
1,2023-11-01,2688.0,2733.0,2682.5,2725.0,4616700,2725.0
2,2023-10-31,2569.5,2576.0,2510.0,2559.5,2764500,2559.5
3,2023-10-30,2597.5,2603.5,2539.0,2552.0,2841200,2552.0
4,2023-10-27,2643.5,2656.0,2626.5,2645.5,2267000,2645.5
5,2023-10-26,2670.0,2673.5,2622.0,2635.5,1973000,2635.5
6,2023-10-25,2691.5,2715.0,2654.5,2668.0,2332800,2668.0
7,2023-10-24,2673.5,2697.5,2612.0,2657.5,1706400,2657.5
8,2023-10-23,2685.0,2691.0,2643.0,2667.5,1746400,2667.5
9,2023-10-20,2690.0,2702.5,2650.5,2683.5,3238800,2683.5
10,2023-10-19,2749.0,2773.5,2718.5,2724.5,2460500,2724.5
11,2023-10-18,2847.5,2850.0,2784.0,2806.5,1802100,2806.5
12,2023-10-17,2854.5,2864.0,2805.5,2831.0,1892500,2831.0
13,2023-10-16,2800.0,2811.0,2775.5,2788.5,1580700,2788.5
14,2023-10-13,2846.5,2890.5,2815.0,2828.5,2855000,2828.5
15,2023-10-12,2870.0,2882.0,2851.0,2862.0,2264700,2862.0
16,2023-10-11,2828.0,2862.0,2824.5,2848.0,2812700,2848.0
17,2023-10-10,2751.0,2822.0,2751.0,2802.5,2925700,2802.5
18,2023-10-06,2681.5,2722.0,2662.5,2701.0,2418000,2701.0
19,2023-10-05,2718.5,2732.0,2676.0,2695.5,3719400,2695.5
20,2023-10-04,2702.0,2704.5,2633.5,2637.0,4803500,2637.0
21,2023-10-03,2907.0,2911.5,2776.0,2796.5,3662100,2796.5
22,2023-10-02,2955.0,2995.0,2923.5,2923.5,3936000,2923.5
23,2023-09-29,2920.0,2925.0,2857.0,2906.0,5728500,2906.0
24,2023-09-28,2932.0,2955.5,2904.5,2925.0,2502000,2925.0
