,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,2812.0,2815.0,2753.5,2763.0,2100900.0,2763.0,0.0,0.0,0.0,0.0,0.0,153500.0,121600.0,15.5,1,0.005578549577109951,49.0,5
2,2023-11-15,2,45,2798.0,2823.0,2752.5,2778.5,3032000.0,2778.5,0.0,0.0,0.0,0.0,0.0,141100.0,109000.0,-6.5,0,-0.002344877344877345,19.5,5
3,2023-11-14,1,45,2758.0,2784.5,2735.0,2772.0,2047200.0,2772.0,0.0,0.0,0.0,0.0,0.0,175900.0,146400.0,-54.0,0,-0.019867549668874173,-14.0,5
4,2023-11-13,0,45,2735.0,2753.0,2672.0,2718.0,2503700.0,2718.0,0.0,0.0,0.0,0.0,0.0,141200.0,108500.0,-21.0,0,-0.00778642936596218,17.0,5
6,2023-11-09,3,44,2720.0,2761.0,2683.0,2746.0,2781500.0,2746.0,0.0,0.0,0.0,0.0,0.0,123200.0,87800.0,-30.0,0,-0.011045655375552283,-26.0,5
7,2023-11-08,2,44,2771.0,2793.5,2712.0,2716.0,3783000.0,2716.0,0.0,0.0,0.0,0.0,0.0,126700.0,81300.0,16.5,1,0.006038426349496798,55.0,5
8,2023-11-07,1,44,2765.0,2768.0,2726.5,2732.5,2343300.0,2732.5,0.0,0.0,0.0,0.0,0.0,125200.0,75700.0,12.5,1,0.004553734061930784,32.5,5
9,2023-11-06,0,44,2722.5,2756.0,2680.0,2745.0,6177100.0,2745.0,0.0,0.0,0.0,0.0,0.0,131300.0,77900.0,-72.0,0,-0.026936026936026935,-22.5,5
15,2023-10-26,3,42,2670.0,2673.5,2622.0,2635.5,1973000.0,2635.5,0.0,0.0,0.0,0.0,0.0,163500.0,139700.0,32.5,1,0.012181409295352323,34.5,5
16,2023-10-25,2,42,2691.5,2715.0,2654.5,2668.0,2332800.0,2668.0,0.0,0.0,0.0,0.0,0.0,147400.0,128100.0,-10.5,0,-0.003951081843838194,23.5,5
17,2023-10-24,1,42,2673.5,2697.5,2612.0,2657.5,1706400.0,2657.5,0.0,0.0,0.0,0.0,0.0,146900.0,125500.0,10.0,1,0.0037488284910965324,16.0,5
