,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-01,0.00,0,136700,111500
1,2023-10-31,0.00,0,108600,81000
2,2023-10-30,0,0,110900,135400
3,2023-10-27,0.00,0,144900,122700
4,2023-10-26,0.00,0,163500,139700
5,2023-10-25,0.00,0,147400,128100
6,2023-10-24,0.00,0,146900,125500
7,2023-10-23,0.00,0,163200,142100
8,2023-10-20,0.00,0,142800,122700
9,2023-10-19,0.00,0,132000,111900
10,2023-10-18,0.00,0,157200,137400
11,2023-10-17,0.00,0,155000,138300
12,2023-10-16,0.00,0,147000,130800
13,2023-10-13,0.00,0,148500,131400
14,2023-10-12,0.00,0,165400,147400
15,2023-10-11,0.00,0,145200,125600
16,2023-10-10,0.00,0,155900,140200
17,2023-10-06,0.00,0,128200,111300
18,2023-10-05,0.00,0,134500,118300
19,2023-10-04,0.00,0,127800,112500
20,2023-10-03,0.00,0,137800,124600
