,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,2665.5,2675,2596,2631,15398400,2631,0,0,0,0,0,0,0,9,1,0.00340909090909091,34.5,4
1,2023-11-01,2,43,2584.5,2640,2560.5,2640,18727500,2640,0,0,0,0,0,21900,169400,-94.5,0,-0.0371243370654095,-55.5,4
2,2023-10-31,1,43,2580,2612,2489,2545.5,20560100,2545.5,0,0,0,0,0,34300,167500,-33.5,0,-0.0133359872611465,34.5,4
3,2023-10-30,0,43,2546.5,2565.5,2500.5,2512,31692300,2512,0,0,0,0,0,10800,223300,41,1,0.0160595377986682,34.5,4
4,2023-10-27,4,42,2502,2557.5,2492,2553,10057300,2553,1093700,8060900,7.37,0,0,21500,223600,-51,0,-0.0203836930455636,-51,5
5,2023-10-26,3,42,2525,2533,2490.5,2502,8006100,2502,0,0,0,0,0,11000,212400,29.5,1,0.0116531700572783,23,5
6,2023-10-25,2,42,2512,2549.5,2503,2531.5,7510200,2531.5,0,0,0,0,0,13800,211100,-29,0,-0.0115884115884116,-19.5,5
7,2023-10-24,1,42,2521.5,2521.5,2441,2502.5,11922800,2502.5,0,0,0,0,0,14100,218500,20,1,0.00792864222001982,19,5
8,2023-10-23,0,42,2540,2553,2522.5,2522.5,7105300,2522.5,0,0,0,0,0,6900,210900,23.5,1,0.00923016496465043,17.5,5
9,2023-10-20,4,41,2532,2570,2523.5,2546,8750400,2546,1053000,8240000,7.83,0,0,7600,207700,0,0,0,-14,5
10,2023-10-19,3,41,2548,2563,2519,2546,9131500,2546,0,0,0,0,0,7600,212200,33.5,1,0.012987012987013,2,5
11,2023-10-18,2,41,2543,2591.5,2542,2579.5,12129500,2579.5,0,0,0,0,0,16800,204800,-53,0,-0.0209776370472986,-36.5,5
12,2023-10-17,1,41,2536,2543.5,2501.5,2526.5,6735900,2526.5,0,0,0,0,0,8000,201100,-12.5,0,-0.00497215592680987,9.5,5
13,2023-10-16,0,41,2508,2517,2481,2514,7489900,2514,0,0,0,0,0,7900,201500,12.5,1,0.00494755590738175,-6,5
14,2023-10-13,4,40,2589.5,2597,2523,2526.5,9898400,2526.5,1080400,8471600,7.84,0,0,8000,205500,55.5,1,0.0214949651432998,63,4
15,2023-10-12,3,40,2564.5,2591,2558,2582,10180700,2582,0,0,0,0,0,16900,202100,-36.5,0,-0.0143390296601846,-17.5,4
16,2023-10-11,2,40,2553,2560.5,2530,2545.5,7871800,2545.5,0,0,0,0,0,9000,206400,6.5,1,0.00254702194357367,7.5,4
17,2023-10-10,1,40,2502.5,2554.5,2499,2552,11356600,2552,0,0,0,0,0,11500,229800,-61.5,0,-0.0246938365790002,-49.5,4
18,2023-10-06,4,39,2494,2509.5,2450,2490.5,8759100,2490.5,1073400,8509100,7.93,0,0,7600,240100,12.5,1,0.00499400719137036,3.5,5
19,2023-10-05,3,39,2467,2503,2428.5,2503,13943500,2503,0,0,0,0,0,21800,255000,-79.5,0,-0.0328037961625748,-36,5
20,2023-10-04,2,39,2488,2504,2416.5,2423.5,17348600,2423.5,0,0,0,0,0,8600,262900,113,1,0.0445495761876602,64.5,5
21,2023-10-03,1,39,2559.5,2566,2528,2536.5,9018100,2536.5,0,0,0,0,0,7100,253900,30.5,1,0.0118815738215816,23,5
22,2023-10-02,0,39,2560,2608.5,2559.5,2567,11550100,2567,0,0,0,0,0,22300,294500,-26,0,-0.0102321920503739,-7,5
23,2023-09-29,4,38,2580,2583,2536,2541,14683000,2541,1172800,8610700,7.34,0,0,12100,423800,57.5,1,0.0221281508562632,39,5
24,2023-09-28,3,38,2620,2644,2584,2598.5,13787000,2598.5,0,0,0,0,0,1012800,1477600,54.5,1,0.0205427817565021,21.5,5
25,2023-09-27,2,38,2638.5,2653,2623.5,2653,12184800,2653,0,0,0,0.15,3,1684800,631100,3.5,1,0.00131752305665349,-14.5,5
26,2023-09-26,1,38,2654.5,2662,2614,2656.5,13529800,2656.5,0,0,0,0,0,1000200,899300,-20,0,-0.00758581452683482,-2,5
27,2023-09-25,0,38,2685,2685.5,2633,2636.5,14662200,2636.5,0,0,0,0,0,998500,896800,74,1,0.0273012359343295,48.5,5
28,2023-09-22,4,37,2664.5,2724.5,2643,2710.5,17862400,2710.5,2391000,7177500,3,0,0,999600,918400,-36,0,-0.0134604598990466,-46,4
29,2023-09-21,3,37,2669,2719,2662,2674.5,18316500,2674.5,0,0,0,0,0,1053400,983600,-25,0,-0.00943574259294206,-5.5,4
30,2023-09-20,2,37,2690,2698,2637.5,2649.5,16368700,2649.5,0,0,0,0,0,999700,945700,33.5,1,0.0124860231084607,40.5,4
31,2023-09-19,1,37,2636.5,2684.5,2635,2683,14556100,2683,0,0,0,0,1,1000100,852400,-43,0,-0.0162878787878788,-46.5,4
32,2023-09-15,4,36,2659,2711,2605.5,2640,27435600,2640,2547900,6613900,2.6,0,1,1006500,737700,3.5,1,0.00132400226971818,19,5
33,2023-09-14,3,36,2648.5,2649,2626,2643.5,13180000,2643.5,0,0,0,0,1,998400,606500,-19,0,-0.00723947418555915,5,5
34,2023-09-13,2,36,2600.5,2652,2599.5,2624.5,14810900,2624.5,0,0,0,0,0,10000,239200,-24.5,0,-0.00942307692307692,-24,5
35,2023-09-12,1,36,2590,2600,2557.5,2600,14155900,2600,0,0,0,0,0,11300,164100,-18.5,0,-0.00716637613790432,-10,5
36,2023-09-11,0,36,2518,2582.5,2516.5,2581.5,18266500,2581.5,0,0,0,0,0,4800,197400,-109.5,0,-0.0442961165048544,-63.5,5
37,2023-09-08,4,35,2467,2497.5,2463.5,2472,13102600,2472,1214300,7144900,5.88,0,0,5300,165300,23.5,1,0.00941695051091966,-5,5
38,2023-09-07,3,35,2509,2521.5,2492,2495.5,12052500,2495.5,0,0,0,0,0,4600,173500,18,1,0.00716132882434852,13.5,5
39,2023-09-06,2,35,2500,2528.5,2498.5,2513.5,11274300,2513.5,0,0,0,0,0,10400,146100,-28.5,0,-0.0114688128772636,-13.5,5
40,2023-09-05,1,35,2501.5,2518.5,2455.5,2485,11953100,2485,0,0,0,0,0,12300,155300,6.5,1,0.00260887015853903,16.5,5
41,2023-09-04,0,35,2469,2491.5,2462,2491.5,10296100,2491.5,0,0,0,0,0,42700,154100,-41.5,0,-0.0169387755102041,-22.5,5
42,2023-09-01,4,34,2413,2463,2411.5,2450,13053900,2450,1413900,6948200,4.91,0,0,64700,136900,-40,0,-0.016597510373444,-37,5
43,2023-08-31,3,34,2404,2417.5,2399,2410,9411300,2410,0,0,0,0,0,4000,194200,9,1,0.00372054568003307,-6,5
44,2023-08-30,2,34,2388.5,2420,2384.5,2419,11058400,2419,0,0,0,0,0,18000,161600,-42.5,0,-0.0178834420366085,-30.5,5
45,2023-08-29,1,34,2395.5,2401.5,2365.5,2376.5,7259500,2376.5,0,0,0,0,0,22700,165700,9,1,0.00377279396352966,19,5
46,2023-08-28,0,34,2357,2393,2352.5,2385.5,8213000,2385.5,0,0,0,0,0,12600,142000,-45.5,0,-0.0194444444444444,-28.5,5
47,2023-08-25,4,33,2320.5,2357,2315.5,2340,8227600,2340,1076800,7888700,7.33,0,0,7900,166800,-7,0,-0.00300042863266181,-19.5,5
48,2023-08-24,3,33,2325,2342.5,2322,2333,6486000,2333,0,0,0,0,0,24500,165700,2,1,0.000856531049250535,-8,5
49,2023-08-23,2,33,2301.5,2340.5,2297,2335,8230100,2335,0,0,0,0,0,14200,171000,-20,0,-0.00863930885529158,-33.5,5
50,2023-08-22,1,33,2280,2319,2275,2315,7329900,2315,0,0,0,0,0,1900,168900,-56,0,-0.0247897299690128,-35,5
51,2023-08-21,0,33,2260,2279.5,2252,2259,4554700,2259,0,0,0,0,0,1800,210900,8.5,1,0.00374862183020948,1,5
52,2023-08-18,4,32,2261,2277,2246.5,2267.5,7826900,2267.5,931100,8533800,9.17,0,0,700,218900,17,1,0.00744145327205078,-6.5,5
53,2023-08-17,3,32,2254,2286,2223,2284.5,9347000,2284.5,0,0,0,0,0,600,212900,-22.5,0,-0.00994694960212202,-30.5,5
54,2023-08-16,2,32,2282,2286,2258,2262,9435500,2262,0,0,0,0,0,2000,213800,49,1,0.0212029424491562,20,5
55,2023-08-15,1,32,2322,2331.5,2303,2311,9412200,2311,0,0,0,0,0,4400,223700,6.5,1,0.00280474649406688,11,5
56,2023-08-14,0,32,2363.5,2364,2310.5,2317.5,7461100,2317.5,0,0,0,0,0,4400,233200,22.5,1,0.00961538461538462,46,5
57,2023-08-10,3,31,2313.5,2349.5,2292,2340,10851000,2340,1043900,8529700,8.17,0,0,4100,224900,-14.5,0,-0.00623521823263814,-26.5,4
58,2023-08-09,2,31,2370,2370.5,2310.5,2325.5,11031500,2325.5,0,0,0,0,0,7400,228300,52.5,1,0.0220773759461733,44.5,4
59,2023-08-08,1,31,2408,2409,2376,2378,9518600,2378,0,0,0,0,0,12100,222100,-5.5,0,-0.00231822971548999,30,4
60,2023-08-07,0,31,2391,2393.5,2365.5,2372.5,6867200,2372.5,0,0,0,0,0,6900,222700,18.5,1,0.00773734838979507,18.5,4
61,2023-08-04,4,30,2380.5,2401.5,2371.5,2391,8516500,2391,1222300,7406300,6.06,0,0,5700,188100,-26,0,-0.0109936575052854,-10.5,5
