,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,2812,2846.5,2746.5,2760,62211400,2760,0,0,0,0,0,0,0,-48,0,-0.0176991150442478,52,4
1,2023-11-01,2,43,2703.5,2752,2678.5,2712,66935200,2712,0,0,0,0,0,572000,429400,-122,0,-0.0471042471042471,-8.5,4
2,2023-10-31,1,43,2590,2593,2526,2590,32184100,2590,0,0,0,0,0,564400,620300,-16,0,-0.00621600621600622,0,4
3,2023-10-30,0,43,2593,2595,2560.5,2574,28552500,2574,0,0,0,0,0,544700,607400,64.5,1,0.0244457077885162,19,4
4,2023-10-27,4,42,2595,2644,2594.5,2638.5,20775500,2638.5,2420000,13673000,5.65,0,0,513000,599000,-44,0,-0.0169589516284448,-43.5,5
5,2023-10-26,3,42,2617.5,2628,2571,2594.5,22969100,2594.5,0,0,0,0,0,503700,622600,45.5,1,0.0172348484848485,23,5
6,2023-10-25,2,42,2631,2664,2613.5,2640,18828500,2640,0,0,0,0,0,523300,616200,-42.5,0,-0.0163618864292589,-9,5
7,2023-10-24,1,42,2645,2648.5,2544,2597.5,26740000,2597.5,0,0,0,0,0,534700,619500,12.5,1,0.00478927203065134,47.5,5
8,2023-10-23,0,42,2600,2631,2585.5,2610,17852100,2610,0,0,0,0,0,536300,614000,7,1,0.0026748184944593,-10,5
9,2023-10-20,4,41,2600.5,2642,2575,2617,23366400,2617,2441700,14045800,5.75,0,0,536200,641700,28,1,0.010586011342155,-16.5,5
10,2023-10-19,3,41,2625,2667,2623,2645,18842300,2645,0,0,0,0,0,503200,448300,24,1,0.00899213188460097,-20,5
11,2023-10-18,2,41,2675,2697,2661,2669,18891100,2669,0,0,0,0,0,503300,520800,12,1,0.00447594181275643,6,5
12,2023-10-17,1,41,2705,2719,2653,2681,22766500,2681,0,0,0,0,0,496200,473500,-21,0,-0.00789473684210526,24,5
13,2023-10-16,0,41,2650,2665,2630.5,2660,19258100,2660,0,0,0,0,0,482000,487800,27.5,1,0.0102325581395349,-10,5
14,2023-10-13,4,40,2708,2726,2677,2687.5,24757200,2687.5,2347300,13580700,5.79,0,0,482000,626500,52.5,1,0.0191605839416058,20.5,4
15,2023-10-12,3,40,2678,2740,2673,2740,32321600,2740,0,0,0,0,0,562300,418400,-89,0,-0.033572236891739,-62,4
16,2023-10-11,2,40,2650,2681,2640,2651,23177900,2651,0,0,0,0,0,574100,509900,-26.5,0,-0.0100971613640693,-1,4
17,2023-10-10,1,40,2600,2640.5,2595,2624.5,27455800,2624.5,0,0,0,0,0,556900,469900,-52.5,0,-0.0204121306376361,-24.5,4
18,2023-10-06,4,39,2564.5,2604,2536,2572,28521800,2572,2383500,13628900,5.72,0,0,521200,486200,18,1,0.00694980694980695,-7.5,5
19,2023-10-05,3,39,2528,2590,2505.5,2590,41463500,2590,0,0,0,0,0,577300,630000,-112.5,0,-0.0454086781029263,-62,5
20,2023-10-04,2,39,2555,2563,2471,2477.5,46063800,2477.5,0,0,0,0,0,602000,473400,127.5,1,0.0489443378119002,77.5,5
21,2023-10-03,1,39,2680,2687,2593,2605,31775900,2605,0,0,0,0,0,505700,466200,82,1,0.0305173055452177,75,5
22,2023-10-02,0,39,2700.5,2746.5,2683.5,2687,28738800,2687,0,0,0,0,0,489100,435100,-9.5,0,-0.00354808590102708,13.5,5
23,2023-09-29,4,38,2718,2727.5,2675.5,2677.5,33276200,2677.5,2667500,12523500,4.69,0,0,495800,489900,28.5,1,0.0105321507760532,40.5,5
24,2023-09-28,3,38,2720,2746.5,2678,2706,32137100,2706,0,0,0,0,0,562900,605000,42,1,0.0152838427947598,14,5
25,2023-09-27,2,38,2700,2751.5,2677,2748,31403100,2748,0,0,0,0,0,612000,444800,-31.5,0,-0.0115958034235229,-48,5
26,2023-09-26,1,38,2765,2766.5,2707.5,2716.5,26603400,2716.5,0,0,0,0,0,497300,515100,45,1,0.0162954915806627,48.5,5
27,2023-09-25,0,38,2785,2789,2740.5,2761.5,21522300,2761.5,0,0,0,0,0,533700,482100,27,1,0.00968262506724045,23.5,5
28,2023-09-22,4,37,2749.5,2811,2735,2788.5,28714900,2788.5,3282000,10773300,3.28,0,0,524800,507900,-3,0,-0.00107700592353258,-39,4
29,2023-09-21,3,37,2799,2835,2775,2785.5,25747000,2785.5,0,0,0,0,0,527600,455200,13.5,1,0.00482315112540193,13.5,4
30,2023-09-20,2,37,2900,2911.5,2797,2799,42976800,2799,0,0,0,0,0,525200,891400,81,1,0.028125,101,4
31,2023-09-19,1,37,2806.5,2885.5,2798,2880,40156000,2880,0,0,0,0,0,816300,689500,-58.5,0,-0.0207336523125997,-73.5,4
32,2023-09-15,4,36,2788,2842,2780.5,2821.5,49241800,2821.5,4022500,7851200,1.95,0,0,749700,656300,-73.5,0,-0.0267467248908297,-33.5,5
33,2023-09-14,3,36,2715.5,2757,2694,2748,31358600,2748,0,0,0,0,1,701200,438000,-40.5,0,-0.0149584487534626,-32.5,5
34,2023-09-13,2,36,2657,2715,2651,2707.5,29244700,2707.5,0,0,0,0,4,672600,432800,-50.5,0,-0.0190063981934513,-50.5,5
35,2023-09-12,1,36,2624,2660,2619,2657,21560000,2657,0,0,0,0,0,616200,522400,-62,0,-0.0238921001926782,-33,5
36,2023-09-11,0,36,2610.5,2618,2586,2595,16439600,2595,0,0,0,0,0,570000,576900,8,1,0.00307337687283903,15.5,5
