,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,2522,2559,2480,2480,76400,2480,0,0,0,0,0,0,0,42,1,0.0166534496431404,42,4
1,2023-11-01,2,43,2579,2585,2522,2522,89700,2522,0,0,0,0,0,9000,11200,25,1,0.00981546917942678,57,4
2,2023-10-31,1,43,2541,2560,2506,2547,105700,2547,0,0,0,0,0,8900,10300,-19,0,-0.00751582278481013,-6,4
3,2023-10-30,0,43,2585,2592,2500,2528,98800,2528,0,0,0,0,0,8900,11400,56,1,0.021671826625387,57,4
4,2023-10-27,4,42,2554,2587,2524,2584,95000,2584,21000,150300,7.16,0,0,9100,10100,-30,0,-0.0117462803445576,-30,5
5,2023-10-26,3,42,2548,2579,2530,2554,94500,2554,0,0,0,0,0,8800,11700,0,0,0,-6,5
6,2023-10-25,2,42,2540,2584,2537,2554,157700,2554,0,0,0,0,0,8700,10900,-25,0,-0.00988533017002768,-14,5
7,2023-10-24,1,42,2479,2536,2421,2529,172700,2529,0,0,0,0,0,7500,12000,-86,0,-0.0352026197298404,-50,5
8,2023-10-23,0,42,2428,2450,2413,2443,105100,2443,0,0,0,0,0,8000,11200,-26,0,-0.0107571369466281,-15,5
9,2023-10-20,4,41,2412,2431,2366,2417,126400,2417,18400,180100,9.79,0,0,8300,11100,14,1,0.00575894693541752,-5,5
10,2023-10-19,3,41,2450,2528,2405,2431,355100,2431,0,0,0,0,0,8800,10400,32,1,0.0129922858302883,19,5
11,2023-10-18,2,41,2499,2500,2365,2463,943500,2463,0,0,0,0,0,9500,11600,-204,0,-0.0903054448871182,36,5
12,2023-10-17,1,41,2306,2313,2244,2259,56400,2259,0,0,0,0,0,9500,8800,13,1,0.00572183098591549,47,5
13,2023-10-16,0,41,2306,2330,2260,2272,86000,2272,0,0,0,0,0,4500,9800,69,1,0.02947458351132,34,5
14,2023-10-13,4,40,2384,2392,2330,2341,74500,2341,13900,142500,10.25,0,0,4900,8300,71,1,0.0294361525704809,43,4
15,2023-10-12,3,40,2420,2422,2404,2412,51600,2412,0,0,0,0,0,5100,8100,-1,0,-0.000414765657403567,8,4
16,2023-10-11,2,40,2406,2430,2385,2411,66300,2411,0,0,0,0,0,1100,9400,-9,0,-0.00374687760199834,-5,4
17,2023-10-10,1,40,2388,2410,2379,2402,77500,2402,0,0,0,0,0,1100,9500,-34,0,-0.0143581081081081,-14,4
18,2023-10-06,4,39,2365,2386,2351,2368,52900,2368,10000,137100,13.71,0,0,1100,9500,-18,0,-0.00765957446808511,-3,5
19,2023-10-05,3,39,2335,2386,2335,2350,77900,2350,0,0,0,0,0,1100,9500,-39,0,-0.0168758113370835,-15,5
20,2023-10-04,2,39,2324,2352,2284,2311,157700,2311,0,0,0,0,0,1000,10900,73,1,0.0306208053691275,13,5
21,2023-10-03,1,39,2444,2444,2382,2384,43800,2384,0,0,0,0,0,3000,10700,61,1,0.0249488752556237,60,5
22,2023-10-02,0,39,2479,2523,2445,2445,48300,2445,0,0,0,0,0,2900,9300,55,1,0.022,34,5
23,2023-09-29,4,38,2549,2583,2486,2500,61000,2500,23500,143600,6.11,0,0,8100,9200,30,1,0.0118577075098814,49,5
24,2023-09-28,3,38,2556,2571,2511,2530,51100,2530,0,0,0,0,0,7600,8400,53,1,0.0205187766163376,26,5
25,2023-09-27,2,38,2570,2594,2533,2583,87700,2583,0,0,0,0,0,7600,7100,10,1,0.00385653682992673,-13,5
26,2023-09-26,1,38,2619,2619,2567,2593,62800,2593,0,0,0,0,0,8100,8100,27,1,0.0103053435114504,26,5
27,2023-09-25,0,38,2563,2635,2554,2620,61100,2620,0,0,0,0,0,8200,8100,-59,0,-0.023037875829754,-57,5
28,2023-09-22,4,37,2534,2579,2515,2561,72200,2561,23200,127600,5.5,0,0,7500,8100,-10,0,-0.00392003136025088,-27,4
29,2023-09-21,3,37,2626,2626,2544,2551,80700,2551,0,0,0,0,0,8500,7600,74,1,0.0281904761904762,75,4
30,2023-09-20,2,37,2600,2644,2587,2625,111700,2625,0,0,0,0,0,9700,7100,-29,0,-0.011171032357473,-25,4
31,2023-09-19,1,37,2584,2596,2547,2596,51100,2596,0,0,0,0,0,9600,7100,3,1,0.00115429011158138,-12,4
32,2023-09-15,4,36,2610,2627,2569,2599,91200,2599,26200,131600,5.02,0,0,9800,7100,10,1,0.00383288616328095,11,5
33,2023-09-14,3,36,2594,2614,2573,2609,52600,2609,0,0,0,0,0,9400,7100,-32,0,-0.0124175397749321,-15,5
34,2023-09-13,2,36,2630,2630,2550,2577,111300,2577,0,0,0,0,0,9800,7200,62,1,0.0234937476316787,53,5
35,2023-09-12,1,36,2660,2671,2619,2639,54700,2639,0,0,0,0,0,12600,8300,5,1,0.0018910741301059,21,5
36,2023-09-11,0,36,2645,2677,2626,2644,80900,2644,0,0,0,0,0,11500,7200,-4,0,-0.00151515151515152,1,5
37,2023-09-08,4,35,2621,2670,2621,2640,63500,2640,33400,160200,4.8,0,0,13000,9300,-8,0,-0.00303951367781155,-19,5
38,2023-09-07,3,35,2604,2647,2598,2632,67900,2632,0,0,0,0,1,13300,5400,3,1,0.00113851992409867,-28,5
39,2023-09-06,2,35,2636,2660,2630,2635,56000,2635,0,0,0,0,3,12700,7700,17,1,0.00641025641025641,1,5
40,2023-09-05,1,35,2670,2678,2630,2652,73800,2652,0,0,0,0,0,11800,7500,21,1,0.00785634118967452,18,5
41,2023-09-04,0,35,2630,2677,2619,2673,77000,2673,0,0,0,0,0,11000,6900,-23,0,-0.00867924528301887,-43,5
42,2023-09-01,4,34,2610,2669,2610,2650,116900,2650,30200,163300,5.41,0,0,10400,6200,-40,0,-0.0153256704980843,-40,5
43,2023-08-31,3,34,2571,2613,2544,2610,88100,2610,0,0,0,0,0,5400,3000,-35,0,-0.0135922330097087,-39,5
44,2023-08-30,2,34,2583,2587,2568,2575,62700,2575,0,0,0,0,0,6200,3000,-14,0,-0.00546661460367044,8,5
45,2023-08-29,1,34,2535,2570,2521,2561,82000,2561,0,0,0,0,0,5800,3000,-54,0,-0.0215396888711608,-26,5
46,2023-08-28,0,34,2458,2513,2450,2507,72700,2507,0,0,0,0,0,6000,3000,-61,0,-0.0249386753883892,-49,5
47,2023-08-25,4,33,2414,2452,2401,2446,39400,2446,21600,172100,7.97,0,0,3700,3000,-16,0,-0.0065843621399177,-32,5
48,2023-08-24,3,33,2470,2470,2430,2430,27400,2430,0,0,0,0,0,3400,3000,39,1,0.0157958687727825,40,5
49,2023-08-23,2,33,2444,2483,2434,2469,33800,2469,0,0,0,0,0,4300,3000,-16,0,-0.00652262535670607,-25,5
50,2023-08-22,1,33,2410,2471,2395,2453,100000,2453,0,0,0,0,0,4600,3000,-45,0,-0.018687707641196,-43,5
51,2023-08-21,0,33,2397,2418,2369,2408,72000,2408,0,0,0,0,0,3100,7500,-49,0,-0.0207715133531157,-11,5
52,2023-08-18,4,32,2349,2370,2337,2359,68900,2359,20400,171900,8.43,0,0,3200,7600,28,1,0.0117302052785924,-10,5
53,2023-08-17,3,32,2424,2430,2353,2387,119300,2387,0,0,0,0,0,3000,7600,16,1,0.00665834373699542,37,5
54,2023-08-16,2,32,2367,2421,2367,2403,58000,2403,0,0,0,0,0,6100,7500,0,0,0,-36,5
55,2023-08-15,1,32,2353,2408,2348,2403,70900,2403,0,0,0,0,0,4800,7300,-58,0,-0.0247334754797441,-50,5
56,2023-08-14,0,32,2408,2429,2329,2345,128100,2345,0,0,0,0,0,4000,7300,63,1,0.0261627906976744,63,5
57,2023-08-10,3,31,2441,2495,2393,2408,214600,2408,27900,194900,6.99,0,0,3800,10400,19,1,0.00782859497321796,33,4
58,2023-08-09,2,31,2418,2473,2369,2427,418400,2427,0,0,0,0,1,9300,8100,-208,0,-0.0937359170797657,-9,4
59,2023-08-08,1,31,2225,2248,2201,2219,63300,2219,0,0,0,0,4,8100,6800,4,1,0.00179937022042285,6,4
60,2023-08-07,0,31,2184,2223,2173,2223,55300,2223,0,0,0,0,0,4700,5000,-17,0,-0.00770625566636446,-39,4
61,2023-08-04,4,30,2197,2232,2189,2206,60600,2206,15500,204500,13.19,0,0,5700,5700,6,1,0.0027124773960217,-9,5
62,2023-08-03,3,30,2250,2250,2204,2212,64200,2212,0,0,0,0,0,6200,6200,57,1,0.0251211987659762,38,5
63,2023-08-02,2,30,2237,2273,2235,2269,66800,2269,0,0,0,0,0,3800,4300,-19,0,-0.00844444444444444,-32,5
64,2023-08-01,1,30,2240,2256,2222,2250,64100,2250,0,0,0,0,0,3200,4100,-13,0,-0.00581135449262405,-10,5
65,2023-07-31,0,30,2236,2252,2221,2237,72700,2237,0,0,0,0,0,2600,4200,-27,0,-0.0122171945701357,-1,5
66,2023-07-28,4,29,2189,2211,2181,2210,79800,2210,12200,203400,16.67,0,0,2400,3500,-21,0,-0.00959342165372316,-21,5
67,2023-07-27,3,29,2156,2193,2114,2189,66800,2189,0,0,0,0,0,2400,3400,-35,0,-0.0162488393686165,-33,5
68,2023-07-26,2,29,2170,2170,2121,2154,76300,2154,0,0,0,0,0,2400,3400,18,1,0.00828729281767956,16,5
69,2023-07-25,1,29,2160,2182,2155,2172,52900,2172,0,0,0,0,0,2300,3400,-24,0,-0.0111731843575419,-12,5
70,2023-07-24,0,29,2134,2151,2125,2148,52600,2148,0,0,0,0,0,1600,2800,-34,0,-0.0160832544938505,-14,5
71,2023-07-21,4,28,2097,2115,2086,2114,54800,2114,10600,175300,16.54,0,0,2600,2600,-12,0,-0.00570884871550904,-17,4
72,2023-07-20,3,28,2125,2125,2095,2102,30800,2102,0,0,0,0,1,3400,2200,12,1,0.00567644276253548,23,4
73,2023-07-19,2,28,2111,2129,2100,2114,40700,2114,0,0,0,0,3,3400,2200,-19,0,-0.00906921241050119,-3,4
74,2023-07-18,1,28,2090,2101,2082,2095,35900,2095,0,0,0,0,0,3800,5100,-5,0,-0.00239234449760766,-5,4
75,2023-07-14,4,27,2111,2125,2088,2090,43600,2090,13300,169000,12.71,0,0,4000,4000,31,1,0.0146157472890146,21,5
76,2023-07-13,3,27,2126,2132,2114,2121,23100,2121,0,0,0,0,1,5200,4400,12,1,0.00562587904360056,5,5
77,2023-07-12,2,27,2166,2177,2133,2133,25800,2133,0,0,0,0,4,5400,5100,20,1,0.00928936367858802,33,5
78,2023-07-11,1,27,2155,2170,2137,2153,49700,2153,0,0,0,0.05,1,5700,5000,2,1,0.000928074245939675,2,5
79,2023-07-10,0,27,2190,2190,2148,2155,66800,2155,0,0,0,0.05,1,6100,5100,35,1,0.0159817351598174,35,5
80,2023-07-07,4,26,2164,2212,2160,2190,67900,2190,16500,164700,9.98,0.05,1,6700,5300,-26,0,-0.0120147874306839,-26,5
81,2023-07-06,3,26,2196,2199,2160,2164,71200,2164,0,0,0,0.05,1,6300,4600,41,1,0.01859410430839,32,5
82,2023-07-05,2,26,2199,2218,2198,2205,37000,2205,0,0,0,0,0,3500,3100,6,1,0.00271370420624152,-6,5
83,2023-07-04,1,26,2217,2217,2199,2211,54900,2211,0,0,0,0,0,3800,2800,21,1,0.00940860215053764,6,5
84,2023-07-03,0,26,2219,2239,2218,2232,58300,2232,0,0,0,0,0,3400,3300,-15,0,-0.006765899864682,-13,5
85,2023-06-30,4,25,2225,2232,2198,2217,83700,2217,18400,171200,9.3,0,0,3900,3200,9,1,0.00404312668463612,8,5
