,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,1358.5,1373,1347.5,1348,12187900,1348,0,0,0,0,0,0,0,-9,0,-0.00672143390589993,10.5,4
1,2023-11-01,2,43,1339,1355,1331.5,1339,18766900,1339,0,0,0,0,0,1000,200100,-30,0,-0.0229182582123759,0,4
2,2023-10-31,1,43,1355,1357,1295,1309,38795200,1309,0,0,0,0,0,417000,199700,128,1,0.0890744606819763,46,4
3,2023-10-30,0,43,1450,1450.5,1422.5,1437,10024400,1437,0,0,0,0,0,10000,132300,29,1,0.0197817189631651,13,4
4,2023-10-27,4,42,1471,1481,1458,1466,7859700,1466,953500,7578000,7.95,0,0,2000,122700,-4.5,0,-0.00307902839548409,5,5
5,2023-10-26,3,42,1465.5,1487,1452.5,1461.5,10070900,1461.5,0,0,0,0,0,25500,120900,21.5,1,0.0144976399190829,4,5
6,2023-10-25,2,42,1501,1516.5,1475,1483,8719000,1483,0,0,0,0,0,18600,119900,2,1,0.00134680134680135,18,5
7,2023-10-24,1,42,1495,1498.5,1453.5,1485,8004500,1485,0,0,0,0,0,4300,138500,-10.5,0,-0.00712105798575788,10,5
8,2023-10-23,0,42,1465,1490,1448.5,1474.5,13291500,1474.5,0,0,0,0,0,15600,127900,13,1,0.00873949579831933,-9.5,5
9,2023-10-20,4,41,1493,1497.5,1461.5,1487.5,18793700,1487.5,1134500,7360100,6.49,0,0,8500,136200,38,1,0.0249098656178302,5.5,5
10,2023-10-19,3,41,1540,1550,1518,1525.5,7782300,1525.5,0,0,0,0,0,8000,119400,46.5,1,0.0295801526717557,14.5,5
11,2023-10-18,2,41,1586.5,1590,1556.5,1572,6583000,1572,0,0,0,0,0,5800,109300,13,1,0.0082018927444795,14.5,5
12,2023-10-17,1,41,1595,1610,1569.5,1585,6725400,1585,0,0,0,0,0,5800,113000,-19.5,0,-0.0124560843181092,10,5
13,2023-10-16,0,41,1598,1599,1560,1565.5,8551900,1565.5,0,0,0,0,0,6500,112600,51.5,1,0.0318491032776747,32.5,5
14,2023-10-13,4,40,1646,1658.5,1608,1617,9218800,1617,1030200,6779900,6.58,0,0,5800,110200,36.5,1,0.022074387662534,29,4
15,2023-10-12,3,40,1628,1654.5,1626,1653.5,6984900,1653.5,0,0,0,0,0,28500,143400,-41,0,-0.0254263565891473,-25.5,4
16,2023-10-11,2,40,1621,1628,1597.5,1612.5,7634800,1612.5,0,0,0,0,0,5800,134600,8,1,0.00493674791730947,8.5,4
17,2023-10-10,1,40,1575.5,1621,1570.5,1620.5,10222900,1620.5,0,0,0,0,0,10900,142300,-76,0,-0.0492068630624798,-45,4
18,2023-10-06,4,39,1548,1555.5,1530.5,1544.5,12848700,1544.5,1057000,7099000,6.72,0,0,12100,157000,27,1,0.0171810372255807,3.5,5
19,2023-10-05,3,39,1564,1588,1531.5,1571.5,14659300,1571.5,0,0,0,0,0,12100,142500,-2,0,-0.00127429117553361,-7.5,5
20,2023-10-04,2,39,1613,1616,1563,1569.5,13932400,1569.5,0,0,0,0,0,5800,135700,96.5,1,0.0579231692677071,43.5,5
21,2023-10-03,1,39,1664.5,1686,1651,1666,10363300,1666,0,0,0,0,0,5800,114300,14,1,0.00833333333333333,-1.5,5
22,2023-10-02,0,39,1699.5,1707,1674,1680,8027900,1680,0,0,0,0,0,5800,187400,2,1,0.00118906064209275,19.5,5
23,2023-09-29,4,38,1708.5,1722.5,1675,1682,10257600,1682,1290400,5386400,4.17,0,0,5800,161200,54,1,0.0311059907834101,26.5,5
24,2023-09-28,3,38,1730,1754.5,1722.5,1736,8200500,1736,0,0,0,0,0,10200,115700,10,1,0.00572737686139748,-6,5
25,2023-09-27,2,38,1728.5,1748.5,1714.5,1746,8457200,1746,0,0,0,0,0,19500,155100,7,1,0.00399315459212778,-17.5,5
26,2023-09-26,1,38,1770,1773.5,1745,1753,6659600,1753,0,0,0,0,0,28900,156100,25,1,0.0140607424071991,17,5
27,2023-09-25,0,38,1758.5,1781.5,1749.5,1778,7173100,1778,0,0,0,0,0,66400,98900,-46.5,0,-0.0268553277505053,-19.5,5
28,2023-09-22,4,37,1713.5,1741.5,1693,1731.5,8485800,1731.5,1589100,4440200,2.79,0,0,13000,76900,0.5,1,0.000288683602771363,-18,4
29,2023-09-21,3,37,1747.5,1767.5,1722.5,1732,7820400,1732,0,0,0,0,0,13300,96300,42,1,0.0236753100338219,15.5,4
30,2023-09-20,2,37,1782,1808,1766,1774,11094700,1774,0,0,0,0,0,52500,87500,10,1,0.00560538116591928,8,4
31,2023-09-19,1,37,1778,1784.5,1762.5,1784,10720500,1784,0,0,0,0,0,83200,112800,-2,0,-0.00112233445566779,-6,4
32,2023-09-15,4,36,1732.5,1788,1729,1782,19081700,1782,1776300,3867000,2.18,0,0,103100,55600,-74.5,0,-0.0436310395314788,-49.5,5
33,2023-09-14,3,36,1677,1713,1674,1707.5,7878100,1707.5,0,0,0,0,0,5800,66200,-44.5,0,-0.0267588695129284,-30.5,5
34,2023-09-13,2,36,1689,1689,1656.5,1663,9339100,1663,0,0,0,0,0,8800,115300,14,1,0.00834824090638044,26,5
35,2023-09-12,1,36,1684.5,1700.5,1667.5,1677,6022200,1677,0,0,0,0,0,8900,63100,-15.5,0,-0.00932891965091785,7.5,5
36,2023-09-11,0,36,1698.5,1702,1659,1661.5,5790100,1661.5,0,0,0,0,0,5800,72700,20,1,0.0118941421349985,37,5
37,2023-09-08,4,35,1703.5,1717.5,1678,1681.5,8623500,1681.5,1489300,4661100,3.13,0,0,5800,61800,41.5,1,0.0240858966918166,22,5
38,2023-09-07,3,35,1735,1750,1721.5,1723,7269500,1723,0,0,0,0,0,5800,82500,11,1,0.0063437139561707,12,5
39,2023-09-06,2,35,1730.5,1735,1714,1734,7728500,1734,0,0,0,0,0,7400,86200,-5.5,0,-0.00318194966734163,-3.5,5
40,2023-09-05,1,35,1734,1737.5,1711,1728.5,7068900,1728.5,0,0,0,0,0,5800,92700,9.5,1,0.00546605293440737,5.5,5
41,2023-09-04,0,35,1719.5,1738.5,1695,1738,8341700,1738,0,0,0,0,0,5800,94500,-15,0,-0.00870574579222287,-18.5,5
