,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,631,631,621,628,323800,628,0,0,0,0,0,0,0,0,0,0,3,4
1,2023-11-01,2,43,627,633,619,628,421200,628,0,0,0,0,0,400,16800,-16,0,-0.0261437908496732,-1,4
2,2023-10-31,1,43,610,613,604,612,528300,612,0,0,0,0,0,0,16500,0,0,0,-2,4
3,2023-10-30,0,43,622,625,607,612,409300,612,0,0,0,0,0,0,15800,14,1,0.0223642172523962,10,4
4,2023-10-27,4,42,622,628,622,626,290300,626,14500,1193200,82.29,0,0,1000,13900,-8,0,-0.0129449838187702,-4,5
5,2023-10-26,3,42,624,626,617,618,251700,618,0,0,0,0,0,0,18300,8,1,0.012779552715655,6,5
6,2023-10-25,2,42,624,630,623,626,320400,626,0,0,0,0,0,0,15600,-6,0,-0.00967741935483871,-2,5
7,2023-10-24,1,42,626,627,612,620,579200,620,0,0,0,0,0,0,14700,6,1,0.00958466453674121,6,5
8,2023-10-23,0,42,629,631,626,626,321000,626,0,0,0,0,0,0,12300,4,1,0.00634920634920635,3,5
9,2023-10-20,4,41,632,634,626,630,359900,630,34700,1220500,35.17,0,0,0,14000,4,1,0.00630914826498423,2,5
10,2023-10-19,3,41,637,639,632,634,417900,634,0,0,0,0,0,2000,17100,6,1,0.009375,3,5
11,2023-10-18,2,41,645,647,637,640,417400,640,0,0,0,0,0,0,26900,7,1,0.0108191653786708,5,5
12,2023-10-17,1,41,651,653,643,647,303000,647,0,0,0,0,0,0,17700,-1,0,-0.00154798761609907,4,5
13,2023-10-16,0,41,659,661,645,646,323300,646,0,0,0,0,0,0,17100,9,1,0.0137404580152672,13,5
14,2023-10-13,4,40,663,664,653,655,266300,655,32200,1174700,36.48,0,0,0,15000,10,1,0.0150375939849624,8,4
15,2023-10-12,3,40,673,673,664,665,245800,665,0,0,0,0,0,0,13100,7,1,0.0104166666666667,8,4
16,2023-10-11,2,40,671,675,668,672,190700,672,0,0,0,0,0,0,11200,3,1,0.00444444444444444,-1,4
17,2023-10-10,1,40,666,675,666,675,237300,675,0,0,0,0,0,100,12100,-16,0,-0.0242792109256449,-9,4
18,2023-10-06,4,39,653,662,652,659,164900,659,36100,1173700,32.51,0,0,100,12100,-9,0,-0.0138461538461538,-6,5
19,2023-10-05,3,39,645,653,644,650,380100,650,0,0,0,0,0,100,12700,-6,0,-0.0093167701863354,-5,5
20,2023-10-04,2,39,659,659,641,644,727800,644,0,0,0,0,0,5200,11200,19,1,0.028657616892911,15,5
21,2023-10-03,1,39,671,671,663,663,492100,663,0,0,0,0,0,0,23000,8,1,0.0119225037257824,8,5
22,2023-10-02,0,39,680,686,671,671,476800,671,0,0,0,0,0,0,17100,1,1,0.00148809523809524,9,5
23,2023-09-29,4,38,684,684,671,672,592900,672,85300,1025800,12.03,0,0,1000,15400,11,1,0.0161054172767204,12,5
24,2023-09-28,3,38,686,689,678,683,927700,683,0,0,0,0,0,1800,80300,23,1,0.0325779036827195,3,5
25,2023-09-27,2,38,704,708,695,706,1209000,706,0,0,0,0.75,3,192100,3500,6,1,0.00842696629213483,-2,5
26,2023-09-26,1,38,723,723,712,712,600100,712,0,0,0,0,0,2200,4800,14,1,0.0192837465564738,11,5
27,2023-09-25,0,38,719,727,719,726,590100,726,0,0,0,0,0,400,10500,-9,0,-0.0125523012552301,-7,5
28,2023-09-22,4,37,711,721,710,717,459000,717,1334800,971400,0.73,0,0,0,3500,1,1,0.00139275766016713,-6,4
29,2023-09-21,3,37,729,730,717,718,381900,718,0,0,0,0,0,300,4100,12,1,0.0164383561643836,11,4
30,2023-09-20,2,37,749,750,730,730,409100,730,0,0,0,0,0,2200,4600,20,1,0.0266666666666667,19,4
31,2023-09-19,1,37,757,757,743,750,379300,750,0,0,0,0,0,4000,4000,3,1,0.00398406374501992,7,4
32,2023-09-15,4,36,759,759,753,753,214800,753,788500,961500,1.22,0,0,4800,11900,0,0,0,6,5
33,2023-09-14,3,36,755,757,753,753,273500,753,0,0,0,0,0,3000,11800,2,1,0.00264900662251656,2,5
34,2023-09-13,2,36,756,756,751,755,201300,755,0,0,0,0,0,1900,11900,0,0,0,1,5
35,2023-09-12,1,36,750,756,750,755,258400,755,0,0,0,0,0,1900,11600,0,0,0,-5,5
36,2023-09-11,0,36,755,764,751,755,295400,755,0,0,0,0,0,1000,11400,-9,0,-0.0120643431635389,0,5
37,2023-09-08,4,35,754,759,744,746,343100,746,427100,961800,2.25,0,0,1000,11400,8,1,0.0106100795755968,8,5
38,2023-09-07,3,35,743,757,742,754,331000,754,0,0,0,0,0,700,11300,-10,0,-0.0134408602150538,-11,5
39,2023-09-06,2,35,746,747,741,744,175500,744,0,0,0,0,0,0,12400,2,1,0.00268096514745308,2,5
40,2023-09-05,1,35,747,747,741,746,259000,746,0,0,0,0,0,500,12700,0,0,0,1,5
41,2023-09-04,0,35,734,746,733,746,280100,746,0,0,0,0,0,500,7600,-16,0,-0.0219178082191781,-12,5
42,2023-09-01,4,34,727,730,725,730,214600,730,199800,982600,4.92,0,0,400,7800,-3,0,-0.00412654745529574,-3,5
43,2023-08-31,3,34,724,730,722,727,171500,727,0,0,0,0,0,400,7700,-6,0,-0.00832177531206657,-3,5
44,2023-08-30,2,34,720,724,719,721,200100,721,0,0,0,0,0,400,7700,1,1,0.00138504155124654,-1,5
45,2023-08-29,1,34,720,722,718,722,200500,722,0,0,0,0,0,400,8500,-2,0,-0.00277777777777778,-2,5
46,2023-08-28,0,34,725,728,717,720,260200,720,0,0,0,0,0,400,8400,0,0,0,5,5
47,2023-08-25,4,33,715,723,713,720,262700,720,109200,978000,8.96,0,0,100,9600,-2,0,-0.00278551532033426,-5,5
48,2023-08-24,3,33,703,719,700,718,300100,718,0,0,0,0,0,0,9600,-16,0,-0.0227920227920228,-15,5
49,2023-08-23,2,33,692,703,691,702,296400,702,0,0,0,0,0,0,9600,-13,0,-0.0188679245283019,-10,5
50,2023-08-22,1,33,682,689,682,689,167500,689,0,0,0,0,0,0,9500,-8,0,-0.0117474302496329,-7,5
51,2023-08-21,0,33,675,684,674,681,171900,681,0,0,0,0,0,0,9800,-10,0,-0.014903129657228,-6,5
52,2023-08-18,4,32,673,674,668,671,265900,671,83500,1003100,12.01,0,0,0,10100,5,1,0.00739644970414201,2,5
53,2023-08-17,3,32,679,681,672,676,224800,676,0,0,0,0,0,0,9200,-2,0,-0.0029673590504451,3,5
54,2023-08-16,2,32,673,675,670,674,157400,674,0,0,0,0,0,0,5900,1,1,0.00148148148148148,-1,5
55,2023-08-15,1,32,676,678,672,675,196400,675,0,0,0,0,0,0,22300,0,0,0,1,5
56,2023-08-14,0,32,682,683,673,675,351300,675,0,0,0,0,0,0,22600,7,1,0.0102639296187683,7,5
57,2023-08-10,3,31,680,682,677,682,132900,682,80300,1052500,13.11,0,0,0,15300,-3,0,-0.00441826215022091,-2,4
58,2023-08-09,2,31,682,682,677,679,108500,679,0,0,0,0,0,0,15600,1,1,0.00147058823529412,3,4
59,2023-08-08,1,31,679,682,677,680,149700,680,0,0,0,0,0,0,15600,-2,0,-0.00294985250737463,-1,4
60,2023-08-07,0,31,669,678,668,678,271400,678,0,0,0,0,0,0,17000,-9,0,-0.0134529147982063,-9,4
61,2023-08-04,4,30,666,669,663,669,185700,669,73300,1155100,15.76,0,0,0,14100,-4,0,-0.00601503759398496,-3,5
62,2023-08-03,3,30,674,674,665,665,456500,665,0,0,0,0,0,0,18100,11,1,0.0162721893491124,9,5
63,2023-08-02,2,30,682,683,673,676,422800,676,0,0,0,0,0,0,10200,1,1,0.00147710487444609,6,5
64,2023-08-01,1,30,691,691,677,677,977500,677,0,0,0,0,0,0,9600,37,1,0.0518207282913165,14,5
65,2023-07-31,0,30,710,715,706,714,336200,714,0,0,0,0,0,0,14700,-9,0,-0.0127659574468085,-4,5
66,2023-07-28,4,29,698,705,697,705,217900,705,58600,949600,16.2,0,0,0,15800,-3,0,-0.00427350427350427,-7,5
67,2023-07-27,3,29,700,703,698,702,116900,702,0,0,0,0,0,6800,15000,-1,0,-0.0014265335235378,-2,5
68,2023-07-26,2,29,703,703,699,701,186400,701,0,0,0,0,0,7000,14800,4,1,0.00567375886524823,2,5
69,2023-07-25,1,29,704,706,702,705,94200,705,0,0,0,0,0,7000,14200,-2,0,-0.00284495021337127,-1,5
70,2023-07-24,0,29,705,706,702,703,55000,703,0,0,0,0,0,7000,30100,-3,0,-0.00428571428571429,2,5
71,2023-07-21,4,28,703,703,697,700,146500,700,72200,1000600,13.86,0,0,7000,30200,0,0,0,3,4
72,2023-07-20,3,28,700,704,699,700,139200,700,0,0,0,0,0,7000,30200,-2,0,-0.00286532951289398,0,4
