,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,1265,1281,1257,1270,196800,1270,0,0,0,0,0,0,0,-5,0,-0.00395256916996047,-5,4
1,2023-11-01,2,43,1269,1282,1255,1265,120900,1265,0,0,0,0,0,6400,24600,-26,0,-0.0209846650524617,4,4
2,2023-10-31,1,43,1233,1240,1206,1239,263900,1239,0,0,0,0,0,6100,24500,2,1,0.0016116035455278,-6,4
3,2023-10-30,0,43,1255,1258,1234,1241,352700,1241,0,0,0,0,0,6100,25300,46,1,0.0357420357420357,14,4
4,2023-10-27,4,42,1266,1304,1257,1287,244400,1287,31700,256300,8.09,0,0,6500,25300,-32,0,-0.0254980079681275,-21,5
5,2023-10-26,3,42,1285,1289,1249,1255,249000,1255,0,0,0,0,0,6000,25100,50,1,0.0383141762452107,30,5
6,2023-10-25,2,42,1316,1334,1301,1305,163000,1305,0,0,0,0,0,4600,25200,31,1,0.0232035928143713,11,5
7,2023-10-24,1,42,1328,1339,1292,1336,176600,1336,0,0,0,0,0,4700,25300,-6,0,-0.00451127819548872,-8,5
8,2023-10-23,0,42,1335,1359,1322,1330,123200,1330,0,0,0,0,0,7500,25300,20,1,0.0148148148148148,5,5
9,2023-10-20,4,41,1348,1352,1329,1350,126400,1350,29200,240900,8.25,0,0,9600,25300,15,1,0.010989010989011,-2,5
10,2023-10-19,3,41,1381,1388,1363,1365,147600,1365,0,0,0,0,0,9300,26300,45,1,0.0319148936170213,16,5
11,2023-10-18,2,41,1393,1418,1393,1410,116300,1410,0,0,0,0,0,7000,25300,-18,0,-0.0129310344827586,-17,5
12,2023-10-17,1,41,1393,1416,1383,1392,115300,1392,0,0,0,0,0,8200,25600,-7,0,-0.00505415162454874,1,5
13,2023-10-16,0,41,1397,1413,1374,1385,174100,1385,0,0,0,0,0,8300,25000,16,1,0.0114204139900071,12,5
14,2023-10-13,4,40,1444,1455,1397,1401,204100,1401,25900,226400,8.74,0,0,6200,25800,55,1,0.0377747252747253,43,4
15,2023-10-12,3,40,1436,1458,1429,1456,134700,1456,0,0,0,0,0,4800,25800,-15,0,-0.0104094378903539,-20,4
16,2023-10-11,2,40,1475,1483,1438,1441,205900,1441,0,0,0,0,0,5800,25900,34,1,0.0230508474576271,34,4
17,2023-10-10,1,40,1473,1484,1461,1475,164000,1475,0,0,0,0,0,6000,25800,-32,0,-0.0221760221760222,-2,4
18,2023-10-06,4,39,1447,1463,1428,1443,223900,1443,27500,218500,7.95,0,0,6100,25500,17,1,0.0116438356164384,4,5
19,2023-10-05,3,39,1438,1460,1428,1460,158100,1460,0,0,0,0,0,6100,25000,-21,0,-0.014593467685893,-22,5
20,2023-10-04,2,39,1472,1481,1437,1439,204000,1439,0,0,0,0,0,6700,24800,54,1,0.0361687876758205,33,5
21,2023-10-03,1,39,1577,1577,1487,1493,241900,1493,0,0,0,0,0,5000,25500,84,1,0.0532656943563729,84,5
22,2023-10-02,0,39,1576,1622,1576,1577,161700,1577,0,0,0,0,0,4900,25000,-3,0,-0.00190597204574333,-1,5
23,2023-09-29,4,38,1612,1629,1566,1574,191400,1574,26600,207000,7.78,0,0,6600,25000,39,1,0.0241785492870428,38,5
24,2023-09-28,3,38,1621,1634,1601,1613,96700,1613,0,0,0,0,0,4900,25000,31,1,0.0188564476885645,8,5
25,2023-09-27,2,38,1625,1650,1612,1644,103200,1644,0,0,0,0,0,4500,25000,-16,0,-0.00982800982800983,-19,5
26,2023-09-26,1,38,1637,1646,1622,1628,47500,1628,0,0,0,0,0,4400,24500,9,1,0.00549786194257789,9,5
27,2023-09-25,0,38,1616,1642,1614,1637,53400,1637,0,0,0,0,0,4400,24500,-21,0,-0.0129950495049505,-21,5
28,2023-09-22,4,37,1608,1627,1598,1616,78400,1616,21200,200400,9.45,0,0,4800,24500,4,1,0.00246913580246914,-8,4
29,2023-09-21,3,37,1634,1650,1610,1620,114000,1620,0,0,0,0,0,5000,24500,14,1,0.00856793145654835,14,4
30,2023-09-20,2,37,1648,1655,1631,1634,102500,1634,0,0,0,0,0,4200,24300,22,1,0.0132850241545894,14,4
31,2023-09-19,1,37,1653,1658,1634,1656,100800,1656,0,0,0,0,0,4500,24400,12,1,0.00719424460431655,-3,4
32,2023-09-15,4,36,1677,1680,1654,1668,106000,1668,23200,188400,8.12,0,0,4600,24400,-15,0,-0.00907441016333938,9,5
33,2023-09-14,3,36,1635,1667,1628,1653,79100,1653,0,0,0,0,0,4800,14500,-13,0,-0.00792682926829268,-18,5
34,2023-09-13,2,36,1638,1659,1634,1640,73400,1640,0,0,0,0,0,4400,14500,9,1,0.00545785324439054,-2,5
35,2023-09-12,1,36,1647,1666,1631,1649,76900,1649,0,0,0,0,0,4400,14200,-2,0,-0.00121432908318154,-2,5
36,2023-09-11,0,36,1671,1687,1644,1647,95500,1647,0,0,0,0,0,4700,14200,24,1,0.0143626570915619,24,5
37,2023-09-08,4,35,1650,1677,1645,1671,120300,1671,23200,177200,7.64,0,0,4600,14200,0,0,0,-21,5
38,2023-09-07,3,35,1720,1720,1671,1671,218500,1671,0,0,0,0,0,3900,14300,58,1,0.0335454019664546,49,5
39,2023-09-06,2,35,1702,1747,1702,1729,132800,1729,0,0,0,0,0,4800,14200,-26,0,-0.0152671755725191,-27,5
40,2023-09-05,1,35,1685,1708,1672,1703,111600,1703,0,0,0,0,0,4500,14200,-17,0,-0.0100830367734282,-18,5
41,2023-09-04,0,35,1660,1688,1647,1686,94200,1686,0,0,0,0,0,4100,14200,-26,0,-0.0156626506024096,-26,5
42,2023-09-01,4,34,1673,1673,1656,1660,101300,1660,27000,103800,3.84,0,0,4200,14200,26,1,0.0154211150652432,13,5
43,2023-08-31,3,34,1669,1692,1664,1686,127100,1686,0,0,0,0,0,4500,4500,-22,0,-0.0132211538461538,-17,5
44,2023-08-30,2,34,1662,1673,1657,1664,95800,1664,0,0,0,0,0,4000,4200,7,1,0.00418910831837223,-2,5
45,2023-08-29,1,34,1693,1694,1666,1671,59200,1671,0,0,0,0,0,4000,4200,17,1,0.0100710900473934,22,5
46,2023-08-28,0,34,1655,1689,1655,1688,76700,1688,0,0,0,0,0,4300,4600,-51,0,-0.0311545510079414,-33,5
47,2023-08-25,4,33,1613,1652,1605,1637,93000,1637,25400,93800,3.69,0,0,3800,3800,-4,0,-0.00244947948560931,-24,5
48,2023-08-24,3,33,1621,1638,1613,1633,91700,1633,0,0,0,0,0,3600,4500,-11,0,-0.00678175092478422,-12,5
49,2023-08-23,2,33,1619,1622,1587,1622,141700,1622,0,0,0,0,0,3400,3500,13,1,0.00795107033639144,-3,5
50,2023-08-22,1,33,1621,1646,1615,1635,97900,1635,0,0,0,0,0,3400,5000,-18,0,-0.0111317254174397,-14,5
51,2023-08-21,0,33,1650,1650,1611,1617,126900,1617,0,0,0,0,1,3500,6300,39,1,0.0235507246376812,33,5
52,2023-08-18,4,32,1678,1680,1642,1656,146100,1656,31100,82700,2.66,0,1,4600,3900,28,1,0.0166270783847981,22,5
53,2023-08-17,3,32,1715,1716,1670,1684,152000,1684,0,0,0,0,1,4800,4500,36,1,0.0209302325581395,31,5
54,2023-08-16,2,32,1805,1805,1720,1720,168300,1720,0,0,0,0,0,3000,9800,97,1,0.0533847000550358,85,5
55,2023-08-15,1,32,1849,1849,1814,1817,114200,1817,0,0,0,0,1,3200,5100,30,1,0.0162425554953979,32,5
56,2023-08-14,0,32,1836,1884,1831,1847,200600,1847,0,0,0,0,1,5400,4800,-51,0,-0.0283964365256125,-11,5
57,2023-08-10,3,31,1799,1799,1750,1796,123800,1796,25600,75000,2.93,0,0,3200,3500,4,1,0.00222222222222222,3,4
58,2023-08-09,2,31,1806,1841,1775,1800,245000,1800,0,0,0,0,1,6000,4800,18,1,0.0099009900990099,6,4
59,2023-08-08,1,31,1825,1866,1790,1818,153000,1818,0,0,0,0,0,2800,4600,-28,0,-0.0156424581005587,7,4
60,2023-08-07,0,31,1800,1830,1708,1790,297000,1790,0,0,0,0,0,1800,2700,-21,0,-0.0118711136235161,10,4
61,2023-08-04,4,30,1768,1787,1751,1769,61200,1769,16300,89900,5.52,0,0,1600,2700,3,1,0.00169300225733634,-1,5
62,2023-08-03,3,30,1799,1801,1762,1772,123200,1772,0,0,0,0,0,1700,2800,39,1,0.0215350635008283,27,5
63,2023-08-02,2,30,1825,1842,1805,1811,64300,1811,0,0,0,0,0,1700,2800,29,1,0.0157608695652174,14,5
64,2023-08-01,1,30,1833,1841,1828,1840,45400,1840,0,0,0,0,0,2000,3300,-5,0,-0.00272479564032698,-7,5
65,2023-07-31,0,30,1867,1869,1835,1835,57800,1835,0,0,0,0,0,5600,4900,1,1,0.000544662309368192,32,5
66,2023-07-28,4,29,1815,1844,1804,1836,63200,1836,19400,80100,4.13,0,0,5700,5000,-4,0,-0.00218340611353712,-21,5
67,2023-07-27,3,29,1833,1856,1810,1832,42700,1832,0,0,0,0,0,1800,2800,12,1,0.00650759219088937,1,5
68,2023-07-26,2,29,1859,1859,1833,1844,32000,1844,0,0,0,0,0,2200,2800,15,1,0.00806885422270038,15,5
69,2023-07-25,1,29,1849,1860,1847,1859,36200,1859,0,0,0,0,0,2000,2800,-3,0,-0.00161637931034483,-10,5
70,2023-07-24,0,29,1836,1864,1836,1856,42000,1856,0,0,0,0,0,2300,2800,-20,0,-0.0108932461873638,-20,5
71,2023-07-21,4,28,1848,1852,1820,1836,55400,1836,19800,78500,3.96,0,0,2100,2800,14,1,0.00756756756756757,12,4
72,2023-07-20,3,28,1864,1895,1850,1850,65700,1850,0,0,0,0,0,2100,2800,2,1,0.00107991360691145,14,4
73,2023-07-19,2,28,1876,1881,1845,1852,80500,1852,0,0,0,0,0,1000,2800,20,1,0.0106837606837607,24,4
74,2023-07-18,1,28,1859,1890,1858,1872,62100,1872,0,0,0,0,0,1700,2800,-26,0,-0.0140845070422535,-13,4
75,2023-07-14,4,27,1873,1875,1831,1846,38800,1846,18700,75800,4.05,0,0,1300,2800,14,1,0.00752688172043011,27,5
76,2023-07-13,3,27,1880,1880,1845,1860,61900,1860,0,0,0,0,0,1000,2800,13,1,0.00694073678590497,20,5
77,2023-07-12,2,27,1861,1889,1845,1873,104500,1873,0,0,0,0,0,1000,6700,-28,0,-0.0151761517615176,-12,5
78,2023-07-11,1,27,1866,1884,1840,1845,51700,1845,0,0,0,0,0,2400,2800,2,1,0.00108283703302653,21,5
79,2023-07-10,0,27,1870,1878,1844,1847,42500,1847,0,0,0,0,0,1300,3200,15,1,0.00805585392051558,23,5
80,2023-07-07,4,26,1855,1885,1850,1862,45700,1862,20300,78400,3.86,0,0,1300,3200,-7,0,-0.00377358490566038,-7,5
81,2023-07-06,3,26,1870,1878,1851,1855,39200,1855,0,0,0,0,0,1100,2800,32,1,0.0169581346051934,15,5
82,2023-07-05,2,26,1864,1888,1860,1887,35800,1887,0,0,0,0,0,800,2800,-11,0,-0.005863539445629,-23,5
83,2023-07-04,1,26,1881,1892,1865,1876,55900,1876,0,0,0,0,0,700,2800,26,1,0.0136698212407992,5,5
84,2023-07-03,0,26,1877,1932,1877,1902,138400,1902,0,0,0,0,0,1400,2900,-52,0,-0.0281081081081081,-25,5
85,2023-06-30,4,25,1881,1881,1815,1850,116700,1850,16100,85800,5.33,0,0,100,2700,-1,0,-0.000540832882639265,31,5
86,2023-06-29,3,25,1784,1862,1784,1849,196800,1849,0,0,0,0,0,200,3200,-76,0,-0.0428652002256063,-65,5
87,2023-06-28,2,25,1752,1789,1752,1773,75100,1773,0,0,0,0,0,0,7200,-39,0,-0.0224913494809689,-21,5
88,2023-06-27,1,25,1719,1745,1715,1734,55900,1734,0,0,0,0,0,1500,7200,-14,0,-0.00813953488372093,-15,5
89,2023-06-26,0,25,1738,1741,1714,1720,57200,1720,0,0,0,0,0,1500,7200,18,1,0.0103567318757192,18,5
90,2023-06-23,4,24,1762,1794,1729,1738,43900,1738,21300,101300,4.76,0,0,1800,7100,24,1,0.0136208853575482,24,5
91,2023-06-22,3,24,1789,1790,1761,1762,62300,1762,0,0,0,0,0,1800,7200,18,1,0.0101123595505618,27,5
92,2023-06-21,2,24,1771,1791,1770,1780,57000,1780,0,0,0,0,0,1500,7200,-9,0,-0.00508187464709204,-9,5
93,2023-06-20,1,24,1752,1771,1748,1771,46400,1771,0,0,0,0,0,1500,7200,-8,0,-0.00453771979580261,-19,5
94,2023-06-19,0,24,1774,1775,1753,1763,43900,1763,0,0,0,0,0,1500,7300,14,1,0.00787844682048396,11,5
95,2023-06-16,4,23,1742,1793,1741,1777,154200,1777,20100,99100,4.93,0,0,1800,7900,-35,0,-0.0200918484500574,-35,5
96,2023-06-15,3,23,1748,1758,1726,1742,72600,1742,0,0,0,0,0,1500,7900,-3,0,-0.00172512938470385,6,5
97,2023-06-14,2,23,1732,1749,1728,1739,96300,1739,0,0,0,0,0,1500,7900,-17,0,-0.00987224157955865,-7,5
98,2023-06-13,1,23,1708,1731,1702,1722,99300,1722,0,0,0,0,0,1500,7900,-11,0,-0.00642898889538282,-14,5
99,2023-06-12,0,23,1715,1719,1700,1711,84200,1711,0,0,0,0,0,1500,6900,-5,0,-0.00293083235638921,4,5
100,2023-06-09,4,22,1729,1729,1694,1706,127100,1706,22500,101900,4.53,0,0,1500,7600,2,1,0.00117096018735363,23,5
101,2023-06-08,3,22,1750,1762,1702,1708,100000,1708,0,0,0,0,0,1600,7400,36,1,0.0206422018348624,42,5
102,2023-06-07,2,22,1779,1790,1741,1744,100200,1744,0,0,0,0,0,1000,7400,7,1,0.00399771559109081,35,5
103,2023-06-06,1,22,1763,1763,1731,1751,86500,1751,0,0,0,0,0,1000,9200,25,1,0.0140765765765766,12,5
104,2023-06-05,0,22,1762,1786,1750,1776,106500,1776,0,0,0,0,0,1000,8400,-41,0,-0.0236311239193084,-14,5
105,2023-06-02,4,21,1697,1739,1675,1735,89600,1735,22400,98400,4.39,0,0,1000,7900,-33,0,-0.0193889541715629,-38,5
106,2023-06-01,3,21,1726,1742,1685,1702,123400,1702,0,0,0,0,0,1100,7600,18,1,0.0104651162790698,24,5
107,2023-05-31,2,21,1718,1741,1712,1720,126300,1720,0,0,0,0,0,1000,7800,32,1,0.0182648401826484,-2,5
108,2023-05-30,1,21,1779,1806,1730,1752,132400,1752,0,0,0,0,0,1000,7800,18,1,0.0101694915254237,27,5
109,2023-05-29,0,21,1779,1815,1767,1770,150200,1770,0,0,0,0,0,1000,16000,-18,0,-0.0102739726027397,9,5
110,2023-05-26,4,20,1735,1770,1735,1752,88400,1752,28300,101400,3.58,0,0,1000,16700,-8,0,-0.00458715596330275,-17,5
111,2023-05-25,3,20,1725,1766,1710,1744,170800,1744,0,0,0,0,0,1000,16900,-47,0,-0.0276959340011786,-19,5
112,2023-05-24,2,20,1725,1729,1695,1697,117100,1697,0,0,0,0,0,1000,16300,14,1,0.0081823495032145,28,5
113,2023-05-23,1,20,1745,1751,1692,1711,169900,1711,0,0,0,0,0,1000,16300,9,1,0.00523255813953488,34,5
114,2023-05-22,0,20,1735,1740,1704,1720,163500,1720,0,0,0,0,0,2200,16400,31,1,0.0177041690462593,15,5
115,2023-05-19,4,19,1792,1792,1747,1751,140500,1751,21800,79200,3.63,0,0,1000,7000,17,1,0.00961538461538462,41,5
116,2023-05-18,3,19,1762,1796,1736,1768,184000,1768,0,0,0,0,0,1000,7100,-37,0,-0.0213749277874061,-6,5
117,2023-05-17,2,19,1760,1761,1725,1731,148600,1731,0,0,0,0,0,1000,7300,24,1,0.0136752136752137,29,5
118,2023-05-16,1,19,1800,1810,1750,1755,149800,1755,0,0,0,0,0,1000,5600,38,1,0.0211935303959844,45,5
119,2023-05-15,0,19,1800,1821,1778,1793,287600,1793,0,0,0,0,0,1100,5800,227,1,0.112376237623762,7,5
120,2023-05-12,4,18,2015,2032,1975,2020,146700,2020,43400,59900,1.38,0,0,600,7200,17,1,0.00834560628375061,-5,5
121,2023-05-11,3,18,2042,2048,2018,2037,30600,2037,0,0,0,0,0,900,6300,13,1,0.00634146341463415,5,5
122,2023-05-10,2,18,2053,2055,2036,2050,36900,2050,0,0,0,0,0,800,6300,8,1,0.00388726919339164,3,5
123,2023-05-09,1,18,2050,2065,2040,2058,62200,2058,0,0,0,0,0,900,6200,-28,0,-0.0137931034482759,-8,5
124,2023-05-08,0,18,2020,2033,2003,2030,47600,2030,0,0,0,0,0,0,0,-2030,0,-inf,-10,5
125,2023-04-28,4,16,0,0,0,0,0,0,7400,68000,9.19,0,0,0,0,0,0,,0,1
126,2023-04-21,4,15,0,0,0,0,0,0,10200,68200,6.69,0,0,0,0,0,0,,0,1
127,2023-04-14,4,14,0,0,0,0,0,0,7400,66100,8.93,0,0,0,0,0,0,,0,1
128,2023-04-07,4,13,0,0,0,0,0,0,18600,68500,3.68,0,0,0,0,0,0,,0,1
129,2023-03-31,4,12,0,0,0,0,0,0,18200,56600,3.11,0,0,0,0,0,0,,0,1
130,2023-03-24,4,11,0,0,0,0,0,0,18900,91200,4.83,0,0,0,0,0,0,,0,1
131,2023-03-17,4,10,0,0,0,0,0,0,18800,97700,5.2,0,0,0,0,0,0,,0,1
132,2023-03-10,4,9,0,0,0,0,0,0,20100,84100,4.18,0,0,0,0,0,0,,0,1
133,2023-03-03,4,8,0,0,0,0,0,0,29100,93800,3.22,0,0,0,0,0,0,,0,1
134,2023-02-24,4,7,0,0,0,0,0,0,28700,82500,2.87,0,0,0,0,0,0,,0,1
135,2023-02-17,4,6,0,0,0,0,0,0,32900,78000,2.37,0,0,0,0,0,0,,0,1
136,2023-02-10,4,5,0,0,0,0,0,0,34600,70600,2.04,0,0,0,0,0,0,,0,1
137,2023-02-03,4,4,0,0,0,0,0,0,32600,75100,2.3,0,0,0,0,0,0,,0,1
138,2023-01-27,4,3,0,0,0,0,0,0,33800,77200,2.28,0,0,0,0,0,0,,0,1
139,2023-01-20,4,2,0,0,0,0,0,0,33000,76400,2.32,0,0,0,0,0,0,,0,1
140,2023-01-13,4,1,0,0,0,0,0,0,32800,82500,2.52,0,0,0,0,0,0,,0,1
141,2023-01-06,4,0,0,0,0,0,0,0,33800,68300,2.02,0,0,0,0,0,0,,0,1
142,2022-12-30,4,-1,0,0,0,0,0,0,34100,65200,1.91,0,0,0,0,0,0,,0,1
143,2022-12-23,4,-2,0,0,0,0,0,0,36100,66600,1.84,0,0,0,0,0,0,,0,1
144,2022-12-16,4,-3,0,0,0,0,0,0,45300,54400,1.2,0,0,0,0,,0,,0,1
