,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,505,506,484.4,485.8,19811900,485.8,0,0,0,0,0,0,0,12.8,1,0.0256718812675492,19.2,4
1,2023-11-01,2,43,498.6,501,488.6,498.6,17266400,498.6,0,0,0,0,0,31200,465900,-16,0,-0.0331537505180274,0,4
2,2023-10-31,1,43,485,489.1,476.7,482.6,20328500,482.6,0,0,0,0,0,16400,482200,2.39999999999998,1,0.00494845360824738,2.39999999999998,4
3,2023-10-30,0,43,498,515.6,478.7,485,43370100,485,0,0,0,0,0,38600,598600,22.6,1,0.0445232466509063,13,4
4,2023-10-27,4,42,504.4,512.1,496.6,507.6,11139300,507.6,3725400,15726100,4.22,0,0,15200,479700,-3.60000000000002,0,-0.00714285714285719,-3.20000000000005,5
5,2023-10-26,3,42,511.1,511.2,500.3,504,10129600,504,0,0,0,0,0,24900,467800,7.30000000000001,1,0.0142773322902406,7.10000000000002,5
6,2023-10-25,2,42,530.4,530.4,509.3,511.3,13600700,511.3,0,0,0,0,0,109000,479300,11.1,1,0.0212480857580398,19.1,5
7,2023-10-24,1,42,520,523.8,504.3,522.4,15474800,522.4,0,0,0,0,0,138600,558400,-8.69999999999993,0,-0.0169359548374536,-2.39999999999998,5
8,2023-10-23,0,42,520.4,521.6,509.5,513.7,13395900,513.7,0,0,0,0,0,35200,551200,10.6999999999999,1,0.0204042715484362,6.69999999999993,5
9,2023-10-20,4,41,525.5,531.5,519.2,524.4,11392700,524.4,3942200,15091300,3.83,0,0,105400,553700,5.30000000000007,1,0.0100056635831604,1.10000000000002,5
10,2023-10-19,3,41,540.7,542.3,527.6,529.7,16392900,529.7,0,0,0,0,0,131300,536000,27.1999999999999,1,0.048841802837134,11,5
11,2023-10-18,2,41,558.2,564.2,548.2,556.9,11290800,556.9,0,0,0,0,0,191800,408400,-7.69999999999993,0,-0.0140203932993444,1.30000000000007,5
12,2023-10-17,1,41,561.3,562.6,543.4,549.2,13020300,549.2,0,0,0,0,0,192600,425700,6.29999999999995,1,0.0113411341134113,12.0999999999999,5
13,2023-10-16,0,41,565.1,565.5,550.1,555.5,9414000,555.5,0,0,0,0,0,207900,380400,10.1,1,0.0178571428571429,9.60000000000002,5
14,2023-10-13,4,40,574.1,579.9,564.5,565.6,13063400,565.6,4385400,13073100,2.98,0,0,239200,340200,17.1999999999999,1,0.0295126973232669,8.5,4
15,2023-10-12,3,40,589,593.9,580.6,582.8,13100200,582.8,0,0,0,0,0,235600,500100,1.10000000000002,1,0.0018838842267512,6.20000000000005,4
16,2023-10-11,2,40,582.3,591.4,575,583.9,13388200,583.9,0,0,0,0,0,263000,528200,-6.60000000000002,0,-0.0114325307465789,-1.60000000000002,4
17,2023-10-10,1,40,571.6,581.2,559.8,577.3,19349700,577.3,0,0,0,0,0,277700,542300,-5.09999999999991,0,-0.0089129674938831,-5.69999999999993,4
18,2023-10-06,4,39,580,583.9,565.7,572.2,15946000,572.2,4454700,12022700,2.7,0,0,296700,517400,13,1,0.0222146274777854,7.79999999999995,5
19,2023-10-05,3,39,599.9,600.5,577.6,585.2,17523100,585.2,0,0,0,0,0,301600,499900,-5.30000000000007,0,-0.00913950681151935,14.6999999999999,5
20,2023-10-04,2,39,611.7,612,578.4,579.9,23481100,579.9,0,0,0,0,0,285800,434000,45.1,1,0.07216,31.8000000000001,5
21,2023-10-03,1,39,655.9,655.9,623.5,625,17910600,625,0,0,0,0,0,350900,589800,33.3,1,0.0505848397387209,30.9,5
22,2023-10-02,0,39,664.3,678.3,658.3,658.3,17087600,658.3,0,0,0,0,1,695500,329800,-6.89999999999998,0,-0.0105925698495548,6,5
23,2023-09-29,4,38,672.3,676,648.6,651.4,19663100,651.4,5627300,8831300,1.57,0,1,549700,400000,18.5,1,0.0276160620988207,20.9,5
24,2023-09-28,3,38,652,681,650.1,669.9,26909900,669.9,0,0,0,0,1,716800,292400,-20.6,0,-0.0317264746650239,-17.9,5
25,2023-09-27,2,38,652,652,632.7,649.3,15115900,649.3,0,0,0,0,0,392300,374300,5.5,1,0.00839951130116066,2.70000000000005,5
26,2023-09-26,1,38,651.5,657.8,641,654.8,17276900,654.8,0,0,0,0,1,385400,269700,6.70000000000005,1,0.0101284958427816,-3.29999999999995,5
27,2023-09-25,0,38,652,662,645.4,661.5,11495000,661.5,0,0,0,0,1,585500,285500,-16.5,0,-0.0255813953488372,-9.5,5
28,2023-09-22,4,37,643.7,651.8,627.4,645,13837900,645,5605700,9915200,1.77,0,0,421000,355800,6.79999999999995,1,0.0104326480515495,-1.29999999999995,4
29,2023-09-21,3,37,647.9,664,647.6,651.8,14173800,651.8,0,0,0,0,1,661100,157400,-5.89999999999998,0,-0.00913454095061152,-3.89999999999998,4
30,2023-09-20,2,37,650,654.6,641.4,645.9,16994200,645.9,0,0,0,0,3,537700,395100,16.7,1,0.0252037428312708,4.10000000000002,4
31,2023-09-19,1,37,623.5,662.6,623.1,662.6,18717900,662.6,0,0,0,0,1,1275900,188700,-36.5,0,-0.0582973965820157,-39.1,4
32,2023-09-15,4,36,618.1,635.5,618,626.1,19436600,626.1,5785800,8796700,1.52,0,0,662400,165100,-11.1,0,-0.0180487804878049,-8,5
33,2023-09-14,3,36,595.8,615,595.3,615,14761800,615,0,0,0,0,1,596800,226400,-20.8,0,-0.035005048805116,-19.2,5
34,2023-09-13,2,36,596.7,597.7,591.1,594.2,7609500,594.2,0,0,0,0,0,418300,412200,-0.100000000000023,0,-0.000168321831341563,2.5,5
35,2023-09-12,1,36,579,594.6,578.5,594.1,11173500,594.1,0,0,0,0,0,385600,380900,-18.4,0,-0.0319610908459267,-15.1,5
36,2023-09-11,0,36,580.7,580.7,571,575.7,8121200,575.7,0,0,0,0,0,345500,429400,4.39999999999998,1,0.00758489915531801,5,5
37,2023-09-08,4,35,581.7,588.3,577.9,580.1,10630600,580.1,5226400,11346000,2.17,0,0,359300,544900,8.29999999999996,1,0.0141060503059143,1.60000000000002,5
38,2023-09-07,3,35,588,595.8,584.8,588.4,9492800,588.4,0,0,0,0,0,381300,378900,1.20000000000005,1,0.00203527815468122,-0.399999999999977,5
39,2023-09-06,2,35,577.5,592.6,576.1,589.6,13074000,589.6,0,0,0,0,0,386800,377500,-15.7,0,-0.0273566823488413,-12.1,5
40,2023-09-05,1,35,577.8,577.9,567.1,573.9,7795600,573.9,0,0,0,0,0,380600,386800,2.20000000000005,1,0.00381878146155189,3.89999999999998,5
41,2023-09-04,0,35,568.7,576.1,567.9,576.1,9055300,576.1,0,0,0,0,0,412000,402000,-11.1,0,-0.0196460176991151,-7.39999999999998,5
42,2023-09-01,4,34,569.6,569.7,563,565,10392800,565,5145000,12153900,2.36,0,0,379800,366000,7.70000000000005,1,0.0134450846865725,4.60000000000002,5
43,2023-08-31,3,34,565.5,573.7,563.3,572.7,10106400,572.7,0,0,0,0,0,423800,417500,-8.40000000000009,0,-0.0148856990962256,-7.20000000000005,5
44,2023-08-30,2,34,567,567.6,562.3,564.3,9319200,564.3,0,0,0,0,0,382600,378600,-5,0,-0.00893974611121044,2.70000000000005,5
45,2023-08-29,1,34,564.1,565,558.8,559.3,7672000,559.3,0,0,0,0,0,377000,513600,2.40000000000009,1,0.00427274345736174,4.80000000000007,5
46,2023-08-28,0,34,560.1,566.3,557.3,561.7,7185900,561.7,0,0,0,0,0,369900,365100,-9.40000000000009,0,-0.0170197356509145,-1.60000000000002,5
47,2023-08-25,4,33,548.2,554.2,545.5,552.3,5407100,552.3,5091600,13098700,2.57,0,0,370500,362500,-1.29999999999995,0,-0.00235934664246816,-4.09999999999991,5
48,2023-08-24,3,33,552.7,553.4,544.5,551,8435800,551,0,0,0,0,0,370700,485400,6.5,1,0.0116591928251121,1.70000000000005,5
49,2023-08-23,2,33,551,561.5,548.3,557.5,8258200,557.5,0,0,0,0,0,398700,389700,-0.399999999999977,0,-0.000718003949021679,-6.5,5
50,2023-08-22,1,33,559.2,559.8,551.3,557.1,8854900,557.1,0,0,0,0,0,398800,390900,-5.20000000000005,0,-0.00942199673853967,2.10000000000002,5
51,2023-08-21,0,33,557.4,560.8,550.1,551.9,8011600,551.9,0,0,0,0,0,370200,358200,5.5,1,0.00986724076067456,5.5,5
52,2023-08-18,4,32,550.9,560.5,550.1,557.4,9996700,557.4,5205300,12709700,2.44,0,0,381200,393000,1.30000000000007,1,0.0023268301413998,-6.5,5
53,2023-08-17,3,32,561.5,562,544.2,558.7,11180500,558.7,0,0,0,0,0,362000,389700,-7.20000000000005,0,-0.0130553037171352,2.79999999999995,5
54,2023-08-16,2,32,560,560.9,550.3,551.5,10284800,551.5,0,0,0,0,0,344200,552000,14.6,1,0.0257904963787317,8.5,5
55,2023-08-15,1,32,574.5,574.7,565.2,566.1,7013000,566.1,0,0,0,0,0,354600,354700,-0.200000000000045,0,-0.000353419332037543,8.39999999999998,5
56,2023-08-14,0,32,574.9,575.9,564.7,565.9,9843900,565.9,0,0,0,0,0,347500,504900,8.30000000000007,1,0.0144548937652387,9,5
57,2023-08-10,3,31,568.4,577.7,567,574.2,7344200,574.2,5728300,11788500,2.06,0,0,339400,341300,-1.80000000000007,0,-0.00314465408805043,-5.80000000000007,4
58,2023-08-09,2,31,571.4,573.9,565.2,572.4,7985900,572.4,0,0,0,0,0,342700,344600,3.89999999999998,1,0.00676730869338882,-1,4
59,2023-08-08,1,31,575.4,587.9,574.6,576.3,12767000,576.3,0,0,0,0,0,343300,343900,-8.29999999999996,0,-0.0146126760563379,-0.899999999999977,4
60,2023-08-07,0,31,570,570.7,561.6,568,11980800,568,0,0,0,0,0,346200,567800,9,1,0.0155979202772964,2,4
61,2023-08-04,4,30,567.8,578.5,566.1,577,9342200,577,5800200,11926200,2.06,0,0,369000,358600,-5,0,-0.00874125874125874,-9.20000000000005,5
62,2023-08-03,3,30,574.9,575.9,567,572,11973500,572,0,0,0,0,0,357500,469200,8.5,1,0.0146425495262705,2.89999999999998,5
63,2023-08-02,2,30,588,595.8,580.5,580.5,17516900,580.5,0,0,0,0,0,394100,1104100,17.4,1,0.0291018564977421,7.5,5
64,2023-08-01,1,30,578.2,599.9,572.5,597.9,23374300,597.9,0,0,0,0,1,883300,343600,-26.3,0,-0.0460111966410076,-19.6999999999999,5
65,2023-07-31,0,30,571.8,573.5,565.6,571.6,16547500,571.6,0,0,0,0,0,339500,446700,-15.6,0,-0.0280575539568346,0.199999999999932,5
66,2023-07-28,4,29,553.2,566,542.3,556,28814300,556,5867300,13375500,2.28,0,0,348900,636600,7.20000000000005,1,0.012784090909091,-2.79999999999995,5
67,2023-07-27,3,29,582.1,582.4,555.3,563.2,21819500,563.2,0,0,0,0,0,455000,967700,13.1999999999999,1,0.0229007633587785,18.9,5
68,2023-07-26,2,29,574.2,582,563.5,576.4,27031300,576.4,0,0,0,0,3,577400,467000,7.80000000000007,1,0.0133515919205753,-2.19999999999993,5
69,2023-07-25,1,29,545,586.9,543.6,584.2,57694900,584.2,0,0,0,0,1,1186500,300400,-39.4000000000001,0,-0.0723201174743027,-39.2,5
70,2023-07-24,0,29,532,566.8,531.8,544.8,69530500,544.8,0,0,0,0,0,482500,367200,-25.9,0,-0.0499132780882636,-12.8,5
71,2023-07-21,4,28,519.8,522.7,513.6,518.9,16035800,518.9,4897600,17285800,3.53,0,0,213100,322600,-7.89999999999998,0,-0.0154598825831702,0.899999999999977,4
72,2023-07-20,3,28,512,519.9,509,511,13240400,511,0,0,0,0,0,169600,382600,1.10000000000002,1,0.00214801796524121,1,4
73,2023-07-19,2,28,502,512.1,500.5,512.1,16817800,512.1,0,0,0,0,0,169100,388900,-16.7,0,-0.0337101332256763,-10.1,4
74,2023-07-18,1,28,490.3,497.3,486.3,495.4,10758900,495.4,0,0,0,0,0,157100,434400,-6.59999999999997,0,-0.0135024549918166,-5.09999999999997,4
75,2023-07-14,4,27,490.7,494,482.2,488.8,12733500,488.8,4288600,20466700,4.77,0,0,151500,460400,1.30000000000001,1,0.00265251989389923,1.89999999999998,5
76,2023-07-13,3,27,499.6,499.6,488.4,490.1,16287900,490.1,0,0,0,0,0,122500,461000,11.5,1,0.02292663476874,9.5,5
77,2023-07-12,2,27,518.6,518.9,501,501.6,14032500,501.6,0,0,0,0,0,156500,585400,14.6,1,0.0282836110034871,17,5
78,2023-07-11,1,27,510,524.6,506.5,516.2,32773400,516.2,0,0,0,0,0,157900,324400,-17.1,0,-0.0342616710078141,-6.20000000000005,5
79,2023-07-10,0,27,506.7,508,495.3,499.1,14826900,499.1,0,0,0,0,0,6300,380800,4.19999999999999,1,0.00834492350486785,7.59999999999997,5
80,2023-07-07,4,26,505.6,508.9,499.7,503.3,13659400,503.3,4634500,19556500,4.22,0,0,65200,340900,3.5,1,0.0069060773480663,2.30000000000001,5
81,2023-07-06,3,26,507,518.5,504.1,506.8,15743700,506.8,0,0,0,0,0,64500,348900,1.30000000000001,1,0.00255855146624682,0.199999999999989,5
82,2023-07-05,2,26,509,509,501.1,508.1,13459700,508.1,0,0,0,0,0,61800,329200,2.59999999999997,1,0.00509105149794393,0.899999999999977,5
83,2023-07-04,1,26,516.4,522.9,509.5,510.7,15802600,510.7,0,0,0,0,0,76700,365800,3.69999999999999,1,0.0071928460342146,5.69999999999999,5
84,2023-07-03,0,26,507.4,519.6,503.5,514.4,21106600,514.4,0,0,0,0,0,24400,298100,-13.3,0,-0.0265416084613849,-7,5
85,2023-06-30,4,25,504.9,506,492.1,501.1,23734500,501.1,4474900,20135900,4.5,0,0,81100,465300,-1.20000000000005,0,-0.0024004800960193,3.79999999999995,5
86,2023-06-29,3,25,490.8,501,490.8,499.9,20544800,499.9,0,0,0,0,0,14900,403400,-11.5,0,-0.0235462735462735,-9.09999999999997,5
87,2023-06-28,2,25,484.8,488.8,478.6,488.4,16876900,488.4,0,0,0,0,0,23300,386200,-8.89999999999998,0,-0.0185610010427528,-3.59999999999997,5
88,2023-06-27,1,25,482,485.2,477.9,479.5,12466700,479.5,0,0,0,0,0,2800,387400,-3.60000000000002,0,-0.00756461441479307,2.5,5
89,2023-06-26,0,25,477.5,478.5,471.3,475.9,9597500,475.9,0,0,0,0,0,2800,395600,1.20000000000005,1,0.00251519597568653,1.60000000000002,5
90,2023-06-23,4,24,489,494.3,474.3,477.1,21700500,477.1,3876600,23019400,5.94,0,0,2800,395700,7.59999999999997,1,0.0156798019393439,11.9,5
91,2023-06-22,3,24,486.2,490.9,483.9,484.7,13513500,484.7,0,0,0,0,0,2800,389600,4,1,0.00818498056067117,1.5,5
92,2023-06-21,2,24,482.7,490.5,480.1,488.7,14294800,488.7,0,0,0,0,0,3800,433000,0.400000000000034,1,0.000817828664894774,-6,5
93,2023-06-20,1,24,487.9,490.1,482.6,489.1,13406800,489.1,0,0,0,0,0,2800,436000,-1.20000000000005,0,-0.00245952039352336,-1.20000000000005,5
94,2023-06-19,0,24,494.1,497.5,486.4,487.9,14993300,487.9,0,0,0,0,0,2900,459900,-1.79999999999995,0,-0.00370294178152634,6.20000000000005,5
95,2023-06-16,4,23,491.4,491.5,481.3,486.1,21454800,486.1,4295600,22359500,5.21,0,0,2900,455900,3.69999999999999,1,0.00755410371580235,5.29999999999995,5
96,2023-06-15,3,23,495,495.4,484.5,489.8,22522900,489.8,0,0,0,0,0,23400,803300,9.59999999999997,1,0.0192230676812174,5.19999999999999,5
97,2023-06-14,2,23,491.8,500.7,491.1,499.4,27463300,499.4,0,0,0,0,0,27100,736300,-14.4,0,-0.0296907216494845,-7.59999999999997,5
98,2023-06-13,1,23,480,488.5,479.6,485,19439100,485,0,0,0,0,0,22200,712100,-5.10000000000002,0,-0.0106272140029173,-5,5
99,2023-06-12,0,23,483.5,484.5,477.9,479.9,11398400,479.9,0,0,0,0,0,45400,766800,1.90000000000003,1,0.00394354503943552,3.60000000000002,5
100,2023-06-09,4,22,473,481.9,472,481.8,17181000,481.8,4373500,22801300,5.21,0,0,45400,750400,-8.60000000000002,0,-0.018174133558749,-8.80000000000001,5
101,2023-06-08,3,22,485,485.8,471,473.2,18930600,473.2,0,0,0,0,0,30400,878100,4.30000000000001,1,0.00900523560209427,11.8,5
102,2023-06-07,2,22,484.8,485,474,477.5,21944500,477.5,0,0,0,0,0,33600,799100,-0.699999999999989,0,-0.0014681208053691,7.30000000000001,5
103,2023-06-06,1,22,475,479,470,476.8,19377500,476.8,0,0,0,0,0,46900,899400,5.09999999999997,1,0.0105831085287403,-1.80000000000001,5
104,2023-06-05,0,22,471,481.9,466.6,481.9,31097500,481.9,0,0,0,0,0,60900,798100,-22.9,0,-0.0498910675381263,-10.9,5
105,2023-06-02,4,21,447,460,447,459,11579300,459,3776100,27986200,7.41,0,0,3800,702800,-13,0,-0.0291479820627803,-12,5
106,2023-06-01,3,21,454,456,443,446,17846900,446,0,0,0,0,0,10900,747900,13,1,0.028322440087146,8,5
107,2023-05-31,2,21,464,469,457,459,16283400,459,0,0,0,0,0,5800,974900,11,1,0.0234042553191489,5,5
108,2023-05-30,1,21,463,471,457,470,15351300,470,0,0,0,0,0,5800,671300,-9,0,-0.0195227765726681,-7,5
109,2023-05-29,0,21,473,473,461,461,11730000,461,0,0,0,0,0,5800,825500,2,1,0.00431965442764579,12,5
110,2023-05-26,4,20,471,471,463,463,11442200,463,3589200,27233600,7.59,0,0,3500,788700,5,1,0.0106837606837607,8,5
111,2023-05-25,3,20,474,475,468,468,11842300,468,0,0,0,0,0,5200,757400,5,1,0.0105708245243129,6,5
112,2023-05-24,2,20,475,478,470,473,13156600,473,0,0,0,0,0,20400,669500,0,0,0,2,5
113,2023-05-23,1,20,471,475,469,473,17708000,473,0,0,0,0,0,4700,669500,-7,0,-0.0150214592274678,-2,5
114,2023-05-22,0,20,460,467,459,466,11137700,466,0,0,0,0,0,4700,683200,-4,0,-0.00865800865800866,-6,5
115,2023-05-19,4,19,465,467,459,462,11085000,462,3938800,28359700,7.2,0,0,3600,671300,-3,0,-0.0065359477124183,3,5
116,2023-05-18,3,19,461,467,458,459,14844400,459,0,0,0,0,0,2800,679200,-5,0,-0.0110132158590308,2,5
117,2023-05-17,2,19,457,460,453,454,13719200,454,0,0,0,0,0,2800,683900,1,1,0.0021978021978022,3,5
118,2023-05-16,1,19,467,468,453,455,23353300,455,0,0,0,0,0,800,702300,14,1,0.0298507462686567,12,5
119,2023-05-15,0,19,470,475,467,469,15859100,469,0,0,0,0,0,4800,741100,-4,0,-0.00860215053763441,1,5
120,2023-05-12,4,18,460,473,456,465,22530600,465,3737800,29242900,7.82,0,0,2800,730700,-3,0,-0.00649350649350649,-5,5
121,2023-05-11,3,18,476,477,462,462,22105000,462,0,0,0,0,0,2000,777600,15,1,0.0314465408805031,14,5
122,2023-05-10,2,18,500,501,476,477,51823500,477,0,0,0,0,0,3100,1447800,52,1,0.0982986767485822,23,5
123,2023-05-09,1,18,516,529,513,529,20660800,529,0,0,0,0,0,5000,554100,-18,0,-0.0352250489236791,-13,5
124,2023-05-08,0,18,515,518,511,511,12740400,511,0,0,0,0,0,13100,649200,7,1,0.0135135135135135,4,5
125,2023-05-02,1,17,518,521,514,518,9912400,518,0,0,0,0,0,13100,515900,0,0,0,0,2
126,2023-05-01,0,17,524,525,517,518,10356300,518,0,0,0,0,0,13300,580800,-3,0,-0.0058252427184466,6,2
127,2023-04-28,4,16,507,515,503,515,15600800,515,5168400,21453600,4.15,0,0,11700,606700,-14,0,-0.0279441117764471,-8,5
128,2023-04-27,3,16,490,502,489,501,9733100,501,0,0,0,0,0,56600,518800,-8,0,-0.0162271805273834,-11,5
129,2023-04-26,2,16,498,501,489,493,14970200,493,0,0,0,0,0,66700,677900,13,1,0.0256916996047431,5,5
130,2023-04-25,1,16,512,517,504,506,12466800,506,0,0,0,0,0,28700,546800,-1,0,-0.00198019801980198,6,5
131,2023-04-24,0,16,507,508,500,505,9449800,505,0,0,0,0,0,54700,643700,-2,0,-0.00397614314115308,2,5
132,2023-04-21,4,15,507,509,501,503,10387800,503,4945200,21403400,4.33,0,0,52700,578900,10,1,0.0194931773879142,4,5
