,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,1367,1369,1333,1351,30300,1351,0,0,0,0,0,0,0,18,1,0.0131482834185537,16,4
1,2023-11-01,2,43,1368,1373,1343,1369,23500,1369,0,0,0,0,0,500,2400,-17,0,-0.0125739644970414,-1,4
2,2023-10-31,1,43,1306,1355,1304,1352,42400,1352,0,0,0,0,0,0,2400,-46,0,-0.0352220520673813,-46,4
3,2023-10-30,0,43,1332,1332,1287,1306,100200,1306,0,0,0,0,0,200,3200,26,1,0.0195195195195195,26,4
4,2023-10-27,4,42,1291,1332,1291,1332,22000,1332,600,166800,278,0,0,0,3200,-43,0,-0.0333591931730023,-41,5
5,2023-10-26,3,42,1291,1307,1285,1289,24300,1289,0,0,0,0,0,0,3200,18,1,0.0137719969395562,2,5
6,2023-10-25,2,42,1314,1333,1301,1307,30300,1307,0,0,0,0,0,0,3200,-7,0,-0.00538461538461538,7,5
7,2023-10-24,1,42,1287,1302,1257,1300,36000,1300,0,0,0,0,0,0,3200,-8,0,-0.00619195046439629,-13,5
8,2023-10-23,0,42,1311,1313,1290,1292,26400,1292,0,0,0,0,0,0,3000,25,1,0.0189825360668185,19,5
9,2023-10-20,4,41,1302,1323,1299,1317,25100,1317,800,165200,206.5,0,0,100,2900,-6,0,-0.0045766590389016,-15,5
10,2023-10-19,3,41,1313,1329,1300,1311,22500,1311,0,0,0,0,0,100,2900,9,1,0.00681818181818182,2,5
11,2023-10-18,2,41,1327,1333,1317,1320,22200,1320,0,0,0,0,0,0,2900,0,0,0,7,5
12,2023-10-17,1,41,1325,1340,1315,1320,22600,1320,0,0,0,0,0,300,2900,-5,0,-0.00380228136882129,5,5
13,2023-10-16,0,41,1318,1340,1310,1315,22800,1315,0,0,0,0,0,600,2800,13,1,0.00978915662650602,3,5
14,2023-10-13,4,40,1357,1357,1319,1328,43300,1328,2300,164200,71.39,0,0,600,2800,42,1,0.0306569343065693,29,4
15,2023-10-12,3,40,1375,1380,1360,1370,39200,1370,0,0,0,0,0,600,2800,5,1,0.00363636363636364,5,4
16,2023-10-11,2,40,1380,1385,1365,1375,36800,1375,0,0,0,0,0,600,2800,5,1,0.0036231884057971,5,4
17,2023-10-10,1,40,1341,1386,1341,1380,51300,1380,0,0,0,0,0,600,2800,-14,0,-0.0102489019033675,-39,4
18,2023-10-06,4,39,1332,1375,1324,1366,29900,1366,2600,151200,58.15,0,0,300,2800,-34,0,-0.0255255255255255,-34,5
19,2023-10-05,3,39,1292,1339,1292,1332,38700,1332,0,0,0,0,0,600,2800,-47,0,-0.0365758754863813,-40,5
20,2023-10-04,2,39,1300,1315,1284,1285,75500,1285,0,0,0,0,0,600,2800,53,1,0.0396113602391629,15,5
21,2023-10-03,1,39,1374,1374,1336,1338,43800,1338,0,0,0,0,0,600,2800,36,1,0.0262008733624454,36,5
22,2023-10-02,0,39,1398,1425,1373,1374,42400,1374,0,0,0,0,0,300,2800,22,1,0.0157593123209169,24,5
23,2023-09-29,4,38,1447,1447,1384,1396,54300,1396,3700,156100,42.19,0,0,300,2800,40,1,0.0278551532033426,51,5
24,2023-09-28,3,38,1429,1471,1429,1436,38300,1436,0,0,0,0,0,300,6300,18,1,0.0123796423658872,-7,5
25,2023-09-27,2,38,1441,1467,1422,1454,47700,1454,0,0,0,0,0,800,2800,7,1,0.00479123887748118,-13,5
26,2023-09-26,1,38,1465,1465,1443,1461,31600,1461,0,0,0,0,0,800,3200,-3,0,-0.00205761316872428,4,5
