,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,1500,1522,1492,1522,917900,1522,0,0,0,0,0,0,0,-32.5,0,-0.0218194024840551,-22,4
1,2023-11-01,2,43,1475,1496,1474.5,1489.5,643600,1489.5,0,0,0,0,0,4800,22000,-28,0,-0.0191583989052344,-14.5,4
2,2023-10-31,1,43,1448,1465,1438.5,1461.5,625700,1461.5,0,0,0,0,0,3900,34900,-21,0,-0.01457827143353,-13.5,4
3,2023-10-30,0,43,1450.5,1458,1436.5,1440.5,501600,1440.5,0,0,0,0,0,4300,34900,23,1,0.0157157499145883,10,4
4,2023-10-27,4,42,1467,1467.5,1447.5,1463.5,848300,1463.5,160000,3341300,20.88,0,0,3900,34700,-4.5,0,-0.00308430431802605,3.5,5
5,2023-10-26,3,42,1464.5,1473,1453,1459,471700,1459,0,0,0,0,0,4100,31700,15.5,1,0.0105120379789759,5.5,5
6,2023-10-25,2,42,1488,1495.5,1469.5,1474.5,439800,1474.5,0,0,0,0,0,3900,31900,7,1,0.00472494093823827,13.5,5
7,2023-10-24,1,42,1472,1487.5,1456.5,1481.5,677600,1481.5,0,0,0,0,0,4400,32000,-11.5,0,-0.00782312925170068,-9.5,5
8,2023-10-23,0,42,1469.5,1481.5,1458.5,1470,582000,1470,0,0,0,0,0,4100,31000,1.5,1,0.00101936799184506,-0.5,5
9,2023-10-20,4,41,1463,1478.5,1459.5,1471.5,411800,1471.5,214900,3169500,14.75,0,0,4500,31000,-2.5,0,-0.00170183798502383,-8.5,5
10,2023-10-19,3,41,1452,1478,1451,1469,387900,1469,0,0,0,0,0,4700,31200,2.5,1,0.00169894665307509,-17,5
11,2023-10-18,2,41,1466,1476.5,1450.5,1471.5,429200,1471.5,0,0,0,0,0,4600,31100,-6,0,-0.00409416581371546,-5.5,5
12,2023-10-17,1,41,1467,1475.5,1455,1465.5,764000,1465.5,0,0,0,0,0,4600,31300,-5.5,0,-0.00376712328767123,1.5,5
13,2023-10-16,0,41,1459,1463,1436,1460,588000,1460,0,0,0,0,0,4600,31700,16,1,0.010840108401084,-1,5
14,2023-10-13,4,40,1485,1498.5,1469,1476,671800,1476,244200,3050300,12.49,0,0,7100,31300,27.5,1,0.0182906551380113,9,4
15,2023-10-12,3,40,1488.5,1506,1484,1503.5,735700,1503.5,0,0,0,0,0,4600,27400,-24.5,0,-0.0165652467883705,-15,4
16,2023-10-11,2,40,1495,1504,1475.5,1479,772500,1479,0,0,0,0,0,4600,27300,23,1,0.0153129161118509,16,4
17,2023-10-10,1,40,1479.5,1509.5,1476.5,1502,950900,1502,0,0,0,0,0,5100,22800,-38,0,-0.0259562841530055,-22.5,4
18,2023-10-06,4,39,1451,1473,1447,1464,755600,1464,305000,3019000,9.9,0,0,8500,22600,-24,0,-0.0166666666666667,-13,5
19,2023-10-05,3,39,1425,1443,1416,1440,1172900,1440,0,0,0,0,0,8500,23100,-15,0,-0.0105263157894737,-15,5
20,2023-10-04,2,39,1456.5,1459,1420,1425,1687800,1425,0,0,0,0,0,8500,25100,44.5,1,0.0302824089826472,31.5,5
21,2023-10-03,1,39,1507,1507,1458.5,1469.5,1103400,1469.5,0,0,0,0,0,9600,29300,46.5,1,0.0306728232189974,37.5,5
22,2023-10-02,0,39,1498,1539,1495,1516,1151000,1516,0,0,0,0,0,44900,31900,-4,0,-0.00264550264550265,-18,5
23,2023-09-29,4,38,1509.5,1530,1504.5,1512,1470600,1512,470100,2855500,6.07,0,0,43700,32900,-3.5,0,-0.00232018561484919,-2.5,5
24,2023-09-28,3,38,1515,1526,1495.5,1508.5,987700,1508.5,0,0,0,0,0,44200,35900,24,1,0.0156606851549755,6.5,5
25,2023-09-27,2,38,1522,1533,1498,1532.5,1377800,1532.5,0,0,0,0,0,70100,57600,9.5,1,0.00616083009079118,-10.5,5
26,2023-09-26,1,38,1528,1554,1511.5,1542,1648300,1542,0,0,0,0,0,89300,78400,-21,0,-0.0138067061143984,-14,5
27,2023-09-25,0,38,1555,1555,1515.5,1521,2828900,1521,0,0,0,0,0,84600,75700,40,1,0.025624599615631,34,5
28,2023-09-22,4,37,1675,1675,1526,1561,9854100,1561,582500,2545000,4.37,0,0,109000,93000,-186,0,-0.135272727272727,114,4
29,2023-09-21,3,37,1380,1394,1369,1375,568700,1375,0,0,0,0,0,4000,9100,12,1,0.00865176640230714,5,4
30,2023-09-20,2,37,1412,1412,1383,1387,749100,1387,0,0,0,0,0,13400,9800,26.5,1,0.0187477891758047,25,4
31,2023-09-19,1,37,1431,1431,1400.5,1413.5,669200,1413.5,0,0,0,0,0,5300,23100,15.5,1,0.0108467459762071,17.5,4
32,2023-09-15,4,36,1413.5,1446.5,1408,1429,913700,1429,161800,1576400,9.74,0,0,7200,22900,-25.5,0,-0.0181688635553972,-15.5,5
33,2023-09-14,3,36,1390,1414,1384.5,1403.5,868700,1403.5,0,0,0,0,0,6400,25900,-20.5,0,-0.014822848879248,-13.5,5
34,2023-09-13,2,36,1383.5,1393,1378.5,1383,481600,1383,0,0,0,0,0,5400,5900,-3.5,0,-0.00253715114171801,0.5,5
35,2023-09-12,1,36,1380,1398,1379,1379.5,381900,1379.5,0,0,0,0,0,5800,5400,-8,0,-0.00583302952971199,0.5,5
