,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-02,3,43,3645,3665,3558,3558,953200,3558,0,0,0,0,0,0,0,17,1,0.00475524475524476,87,4
1,2023-11-01,2,43,3575,3602,3537,3575,1338100,3575,0,0,0,0,0,1500,6600,-70,0,-0.0199714693295292,0,4
2,2023-10-31,1,43,3430,3517,3405,3505,1390900,3505,0,0,0,0,0,1200,6600,-102,0,-0.0299735527475757,-75,4
3,2023-10-30,0,43,3427,3455,3371,3403,2927900,3403,0,0,0,0,0,6300,8000,79,1,0.0226881102814474,24,4
4,2023-10-27,4,42,3440,3500,3418,3482,2087500,3482,55500,151600,2.73,0,0,200,7800,148,1,0.040771349862259,-42,5
5,2023-10-26,3,42,3672,3685,3581,3630,997500,3630,0,0,0,0,0,3100,9600,75,1,0.0202429149797571,42,5
6,2023-10-25,2,42,3670,3733,3653,3705,860600,3705,0,0,0,0,0,8500,6600,-55,0,-0.0150684931506849,-35,5
7,2023-10-24,1,42,3637,3669,3565,3650,892600,3650,0,0,0,0,0,6700,6900,39,1,0.0105719707237734,-13,5
8,2023-10-23,0,42,3675,3723,3674,3689,537900,3689,0,0,0,0,0,12900,10700,-2,0,-0.0005424464334147,-14,5
9,2023-10-20,4,41,3655,3730,3608,3687,387700,3687,76300,104100,1.36,0,0,12600,10700,-10,0,-0.0027196083763938,-32,5
10,2023-10-19,3,41,3663,3705,3654,3677,700900,3677,0,0,0,0,0,13600,11600,34,1,0.00916195095661547,-14,5
11,2023-10-18,2,41,3725,3769,3681,3711,754900,3711,0,0,0,0,0,11900,9600,17,1,0.00456008583690987,14,5
12,2023-10-17,1,41,3722,3757,3710,3728,456600,3728,0,0,0,0,0,12500,9800,-22,0,-0.00593631948192121,-6,5
13,2023-10-16,0,41,3774,3778,3685,3706,448400,3706,0,0,0,0,0,12600,10000,97,1,0.0255061793321062,68,5
14,2023-10-13,4,40,3800,3842,3777,3803,537800,3803,78700,97800,1.24,0,0,18200,16500,65,1,0.0168045501551189,-3,4
15,2023-10-12,3,40,3870,3878,3835,3868,434000,3868,0,0,0,0,0,18800,17500,-42,0,-0.010977522216414,2,4
16,2023-10-11,2,40,3880,3890,3814,3826,542300,3826,0,0,0,0,0,13600,11700,32,1,0.00829445308449974,54,4
17,2023-10-10,1,40,3813,3869,3797,3858,814600,3858,0,0,0,0,0,19700,17400,-77,0,-0.0203649828087807,-45,4
18,2023-10-06,4,39,3723,3812,3720,3781,540900,3781,82300,111600,1.36,0,1,23000,21200,-64,0,-0.0172181867097121,-58,5
19,2023-10-05,3,39,3604,3728,3589,3717,764700,3717,0,0,0,0,0,21600,20500,-142,0,-0.0397202797202797,-113,5
20,2023-10-04,2,39,3704,3717,3570,3575,835900,3575,0,0,0,0,0,9600,9000,188,1,0.0499601381876163,129,5
21,2023-10-03,1,39,3793,3818,3733,3763,831700,3763,0,0,0,0,0,14100,13900,-41,0,-0.0110155830198818,30,5
22,2023-10-02,0,39,3778,3830,3712,3722,520300,3722,0,0,0,0,0,12800,13100,31,1,0.00826005861977085,56,5
