,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-17,4,45,5820.0,5949.0,5806.0,5949.0,1470100.0,5949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.0,0,-0.025159400310184387,-129.0,5
1,2023-11-16,3,45,5857.0,5865.0,5791.0,5803.0,1095300.0,5803.0,0.0,0.0,0.0,0.0,0.0,800.0,43200.0,77.0,1,0.013095238095238096,54.0,5
2,2023-11-15,2,45,5863.0,5906.0,5823.0,5880.0,1170600.0,5880.0,0.0,0.0,0.0,0.0,0.0,2800.0,46400.0,-26.0,0,-0.004441407584557568,-17.0,5
3,2023-11-14,1,45,5876.0,5879.0,5842.0,5854.0,922500.0,5854.0,0.0,0.0,0.0,0.0,0.0,800.0,46900.0,22.0,1,0.0037440435670524166,22.0,5
4,2023-11-13,0,45,5899.0,5920.0,5857.0,5876.0,626700.0,5876.0,0.0,0.0,0.0,0.0,0.0,3100.0,46100.0,16.0,1,0.0027155465037338763,23.0,5
5,2023-11-10,4,44,5832.0,5892.0,5795.0,5892.0,975200.0,5892.0,56200.0,1440100.0,25.62,0.0,0.0,800.0,72000.0,-48.0,0,-0.008213552361396304,-60.0,5
6,2023-11-09,3,44,5755.0,5850.0,5724.0,5844.0,911800.0,5844.0,0.0,0.0,0.0,0.0,0.0,700.0,71700.0,-78.0,0,-0.013527575442247659,-89.0,5
7,2023-11-08,2,44,5878.0,5886.0,5746.0,5766.0,1300200.0,5766.0,0.0,0.0,0.0,0.0,0.0,8000.0,72800.0,111.0,1,0.018887187340479835,112.0,5
8,2023-11-07,1,44,6035.0,6056.0,5877.0,5877.0,1704700.0,5877.0,0.0,0.0,0.0,0.0,0.0,900.0,77900.0,189.0,1,0.03115727002967359,158.0,5
9,2023-11-06,0,44,6103.0,6104.0,6009.0,6066.0,1686900.0,6066.0,0.0,0.0,0.0,0.0,0.0,7000.0,70900.0,39.0,1,0.0063882063882063885,37.0,5
10,2023-11-02,3,43,6100.0,6183.0,6074.0,6105.0,1829400.0,6105.0,111400.0,1239000.0,11.12,0.0,0.0,8200.0,64400.0,-39.0,0,-0.006429277942631058,-5.0,4
11,2023-11-01,2,43,5934.0,6099.0,5899.0,6066.0,4358100.0,6066.0,0.0,0.0,0.0,0.0,0.0,5400.0,75500.0,-320.0,0,-0.055690915419422206,-132.0,4
12,2023-10-31,1,43,5710.0,5770.0,5682.0,5746.0,1439700.0,5746.0,0.0,0.0,0.0,0.0,0.0,4800.0,72300.0,-94.0,0,-0.016631280962491155,-36.0,4
13,2023-10-30,0,43,5689.0,5709.0,5627.0,5652.0,2945300.0,5652.0,0.0,0.0,0.0,0.0,0.0,1400.0,80500.0,83.0,1,0.014472537053182214,37.0,4
14,2023-10-27,4,42,5676.0,5752.0,5650.0,5735.0,1305000.0,5735.0,65800.0,1963100.0,29.83,0.0,0.0,2000.0,74400.0,-80.0,0,-0.014146772767462422,-59.0,5
15,2023-10-26,3,42,5622.0,5672.0,5591.0,5655.0,1191700.0,5655.0,0.0,0.0,0.0,0.0,0.0,6800.0,75900.0,-25.0,0,-0.004440497335701598,-33.0,5
16,2023-10-25,2,42,5663.0,5693.0,5613.0,5630.0,1031400.0,5630.0,0.0,0.0,0.0,0.0,0.0,900.0,76800.0,17.0,1,0.0030104480255002657,33.0,5
17,2023-10-24,1,42,5577.0,5663.0,5516.0,5647.0,1127300.0,5647.0,0.0,0.0,0.0,0.0,0.0,1000.0,75400.0,-70.0,0,-0.012551551013089475,-70.0,5
18,2023-10-23,0,42,5640.0,5681.0,5565.0,5577.0,1000100.0,5577.0,0.0,0.0,0.0,0.0,0.0,5500.0,75000.0,58.0,1,0.010292812777284827,63.0,5
19,2023-10-20,4,41,5661.0,5671.0,5615.0,5635.0,991600.0,5635.0,99700.0,2100400.0,21.07,0.0,0.0,1100.0,75800.0,64.0,1,0.011230040357957537,26.0,5
20,2023-10-19,3,41,5588.0,5710.0,5582.0,5699.0,2362500.0,5699.0,0.0,0.0,0.0,0.0,0.0,1100.0,74600.0,-68.0,0,-0.012076007813887409,-111.0,5
21,2023-10-18,2,41,5498.0,5636.0,5458.0,5631.0,1990700.0,5631.0,0.0,0.0,0.0,0.0,0.0,400.0,77900.0,-160.0,0,-0.029245110583074392,-133.0,5
22,2023-10-17,1,41,5550.0,5566.0,5461.0,5471.0,1767100.0,5471.0,0.0,0.0,0.0,0.0,0.0,500.0,81600.0,35.0,1,0.006356701779876499,79.0,5
23,2023-10-16,0,41,5609.0,5609.0,5487.0,5506.0,2322600.0,5506.0,0.0,0.0,0.0,0.0,0.0,2100.0,72300.0,126.0,1,0.022372159090909092,103.0,5
24,2023-10-13,4,40,5680.0,5686.0,5605.0,5632.0,1747500.0,5632.0,58200.0,2017000.0,34.66,0.0,0.0,4700.0,66700.0,70.0,1,0.012276394247632409,48.0,4
25,2023-10-12,3,40,5750.0,5751.0,5659.0,5702.0,2098600.0,5702.0,0.0,0.0,0.0,0.0,0.0,200.0,73900.0,53.0,1,0.009209383145091225,48.0,4
26,2023-10-11,2,40,5833.0,5839.0,5754.0,5755.0,1442600.0,5755.0,0.0,0.0,0.0,0.0,0.0,100.0,64100.0,64.0,1,0.010998453342498712,78.0,4
27,2023-10-10,1,40,5846.0,5867.0,5806.0,5819.0,1171400.0,5819.0,0.0,0.0,0.0,0.0,0.0,200.0,62700.0,-12.0,0,-0.002066471499913897,27.0,4
28,2023-10-06,4,39,5876.0,5886.0,5802.0,5807.0,1574500.0,5807.0,57600.0,1641300.0,28.49,0.0,0.0,2400.0,63300.0,50.0,1,0.008536793580331228,69.0,5
29,2023-10-05,3,39,5844.0,5892.0,5793.0,5857.0,1262000.0,5857.0,0.0,0.0,0.0,0.0,0.0,200.0,61000.0,-55.0,0,-0.009479489831092727,-13.0,5
30,2023-10-04,2,39,5890.0,5928.0,5802.0,5802.0,1814500.0,5802.0,0.0,0.0,0.0,0.0,0.0,100.0,79800.0,134.0,1,0.02257412398921833,88.0,5
31,2023-10-03,1,39,6091.0,6100.0,5924.0,5936.0,1604800.0,5936.0,0.0,0.0,0.0,0.0,0.0,100.0,72000.0,178.0,1,0.029113509977101732,155.0,5
32,2023-10-02,0,39,6202.0,6248.0,6106.0,6114.0,1224300.0,6114.0,0.0,0.0,0.0,0.0,0.0,200.0,64100.0,71.0,1,0.011479385610347614,88.0,5
33,2023-09-29,4,38,6282.0,6309.0,6137.0,6185.0,1892000.0,6185.0,80900.0,1382200.0,17.09,0.0,0.0,200.0,65500.0,108.0,1,0.017161925949467662,97.0,5
34,2023-09-28,3,38,6440.0,6440.0,6284.0,6293.0,1739200.0,6293.0,0.0,0.0,0.0,0.0,0.0,400.0,61200.0,229.0,1,0.03511192885617909,147.0,5
35,2023-09-27,2,38,6500.0,6531.0,6441.0,6522.0,1175000.0,6522.0,0.0,0.0,0.0,0.0,0.0,3300.0,51900.0,7.0,1,0.0010721396844846072,-22.0,5
36,2023-09-26,1,38,6526.0,6568.0,6482.0,6529.0,684400.0,6529.0,0.0,0.0,0.0,0.0,0.0,10800.0,54900.0,-20.0,0,-0.0030726686126901215,-3.0,5
37,2023-09-25,0,38,6501.0,6551.0,6501.0,6509.0,803000.0,6509.0,0.0,0.0,0.0,0.0,0.0,11400.0,56600.0,-12.0,0,-0.0018470063106048947,-8.0,5
38,2023-09-22,4,37,6500.0,6536.0,6462.0,6497.0,638000.0,6497.0,148100.0,1211300.0,8.18,0.0,0.0,9200.0,75700.0,21.0,1,0.0032218471923903037,3.0,4
39,2023-09-21,3,37,6580.0,6585.0,6514.0,6518.0,839600.0,6518.0,0.0,0.0,0.0,0.0,0.0,13000.0,77800.0,73.0,1,0.011075709300561372,62.0,4
40,2023-09-20,2,37,6580.0,6610.0,6536.0,6591.0,844700.0,6591.0,0.0,0.0,0.0,0.0,0.0,9200.0,76500.0,-21.0,0,-0.0031963470319634705,-11.0,4
41,2023-09-19,1,37,6596.0,6600.0,6514.0,6570.0,1083100.0,6570.0,0.0,0.0,0.0,0.0,0.0,10400.0,74100.0,35.0,1,0.005299015897047691,26.0,4
42,2023-09-15,4,36,6569.0,6630.0,6519.0,6605.0,1535600.0,6605.0,144500.0,1178400.0,8.16,0.0,0.0,9700.0,72100.0,-68.0,0,-0.010402325225638671,-36.0,5
43,2023-09-14,3,36,6539.0,6570.0,6493.0,6537.0,909200.0,6537.0,0.0,0.0,0.0,0.0,0.0,9700.0,74900.0,-36.0,0,-0.0055376095985233045,2.0,5
44,2023-09-13,2,36,6416.0,6512.0,6401.0,6501.0,984500.0,6501.0,0.0,0.0,0.0,0.0,0.0,18500.0,75000.0,-123.0,0,-0.019285042333019756,-85.0,5
45,2023-09-12,1,36,6375.0,6445.0,6357.0,6378.0,894200.0,6378.0,0.0,0.0,0.0,0.0,0.0,10300.0,75300.0,-34.0,0,-0.005359394703656999,-3.0,5
46,2023-09-11,0,36,6443.0,6461.0,6331.0,6344.0,1050400.0,6344.0,0.0,0.0,0.0,0.0,0.0,7600.0,75000.0,46.0,1,0.007198748043818467,99.0,5
47,2023-09-08,4,35,6457.0,6485.0,6382.0,6390.0,1428600.0,6390.0,174500.0,1265100.0,7.25,0.0,0.0,15800.0,70800.0,117.0,1,0.017980636237897647,67.0,5
48,2023-09-07,3,35,6450.0,6517.0,6433.0,6507.0,2133400.0,6507.0,0.0,0.0,0.0,0.0,0.0,50900.0,44100.0,-96.0,0,-0.014974262985493684,-57.0,5
49,2023-09-06,2,35,6449.0,6455.0,6382.0,6411.0,1144600.0,6411.0,0.0,0.0,0.0,0.0,0.0,17600.0,44200.0,28.0,1,0.004348501320080758,38.0,5
