,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
0,2023-11-17,4,45,190.0,192.0,188.0,190.0,15900.0,190.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,5
1,2023-11-16,3,45,191.0,193.0,190.0,190.0,6200.0,190.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.010416666666666666,1.0,5
2,2023-11-15,2,45,189.0,194.0,189.0,192.0,21200.0,192.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,-0.005235602094240838,-3.0,5
3,2023-11-14,1,45,191.0,193.0,189.0,191.0,35300.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.010362694300518135,0.0,5
4,2023-11-13,0,45,195.0,195.0,190.0,193.0,31200.0,193.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.005154639175257732,2.0,5
5,2023-11-10,4,44,196.0,196.0,191.0,194.0,40500.0,194.0,400.0,79000.0,197.5,0.0,0.0,0,0,3.0,1,0.015228426395939087,2.0,5
6,2023-11-09,3,44,194.0,197.0,192.0,197.0,25200.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0,-0.010256410256410256,-3.0,5
7,2023-11-08,2,44,191.0,196.0,188.0,195.0,100600.0,195.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.0,0,-0.02631578947368421,-4.0,5
8,2023-11-07,1,44,191.0,192.0,188.0,190.0,61500.0,190.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.005235602094240838,1.0,5
9,2023-11-06,0,44,186.0,191.0,185.0,191.0,40000.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.0,0,-0.032432432432432434,-5.0,5
10,2023-11-02,3,43,188.0,189.0,183.0,185.0,64200.0,185.0,400.0,114300.0,285.75,0.0,0.0,0,0,4.0,1,0.021164021164021163,3.0,4
11,2023-11-01,2,43,186.0,189.0,183.0,189.0,80500.0,189.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.021621621621621623,-3.0,4
12,2023-10-31,1,43,182.0,186.0,176.0,185.0,77200.0,185.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.022099447513812154,-3.0,4
13,2023-10-30,0,43,188.0,189.0,181.0,181.0,145100.0,181.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,1,0.042328042328042326,7.0,4
14,2023-10-27,4,42,187.0,192.0,186.0,189.0,73400.0,189.0,400.0,85200.0,213.0,0.0,0.0,0,0,-2.0,0,-0.0106951871657754,-2.0,5
15,2023-10-26,3,42,191.0,192.0,185.0,187.0,125500.0,187.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.020942408376963352,4.0,5
16,2023-10-25,2,42,197.0,197.0,190.0,191.0,111800.0,191.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,1,0.030456852791878174,6.0,5
17,2023-10-24,1,42,197.0,197.0,188.0,197.0,137700.0,197.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,-0.00510204081632653,0.0,5
18,2023-10-23,0,42,203.0,203.0,195.0,196.0,118900.0,196.0,0.0,0.0,0.0,0.0,0.0,0,0,7.0,1,0.034482758620689655,7.0,5
19,2023-10-20,4,41,206.0,206.0,197.0,203.0,127000.0,203.0,400.0,78000.0,195.0,0.0,0.0,0,0,3.0,1,0.014563106796116505,3.0,5
20,2023-10-19,3,41,211.0,212.0,206.0,206.0,83600.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.01904761904761905,5.0,5
21,2023-10-18,2,41,208.0,212.0,204.0,210.0,103000.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0,-0.009615384615384616,-2.0,5
22,2023-10-17,1,41,209.0,211.0,207.0,208.0,39300.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,1.0,5
23,2023-10-16,0,41,207.0,213.0,204.0,208.0,102700.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.018867924528301886,-1.0,5
24,2023-10-13,4,40,214.0,216.0,209.0,212.0,131300.0,212.0,400.0,119200.0,298.0,0.0,0.0,0,0,3.0,1,0.013953488372093023,2.0,4
25,2023-10-12,3,40,224.0,224.0,214.0,215.0,179700.0,215.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.0182648401826484,9.0,4
26,2023-10-11,2,40,233.0,243.0,209.0,219.0,513300.0,219.0,0.0,0.0,0.0,0.0,0.0,0,0,13.0,1,0.05603448275862069,14.0,4
27,2023-10-10,1,40,227.0,232.0,221.0,232.0,129800.0,232.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.0,0,-0.03571428571428571,-5.0,4
28,2023-10-06,4,39,218.0,226.0,217.0,224.0,63200.0,224.0,400.0,68300.0,170.75,0.0,0.0,0,0,-7.0,0,-0.03225806451612903,-6.0,5
29,2023-10-05,3,39,217.0,218.0,213.0,217.0,37500.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.018779342723004695,0.0,5
30,2023-10-04,2,39,219.0,219.0,212.0,213.0,62600.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,1,0.049107142857142856,6.0,5
31,2023-10-03,1,39,224.0,234.0,220.0,224.0,142400.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0,-0.009009009009009009,0.0,5
32,2023-10-02,0,39,230.0,238.0,222.0,222.0,93900.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,1,0.02631578947368421,8.0,5
33,2023-09-29,4,38,238.0,241.0,228.0,228.0,111000.0,228.0,400.0,71900.0,179.75,0.0,0.0,0,0,9.0,1,0.0379746835443038,10.0,5
34,2023-09-28,3,38,238.0,243.0,234.0,237.0,82600.0,237.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.004201680672268907,1.0,5
35,2023-09-27,2,38,236.0,251.0,234.0,238.0,283300.0,238.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.0041841004184100415,-2.0,5
36,2023-09-26,1,38,236.0,280.0,235.0,239.0,974200.0,239.0,0.0,0.0,0.0,0.0,0.0,0,0,-3.0,0,-0.012711864406779662,-3.0,5
37,2023-09-25,0,38,232.0,242.0,232.0,236.0,74700.0,236.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.017241379310344827,-4.0,5
38,2023-09-22,4,37,225.0,237.0,225.0,232.0,117500.0,232.0,400.0,56900.0,142.25,0.0,0.0,0,0,-4.0,0,-0.017543859649122806,-7.0,4
39,2023-09-21,3,37,222.0,231.0,219.0,228.0,295800.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0,-6.0,0,-0.02702702702702703,-6.0,4
40,2023-09-20,2,37,222.0,224.0,219.0,222.0,39200.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.008928571428571428,0.0,4
41,2023-09-19,1,37,228.0,229.0,222.0,224.0,65500.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1,0.013215859030837005,4.0,4
42,2023-09-15,4,36,231.0,231.0,222.0,227.0,70400.0,227.0,400.0,71200.0,178.0,0.0,0.0,0,0,2.0,1,0.008733624454148471,4.0,5
43,2023-09-14,3,36,224.0,229.0,224.0,229.0,34900.0,229.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.0,0,-0.03153153153153153,-5.0,5
44,2023-09-13,2,36,232.0,232.0,222.0,222.0,58700.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,8.0,1,0.034782608695652174,10.0,5
45,2023-09-12,1,36,234.0,234.0,224.0,230.0,180500.0,230.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.017094017094017096,4.0,5
46,2023-09-11,0,36,224.0,239.0,222.0,234.0,215800.0,234.0,0.0,0.0,0.0,0.0,0.0,0,0,-14.0,0,-0.06363636363636363,-10.0,5
47,2023-09-08,4,35,227.0,229.0,208.0,220.0,84100.0,220.0,400.0,113600.0,284.0,0.0,0.0,0,0,8.0,1,0.03508771929824561,7.0,5
48,2023-09-07,3,35,221.0,233.0,221.0,228.0,127400.0,228.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.0,0,-0.02242152466367713,-7.0,5
49,2023-09-06,2,35,225.0,225.0,221.0,223.0,71300.0,223.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.008888888888888889,2.0,5
50,2023-09-05,1,35,227.0,229.0,215.0,225.0,146000.0,225.0,0.0,0.0,0.0,0.0,0.0,0,0,-12.0,0,-0.056338028169014086,2.0,5
51,2023-09-04,0,35,215.0,216.0,212.0,213.0,46200.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,2.0,5
52,2023-09-01,4,34,213.0,215.0,211.0,213.0,45000.0,213.0,400.0,143400.0,358.5,0.0,0.0,0,0,0.0,0,0.0,0.0,5
53,2023-08-31,3,34,208.0,213.0,208.0,213.0,49700.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.019138755980861243,-5.0,5
54,2023-08-30,2,34,211.0,212.0,209.0,209.0,31800.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.004761904761904762,2.0,5
55,2023-08-29,1,34,209.0,213.0,207.0,210.0,63800.0,210.0,0.0,0.0,0.0,0.0,0.0,0,0,-5.0,0,-0.024390243902439025,-1.0,5
56,2023-08-28,0,34,204.0,208.0,204.0,205.0,18600.0,205.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,-0.004901960784313725,-1.0,5
57,2023-08-25,4,33,206.0,211.0,203.0,204.0,92800.0,204.0,400.0,147400.0,368.5,0.0,0.0,0,0,3.0,1,0.014492753623188406,2.0,5
58,2023-08-24,3,33,214.0,214.0,207.0,207.0,87700.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1,0.018957345971563982,7.0,5
59,2023-08-23,2,33,214.0,215.0,210.0,211.0,34000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,3.0,5
60,2023-08-22,1,33,211.0,214.0,209.0,211.0,16600.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,5
61,2023-08-21,0,33,207.0,216.0,207.0,211.0,74000.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,-4.0,0,-0.01932367149758454,-4.0,5
62,2023-08-18,4,32,205.0,212.0,205.0,207.0,36600.0,207.0,400.0,150300.0,375.75,0.0,0.0,0,0,2.0,1,0.009569377990430622,-2.0,5
63,2023-08-17,3,32,207.0,212.0,205.0,209.0,47100.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.009478672985781991,-2.0,5
64,2023-08-16,2,32,210.0,211.0,207.0,211.0,35900.0,211.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.0047169811320754715,-1.0,5
65,2023-08-15,1,32,213.0,213.0,207.0,212.0,55700.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1,0.004694835680751174,1.0,5
66,2023-08-14,0,32,215.0,220.0,210.0,213.0,65400.0,213.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,-0.0047169811320754715,2.0,5
67,2023-08-10,3,31,208.0,214.0,205.0,212.0,60200.0,212.0,400.0,143800.0,359.5,0.0,0.0,0,0,-4.0,0,-0.019230769230769232,-4.0,4
68,2023-08-09,2,31,201.0,210.0,201.0,208.0,58400.0,208.0,0.0,0.0,0.0,0.0,0.0,0,0,-7.0,0,-0.03482587064676617,-7.0,4
69,2023-08-08,1,31,204.0,205.0,201.0,201.0,39600.0,201.0,0.0,0.0,0.0,0.0,0.0,0,0,3.0,1,0.014705882352941176,3.0,4
70,2023-08-07,0,31,210.0,210.0,202.0,204.0,68600.0,204.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,1,0.023923444976076555,6.0,4
71,2023-08-04,4,30,206.0,209.0,202.0,209.0,124300.0,209.0,400.0,137000.0,342.5,0.0,0.0,0,0,-2.0,0,-0.00966183574879227,-3.0,5
72,2023-08-03,3,30,211.0,211.0,206.0,207.0,85100.0,207.0,0.0,0.0,0.0,0.0,0.0,0,0,5.0,1,0.02358490566037736,4.0,5
73,2023-08-02,2,30,216.0,217.0,212.0,212.0,82600.0,212.0,0.0,0.0,0.0,0.0,0.0,0,0,6.0,1,0.027522935779816515,4.0,5
74,2023-08-01,1,30,217.0,221.0,214.0,218.0,66100.0,218.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0,-0.009259259259259259,-1.0,5
75,2023-07-31,0,30,222.0,230.0,215.0,216.0,190600.0,216.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.0,0,-0.004651162790697674,6.0,5
76,2023-07-28,4,29,224.0,225.0,214.0,215.0,150300.0,215.0,400.0,89700.0,224.25,0.0,0.0,0,0,9.0,1,0.04017857142857143,9.0,5
77,2023-07-27,3,29,221.0,226.0,221.0,224.0,78100.0,224.0,0.0,0.0,0.0,0.0,0.0,0,0,-2.0,0,-0.009009009009009009,-3.0,5
78,2023-07-26,2,29,233.0,234.0,222.0,222.0,129400.0,222.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,1,0.04721030042918455,11.0,5
79,2023-07-25,1,29,234.0,235.0,231.0,233.0,84700.0,233.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,1,0.00851063829787234,1.0,5
80,2023-07-24,0,29,248.0,249.0,232.0,235.0,220600.0,235.0,0.0,0.0,0.0,0.0,0.0,0,0,11.0,1,0.044715447154471545,13.0,5
81,2023-07-21,4,28,234.0,249.0,232.0,246.0,556300.0,246.0,400.0,75600.0,189.0,0.0,0.0,0,0,-16.0,0,-0.06956521739130435,-12.0,4
