,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
167,2023-11-02,3,2665.5,2675.0,2596.0,2631.0,15398400.0,2631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2023-11-01,2,2584.5,2640.0,2560.5,2640.0,18727500.0,2640.0,0.0,0.0,0.0,0.0,0.0,21900.0,169400.0
169,2023-10-31,1,2580.0,2612.0,2489.0,2545.5,20560100.0,2545.5,0.0,0.0,0.0,0.0,0.0,34300.0,167500.0
170,2023-10-30,0,2546.5,2565.5,2500.5,2512.0,31692300.0,2512.0,0.0,0.0,0.0,0.0,0.0,10800.0,223300.0
171,2023-10-27,4,2502.0,2557.5,2492.0,2553.0,10057300.0,2553.0,1093700.0,8060900.0,7.37,0.0,0.0,21500.0,223600.0
172,2023-10-26,3,2525.0,2533.0,2490.5,2502.0,8006100.0,2502.0,0.0,0.0,0.0,0.0,0.0,11000.0,212400.0
173,2023-10-25,2,2512.0,2549.5,2503.0,2531.5,7510200.0,2531.5,0.0,0.0,0.0,0.0,0.0,13800.0,211100.0
174,2023-10-24,1,2521.5,2521.5,2441.0,2502.5,11922800.0,2502.5,0.0,0.0,0.0,0.0,0.0,14100.0,218500.0
175,2023-10-23,0,2540.0,2553.0,2522.5,2522.5,7105300.0,2522.5,0.0,0.0,0.0,0.0,0.0,6900.0,210900.0
176,2023-10-20,4,2532.0,2570.0,2523.5,2546.0,8750400.0,2546.0,1053000.0,8240000.0,7.83,0.0,0.0,7600.0,207700.0
177,2023-10-19,3,2548.0,2563.0,2519.0,2546.0,9131500.0,2546.0,0.0,0.0,0.0,0.0,0.0,7600.0,212200.0
