,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-09-25,2685.0,2685.5,2633.0,2636.5,14662200,2636.5
1,2023-09-22,2664.5,2724.5,2643.0,2710.5,17862400,2710.5
2,2023-09-21,2669.0,2719.0,2662.0,2674.5,18316500,2674.5
3,2023-09-20,2690.0,2698.0,2637.5,2649.5,16368700,2649.5
4,2023-09-19,2636.5,2684.5,2635.0,2683.0,14556100,2683.0
5,2023-09-15,2659.0,2711.0,2605.5,2640.0,27435600,2640.0
6,2023-09-14,2648.5,2649.0,2626.0,2643.5,13180000,2643.5
7,2023-09-13,2600.5,2652.0,2599.5,2624.5,14810900,2624.5
8,2023-09-12,2590.0,2600.0,2557.5,2600.0,14155900,2600.0
9,2023-09-11,2518.0,2582.5,2516.5,2581.5,18266500,2581.5
10,2023-09-08,2467.0,2497.5,2463.5,2472.0,13102600,2472.0
11,2023-09-07,2509.0,2521.5,2492.0,2495.5,12052500,2495.5
12,2023-09-06,2500.0,2528.5,2498.5,2513.5,11274300,2513.5
13,2023-09-05,2501.5,2518.5,2455.5,2485.0,11953100,2485.0
14,2023-09-04,2469.0,2491.5,2462.0,2491.5,10296100,2491.5
15,2023-09-01,2413.0,2463.0,2411.5,2450.0,13053900,2450.0
16,2023-08-31,2404.0,2417.5,2399.0,2410.0,9411300,2410.0
17,2023-08-30,2388.5,2420.0,2384.5,2419.0,11058400,2419.0
18,2023-08-29,2395.5,2401.5,2365.5,2376.5,7259500,2376.5
19,2023-08-28,2357.0,2393.0,2352.5,2385.5,8213000,2385.5
20,2023-08-25,2320.5,2357.0,2315.5,2340.0,8227600,2340.0
21,2023-08-24,2325.0,2342.5,2322.0,2333.0,6486000,2333.0
22,2023-08-23,2301.5,2340.5,2297.0,2335.0,8230100,2335.0
23,2023-08-22,2280.0,2319.0,2275.0,2315.0,7329900,2315.0
24,2023-08-21,2260.0,2279.5,2252.0,2259.0,4554700,2259.0
