,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
0,2023-08-25,2320.5,2357,2315.5,2340,8227600,2340,0,0,0,0,0,0,0
1,2023-08-24,2325,2342.5,2322,2333,6486000,2333,0,0,0,-,-,24500,165700
2,2023-08-23,2301.5,2340.5,2297,2335,8230100,2335,0,0,0,-,-,14200,171000
3,2023-08-22,2280,2319,2275,2315,7329900,2315,0,0,0,-,-,1900,168900
4,2023-08-21,2260,2279.5,2252,2259,4554700,2259,0,0,0,-,-,1800,210900
5,2023-08-18,2261,2277,2246.5,2267.5,7826900,2267.5,931100,8533800,9.17,-,-,700,218900
6,2023-08-17,2254,2286,2223,2284.5,9347000,2284.5,0,0,0,-,-,600,212900
7,2023-08-16,2282,2286,2258,2262,9435500,2262,0,0,0,-,-,2000,213800
8,2023-08-15,2322,2331.5,2303,2311,9412200,2311,0,0,0,-,-,4400,223700
9,2023-08-14,2363.5,2364,2310.5,2317.5,7461100,2317.5,0,0,0,-,-,4400,233200
10,2023-08-10,2313.5,2349.5,2292,2340,10851000,2340,1043900,8529700,8.17,-,-,4100,224900
11,2023-08-09,2370,2370.5,2310.5,2325.5,11031500,2325.5,0,0,0,-,-,7400,228300
12,2023-08-08,2408,2409,2376,2378,9518600,2378,0,0,0,-,-,12100,222100
13,2023-08-07,2391,2393.5,2365.5,2372.5,6867200,2372.5,0,0,0,-,-,6900,222700
14,2023-08-04,2380.5,2401.5,2371.5,2391,8516500,2391,1222300,7406300,6.06,-,-,5700,188100
15,2023-08-03,2397,2403,2360,2365,12208400,2365,0,0,0,-,-,10000,248500
16,2023-08-02,2406,2433,2380,2382.5,13351700,2382.5,0,0,0,-,-,26900,283400
17,2023-08-01,2415,2451.5,2391,2424.5,19229000,2424.5,0,0,0,-,-,31700,234600
18,2023-07-31,2415,2447,2366,2404,23270700,2404,0,0,0,-,-,37700,172300
19,2023-07-28,2300,2379,2262.5,2379,34779100,2379,1630000,6164300,3.78,-,-,29300,132300
20,2023-07-27,2255,2275,2240.5,2270,10899500,2270,0,0,0,-,-,23100,127100
21,2023-07-26,2241,2245,2227,2240.5,5428200,2240.5,0,0,0,-,-,5700,134900
