,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-16,0,0,30800,241000
1,2023-11-15,0,0,37500,284300
2,2023-11-14,0,0,23300,235500
3,2023-11-13,0,0,15400,238700
4,2023-11-10,0,0,31200,248700
5,2023-11-09,0,0,14100,262000
6,2023-11-08,0,0,12200,240200
7,2023-11-07,0,0,10600,244200
8,2023-11-06,0,0,14100,223400
9,2023-11-02,0,0,9300,158800
10,2023-11-01,0,0,21900,169400
11,2023-10-31,0,0,34300,167500
12,2023-10-30,0,0,10800,223300
13,2023-10-27,0,0,21500,223600
14,2023-10-26,0,0,11000,212400
15,2023-10-25,0,0,13800,211100
16,2023-10-24,0,0,14100,218500
17,2023-10-23,0,0,6900,210900
18,2023-10-20,0,0,7600,207700
19,2023-10-19,0,0,7600,212200
20,2023-10-18,0,0,16800,204800
21,2023-10-17,0,0,8000,201100
22,2023-10-16,0,0,7900,201500
