,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,1420.0,1427.0,1402.5,1415.0,11414600.0,1415.0,0.0,0.0,0.0,0,0.0,0.0,0.0
167,2023-11-01,2,1403.0,1415.5,1387.0,1415.0,17152100.0,1415.0,0.0,0.0,0.0,0.00,0.0,268100.0,249900.0
168,2023-10-31,1,1380.0,1426.0,1362.0,1399.5,38839400.0,1399.5,0.0,0.0,0.0,0.00,0.0,258500.0,236100.0
169,2023-10-30,0,1357.0,1392.0,1324.0,1350.5,170303900.0,1350.5,0.0,0.0,0.0,0.00,0.0,388000.0,383100.0
170,2023-10-27,4,1337.5,1380.0,1335.5,1376.5,17980300.0,1376.5,409400.0,2599000.0,6.35,0,0.0,50000.0,67600.0
171,2023-10-26,3,1350.0,1352.5,1330.0,1337.5,10373500.0,1337.5,0.0,0.0,0.0,0,0.0,22600.0,65900.0
172,2023-10-25,2,1331.5,1351.5,1328.0,1347.5,14072600.0,1347.5,0.0,0.0,0.0,0,0.0,53500.0,69100.0
173,2023-10-24,1,1342.0,1344.5,1322.0,1337.0,10345100.0,1337.0,0.0,0.0,0.0,0.00,0.0,71900.0,70200.0
174,2023-10-23,0,1335.0,1355.0,1333.5,1343.0,10942900.0,1343.0,0.0,0.0,0.0,0.00,0.0,97800.0,94500.0
175,2023-10-20,4,1340.0,1351.5,1333.0,1334.0,10874100.0,1334.0,338700.0,2482000.0,7.33,0,0.0,42800.0,62300.0
176,2023-10-19,3,1325.5,1336.5,1324.5,1335.0,5439000.0,1335.0,0.0,0.0,0.0,0.00,0.0,87600.0,78800.0
