,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,1391.5,1450.5,1387.5,1450.5,22266900,1450.5
1,2023-11-16,1382.0,1413.5,1382.0,1391.5,10185700,1391.5
2,2023-11-15,1397.0,1398.0,1372.0,1388.0,12066200,1388.0
3,2023-11-14,1400.0,1407.5,1389.5,1404.0,11890400,1404.0
4,2023-11-13,1379.5,1398.5,1375.5,1393.0,8972400,1393.0
5,2023-11-10,1348.5,1378.5,1348.0,1378.5,10304200,1378.5
6,2023-11-09,1338.0,1359.5,1314.0,1352.0,9803700,1352.0
7,2023-11-08,1379.0,1380.5,1312.5,1339.0,16926000,1339.0
8,2023-11-07,1401.0,1404.5,1380.0,1382.5,8944100,1382.5
9,2023-11-06,1418.0,1418.5,1395.0,1400.0,13028100,1400.0
10,2023-11-02,1420.0,1427.0,1402.5,1415.0,11414600,1415.0
11,2023-11-01,1403.0,1415.5,1387.0,1415.0,17152100,1415.0
12,2023-10-31,1380.0,1426.0,1362.0,1399.5,38839400,1399.5
13,2023-10-30,1357.0,1392.0,1324.0,1350.5,170303900,1350.5
14,2023-10-27,1337.5,1380.0,1335.5,1376.5,17980300,1376.5
15,2023-10-26,1350.0,1352.5,1330.0,1337.5,10373500,1337.5
16,2023-10-25,1331.5,1351.5,1328.0,1347.5,14072600,1347.5
17,2023-10-24,1342.0,1344.5,1322.0,1337.0,10345100,1337.0
18,2023-10-23,1335.0,1355.0,1333.5,1343.0,10942900,1343.0
19,2023-10-20,1340.0,1351.5,1333.0,1334.0,10874100,1334.0
20,2023-10-19,1325.5,1336.5,1324.5,1335.0,5439000,1335.0
21,2023-10-18,1330.0,1339.5,1323.0,1332.0,6239300,1332.0
22,2023-10-17,1319.0,1325.0,1309.5,1319.5,5946700,1319.5
23,2023-10-16,1304.5,1316.0,1298.5,1311.5,6426800,1311.5
24,2023-10-13,1323.0,1331.0,1313.5,1314.0,10598200,1314.0
