,Unnamed: 0,日付,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,Unnamed: 0_x,Unnamed: 0_y
0,,2023-08-25,1175.5,1179.5,1168.5,1171.0,5901400.0,1171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,2023-08-24,1171.0,1178.5,1169.0,1175.0,7393400.0,1175.0,0.0,0.0,0.0,0.05,1.0,754800.0,305000.0,1.0,
2,0.0,2023-08-23,1162.5,1170.0,1156.0,1170.0,6080700.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,1.0,2023-08-22,1154.0,1172.5,1152.5,1172.5,11251800.0,1172.5,0.0,0.0,0.0,0.05,1.0,617700.0,180600.0,,
4,2.0,2023-08-21,1157.0,1157.5,1148.0,1153.5,6319200.0,1153.5,0.0,0.0,0.0,0.0,1.0,531300.0,330500.0,,
5,3.0,2023-08-18,1158.5,1164.0,1152.0,1161.0,10515400.0,1161.0,913700.0,1597200.0,1.75,0.05,1.0,484800.0,175200.0,,
6,4.0,2023-08-17,1135.0,1159.0,1132.0,1158.0,10387700.0,1158.0,0.0,0.0,0.0,0.0,1.0,333300.0,200400.0,,
7,5.0,2023-08-16,1141.5,1142.5,1128.5,1135.0,7923200.0,1135.0,0.0,0.0,0.0,0.0,3.0,431000.0,257100.0,,
8,6.0,2023-08-15,1137.5,1157.0,1136.5,1153.5,13224600.0,1153.5,0.0,0.0,0.0,0.0,1.0,467600.0,274400.0,,
9,7.0,2023-08-14,1151.0,1152.0,1123.5,1136.0,10572900.0,1136.0,0.0,0.0,0.0,0.0,1.0,302800.0,299400.0,,
10,8.0,2023-08-10,1138.5,1149.5,1132.0,1143.5,9015900.0,1143.5,707800.0,1850700.0,2.61,0.0,1.0,350200.0,300400.0,,
11,9.0,2023-08-09,1150.0,1150.0,1127.5,1132.0,8130700.0,1132.0,0.0,0.0,0.0,0.0,1.0,357100.0,314000.0,,
12,10.0,2023-08-08,1155.0,1158.0,1142.5,1143.0,8294500.0,1143.0,0.0,0.0,0.0,0.0,4.0,489000.0,306000.0,,
13,11.0,2023-08-07,1143.0,1155.0,1141.5,1147.5,6920400.0,1147.5,0.0,0.0,0.0,0.0,1.0,491500.0,337800.0,,
14,12.0,2023-08-04,1138.0,1149.0,1138.0,1144.0,6448000.0,1144.0,921100.0,1899200.0,2.06,0.0,1.0,515200.0,440500.0,,
15,13.0,2023-08-03,1144.5,1144.5,1137.0,1139.5,6728100.0,1139.5,0.0,0.0,0.0,0.05,1.0,713700.0,481600.0,,
16,14.0,2023-08-02,1151.0,1153.0,1135.5,1140.0,10568000.0,1140.0,0.0,0.0,0.0,0.15,3.0,892800.0,514600.0,,
17,15.0,2023-08-01,1175.0,1176.5,1154.5,1158.5,12638200.0,1158.5,0.0,0.0,0.0,0.05,1.0,1332500.0,513200.0,,
18,16.0,2023-07-31,1175.5,1190.0,1169.0,1183.0,23839800.0,1183.0,0.0,0.0,0.0,0.05,1.0,1545400.0,391200.0,,
19,17.0,2023-07-28,1142.0,1170.0,1133.0,1169.5,42317500.0,1169.5,1679700.0,1965800.0,0.0,0.05,1.0,1230200.0,498400.0,,
