,日付,逆日歩,日歩日数,貸株残,融資残
0,2023-11-16,0,0,29000,62300
1,2023-11-15,0,0,5000,53100
2,2023-11-14,0,0,6300,50200
3,2023-11-13,0,0,10100,60200
4,2023-11-10,0.00,0,191400,168700
5,2023-11-09,0,0,6000,54400
6,2023-11-08,0,0,2500,45900
7,2023-11-07,0,0,14500,71700
8,2023-11-06,0,0,64300,124300
9,2023-11-02,0.00,0,275700,253100
10,2023-11-01,0.00,0,268100,249900
11,2023-10-31,0.00,0,258500,236100
12,2023-10-30,0.00,0,388000,383100
13,2023-10-27,0,0,50000,67600
14,2023-10-26,0,0,22600,65900
15,2023-10-25,0,0,53500,69100
16,2023-10-24,0.00,0,71900,70200
17,2023-10-23,0.00,0,97800,94500
18,2023-10-20,0,0,42800,62300
19,2023-10-19,0.00,0,87600,78800
20,2023-10-18,0.00,0,234200,226900
21,2023-10-17,0.00,0,154900,154800
22,2023-10-16,0.00,0,158500,158400
