,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残,_merge
0,2023-10-17,1.0,41.0,327000.0,334000.0,327000.0,332000.0,2472.0,332000.0,0.0,0.0,0.0,5.0,1.0,448.0,155.0,327000.0,334000.0,327000.0,332000.0,2472.0,332000.0,0.0,0.0,0.0,5.0,1.0,448.0,155.0,both
1,2023-10-16,0.0,41.0,334500.0,337000.0,327000.0,328000.0,4288.0,328000.0,0.0,0.0,0.0,5.0,1.0,450.0,160.0,334500.0,337000.0,327000.0,328000.0,4288.0,328000.0,0.0,0.0,0.0,5.0,1.0,450.0,160.0,both
2,2023-10-13,4.0,40.0,335000.0,338000.0,333500.0,334500.0,4653.0,334500.0,1025.0,456.0,0.44,10.0,1.0,672.0,68.0,335000.0,338000.0,333500.0,334500.0,4653.0,334500.0,1025.0,456.0,0.44,10.0,1.0,672.0,68.0,both
3,2023-10-12,3.0,40.0,337500.0,337500.0,335000.0,335000.0,2880.0,335000.0,0.0,0.0,0.0,10.0,1.0,768.0,44.0,337500.0,337500.0,335000.0,335000.0,2880.0,335000.0,0.0,0.0,0.0,10.0,1.0,768.0,44.0,both
4,2023-10-11,2.0,40.0,335000.0,336500.0,333500.0,335000.0,3600.0,335000.0,0.0,0.0,0.0,30.0,3.0,639.0,43.0,335000.0,336500.0,333500.0,335000.0,3600.0,335000.0,0.0,0.0,0.0,30.0,3.0,639.0,43.0,both
5,2023-10-10,1.0,40.0,336000.0,336000.0,331000.0,334500.0,4962.0,334500.0,0.0,0.0,0.0,10.0,1.0,811.0,43.0,336000.0,336000.0,331000.0,334500.0,4962.0,334500.0,0.0,0.0,0.0,10.0,1.0,811.0,43.0,both
6,2023-10-06,4.0,39.0,339500.0,341500.0,334000.0,334500.0,4452.0,334500.0,1341.0,532.0,0.4,10.0,1.0,852.0,44.0,339500.0,341500.0,334000.0,334500.0,4452.0,334500.0,1341.0,532.0,0.4,10.0,1.0,852.0,44.0,both
7,2023-10-05,3.0,39.0,336000.0,339500.0,335000.0,338500.0,4817.0,338500.0,0.0,0.0,0.0,10.0,1.0,862.0,44.0,336000.0,339500.0,335000.0,338500.0,4817.0,338500.0,0.0,0.0,0.0,10.0,1.0,862.0,44.0,both
8,2023-10-04,2.0,39.0,333000.0,336000.0,331500.0,334500.0,5751.0,334500.0,0.0,0.0,0.0,40.0,4.0,995.0,62.0,333000.0,336000.0,331500.0,334500.0,5751.0,334500.0,0.0,0.0,0.0,40.0,4.0,995.0,62.0,both
9,2023-10-03,1.0,39.0,335500.0,336000.0,331500.0,334000.0,3603.0,334000.0,0.0,0.0,0.0,10.0,1.0,1098.0,39.0,335500.0,336000.0,331500.0,334000.0,3603.0,334000.0,0.0,0.0,0.0,10.0,1.0,1098.0,39.0,both
10,2023-10-02,0.0,39.0,337500.0,341500.0,332000.0,332000.0,4472.0,332000.0,0.0,0.0,0.0,10.0,1.0,1165.0,32.0,337500.0,341500.0,332000.0,332000.0,4472.0,332000.0,0.0,0.0,0.0,10.0,1.0,1165.0,32.0,both
11,2023-09-29,4.0,38.0,333000.0,339500.0,332500.0,339000.0,4669.0,339000.0,2184.0,507.0,0.23,10.0,1.0,1329.0,37.0,333000.0,339500.0,332500.0,339000.0,4669.0,339000.0,2184.0,507.0,0.23,10.0,1.0,1329.0,37.0,both
12,2023-09-28,3.0,38.0,340000.0,340000.0,329500.0,329500.0,5742.0,329500.0,0.0,0.0,0.0,10.0,1.0,1191.0,39.0,340000.0,340000.0,329500.0,329500.0,5742.0,329500.0,0.0,0.0,0.0,10.0,1.0,1191.0,39.0,both
13,2023-09-27,2.0,38.0,333500.0,340000.0,333500.0,339500.0,14538.0,339500.0,0.0,0.0,0.0,30.0,3.0,1816.0,39.0,333500.0,340000.0,333500.0,339500.0,14538.0,339500.0,0.0,0.0,0.0,30.0,3.0,1816.0,39.0,both
14,2023-09-26,1.0,38.0,333500.0,336000.0,331000.0,333500.0,13410.0,333500.0,0.0,0.0,0.0,10.0,1.0,5841.0,23.0,333500.0,336000.0,331000.0,333500.0,13410.0,333500.0,0.0,0.0,0.0,10.0,1.0,5841.0,23.0,both
15,2023-09-25,0.0,38.0,332000.0,334000.0,331000.0,331500.0,4243.0,331500.0,0.0,0.0,0.0,10.0,1.0,3856.0,105.0,332000.0,334000.0,331000.0,331500.0,4243.0,331500.0,0.0,0.0,0.0,10.0,1.0,3856.0,105.0,both
16,2023-09-22,4.0,37.0,335000.0,335000.0,330500.0,331500.0,4891.0,331500.0,7530.0,1843.0,0.24,10.0,1.0,3624.0,142.0,335000.0,335000.0,330500.0,331500.0,4891.0,331500.0,7530.0,1843.0,0.24,10.0,1.0,3624.0,142.0,both
17,2023-09-21,3.0,37.0,335000.0,337500.0,333500.0,336000.0,10367.0,336000.0,0.0,0.0,0.0,10.0,1.0,3766.0,106.0,335000.0,337500.0,333500.0,336000.0,10367.0,336000.0,0.0,0.0,0.0,10.0,1.0,3766.0,106.0,both
18,2023-09-20,2.0,37.0,337000.0,339500.0,335500.0,336500.0,6916.0,336500.0,0.0,0.0,0.0,30.0,3.0,2843.0,116.0,337000.0,339500.0,335500.0,336500.0,6916.0,336500.0,0.0,0.0,0.0,30.0,3.0,2843.0,116.0,both
19,2023-09-19,1.0,37.0,334000.0,339000.0,333500.0,339000.0,2700.0,339000.0,0.0,0.0,0.0,10.0,1.0,994.0,179.0,334000.0,339000.0,333500.0,339000.0,2700.0,339000.0,0.0,0.0,0.0,10.0,1.0,994.0,179.0,both
20,2023-09-15,4.0,36.0,332500.0,337000.0,331500.0,336000.0,4793.0,336000.0,1845.0,1145.0,0.62,5.0,1.0,552.0,177.0,332500.0,337000.0,331500.0,336000.0,4793.0,336000.0,1845.0,1145.0,0.62,0.0,0.0,0.0,0.0,both
21,2023-09-14,3.0,36.0,333000.0,336000.0,331500.0,333500.0,1988.0,333500.0,0.0,0.0,0.0,5.0,1.0,323.0,173.0,333000.0,336000.0,331500.0,333500.0,1988.0,333500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
22,2023-09-13,2.0,36.0,332000.0,339500.0,331000.0,332500.0,3940.0,332500.0,0.0,0.0,0.0,20.0,4.0,241.0,67.0,332000.0,339500.0,331000.0,332500.0,3940.0,332500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
23,2023-09-12,1.0,36.0,341000.0,341500.0,338500.0,340000.0,1393.0,340000.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,341000.0,341500.0,338500.0,340000.0,1393.0,340000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,both
24,2023-09-11,0.0,36.0,343500.0,344500.0,338000.0,342000.0,2582.0,342000.0,0.0,0.0,0.0,0.0,0.0,10.0,39.0,,,,,,,,,,,,,,left_only
25,2023-09-08,4.0,35.0,343000.0,345000.0,340500.0,343500.0,4768.0,343500.0,60.0,400.0,6.67,0.0,0.0,10.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,400.0,6.67,0.0,0.0,0.0,0.0,both
26,2023-09-07,3.0,35.0,345500.0,346500.0,342500.0,345000.0,3839.0,345000.0,0.0,0.0,0.0,0.0,0.0,8.0,46.0,,,,,,,,,,,,,,left_only
27,2023-09-06,2.0,35.0,349000.0,349000.0,343000.0,345500.0,3468.0,345500.0,0.0,0.0,0.0,0.0,0.0,9.0,46.0,,,,,,,,,,,,,,left_only
28,2023-09-05,1.0,35.0,351500.0,351500.0,348500.0,349500.0,2814.0,349500.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,,,,,,,,,,,,,,left_only
29,2023-09-04,0.0,35.0,352000.0,353500.0,350500.0,353500.0,1709.0,353500.0,0.0,0.0,0.0,0.0,0.0,13.0,30.0,,,,,,,,,,,,,,left_only
30,2023-09-01,4.0,34.0,349000.0,351000.0,346000.0,351000.0,2414.0,351000.0,100.0,359.0,3.59,0.0,0.0,14.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,359.0,3.59,0.0,0.0,0.0,0.0,both
31,2023-08-31,3.0,34.0,360000.0,360000.0,349000.0,350500.0,3924.0,350500.0,0.0,0.0,0.0,0.0,0.0,9.0,87.0,,,,,,,,,,,,,,left_only
32,2023-08-30,2.0,34.0,361500.0,361500.0,357500.0,360000.0,2161.0,360000.0,0.0,0.0,0.0,30.0,3.0,57.0,39.0,,,,,,,,,,,,,,left_only
33,2023-08-29,1.0,34.0,356500.0,361500.0,356500.0,361500.0,2847.0,361500.0,0.0,0.0,0.0,10.0,1.0,57.0,16.0,,,,,,,,,,,,,,left_only
34,2023-08-28,0.0,34.0,355500.0,356500.0,354500.0,355500.0,1871.0,355500.0,0.0,0.0,0.0,10.0,1.0,50.0,26.0,,,,,,,,,,,,,,left_only
35,2023-08-25,4.0,33.0,351000.0,355500.0,349000.0,355500.0,2026.0,355500.0,123.0,228.0,1.85,10.0,1.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,228.0,1.85,0.0,0.0,0.0,0.0,both
36,2023-08-24,3.0,33.0,351500.0,352000.0,348000.0,350000.0,1528.0,350000.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,,,,,,,,,,,,,,left_only
37,2023-08-23,2.0,33.0,345500.0,350000.0,344000.0,350000.0,2778.0,350000.0,0.0,0.0,0.0,15.0,3.0,33.0,26.0,,,,,,,,,,,,,,left_only
38,2023-08-22,1.0,33.0,340500.0,345500.0,340000.0,345000.0,3093.0,345000.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,,,,,,,,,,,,,,left_only
39,2023-08-21,0.0,33.0,336500.0,341500.0,336500.0,339000.0,3790.0,339000.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,,,,,,,,,,,,,,left_only
40,2023-08-18,4.0,32.0,332500.0,336500.0,330000.0,336000.0,3780.0,336000.0,69.0,253.0,3.67,0.0,0.0,21.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,253.0,3.67,0.0,0.0,0.0,0.0,both
41,2023-08-17,3.0,32.0,331500.0,333000.0,329500.0,331500.0,1400.0,331500.0,0.0,0.0,0.0,0.0,0.0,20.0,33.0,,,,,,,,,,,,,,left_only
42,2023-08-16,2.0,32.0,329000.0,332500.0,329000.0,331000.0,2064.0,331000.0,0.0,0.0,0.0,0.0,0.0,21.0,37.0,,,,,,,,,,,,,,left_only
43,2023-08-15,1.0,32.0,333000.0,333000.0,328000.0,330000.0,2340.0,330000.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,,,,,,,,,,,,,,left_only
44,2023-08-14,0.0,32.0,336000.0,337000.0,330000.0,330500.0,1906.0,330500.0,0.0,0.0,0.0,0.0,0.0,20.0,47.0,,,,,,,,,,,,,,left_only
45,2023-08-10,3.0,31.0,337000.0,337500.0,334500.0,336000.0,1630.0,336000.0,60.0,250.0,4.17,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,250.0,4.17,0.0,0.0,0.0,0.0,both
46,2023-08-09,2.0,31.0,335500.0,337500.0,333000.0,337500.0,2017.0,337500.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,,,,,,,,,,,,,,left_only
47,2023-08-08,1.0,31.0,339000.0,339000.0,335500.0,337000.0,1592.0,337000.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,,,,,,,,,,,,,,left_only
48,2023-08-07,0.0,31.0,336500.0,339500.0,335500.0,338000.0,1919.0,338000.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,,,,,,,,,,,,,,left_only
49,2023-08-04,4.0,30.0,337000.0,338000.0,334000.0,335000.0,2267.0,335000.0,32.0,247.0,7.72,0.0,0.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,247.0,7.72,0.0,0.0,0.0,0.0,both
50,2023-08-03,3.0,30.0,340000.0,343000.0,339000.0,340000.0,1430.0,340000.0,0.0,0.0,0.0,0.0,0.0,20.0,26.0,,,,,,,,,,,,,,left_only
51,2023-08-02,2.0,30.0,342000.0,343500.0,340000.0,341000.0,2181.0,341000.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,,,,,,,,,,,,,,left_only
52,2023-08-01,1.0,30.0,347000.0,347500.0,341000.0,343000.0,2986.0,343000.0,0.0,0.0,0.0,5.0,1.0,93.0,48.0,,,,,,,,,,,,,,left_only
53,2023-07-31,0.0,30.0,350500.0,353000.0,346500.0,346500.0,6496.0,346500.0,0.0,0.0,0.0,5.0,1.0,91.0,41.0,,,,,,,,,,,,,,left_only
54,2023-07-28,4.0,29.0,351500.0,355500.0,342500.0,348500.0,22167.0,348500.0,136.0,278.0,2.04,5.0,1.0,99.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,278.0,2.04,0.0,0.0,0.0,0.0,both
55,2023-07-27,3.0,29.0,368500.0,368500.0,361500.0,361500.0,11237.0,361500.0,0.0,0.0,0.0,470.0,1.0,3893.0,23.0,,,,,,,,,,,,,,left_only
56,2023-07-26,2.0,29.0,357500.0,362000.0,357000.0,361500.0,5027.0,361500.0,0.0,0.0,0.0,15.0,3.0,241.0,28.0,,,,,,,,,,,,,,left_only
57,2023-07-25,1.0,29.0,351500.0,356500.0,350000.0,356500.0,4846.0,356500.0,0.0,0.0,0.0,5.0,1.0,124.0,30.0,,,,,,,,,,,,,,left_only
58,2023-07-24,0.0,29.0,349000.0,352000.0,348000.0,351500.0,3328.0,351500.0,0.0,0.0,0.0,0.0,1.0,88.0,75.0,,,,,,,,,,,,,,left_only
