,日付,曜日,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残
166,2023-11-02,3,330000.0,333000.0,329000.0,333000.0,3575.0,333000.0,0.0,0.0,0.0,0,0,0.0,0.0
167,2023-11-01,2,332000.0,334000.0,325000.0,327000.0,5478.0,327000.0,0.0,0.0,0.0,0,0,33.0,39.0
168,2023-10-31,1,326000.0,331500.0,326000.0,328500.0,3543.0,328500.0,0.0,0.0,0.0,0,0,48.0,65.0
169,2023-10-30,0,329000.0,329500.0,325500.0,327500.0,2583.0,327500.0,0.0,0.0,0.0,0.00,0,67.0,60.0
170,2023-10-27,4,329500.0,334000.0,327500.0,332000.0,5058.0,332000.0,206.0,503.0,2.44,0,0,125.0,149.0
171,2023-10-26,3,326500.0,329000.0,322000.0,323000.0,3784.0,323000.0,0.0,0.0,0.0,0.00,0,197.0,160.0
172,2023-10-25,2,323500.0,327000.0,323000.0,326500.0,3391.0,326500.0,0.0,0.0,0.0,0.00,0,197.0,162.0
173,2023-10-24,1,325500.0,327500.0,323500.0,323500.0,4097.0,323500.0,0.0,0.0,0.0,0.00,0,208.0,173.0
174,2023-10-23,0,331000.0,331500.0,324000.0,325000.0,2974.0,325000.0,0.0,0.0,0.0,0.00,0,216.0,179.0
175,2023-10-20,4,333000.0,333000.0,330500.0,331000.0,2342.0,331000.0,383.0,520.0,1.36,0.00,1,271.0,180.0
176,2023-10-19,3,335000.0,341000.0,333000.0,334500.0,4911.0,334500.0,0.0,0.0,0.0,0.00,1,248.0,175.0
