,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-11-17,332000,333000,329500,331000,1781,331000.0
1,2023-11-16,330000,332500,329500,331500,1738,331500.0
2,2023-11-15,329500,331500,328500,329500,2047,329500.0
3,2023-11-14,325500,329500,324000,329000,2856,329000.0
4,2023-11-13,326500,328500,324000,324500,1889,324500.0
5,2023-11-10,323500,325000,322500,325000,3206,325000.0
6,2023-11-09,329000,329000,323000,323000,3096,323000.0
7,2023-11-08,335000,335500,329500,330500,2088,330500.0
8,2023-11-07,335500,337000,331000,335000,4498,335000.0
9,2023-11-06,339000,339000,334000,335500,3091,335500.0
10,2023-11-02,330000,333000,329000,333000,3575,333000.0
11,2023-11-01,332000,334000,325000,327000,5478,327000.0
12,2023-10-31,326000,331500,326000,328500,3543,328500.0
13,2023-10-30,329000,329500,325500,327500,2583,327500.0
14,2023-10-27,329500,334000,327500,332000,5058,332000.0
15,2023-10-26,326500,329000,322000,323000,3784,323000.0
16,2023-10-25,323500,327000,323000,326500,3391,326500.0
17,2023-10-24,325500,327500,323500,323500,4097,323500.0
18,2023-10-23,331000,331500,324000,325000,2974,325000.0
19,2023-10-20,333000,333000,330500,331000,2342,331000.0
20,2023-10-19,335000,341000,333000,334500,4911,334500.0
21,2023-10-18,331000,334500,331000,332000,1694,332000.0
22,2023-10-17,327000,334000,327000,332000,2472,332000.0
23,2023-10-16,334500,337000,327000,328000,4288,328000.0
24,2023-10-13,335000,338000,333500,334500,4653,334500.0
