,日付,曜日,週,累積始値,累積高値,累積安値,累積終値,累積売買高,累積修正後終値,累積信用売残,累積信用買残,累積信用倍率,累積逆日歩,累積日歩日数,累積貸株残,累積融資残,終値差分,UP,終値前日比,始値終値差分,週日数
1,2023-11-16,3,45,330000.0,332500.0,329500.0,331500.0,1738.0,331500.0,0.0,0.0,0.0,0.0,0,52.0,45.0,-2000.0,0,-0.006069802731411229,-1500.0,5
2,2023-11-15,2,45,329500.0,331500.0,328500.0,329500.0,2047.0,329500.0,0.0,0.0,0.0,0.0,0,45.0,40.0,-500.0,0,-0.001519756838905775,0.0,5
3,2023-11-14,1,45,325500.0,329500.0,324000.0,329000.0,2856.0,329000.0,0.0,0.0,0.0,0.0,0,42.0,35.0,-4500.0,0,-0.01386748844375963,-3500.0,5
4,2023-11-13,0,45,326500.0,328500.0,324000.0,324500.0,1889.0,324500.0,0.0,0.0,0.0,0.0,0,36.0,39.0,500.0,1,0.0015384615384615385,2000.0,5
6,2023-11-09,3,44,329000.0,329000.0,323000.0,323000.0,3096.0,323000.0,0.0,0.0,0.0,0.0,0,36.0,43.0,7500.0,1,0.0226928895612708,6000.0,5
7,2023-11-08,2,44,335000.0,335500.0,329500.0,330500.0,2088.0,330500.0,0.0,0.0,0.0,0.0,0,37.0,39.0,4500.0,1,0.013432835820895522,4500.0,5
8,2023-11-07,1,44,335500.0,337000.0,331000.0,335000.0,4498.0,335000.0,0.0,0.0,0.0,0.0,0,35.0,39.0,500.0,1,0.0014903129657228018,500.0,5
9,2023-11-06,0,44,339000.0,339000.0,334000.0,335500.0,3091.0,335500.0,0.0,0.0,0.0,0.0,0,33.0,39.0,-2500.0,0,-0.0075075075075075074,3500.0,5
15,2023-10-26,3,42,326500.0,329000.0,322000.0,323000.0,3784.0,323000.0,0.0,0.0,0.0,0.0,0,197.0,160.0,3500.0,1,0.010719754977029096,3500.0,5
16,2023-10-25,2,42,323500.0,327000.0,323000.0,326500.0,3391.0,326500.0,0.0,0.0,0.0,0.0,0,197.0,162.0,-3000.0,0,-0.00927357032457496,-3000.0,5
17,2023-10-24,1,42,325500.0,327500.0,323500.0,323500.0,4097.0,323500.0,0.0,0.0,0.0,0.0,0,208.0,173.0,1500.0,1,0.004615384615384616,2000.0,5
18,2023-10-23,0,42,331000.0,331500.0,324000.0,325000.0,2974.0,325000.0,0.0,0.0,0.0,0.0,0,216.0,179.0,6000.0,1,0.01812688821752266,6000.0,5
20,2023-10-19,3,41,335000.0,341000.0,333000.0,334500.0,4911.0,334500.0,0.0,0.0,0.0,0.0,1,248.0,175.0,-2500.0,0,-0.007530120481927711,500.0,5
21,2023-10-18,2,41,331000.0,334500.0,331000.0,332000.0,1694.0,332000.0,0.0,0.0,0.0,0.0,0,242.0,166.0,0.0,0,0.0,-1000.0,5
22,2023-10-17,1,41,327000.0,334000.0,327000.0,332000.0,2472.0,332000.0,0.0,0.0,0.0,5.0,1,448.0,155.0,-4000.0,0,-0.012195121951219513,-5000.0,5
23,2023-10-16,0,41,334500.0,337000.0,327000.0,328000.0,4288.0,328000.0,0.0,0.0,0.0,5.0,1,450.0,160.0,6500.0,1,0.01943198804185351,6500.0,5
29,2023-10-05,3,39,336000.0,339500.0,335000.0,338500.0,4817.0,338500.0,0.0,0.0,0.0,10.0,1,862.0,44.0,-4000.0,0,-0.01195814648729447,-2500.0,5
30,2023-10-04,2,39,333000.0,336000.0,331500.0,334500.0,5751.0,334500.0,0.0,0.0,0.0,40.0,4,995.0,62.0,-500.0,0,-0.0014970059880239522,-1500.0,5
31,2023-10-03,1,39,335500.0,336000.0,331500.0,334000.0,3603.0,334000.0,0.0,0.0,0.0,10.0,1,1098.0,39.0,-2000.0,0,-0.006024096385542169,1500.0,5
32,2023-10-02,0,39,337500.0,341500.0,332000.0,332000.0,4472.0,332000.0,0.0,0.0,0.0,10.0,1,1165.0,32.0,7000.0,1,0.02064896755162242,5500.0,5
